date,open,high,low,close,volume
2007-11-15,5.94,5.94,4.98,5.8,1306330
2007-11-16,5.53,5.53,5.53,5.53,248510
2007-11-19,5.26,5.26,5.26,5.26,120480
2007-11-20,5.03,5.03,5.03,5.03,58710
2007-11-21,4.8,5.21,4.8,5.21,728080
2007-11-22,5.21,5.21,5.03,5.21,266040
2007-11-23,5.07,5.21,5.03,5.03,106370
2007-11-26,4.94,5.03,4.89,4.98,135430
2007-11-27,4.93,4.93,4.8,4.8,262120
2007-11-28,4.85,4.89,4.85,4.89,131020
2007-11-29,4.89,4.94,4.84,4.89,128110
2007-11-30,4.84,4.84,4.8,4.84,114720
2007-12-03,4.89,4.89,4.84,4.84,68710
2007-12-04,4.79,4.84,4.79,4.8,125040
2007-12-05,4.71,4.8,4.71,4.75,112160
2007-12-06,4.89,4.89,4.75,4.8,76580
2007-12-07,4.71,4.8,4.66,4.66,133400
2007-12-10,4.57,4.61,4.45,4.46,156420
2007-12-11,4.32,4.41,4.25,4.25,184520
2007-12-12,4.04,4.43,4.04,4.3,307780
2007-12-13,4.3,4.3,4.12,4.14,130410
2007-12-14,4.12,4.19,4.12,4.16,81260
2007-12-17,4.21,4.23,4.16,4.16,87220
2007-12-18,4.16,4.28,4.14,4.27,104160
2007-12-19,4.39,4.48,4.34,4.48,217360
2007-12-20,4.48,4.5,4.32,4.34,105030
2007-12-21,4.27,4.43,4.27,4.34,114130
2007-12-24,4.41,4.41,4.34,4.39,166920
2007-12-25,4.39,4.41,4.34,4.34,109460
2007-12-26,4.2,4.34,4.2,4.34,157680
2007-12-27,4.34,4.39,4.34,4.34,86100
2007-12-28,4.34,4.39,4.34,4.39,81580
2008-01-02,4.39,4.44,4.39,4.41,174750
2008-01-03,4.46,4.46,4.43,4.44,172390
2008-01-04,4.49,4.49,4.44,4.48,221230
2008-01-07,4.53,4.55,4.48,4.55,434240
2008-01-08,4.55,4.76,4.55,4.76,364540
2008-01-09,4.76,4.99,4.58,4.99,595940
2008-01-10,4.94,4.94,4.76,4.94,476150
2008-01-11,4.89,5.03,4.85,4.9,467570
2008-01-14,4.95,4.95,4.85,4.9,283070
2008-01-15,4.81,4.81,4.67,4.67,306310
2008-01-16,4.76,4.9,4.76,4.85,441980
2008-01-17,4.8,4.8,4.62,4.62,158820
2008-01-18,4.53,4.71,4.53,4.71,141170
2008-01-21,4.66,4.71,4.62,4.62,71040
2008-01-22,4.48,4.53,4.48,4.48,83260
2008-01-23,4.43,4.43,4.27,4.27,119690
2008-01-24,4.43,4.43,4.29,4.3,95130
2008-01-25,4.28,4.35,4.28,4.3,82650
2008-01-28,4.39,4.39,4.3,4.32,41020
2008-01-29,4.34,4.41,4.34,4.41,120000
2008-01-30,4.62,4.62,4.53,4.62,362700
2008-01-31,4.39,4.53,4.39,4.53,82360
2008-02-01,4.67,4.67,4.58,4.67,192380
2008-02-12,4.72,4.72,4.58,4.62,104780
2008-02-13,4.57,4.57,4.48,4.48,150700
