date,open,high,low,close,volume
2018-11-12,12.5,12.7,12.5,12.7,100
2018-11-09,12.5,12.5,12.5,12.5,7650
2018-11-08,12.5,12.65,12.5,12.5,4600
2018-11-07,12.4,12.5,12.4,12.5,1670
2018-11-05,12.4,12.4,12.4,12.4,100
2018-11-02,12.4,12.4,12.4,12.4,1990
2018-11-01,12.4,12.4,12.4,12.4,8040
2018-10-31,12.4,12.6,12.4,12.6,8630
2018-10-30,12.7,12.7,12.35,12.35,20
2018-10-29,12.65,12.65,12.65,12.65,10
2018-10-26,12.45,12.55,12.4,12.55,21770
2018-10-25,12.45,12.6,12.4,12.45,11000
2018-10-24,12.1,12.55,12.1,12.45,4550
2018-10-23,12.55,12.55,12.45,12.5,8630
2018-10-22,12.65,12.65,12.5,12.65,2410
2018-10-19,12.5,12.65,12.45,12.65,2610
2018-10-18,12.7,12.7,12.55,12.6,1810
2018-10-17,12.5,12.75,12.5,12.65,6180
2018-10-16,12.45,12.75,12.45,12.5,10030
2018-10-15,12.45,12.45,12.45,12.45,10
2018-10-12,12.45,12.75,12.4,12.7,17170
2018-10-11,12.45,12.55,12.4,12.45,46320
2018-10-10,12.7,12.7,12.6,12.7,7940
2018-10-09,12.9,12.9,12.75,12.8,2390
2018-10-08,12.95,12.95,12.8,12.8,700
2018-10-05,12.65,13.2,12.65,12.85,27410
2018-10-04,12.7,12.85,12.7,12.85,6380
2018-10-03,12.9,12.9,12.6,12.65,13850
2018-10-02,12.75,12.75,12.6,12.6,11690
2018-10-01,12.6,12.75,12.5,12.75,8740
2018-09-28,12.5,12.65,12.5,12.6,3660
2018-09-27,12.5,12.6,12.5,12.6,2860
2018-09-26,12.6,12.6,12.4,12.45,20300
2018-09-25,12.6,13.2,12.4,12.6,18650
2018-09-24,12.65,12.7,12.5,12.5,9080
2018-09-21,12.5,12.65,12.35,12.65,22180
2018-09-20,12.55,12.65,12.4,12.5,5430
2018-09-19,11.7,12.5,11.7,12.3,2960
2018-09-18,12.3,12.55,12.25,12.55,25740
2018-09-17,12.35,12.55,12.35,12.55,3250
2018-09-14,12.35,12.45,12.35,12.45,110
2018-09-13,12.35,12.45,12.35,12.35,2030
2018-09-12,12.25,12.4,12.25,12.4,3560
2018-09-11,12.6,12.6,12.3,12.3,30
2018-09-10,12.5,12.5,12.3,12.3,30
2018-09-07,12.3,12.4,12.25,12.4,3420
2018-09-06,12.5,12.5,12.3,12.45,2060
2018-09-05,12.3,12.5,12.3,12.5,410
2018-09-04,12.3,12.75,12.0,12.25,3170
2018-08-31,12.4,12.4,12.4,12.4,3000
2018-08-30,12.8,12.8,12.4,12.5,3520
2018-08-29,12.4,12.45,12.4,12.4,4390
2018-08-28,12.35,12.4,12.3,12.4,2150
2018-08-27,12.35,12.35,12.35,12.35,1100
2018-08-24,12.3,12.35,12.3,12.35,11980
2018-08-23,12.4,12.4,12.2,12.2,4990
2018-08-22,12.0,12.1,12.0,12.1,2940
2018-08-21,12.15,12.15,12.15,12.15,1540
2018-08-20,12.2,12.2,12.1,12.15,3320
