date,open,high,low,close,volume
2018-11-30,17.92,17.92,17.92,17.92,40000
2018-12-03,19.17,19.17,19.17,19.17,5000
2018-12-04,20.51,20.51,20.51,20.51,5010
2018-12-05,21.9,21.9,21.9,21.9,6010
2018-12-06,23.39,23.39,23.34,23.39,873940
2018-12-07,24.83,25.02,24.49,24.49,538490
2018-12-10,24.49,24.78,23.96,23.96,287480
2018-12-11,22.28,22.28,22.28,22.28,107180
2018-12-12,20.75,20.75,20.75,20.75,167420
2018-12-13,19.31,20.8,19.31,20.8,737670
2018-12-14,20.13,20.37,19.41,19.5,243280
2018-12-17,19.16,19.6,19.16,19.6,362200
2018-12-18,19.36,19.46,19.26,19.46,72290
2018-12-19,19.46,19.46,19.12,19.26,130760
2018-12-20,19.21,19.31,19.07,19.31,76100
2018-12-21,19.31,19.41,18.59,19.41,151320
2018-12-24,19.17,19.41,19.17,19.41,106900
2018-12-25,19.31,19.31,19.07,19.17,92760
2018-12-26,19.17,19.6,19.17,19.6,155870
2018-12-27,19.55,19.7,19.55,19.55,90770
2018-12-28,19.55,20.8,19.41,20.75,528250
2019-01-02,20.75,21.42,20.75,21.42,359700
2019-01-03,21.42,21.76,20.51,20.51,494820
2019-01-04,19.12,19.46,19.12,19.12,356920
2019-01-07,19.12,19.26,18.88,19.26,175560
2019-01-08,19.26,19.26,19.07,19.22,71340
2019-01-09,19.17,19.27,19.08,19.26,95960
2019-01-10,19.26,19.26,19.02,19.17,116970
2019-01-11,19.17,19.22,19.07,19.22,91830
2019-01-14,19.22,19.27,19.12,19.26,79970
2019-01-15,19.26,19.26,19.16,19.17,92630
2019-01-16,19.17,19.27,19.17,19.22,113690
2019-01-17,19.17,19.36,19.17,19.26,108310
2019-01-18,19.26,19.26,19.16,19.17,87600
2019-01-21,19.17,19.27,19.17,19.26,81960
2019-01-22,19.26,19.26,19.12,19.17,91060
2019-01-23,19.22,19.27,19.17,19.17,74450
2019-01-24,19.17,19.22,19.17,19.22,97190
2019-01-25,19.22,19.32,19.17,19.17,96640
2019-01-28,19.17,19.27,19.12,19.17,101100
2019-01-29,19.17,19.27,19.12,19.17,113240
2019-01-30,19.17,19.17,19.12,19.17,91390
2019-01-31,19.17,19.36,19.17,19.36,88830
2019-02-01,19.41,19.46,19.31,19.41,97110
2019-02-11,19.41,19.65,19.41,19.55,79750
2019-02-12,19.5,19.65,19.5,19.55,108880
2019-02-13,19.55,19.55,19.41,19.46,128020
2019-02-14,19.51,19.56,19.46,19.5,77760
2019-02-15,19.5,19.6,19.4,19.55,85070
2019-02-18,19.55,19.55,19.45,19.5,80850
2019-02-19,19.5,20.31,19.5,20.13,560270
2019-02-20,20.13,20.85,20.08,20.61,520800
2019-02-21,20.61,20.75,20.32,20.32,211220
2019-02-22,20.32,20.42,20.22,20.37,129320
2019-02-25,20.37,20.37,20.13,20.22,155420
2019-02-26,20.22,20.36,20.08,20.13,118450
2019-02-27,20.13,20.18,20.08,20.13,108070
2019-02-28,20.13,20.32,20.13,20.27,180790
2019-03-01,20.27,20.46,20.22,20.41,130720
2019-03-04,20.46,21.8,20.46,21.8,527870
2019-03-05,21.85,22.42,21.8,21.95,617940
2019-03-06,21.95,22.19,21.14,21.47,386870
2019-03-07,21.42,21.47,20.89,21.13,294770
2019-03-08,21.13,21.42,20.99,21.28,179310
2019-03-11,21.28,21.66,21.23,21.66,168410
2019-03-12,21.71,21.8,21.52,21.52,154680
