date,open,high,low,close,volume
2010-01-22,6.31,6.39,5.64,5.91,10000
2010-01-25,6.37,6.37,5.59,5.64,22000
2010-01-26,6.04,6.04,5.29,5.29,5500
2010-01-29,5.21,5.21,5.21,5.21,2000
2010-02-01,4.86,4.86,4.86,4.86,8500
2010-02-02,4.54,4.54,4.54,4.54,1500
2010-02-03,4.24,4.3,4.24,4.24,19400
2010-02-04,4.4,4.45,4.24,4.46,9300
2010-02-05,4.62,4.62,4.03,4.03,11200
2010-02-08,4.03,4.03,4.03,4.03,2000
2010-02-09,4.3,4.3,4.3,4.3,100
2010-02-10,4.06,4.06,4.0,4.0,3500
2010-02-11,4.24,4.24,3.79,3.81,3500
2010-02-12,4.05,4.05,4.05,4.06,200
2010-02-22,4.28,4.28,4.28,4.27,100
2010-02-24,4.06,4.06,3.97,3.97,4300
2010-02-25,4.05,4.05,3.97,4.03,3100
2010-02-26,4.03,4.03,4.03,4.03,2000
2010-03-01,3.82,3.82,3.76,3.76,2000
2010-03-03,4.02,4.02,4.02,4.03,4000
2010-03-04,4.24,4.27,4.24,4.27,1600
2010-03-05,4.24,4.24,4.24,4.24,100
2010-03-09,3.94,3.97,3.94,3.95,2500
2010-03-10,4.03,4.03,4.03,4.03,100
2010-03-11,4.16,4.16,4.08,4.08,500
2010-03-12,3.95,4.29,3.95,4.3,5500
2010-03-15,3.84,4.3,3.84,4.11,41200
2010-03-16,4.08,4.35,4.08,4.27,35100
2010-03-17,4.11,4.22,4.03,4.22,7000
2010-03-18,4.11,4.3,4.11,4.3,1600
2010-03-19,4.43,4.46,4.35,4.46,64800
2010-03-22,4.76,4.76,4.7,4.75,20300
2010-03-23,5.07,5.07,5.07,5.08,26400
2010-03-24,5.43,5.43,4.81,5.26,102100
2010-03-25,4.96,4.96,4.91,4.91,66600
2010-03-26,4.59,5.07,4.59,4.86,23100
2010-03-29,5.02,5.02,4.56,4.57,13800
2010-03-30,4.57,4.62,4.3,4.3,29200
2010-03-31,4.33,4.43,4.25,4.3,24400
2010-04-01,4.27,4.57,4.27,4.57,18500
2010-04-02,4.81,4.84,4.62,4.62,11600
2010-04-05,4.57,4.7,4.41,4.46,10000
2010-04-06,4.43,4.49,4.43,4.48,19900
2010-04-07,4.51,4.56,4.48,4.57,10200
2010-04-08,4.6,4.6,4.52,4.57,7400
2010-04-09,4.62,4.87,4.6,4.78,20800
2010-04-12,4.83,4.83,4.54,4.75,6700
2010-04-13,4.56,4.56,4.56,4.57,1000
2010-04-14,4.81,4.81,4.49,4.54,2200
2010-04-15,4.75,4.75,4.43,4.67,9500
2010-04-16,4.7,4.7,4.56,4.65,21900
2010-04-19,4.35,4.62,4.35,4.57,9900
2010-04-20,4.57,4.84,4.57,4.83,64300
2010-04-21,5.13,5.13,4.91,5.1,47600
2010-04-22,5.34,5.34,4.75,4.78,6600
2010-04-26,4.83,4.83,4.67,4.67,7600
2010-04-27,4.75,4.83,4.62,4.81,11600
2010-04-28,4.76,4.78,4.68,4.73,17700
2010-04-29,4.97,5.0,4.7,4.73,25200
2010-05-04,4.84,5.08,4.84,5.08,50100
2010-05-05,4.97,5.25,4.97,5.24,14500
2010-05-06,5.43,5.43,5.1,5.43,104800
2010-05-07,5.76,5.76,5.1,5.16,41000
2010-05-10,5.05,5.05,5.02,5.02,31300
2010-05-11,5.1,5.32,4.94,4.97,9200
2010-05-12,4.94,4.94,4.72,4.72,21500
2010-05-13,4.75,4.75,4.42,4.69,30500
2010-05-14,4.58,4.69,4.55,4.69,4600
2010-05-17,4.88,4.88,4.55,4.66,3600
2010-05-18,4.44,4.49,4.38,4.5,11400
2010-05-19,4.69,4.72,4.28,4.41,6800
2010-05-20,4.38,4.41,4.38,4.41,24500
2010-05-21,4.41,4.41,4.11,4.11,24700
2010-05-24,4.19,4.41,4.19,4.41,5300
2010-05-25,4.6,4.6,4.41,4.41,7100
2010-05-26,4.69,4.69,4.35,4.39,15400
2010-05-27,4.5,4.5,4.33,4.5,5800
2010-05-28,4.64,4.67,4.56,4.55,11900
2010-06-01,4.42,4.55,4.42,4.41,2500
2010-06-02,4.41,4.44,4.41,4.41,4300
2010-06-03,4.47,4.47,4.41,4.41,5600
2010-06-04,4.55,4.55,4.33,4.39,11400
2010-06-07,4.14,4.2,4.06,4.14,23600
2010-06-08,4.36,4.36,4.28,4.28,1200
2010-06-09,4.34,4.34,4.25,4.25,8700
2010-06-10,4.06,4.36,4.06,4.28,1600
2010-06-11,4.34,4.42,4.28,4.28,8300
2010-06-14,4.34,4.34,4.14,4.28,20300
2010-06-15,4.25,4.5,4.25,4.36,8600
2010-06-16,4.42,4.66,4.42,4.66,34100
2010-06-17,4.83,4.88,4.83,4.88,26400
2010-06-18,5.21,5.21,4.88,5.21,203500
2010-06-21,5.43,5.43,5.24,5.43,92200
2010-06-22,5.76,5.76,5.51,5.66,309500
2010-06-23,6.07,6.07,5.44,5.77,68500
2010-06-24,5.47,5.8,5.41,5.41,90100
2010-06-25,5.38,5.47,5.16,5.21,39500
2010-06-28,5.04,5.62,4.91,5.52,65300
2010-06-29,5.52,5.58,5.27,5.41,31400
2010-06-30,5.08,5.22,5.08,5.1,42200
2010-07-01,5.07,5.07,4.74,4.77,72600
2010-07-02,5.02,5.13,4.83,5.13,38700
2010-07-05,5.24,5.24,4.96,4.97,12800
2010-07-06,4.97,4.97,4.75,4.83,63800
2010-07-07,5.02,5.16,4.5,4.55,111800
2010-07-08,4.91,4.94,4.91,4.94,38500
2010-07-09,5.27,5.27,4.94,4.97,25500
2010-07-12,5.05,5.05,5.03,5.05,9000
2010-07-13,5.19,5.19,5.05,5.05,18900
2010-07-14,5.19,5.19,4.86,4.88,41800
2010-07-15,4.88,5.27,4.82,5.27,132700
2010-07-16,5.49,5.49,4.99,5.19,26600
2010-07-19,5.11,5.33,5.11,5.21,4600
2010-07-20,5.18,5.54,5.15,5.46,134500
2010-07-21,5.68,5.68,5.18,5.27,54900
2010-07-22,5.24,5.3,5.08,5.08,37000
2010-07-23,5.25,5.25,5.11,5.1,15300
2010-07-26,5.13,5.16,5.1,5.1,34200
2010-07-27,5.1,5.1,5.02,5.08,16300
2010-07-28,4.97,4.97,4.86,4.88,17900
2010-07-29,5.07,5.13,4.88,5.13,51000
2010-07-30,5.13,5.13,4.85,4.86,27600
2010-08-02,4.94,5.03,4.92,4.97,26900
2010-08-03,5.08,5.08,4.86,4.86,16500
2010-08-04,4.83,4.86,4.72,4.86,26600
2010-08-05,4.83,4.92,4.8,4.83,14600
2010-08-06,4.77,4.83,4.75,4.77,33800
2010-08-09,4.74,4.77,4.49,4.5,66000
