date,open,high,low,close,volume
2005-12-12,4.48,4.48,4.48,4.48,13020
2005-12-13,4.56,4.67,4.56,4.67,47140
2005-12-14,4.67,4.67,4.56,4.55,29540
2005-12-15,4.55,4.55,4.47,4.48,34670
2005-12-16,4.48,4.48,4.48,4.48,6030
2005-12-19,4.48,4.48,4.4,4.4,15990
2005-12-20,4.4,4.4,4.32,4.33,9640
2005-12-21,4.25,4.25,4.22,4.21,16710
2005-12-22,4.17,4.17,4.17,4.17,25980
2005-12-23,4.13,4.13,4.13,4.14,16030
2005-12-26,4.14,4.14,4.14,4.14,14190
2005-12-27,4.14,4.14,4.1,4.1,16670
2005-12-28,4.06,4.06,4.02,4.02,26700
2005-12-29,4.02,4.1,4.02,4.1,28130
2005-12-30,4.25,4.25,4.1,4.1,23040
2006-01-03,4.1,4.1,4.02,4.02,1000
2006-01-04,4.02,4.02,4.02,4.02,16220
2006-01-05,4.02,4.06,4.02,4.06,10600
2006-01-06,4.06,4.06,4.06,4.06,7220
2006-01-09,4.1,4.1,4.06,4.06,2010
2006-01-10,4.06,4.06,4.06,4.06,3450
2006-01-11,4.06,4.06,4.02,4.02,6850
2006-01-12,3.98,3.98,3.98,3.98,9220
2006-01-13,3.98,4.02,3.98,4.02,15130
2006-01-17,4.02,4.02,4.02,4.02,8030
2006-01-18,4.06,4.06,4.06,4.06,7000
2006-01-19,4.06,4.06,4.02,4.02,5320
2006-01-20,4.06,4.06,4.06,4.06,9300
2006-01-23,4.06,4.06,4.02,4.02,7530
2006-01-24,4.02,4.02,4.02,4.02,2100
2006-01-25,4.02,4.1,4.02,4.1,2110
2006-01-26,4.1,4.1,4.1,4.1,3010
2006-01-27,4.1,4.1,4.1,4.1,9640
2006-02-06,4.1,4.1,4.06,4.06,4610
2006-02-07,4.1,4.1,4.1,4.1,10950
2006-02-08,4.1,4.1,4.1,4.1,10030
2006-02-09,4.1,4.1,4.1,4.1,6300
2006-02-10,4.1,4.1,4.1,4.1,2850
2006-02-13,4.1,4.1,4.1,4.1,12250
2006-02-14,4.1,4.1,4.06,4.06,8460
2006-02-15,4.06,4.1,4.06,4.1,19200
2006-02-16,4.1,4.1,4.1,4.1,13270
2006-02-17,4.14,4.14,4.14,4.14,13130
2006-02-20,4.18,4.29,4.18,4.29,13090
2006-02-21,4.29,4.29,4.29,4.29,13830
2006-02-22,4.29,4.29,4.14,4.14,5770
2006-02-23,4.14,4.14,4.14,4.14,5550
2006-02-24,4.22,4.22,4.22,4.21,17780
2006-02-27,4.21,4.21,4.21,4.21,22660
2006-02-28,4.25,4.25,4.21,4.21,22640
2006-03-01,4.25,4.4,4.25,4.4,20840
2006-03-02,4.48,4.55,4.48,4.55,49500
2006-03-03,4.63,4.63,4.32,4.33,24270
2006-03-06,4.48,4.52,4.48,4.52,33150
2006-03-07,4.56,4.63,4.56,4.63,61950
2006-03-08,4.59,4.59,4.55,4.55,23670
2006-03-09,4.55,4.66,4.55,4.67,19910
2006-03-10,4.75,4.86,4.75,4.86,31590
