date,open,high,low,close,volume
2017-12-26,11.43,11.78,10.05,10.6,184000
2017-12-27,11.02,11.64,11.02,11.64,124410
2017-12-28,11.99,12.75,11.99,12.47,121051
2017-12-29,12.61,13.16,11.64,13.17,138843
2018-01-02,12.96,12.96,12.06,12.2,22637
2018-01-03,11.44,11.92,11.44,11.5,34040
2018-01-04,11.43,11.57,10.67,11.57,34347
2018-01-05,11.29,11.29,11.22,11.3,13443
2018-01-08,11.3,11.37,11.16,11.3,48100
2018-01-09,11.16,11.37,11.09,11.3,29442
2018-01-10,11.3,11.3,11.16,11.16,13000
2018-01-11,11.09,11.23,10.88,11.09,7510
2018-01-12,11.02,11.02,10.67,10.95,31000
2018-01-15,10.95,10.95,10.67,10.74,4070
2018-01-16,10.74,10.74,10.53,10.74,34100
2018-01-17,10.74,10.74,10.67,10.74,9601
2018-01-18,10.46,10.53,10.46,10.53,500
2018-01-19,10.53,10.74,10.53,10.6,14000
2018-01-22,10.67,10.74,10.67,10.74,10000
2018-01-23,11.78,11.78,11.43,11.43,200
2018-01-25,11.08,11.08,10.53,10.53,18119
2018-01-26,10.6,10.67,10.53,10.6,5400
2018-01-29,10.6,10.6,10.39,10.39,1500
2018-01-30,10.39,10.39,9.77,9.77,4250
2018-01-31,9.77,9.91,9.77,9.77,24100
2018-02-01,9.7,9.7,9.42,9.42,9200
2018-02-02,9.42,9.56,9.35,9.56,17300
2018-02-05,10.32,10.39,10.32,10.39,3150
2018-02-07,9.49,10.11,9.35,10.12,10813
2018-02-08,9.43,9.84,9.36,9.84,5200
2018-02-09,9.42,9.77,9.29,9.77,3100
2018-02-13,9.56,9.56,9.56,9.56,200
2018-02-21,10.18,10.18,10.18,10.19,100
2018-02-23,9.77,9.77,9.7,9.7,11700
2018-02-26,9.7,9.7,9.63,9.63,1500
2018-02-28,9.28,9.56,9.15,9.56,4600
2018-03-01,10.18,10.18,9.35,9.42,5700
2018-03-02,9.0,9.42,9.0,9.42,5500
2018-03-05,9.21,9.35,9.21,9.36,4400
2018-03-06,9.43,9.43,9.43,9.42,2000
2018-03-07,9.42,9.42,9.42,9.42,100
2018-03-08,9.28,9.28,9.07,9.08,25000
2018-03-09,9.15,9.15,9.01,9.01,5200
2018-03-12,9.01,9.91,9.01,9.91,1500
2018-03-13,9.91,9.91,9.42,9.42,1900
2018-03-14,9.42,9.63,9.42,9.63,200
2018-03-15,9.42,9.42,9.35,9.36,5800
2018-03-16,9.29,9.36,9.22,9.36,2600
2018-03-19,9.43,9.43,9.29,9.42,7600
2018-03-20,9.42,9.42,9.35,9.36,2700
2018-03-21,9.36,9.36,9.29,9.29,2600
2018-03-23,9.36,9.36,9.36,9.36,1000
2018-03-26,9.15,9.22,9.08,9.22,5500
2018-03-27,9.98,9.98,9.84,9.84,2100
2018-03-28,9.49,9.56,9.29,9.56,3200
2018-03-29,10.41,10.41,9.72,10.19,7100
2018-03-30,10.11,10.11,10.03,10.11,2600
2018-04-02,10.11,10.11,10.03,10.11,25100
2018-04-04,10.11,10.11,9.64,9.8,5700
2018-04-06,9.8,9.88,9.8,9.87,15400
2018-04-09,9.87,9.87,9.79,9.8,2700
2018-04-11,9.8,9.96,9.8,9.95,5200
2018-04-12,9.79,9.79,9.79,9.8,2300
