date,open,high,low,close,volume
2010-12-29,11.38,11.38,7.02,9.67,15500
2010-12-30,9.48,9.48,9.48,9.48,300
2011-01-04,8.84,8.84,8.84,8.83,100
2011-01-05,8.22,8.22,8.22,8.23,3200
2011-01-06,7.66,7.66,7.66,7.66,200
2011-01-07,7.13,7.13,7.13,7.13,100
2011-01-10,6.64,6.64,6.64,6.63,8500
2011-01-11,6.18,6.18,6.18,6.18,3000
2011-01-12,5.76,5.8,5.76,5.8,13300
2011-01-13,6.14,6.14,6.07,6.07,7500
2011-01-14,6.53,6.53,5.88,5.88,700
2011-01-17,6.22,6.22,6.22,6.22,100
2011-01-18,5.8,5.8,5.8,5.8,500
2011-01-19,5.5,5.57,5.42,5.42,14400
2011-01-20,5.69,5.84,5.19,5.19,5200
2011-01-21,5.0,5.61,4.96,5.61,4500
2011-01-24,5.31,5.31,5.27,5.27,3700
2011-01-25,5.61,5.61,5.61,5.61,100
2011-01-28,5.5,5.65,5.5,5.65,1600
2011-02-08,5.69,5.69,5.69,5.69,100
2011-02-09,5.88,5.88,5.5,5.76,10500
2011-02-11,5.65,5.65,5.65,5.65,3000
2011-02-15,5.27,5.73,5.27,5.69,5900
2011-02-16,5.31,5.69,5.23,5.46,8100
2011-02-17,5.5,5.61,5.5,5.61,500
2011-02-18,5.61,5.61,5.61,5.61,3000
2011-02-21,5.61,5.61,5.5,5.5,4000
2011-02-22,5.31,5.31,5.2,5.19,3000
2011-02-23,5.23,5.57,5.23,5.57,200
2011-02-24,5.76,5.76,5.76,5.76,100
2011-02-25,6.06,6.06,6.06,6.07,100
2011-02-28,6.34,6.34,6.34,6.33,100
2011-03-01,5.91,5.91,5.91,5.91,1000
2011-03-02,5.61,5.61,5.61,5.61,1000
2011-03-03,5.99,5.99,5.99,5.99,100
2011-03-04,6.33,6.33,5.57,5.57,600
2011-03-07,6.06,6.06,5.3,5.31,300
2011-03-08,5.95,5.95,5.2,5.23,5200
2011-03-09,5.57,5.57,4.93,4.93,700
2011-03-10,5.35,5.35,5.35,5.35,100
2011-03-11,5.69,5.69,5.69,5.69,100
2011-03-14,6.07,6.07,6.07,6.07,100
2011-03-15,6.49,6.49,6.07,6.07,1100
2011-03-16,6.45,6.53,6.45,6.44,800
2011-03-17,6.4,6.89,6.4,6.71,800
2011-03-18,6.44,6.44,6.44,6.44,100
2011-03-21,6.86,6.86,6.86,6.86,200
2011-03-24,6.41,6.41,6.41,6.41,500
2011-03-25,6.83,6.83,6.83,6.82,100
2011-03-28,7.01,7.27,6.37,6.82,900
2011-03-29,7.16,7.16,7.16,7.17,100
2011-03-30,7.66,7.66,6.68,6.67,200
2011-03-31,7.66,7.66,6.67,6.67,1200
2011-04-01,8.11,8.11,8.11,8.11,100
2011-04-18,7.58,7.58,7.58,7.58,100
2011-05-05,7.05,7.05,7.05,7.05,100
2011-05-06,7.54,7.54,6.56,6.56,200
2011-05-09,6.56,6.56,6.56,6.56,100
2011-05-10,6.1,6.1,6.1,6.1,100
2011-05-11,5.68,5.68,5.68,5.69,100
2011-05-12,5.69,5.69,5.31,5.31,1300
2011-05-13,5.31,5.31,5.23,5.23,2400
2011-05-16,4.96,4.96,4.96,4.97,10000
2011-05-17,4.78,4.97,4.67,4.66,10600
2011-05-18,4.36,4.36,4.36,4.36,10000
2011-05-19,4.36,4.4,4.36,4.36,8900
2011-05-23,4.66,4.66,4.55,4.55,8200
2011-05-24,4.55,4.55,4.55,4.55,7500
2011-05-25,4.55,4.55,4.55,4.55,2200
2011-05-26,4.55,4.55,4.55,4.55,5500
2011-05-27,4.63,4.63,4.63,4.63,300
2011-05-30,4.67,4.67,4.67,4.66,100
2011-06-01,4.74,4.89,4.74,4.74,5100
2011-06-02,5.08,5.08,5.08,5.08,100
2011-06-03,5.31,5.31,5.31,5.31,2200
2011-06-07,5.31,5.31,5.31,5.31,1100
2011-06-08,5.31,5.31,5.31,5.31,5900
2011-06-09,5.5,5.5,5.5,5.5,100
2011-06-10,5.69,5.69,5.69,5.69,100
2011-06-13,5.69,5.69,5.69,5.69,700
2011-06-14,5.69,5.96,5.69,5.95,900
2011-06-15,5.95,5.95,5.95,5.95,100
2011-06-16,6.25,6.25,6.25,6.26,100
2011-06-17,5.84,6.18,5.84,6.18,10100
2011-06-20,6.03,6.03,6.03,6.03,100
2011-06-22,5.61,6.41,5.61,6.41,4900
2011-06-23,5.95,5.95,5.95,5.95,100
2011-06-24,6.03,6.03,6.03,6.03,100
2011-06-28,6.45,6.45,6.45,6.44,1000
2011-06-29,6.86,6.86,6.86,6.86,100
2011-06-30,7.31,7.31,7.31,7.32,100
2011-07-05,7.02,7.02,6.83,6.82,400
2011-07-06,6.93,6.93,6.93,6.94,400
2011-07-08,6.48,6.48,6.48,6.48,1000
2011-07-13,6.06,6.06,6.06,6.07,1800
2011-07-14,5.69,5.69,5.69,5.69,500
2011-07-22,5.31,5.31,5.31,5.31,200
2011-07-26,5.02,5.02,5.02,5.02,2500
2011-08-12,4.69,4.69,4.69,4.68,300
2011-08-15,4.6,4.6,4.6,4.6,1000
2011-08-17,4.31,4.31,4.31,4.31,3200
2011-08-18,4.27,4.31,4.27,4.31,2000
2011-08-23,4.06,4.06,4.02,4.01,1500
2011-08-25,4.26,4.26,4.18,4.18,200
2011-08-26,3.97,3.97,3.93,3.93,8300
2011-08-30,4.18,4.18,4.18,4.18,100
2011-08-31,4.47,4.47,4.47,4.47,100
2011-09-01,4.76,4.76,4.76,4.77,200
2011-09-06,4.94,4.94,4.94,4.93,100
2011-09-14,5.18,5.18,5.18,5.18,100
2011-09-20,4.85,4.85,4.85,4.85,2100
2011-09-22,4.52,4.52,4.52,4.52,100
2011-09-23,4.52,4.6,4.52,4.6,300
2011-09-27,4.27,4.27,4.27,4.26,100
2011-09-30,3.97,3.97,3.97,3.97,100
2011-10-03,4.1,4.1,4.1,4.1,1900
2011-10-20,3.77,3.77,3.77,3.76,100
2011-10-27,3.51,3.51,3.51,3.51,100
2011-10-31,3.97,3.97,3.97,3.97,300
2011-11-01,4.22,4.22,4.22,4.22,100
2011-11-04,4.51,4.51,4.51,4.52,100
2011-11-15,4.73,4.73,4.73,4.72,100
2011-11-17,5.01,5.01,5.01,5.02,100
2011-11-18,4.69,5.35,4.69,5.35,200
2011-11-21,4.68,4.68,4.68,4.68,100
2011-11-22,4.39,4.39,4.39,4.39,100
2011-11-23,4.1,4.1,4.1,4.1,100
2011-11-28,3.85,3.85,3.85,3.85,100
2011-11-30,3.6,3.6,3.6,3.6,100
2011-12-02,3.35,3.35,3.35,3.34,100
2011-12-06,3.55,3.55,3.17,3.18,200
2011-12-07,3.6,3.6,3.6,3.6,100
2011-12-08,3.77,3.77,3.77,3.76,100
2011-12-09,3.8,3.8,3.8,3.8,100
2011-12-12,3.84,3.84,3.84,3.85,100
2011-12-13,4.1,4.1,4.1,4.1,400
2011-12-15,3.85,3.89,3.85,3.89,1100
2011-12-16,3.64,4.02,3.64,4.01,200
2011-12-19,3.84,3.84,3.76,3.76,2200
2011-12-20,3.51,3.51,3.51,3.51,100
2011-12-21,3.3,3.3,3.3,3.3,100
2011-12-22,3.09,3.09,3.09,3.09,100
2011-12-23,2.88,2.88,2.88,2.89,100
2011-12-26,2.72,2.72,2.72,2.72,2000
2011-12-27,2.89,2.89,2.89,2.89,100
2011-12-28,3.06,3.06,3.06,3.05,100
2011-12-29,3.26,3.26,2.84,2.84,200
2011-12-30,3.26,3.26,3.26,3.26,100
2012-01-03,3.13,3.13,3.13,3.14,100
2012-01-04,3.35,3.35,3.35,3.34,100
2012-01-05,3.13,3.13,3.13,3.14,100
2012-01-20,2.93,2.93,2.93,2.93,100
2012-01-31,2.76,2.76,2.76,2.76,100
2012-02-01,2.59,2.59,2.59,2.59,100
2012-02-02,2.42,2.42,2.42,2.43,100
2012-02-14,2.6,2.6,2.6,2.59,100
2012-02-15,2.42,2.76,2.42,2.76,200
2012-02-16,2.68,2.76,2.68,2.76,200
2012-02-17,2.55,2.89,2.55,2.89,200
2012-02-23,2.55,2.55,2.55,2.55,100
2012-02-24,2.42,2.42,2.42,2.43,100
2012-02-27,2.6,2.6,2.6,2.59,100
2012-02-28,2.51,2.51,2.51,2.51,100
2012-02-29,2.34,2.34,2.34,2.34,100
2012-03-05,2.47,2.47,2.47,2.47,100
2012-03-07,2.6,2.6,2.6,2.59,100
2012-03-08,2.76,2.76,2.76,2.76,100
2012-03-13,2.59,2.59,2.59,2.59,100
2012-03-14,2.42,2.76,2.42,2.76,300
2012-03-15,2.8,2.8,2.8,2.8,100
2012-03-20,2.8,2.8,2.63,2.63,500
2012-03-21,2.84,2.84,2.84,2.84,100
2012-03-22,2.67,2.67,2.67,2.68,100
2012-03-23,2.76,2.76,2.76,2.76,200
2012-03-26,2.93,2.93,2.93,2.93,400
2012-04-03,2.8,2.8,2.8,2.8,100
2012-04-05,2.63,2.63,2.63,2.63,100
2012-04-10,2.8,2.8,2.8,2.8,100
2012-04-12,2.93,2.93,2.93,2.93,200
2012-04-17,3.1,3.1,2.76,2.76,200
2012-04-18,2.59,2.59,2.59,2.59,100
2012-04-20,2.46,2.46,2.46,2.47,100
2012-04-23,2.34,2.34,2.34,2.34,100
2012-04-24,2.21,2.21,2.21,2.22,100
2012-04-25,2.35,2.35,2.35,2.34,200
2012-05-04,2.47,2.47,2.47,2.47,100
2012-05-07,2.64,2.64,2.3,2.3,300
2012-05-08,2.43,2.43,2.43,2.43,100
2012-05-10,2.3,2.3,2.3,2.3,100
2012-05-15,2.22,2.22,2.22,2.22,100
2012-05-18,2.35,2.35,2.35,2.34,100
2012-05-21,2.47,2.47,2.47,2.47,100
2012-05-22,2.64,2.64,2.64,2.63,100
2012-05-24,2.46,2.8,2.46,2.8,300
2012-05-25,2.84,2.84,2.84,2.84,100
2012-05-28,2.67,2.67,2.67,2.68,100
2012-05-30,2.85,2.85,2.55,2.55,200
2012-06-01,2.38,2.38,2.38,2.38,100
2012-06-04,2.3,2.3,2.3,2.3,100
2012-06-19,2.17,2.17,2.17,2.17,100
2012-06-21,2.3,2.3,2.04,2.05,200
2012-06-26,1.92,1.92,1.92,1.92,100
2012-06-27,2.05,2.05,2.05,2.05,100
2012-06-28,2.18,2.18,2.18,2.17,100
2012-06-29,2.3,2.3,2.3,2.3,100
2012-07-02,2.17,2.17,2.17,2.17,100
2012-07-03,2.04,2.04,2.04,2.05,100
2012-07-04,2.18,2.18,1.92,1.92,200
2012-09-20,2.05,2.05,2.05,2.05,100
2012-10-16,2.05,2.05,2.05,2.05,500
2012-10-19,2.18,2.18,2.18,2.17,100
2012-10-23,2.21,2.21,2.21,2.22,400
2012-11-26,2.14,2.14,2.14,2.13,100
2013-02-08,2.17,2.21,2.17,2.22,200
