date,open,high,low,close,volume
2011-09-13,1.65,1.97,1.62,1.78,144200
2011-09-14,1.75,1.75,1.62,1.62,20200
2011-09-15,1.61,1.61,1.56,1.56,16600
2011-09-16,1.53,1.53,1.5,1.5,4500
2011-09-19,1.47,1.6,1.46,1.53,4000
2011-09-20,1.46,1.46,1.46,1.46,200
2011-09-21,1.46,1.46,1.46,1.46,100
2011-09-22,1.46,1.46,1.46,1.46,100
2011-09-26,1.56,1.56,1.56,1.56,200
2011-09-27,1.46,1.46,1.46,1.46,100
2011-09-28,1.46,1.46,1.42,1.42,1900
2011-09-29,1.51,1.51,1.51,1.5,100
2011-09-30,1.46,1.46,1.4,1.4,800
2011-10-03,1.41,1.46,1.41,1.46,200
2011-10-04,1.45,1.46,1.45,1.46,200
2011-10-05,1.49,1.49,1.49,1.49,100
2011-10-06,1.58,1.58,1.4,1.5,4000
2011-10-11,1.58,1.58,1.58,1.58,1500
2011-10-12,1.64,1.64,1.64,1.63,1000
2011-10-13,1.64,1.64,1.64,1.65,1100
2011-10-14,1.64,1.64,1.64,1.63,600
2011-10-24,1.63,1.63,1.63,1.63,100
2011-11-02,1.63,1.63,1.63,1.63,2800
2011-11-17,1.53,1.53,1.53,1.53,700
2011-11-18,1.43,1.43,1.43,1.43,600
2011-11-21,1.34,1.34,1.34,1.34,7800
2011-11-24,1.25,1.25,1.25,1.25,800
2011-11-28,1.16,1.16,1.16,1.17,100
2011-11-29,1.24,1.24,1.24,1.24,200
2011-12-01,1.23,1.24,1.2,1.2,6900
2011-12-07,1.23,1.31,1.17,1.2,13800
2011-12-12,1.27,1.27,1.18,1.18,500
2011-12-14,1.29,1.29,1.17,1.17,2100
2011-12-15,1.2,1.24,1.2,1.24,9500
2012-01-10,1.17,1.24,1.17,1.24,1000
2012-01-11,1.17,1.17,1.17,1.17,1100
2012-01-17,1.16,1.16,1.16,1.15,2000
2012-02-03,1.08,1.08,1.08,1.08,3500
2012-02-07,1.02,1.02,1.02,1.02,1000
2012-02-08,0.98,0.98,0.98,0.98,1900
2012-02-15,0.97,0.97,0.97,0.96,500
2012-02-16,0.97,0.97,0.97,0.98,100
2012-02-21,0.98,0.98,0.98,0.98,3000
2012-02-27,1.04,1.04,1.04,1.04,100
2012-02-28,1.1,1.1,1.1,1.09,100
2012-02-29,1.16,1.16,1.16,1.17,1100
2012-03-01,1.24,1.24,1.24,1.24,100
2012-03-02,1.31,1.31,1.31,1.31,100
2012-03-05,1.4,1.4,1.4,1.4,3400
2012-03-06,1.49,1.49,1.31,1.31,1600
2012-03-07,1.4,1.4,1.4,1.4,100
2012-03-08,1.49,1.49,1.49,1.49,100
2012-03-09,1.59,1.59,1.59,1.59,100
2012-03-12,1.68,1.68,1.49,1.49,200
2012-03-13,1.61,1.61,1.49,1.49,300
2012-03-14,1.43,1.43,1.43,1.43,100
2012-03-15,1.34,1.34,1.34,1.34,100
2012-03-19,1.38,1.38,1.25,1.25,200
2012-03-20,1.24,1.24,1.24,1.24,100
2012-03-21,1.31,1.31,1.17,1.3,800
2012-03-22,1.12,1.12,1.12,1.12,100
2012-03-23,1.19,1.19,1.05,1.05,400
2012-03-26,1.09,1.09,1.09,1.09,500
2012-03-29,1.16,1.16,1.09,1.09,600
2012-04-03,1.09,1.09,1.09,1.09,200
2012-04-05,1.16,1.16,1.03,1.04,200
2012-04-06,1.1,1.1,1.03,1.02,400
2012-04-09,0.99,0.99,0.99,0.99,100
2012-04-17,1.02,1.02,0.99,0.99,1600
2012-04-18,1.05,1.05,1.05,1.05,200
2012-04-19,1.12,1.12,1.12,1.12,100
2012-04-20,1.19,1.19,1.19,1.2,2500
2012-04-24,1.26,1.26,1.26,1.25,200
2012-04-25,1.34,1.34,1.34,1.34,100
2012-04-26,1.38,1.38,1.37,1.37,800
2012-04-27,1.28,1.28,1.28,1.28,4900
2012-05-02,1.31,1.31,1.29,1.31,7000
2012-05-03,1.37,1.37,1.32,1.33,300
2012-05-07,1.37,1.37,1.33,1.33,200
2012-05-08,1.36,1.36,1.36,1.36,100
2012-05-11,1.37,1.37,1.37,1.37,100
2012-05-14,1.42,1.42,1.42,1.42,200
2012-05-17,1.45,1.45,1.45,1.45,100
2012-05-18,1.48,1.48,1.48,1.48,100
2012-05-25,1.5,1.5,1.5,1.5,100
2012-06-12,1.53,1.53,1.53,1.53,200
2012-09-12,1.43,1.43,1.43,1.43,100
2012-09-13,1.33,1.33,1.33,1.34,100
2012-09-14,1.26,1.26,1.26,1.26,100
2012-09-18,1.18,1.18,1.18,1.18,100
2012-09-19,1.1,1.1,1.1,1.1,100
2012-09-20,1.04,1.04,1.04,1.03,100
2012-09-21,0.97,0.97,0.97,0.97,100
2012-09-24,0.91,0.91,0.91,0.9,100
2012-09-25,0.85,0.85,0.85,0.85,100
2012-10-04,0.82,0.82,0.82,0.82,2400
2012-10-08,0.87,0.87,0.87,0.87,200
2012-10-09,0.82,0.82,0.82,0.82,600
2012-10-15,0.82,0.82,0.82,0.82,2000
2012-11-08,0.79,0.79,0.79,0.79,500
2012-12-19,0.84,0.84,0.84,0.84,100
2013-01-11,0.89,0.89,0.79,0.79,200
2013-01-14,0.79,0.81,0.74,0.74,9500
2013-01-17,0.74,0.8,0.74,0.76,1800
2013-01-18,0.81,0.81,0.7,0.69,1100
2013-01-21,0.75,0.75,0.64,0.64,300
2013-01-22,0.7,0.7,0.7,0.71,100
2013-01-23,0.77,0.77,0.77,0.77,200
2013-01-24,0.8,0.8,0.8,0.81,100
2013-01-30,0.86,0.86,0.86,0.85,1400
2013-01-31,0.85,0.85,0.77,0.77,1100
2013-02-01,0.83,0.83,0.83,0.84,1000
2013-02-04,0.92,0.92,0.76,0.76,200
2013-02-08,0.82,0.82,0.7,0.69,200
2013-02-19,0.75,0.75,0.75,0.76,12000
2013-02-20,0.78,0.78,0.78,0.77,5000
2013-02-21,0.79,0.83,0.79,0.84,4000
2013-02-22,0.81,0.81,0.81,0.81,2000
2013-02-25,0.86,0.87,0.86,0.85,6000
2013-02-26,0.88,0.88,0.79,0.79,7100
2013-02-27,0.85,0.85,0.77,0.77,7800
2013-02-28,0.83,0.83,0.83,0.84,3300
2013-03-01,0.92,0.92,0.81,0.81,3400
2013-03-04,0.89,0.89,0.89,0.89,5000
2013-03-05,0.89,0.89,0.89,0.89,700
2013-03-06,0.87,0.89,0.87,0.89,4900
2013-03-07,0.89,0.89,0.89,0.89,2000
2013-03-11,0.89,0.89,0.83,0.82,200
2013-03-12,0.88,0.9,0.88,0.9,1500
2013-03-13,0.92,0.92,0.85,0.85,1100
2013-03-15,0.93,0.93,0.93,0.93,2600
2013-03-18,1.01,1.01,1.01,1.02,200
2013-03-19,1.1,1.1,1.1,1.1,500
2013-03-20,1.15,1.18,1.15,1.18,600
2013-03-29,1.28,1.28,1.28,1.27,100
2013-04-02,1.37,1.37,1.37,1.37,3100
2013-06-04,1.24,1.24,1.24,1.24,10000
2013-06-05,1.13,1.13,1.13,1.13,3000
2013-06-06,1.24,1.24,1.03,1.13,52500
2013-06-07,1.1,1.11,1.1,1.11,25600
2013-06-10,1.11,1.11,1.05,1.06,39200
2013-06-11,1.04,1.06,1.04,1.06,17100
2013-06-12,1.06,1.06,1.06,1.06,2600
2013-06-13,1.06,1.06,1.06,1.06,5900
2013-06-14,1.11,1.11,1.08,1.1,24600
2013-06-17,1.04,1.04,1.01,1.04,10000
2013-06-18,1.04,1.04,1.04,1.04,500
2013-06-19,1.04,1.06,1.04,1.04,8400
2013-06-20,0.97,0.97,0.97,0.97,100
2013-06-21,0.97,1.03,0.97,0.97,44000
2013-06-24,1.04,1.04,0.93,1.0,300
2013-06-25,0.94,0.96,0.94,0.97,3900
2013-06-26,0.95,0.95,0.95,0.95,1000
2013-06-27,0.97,0.97,0.97,0.97,5000
2013-06-28,0.93,0.93,0.93,0.93,600
2013-07-01,0.97,0.97,0.93,0.93,17200
2013-07-02,0.93,0.99,0.93,0.98,3100
2013-07-03,0.98,0.98,0.98,0.98,100
2013-07-05,0.98,0.98,0.92,0.93,700
2013-07-08,0.99,0.99,0.99,0.98,100
2013-07-09,0.98,0.98,0.98,0.98,800
2013-07-10,0.92,0.92,0.92,0.93,100
2013-07-11,0.99,0.99,0.99,0.98,900
2013-07-12,1.0,1.0,1.0,1.0,100
2013-07-16,0.93,0.93,0.93,0.93,100
2013-07-17,0.93,0.93,0.91,0.91,1100
2013-07-18,0.95,0.98,0.95,0.98,1100
2013-07-19,0.96,0.96,0.96,0.97,100
2013-07-23,0.93,0.93,0.93,0.93,100
2013-07-24,0.93,0.93,0.93,0.93,200
2013-07-25,0.91,0.91,0.91,0.91,100
2013-07-26,0.91,0.91,0.91,0.91,1000
2013-07-29,0.93,0.93,0.93,0.93,4900
2013-07-30,0.93,0.93,0.91,0.93,8000
2013-08-01,0.91,0.91,0.91,0.91,100
2013-08-06,0.93,0.93,0.91,0.93,3100
2013-08-07,0.91,0.93,0.89,0.91,1200
2013-08-08,0.91,0.91,0.91,0.91,1000
2013-08-09,0.91,0.91,0.91,0.91,3000
2013-08-12,0.84,0.91,0.84,0.91,200
2013-08-13,0.85,0.91,0.85,0.91,400
2013-08-14,0.93,0.98,0.93,0.98,1900
2013-08-15,0.91,0.91,0.91,0.91,100
2013-08-16,0.93,0.95,0.93,0.95,4000
2013-08-22,0.91,0.91,0.91,0.91,100
2013-08-28,0.91,0.91,0.91,0.91,10900
2013-09-04,0.91,0.91,0.91,0.91,300
2013-09-05,0.87,0.87,0.87,0.87,100
2013-09-12,0.91,0.91,0.91,0.91,2000
2013-09-13,0.91,0.91,0.91,0.91,2000
2013-09-16,0.89,0.89,0.89,0.89,100
2013-09-18,0.87,0.91,0.87,0.91,1700
2013-09-20,0.91,0.91,0.91,0.91,500
2013-09-23,0.91,0.93,0.91,0.93,1100
2013-09-24,0.95,0.97,0.95,0.97,3300
2013-09-30,0.91,0.97,0.91,0.91,4200
2013-10-04,0.93,0.97,0.93,0.97,4600
2013-10-16,0.97,0.97,0.95,0.95,3000
2013-10-17,1.02,1.02,0.97,0.97,5100
2013-10-23,0.97,0.97,0.97,0.97,2300
2013-10-28,0.99,0.99,0.99,0.98,600
2013-10-31,0.98,0.98,0.98,0.98,6500
2013-11-04,1.0,1.0,1.0,1.0,8500
2013-11-05,1.0,1.02,1.0,1.02,4500
2013-11-06,1.0,1.0,1.0,1.0,2000
2013-11-07,1.02,1.02,1.02,1.02,1100
2013-11-08,1.06,1.06,1.06,1.06,1500
2013-11-11,1.06,1.06,1.06,1.06,2200
2013-11-12,1.04,1.04,1.02,1.02,3000
2013-11-14,1.04,1.04,1.02,1.02,5100
2013-11-15,1.04,1.08,1.04,1.08,8700
2013-11-18,1.1,1.1,1.1,1.1,4000
2013-11-19,1.12,1.12,1.12,1.11,100
2013-11-20,1.07,1.07,1.07,1.08,2900
2013-11-21,1.06,1.06,1.04,1.04,5900
2013-11-22,1.04,1.04,1.04,1.04,7300
2013-11-27,1.08,1.08,1.08,1.08,3800
2013-11-28,1.06,1.08,1.06,1.08,8500
2013-11-29,1.06,1.06,1.06,1.06,2000
2013-12-03,1.06,1.06,1.06,1.06,15400
2013-12-04,1.06,1.06,1.06,1.06,5000
2013-12-05,1.06,1.06,1.06,1.06,10000
2013-12-06,1.08,1.1,1.08,1.08,16000
2013-12-09,1.12,1.12,1.12,1.11,7100
2013-12-10,1.07,1.07,1.07,1.08,3100
2013-12-11,1.08,1.08,1.06,1.06,7000
2013-12-13,1.08,1.1,1.08,1.1,8000
2013-12-16,1.08,1.08,1.08,1.08,5000
2013-12-17,1.1,1.1,1.1,1.1,500
2013-12-18,1.1,1.1,1.1,1.1,1000
2013-12-19,1.1,1.12,1.1,1.11,3900
2013-12-20,1.13,1.13,1.13,1.13,100
2013-12-23,1.07,1.07,1.07,1.08,2000
2013-12-27,1.06,1.06,1.06,1.06,1000
2013-12-30,1.06,1.06,1.06,1.06,1000
2014-01-09,1.1,1.1,1.1,1.1,500
2014-01-10,1.1,1.1,1.1,1.1,500
2014-01-13,1.08,1.1,1.08,1.1,3000
2014-01-14,1.12,1.12,1.12,1.11,100
2014-01-15,1.11,1.11,1.11,1.11,500
2014-01-16,1.11,1.11,1.09,1.1,1500
2014-01-22,1.1,1.19,1.1,1.19,63500
2014-01-24,1.19,1.19,1.19,1.19,5600
2014-01-27,1.13,1.13,1.13,1.13,100
2014-02-07,1.11,1.17,1.11,1.13,1300
2014-02-10,1.17,1.19,1.13,1.13,7700
2014-02-11,1.17,1.17,1.17,1.17,4500
2014-02-12,1.17,1.21,1.17,1.19,3100
2014-02-13,1.19,1.21,1.19,1.21,36000
2014-02-14,1.25,1.25,1.25,1.24,100
2014-02-17,1.24,1.24,1.24,1.24,11700
2014-02-18,1.26,1.28,1.24,1.28,25300
2014-02-19,1.28,1.28,1.28,1.28,2000
2014-02-20,1.26,1.26,1.26,1.26,3500
2014-02-21,1.26,1.26,1.26,1.26,2000
2014-02-25,1.26,1.3,1.26,1.28,9000
2014-02-26,1.3,1.3,1.28,1.3,37700
2014-02-27,1.3,1.32,1.3,1.32,20600
2014-02-28,1.32,1.32,1.32,1.32,500
2014-03-03,1.32,1.32,1.32,1.32,5000
2014-03-04,1.21,1.25,1.21,1.24,800
2014-03-05,1.35,1.35,1.3,1.32,5400
2014-03-06,1.25,1.32,1.25,1.32,2400
2014-03-07,1.32,1.38,1.32,1.37,15700
2014-03-10,1.3,1.48,1.3,1.47,21800
2014-03-11,1.47,1.53,1.47,1.5,1500
2014-03-12,1.56,1.56,1.5,1.5,12700
2014-03-13,1.46,1.46,1.39,1.41,1100
2014-03-14,1.41,1.41,1.41,1.41,5000
2014-03-17,1.41,1.48,1.41,1.47,10900
2014-03-18,1.47,1.51,1.47,1.5,10400
2014-03-19,1.52,1.54,1.52,1.54,6900
2014-03-20,1.54,1.54,1.54,1.54,4000
2014-03-21,1.54,1.61,1.54,1.62,11100
2014-03-24,1.62,1.77,1.55,1.75,16400
2014-03-25,1.68,1.82,1.68,1.67,19100
2014-03-26,1.6,1.8,1.6,1.8,8100
2014-03-27,1.76,1.78,1.76,1.78,7000
2014-03-28,1.78,1.78,1.76,1.78,9000
2014-03-31,1.76,1.95,1.76,1.95,12000
2014-04-02,1.82,1.82,1.82,1.82,1100
2014-04-03,1.97,1.97,1.76,1.76,1300
2014-04-04,1.93,1.93,1.93,1.93,200
2014-04-07,1.74,1.74,1.74,1.75,8000
2014-04-08,1.71,1.75,1.71,1.75,3100
2014-04-10,1.69,1.69,1.69,1.69,5900
2014-04-11,1.67,1.69,1.67,1.69,2300
2014-04-15,1.67,1.69,1.65,1.69,10100
2014-04-16,1.63,1.63,1.63,1.63,1500
2014-04-17,1.78,1.78,1.78,1.78,210
2014-04-21,1.95,1.95,1.95,1.95,200
2014-04-25,2.08,2.08,2.08,2.08,200
2014-05-08,2.15,2.15,2.15,2.15,100
2014-05-20,1.95,1.95,1.95,1.95,1400
2014-05-26,2.1,2.1,2.1,2.1,200
2014-05-28,1.9,1.9,1.9,1.89,7490
2014-05-29,1.7,1.7,1.7,1.71,11100
2014-05-30,1.8,1.8,1.8,1.8,200
2014-06-02,1.84,1.84,1.84,1.84,300
2014-06-03,1.67,1.8,1.67,1.8,7600
2014-06-04,1.63,1.74,1.63,1.75,1100
2014-06-05,1.86,1.86,1.58,1.71,800
2014-06-06,1.58,1.82,1.58,1.82,1100
2014-06-11,1.65,1.65,1.65,1.65,300
2014-06-12,1.58,1.59,1.5,1.56,3800
2014-06-13,1.69,1.69,1.56,1.56,200
2014-06-16,1.63,1.63,1.63,1.63,100
2014-06-18,1.7,1.7,1.67,1.67,300
2014-06-19,1.71,1.71,1.56,1.65,400
2014-06-24,1.5,1.56,1.5,1.56,200
2014-06-25,1.6,1.6,1.58,1.58,200
2014-07-03,1.58,1.58,1.58,1.58,100
2014-07-04,1.71,1.71,1.71,1.71,300
2014-07-08,1.54,1.71,1.54,1.71,300
2014-07-09,1.56,1.56,1.56,1.56,300
2014-07-11,1.65,1.65,1.65,1.65,100
2014-07-14,1.8,1.8,1.5,1.62,1200
2014-07-15,1.51,1.51,1.51,1.5,2000
2014-07-16,1.65,1.65,1.65,1.65,100
2014-07-17,1.5,1.5,1.5,1.5,500
2014-07-18,1.65,1.65,1.65,1.65,200
2014-07-21,1.5,1.61,1.5,1.62,700
2014-07-22,1.62,1.62,1.62,1.62,1000
2014-07-23,1.64,1.68,1.64,1.67,3900
2014-07-24,1.84,1.84,1.58,1.76,1900
2014-07-30,1.67,1.67,1.67,1.67,11700
2014-07-31,1.74,1.84,1.71,1.84,4100
2014-08-01,1.97,1.97,1.77,1.8,300
2014-08-04,1.82,1.82,1.78,1.78,2000
2014-08-05,1.93,1.93,1.72,1.76,4500
2014-08-06,1.91,1.91,1.72,1.73,16000
2014-08-07,1.8,1.8,1.71,1.73,600
2014-08-08,1.89,1.89,1.71,1.81,700
2014-08-11,1.95,1.95,1.95,1.95,200
2014-08-12,1.77,1.77,1.77,1.77,100
2014-08-13,1.87,1.87,1.69,1.83,800
2014-08-14,1.71,1.71,1.71,1.71,500
2014-08-15,1.75,1.75,1.75,1.75,100
2014-08-18,1.91,1.91,1.91,1.91,100
2014-08-21,1.73,1.75,1.73,1.75,5200
2014-08-22,1.73,1.73,1.71,1.71,9800
2014-08-25,1.71,1.71,1.71,1.71,1200
2014-08-26,1.73,1.73,1.69,1.69,10100
2014-08-27,1.85,1.85,1.67,1.79,4500
2014-08-28,1.71,1.89,1.71,1.75,2200
2014-08-29,1.87,1.87,1.87,1.87,200
2014-09-05,1.73,1.83,1.73,1.83,600
2014-09-08,1.99,1.99,1.77,1.77,1100
2014-09-09,1.89,1.89,1.75,1.77,8700
2014-09-10,1.75,1.83,1.75,1.83,10700
2014-09-12,1.99,1.99,1.99,1.99,100
2014-09-29,1.81,1.81,1.81,1.81,100
2014-10-01,1.71,1.81,1.69,1.81,1600
2014-10-02,1.71,1.71,1.71,1.71,1000
2014-10-03,1.71,1.75,1.69,1.75,6000
2014-10-07,1.75,1.79,1.71,1.79,10800
2014-10-08,1.77,1.77,1.77,1.77,1000
2014-10-09,1.73,1.79,1.71,1.79,10100
2014-10-10,1.73,1.73,1.73,1.73,500
2014-10-20,1.65,1.89,1.65,1.89,18300
2014-10-21,2.03,2.07,2.03,2.08,35600
2014-10-22,2.29,2.29,2.29,2.28,31000
2014-10-23,2.51,2.51,2.51,2.51,15800
2014-10-24,2.76,2.76,2.76,2.76,58250
2014-10-27,3.03,3.03,3.03,3.02,51880
2014-10-28,3.31,3.31,3.08,3.23,229860
2014-10-29,3.27,3.54,3.27,3.54,165630
2014-10-30,3.87,3.89,3.62,3.68,58340
2014-10-31,3.6,3.6,3.33,3.35,129330
2014-11-03,3.31,3.68,3.31,3.68,66000
2014-11-04,4.01,4.03,4.01,4.03,100800
2014-11-05,4.42,4.42,4.4,4.42,140700
2014-11-06,4.83,4.85,4.44,4.85,93720
2014-11-07,4.85,5.12,4.52,5.02,50330
2014-11-10,5.02,5.06,4.53,4.52,105900
2014-11-11,4.11,4.5,4.07,4.28,92660
2014-11-12,4.28,4.32,4.12,4.32,14720
2014-11-13,4.18,4.61,4.11,4.3,24047
2014-11-14,4.28,4.3,4.18,4.22,21300
2014-11-17,4.24,4.24,4.06,4.2,36630
2014-11-18,3.95,4.08,3.93,3.95,37107
2014-11-19,3.83,3.97,3.83,3.95,23783
2014-11-20,3.95,4.18,3.93,4.17,21200
2014-11-21,4.13,4.13,4.01,4.01,48300
2014-11-24,4.07,4.17,4.03,4.15,28200
2014-11-25,4.17,4.56,4.17,4.57,26770
2014-11-26,4.84,5.02,4.69,5.02,69630
2014-11-27,5.04,5.04,4.57,4.77,17815
2014-11-28,4.77,4.81,4.73,4.77,50700
2014-12-01,4.73,4.93,4.69,4.85,21200
2014-12-02,4.77,4.77,4.52,4.73,12600
2014-12-03,4.83,5.2,4.83,5.2,29875
2014-12-04,5.14,5.24,5.04,5.06,6840
2014-12-05,5.2,5.2,5.06,5.2,15300
2014-12-08,5.14,5.55,5.14,5.41,6915
2014-12-09,5.35,5.41,5.14,5.41,12240
2014-12-10,5.41,5.41,5.14,5.35,8000
2014-12-11,5.14,5.37,5.14,5.37,6900
2014-12-12,5.43,5.66,5.43,5.66,9400
2014-12-15,5.66,6.22,5.66,6.17,27640
2014-12-16,6.54,6.58,5.96,6.07,7100
2014-12-17,6.07,6.07,5.76,5.98,3500
2014-12-18,6.43,6.43,5.4,5.41,26001
2014-12-19,5.39,5.94,5.25,5.88,56200
2014-12-22,6.31,6.31,5.88,6.17,34500
2014-12-23,6.07,6.07,5.68,5.68,2400
2014-12-24,5.56,5.91,5.37,5.47,3200
2014-12-25,5.41,5.86,5.39,5.39,8450
2014-12-26,5.39,5.39,5.14,5.33,5700
2014-12-29,5.35,5.35,4.94,5.24,4900
2014-12-30,5.14,5.2,4.93,5.2,13200
2014-12-31,4.93,5.32,4.93,5.02,17500
2015-01-05,5.25,5.29,4.94,5.28,5800
2015-01-06,4.95,5.32,4.95,5.33,4700
2015-01-07,5.35,5.35,5.06,5.06,200
2015-01-08,5.06,5.14,5.04,5.14,24100
2015-01-09,5.12,5.14,5.06,5.06,7700
2015-01-12,5.25,5.55,5.08,5.1,16100
2015-01-13,5.14,5.59,5.14,5.57,23100
2015-01-14,6.12,6.12,5.24,5.57,9800
2015-01-15,5.34,5.57,5.28,5.33,25200
2015-01-16,5.25,5.33,5.14,5.16,38300
2015-01-19,5.24,5.55,5.24,5.26,22500
2015-01-20,5.3,5.77,5.3,5.78,40560
2015-01-21,6.36,6.36,6.31,6.35,91640
2015-01-22,6.97,6.97,6.37,6.79,47200
2015-01-23,6.79,6.87,6.17,6.29,27874
2015-01-26,6.37,6.74,6.37,6.6,25116
2015-01-27,6.7,6.7,6.29,6.35,19399
2015-01-28,6.17,6.43,6.02,6.03,16900
2015-01-29,6.38,6.38,6.01,6.15,34702
2015-01-30,6.17,6.38,6.05,6.15,20800
2015-02-02,6.07,6.4,6.07,6.37,9400
2015-02-03,6.45,6.45,6.21,6.27,8110
2015-02-04,6.15,6.27,6.08,6.11,15600
2015-02-05,6.05,6.17,6.03,6.17,6200
2015-02-06,6.17,6.17,6.11,6.17,3400
2015-02-09,6.17,6.17,6.09,6.11,4453
