date,open,high,low,close,volume
2006-12-20,8.78,8.78,8.78,8.78,14410
2006-12-21,8.78,8.78,8.36,8.36,5560
2006-12-22,7.94,7.94,7.94,7.94,10
2006-12-25,7.54,7.54,7.54,7.55,2860
2006-12-26,7.18,7.18,7.18,7.17,10060
2006-12-27,6.82,6.82,6.82,6.82,12900
2006-12-28,6.49,6.49,6.49,6.49,1500
2006-12-29,6.18,6.18,6.18,6.18,550
2007-01-02,5.87,5.87,5.87,5.88,10
2007-01-03,5.59,5.59,5.59,5.59,510
2007-01-04,5.33,5.33,5.33,5.33,10
2007-01-05,5.33,5.33,5.09,5.08,71290
2007-01-08,5.32,5.32,5.32,5.33,39040
2007-01-09,5.59,5.59,5.59,5.59,79720
2007-01-10,5.59,5.59,5.5,5.5,50820
2007-01-11,5.5,5.5,5.5,5.5,3740
2007-01-12,5.24,5.26,5.24,5.24,5300
2007-01-15,0.0,5.17,5.02,5.02,3310
2007-01-16,4.78,4.78,4.78,4.78,18700
2007-01-17,4.87,4.87,4.56,4.86,5400
2007-01-18,4.86,4.86,4.82,4.84,6600
2007-01-19,4.62,4.84,4.62,4.84,14600
2007-01-22,0.0,4.66,4.6,4.6,4100
2007-01-23,4.38,4.38,4.38,4.38,10210
2007-01-24,4.4,4.4,4.38,4.38,18100
2007-01-25,4.58,4.58,4.58,4.58,4900
2007-01-26,0.0,4.8,4.73,4.8,20450
2007-01-29,4.62,4.8,4.62,4.62,12710
2007-01-30,4.62,4.62,4.62,4.62,3310
2007-01-31,4.78,4.78,4.67,4.67,1540
2007-02-01,0.0,4.74,4.67,4.67,1340
2007-02-02,4.67,4.67,4.67,4.67,940
2007-02-05,4.9,4.9,4.49,4.89,10030
2007-02-06,5.12,5.12,5.0,5.12,29430
2007-02-07,5.35,5.35,5.23,5.35,22850
2007-02-08,5.6,5.6,5.6,5.6,29810
2007-02-09,5.87,5.87,5.87,5.87,29840
2007-02-12,6.14,6.14,6.14,6.15,33190
2007-02-13,6.04,6.15,6.04,6.03,17260
2007-02-14,5.89,6.03,5.73,5.9,10400
2007-02-15,5.9,6.15,5.9,5.9,7020
2007-02-26,6.17,6.17,6.15,6.17,5570
2007-02-27,6.15,6.47,6.15,6.15,21880
2007-02-28,5.92,5.92,5.85,5.92,13930
2007-03-01,5.85,5.92,5.81,5.85,8320
2007-03-02,5.85,5.85,5.8,5.81,15650
2007-03-05,6.08,6.08,5.92,6.08,21660
2007-03-06,6.38,6.38,6.38,6.37,79240
2007-03-07,6.69,6.69,6.69,6.69,10610
2007-03-08,6.83,7.01,6.83,7.01,6220
2007-03-09,7.35,7.35,7.35,7.35,7620
2007-03-12,7.71,7.71,7.71,7.72,13540
2007-03-13,8.08,8.08,7.74,8.08,51260
2007-03-14,8.47,8.47,8.47,8.47,101730
2007-03-15,8.06,8.06,8.06,8.06,24050
2007-03-16,7.67,7.74,7.67,7.74,50120
2007-03-19,7.97,8.13,7.97,8.13,15590
2007-03-20,8.52,8.52,8.52,8.51,49420
2007-03-21,8.92,8.92,8.65,8.65,66230
2007-03-22,8.42,8.42,8.22,8.22,17760
2007-03-23,7.86,7.86,7.81,7.81,14090
2007-03-26,7.81,7.81,7.42,7.42,18110
2007-03-27,7.28,7.28,7.06,7.06,1060
2007-03-28,6.72,6.72,6.72,6.72,3400
2007-03-29,6.72,7.04,6.72,7.04,3730
2007-03-30,7.29,7.38,7.29,7.38,31480
2007-04-02,7.38,7.38,7.02,7.04,10210
2007-04-03,6.83,6.83,6.83,6.83,8650
2007-04-04,6.58,7.17,6.58,7.17,7590
2007-04-05,6.83,6.83,6.83,6.83,9350
2007-04-06,6.6,6.83,6.6,6.83,5600
2007-04-09,6.49,6.49,6.49,6.49,7760
2007-04-10,6.26,6.26,6.17,6.17,6650
2007-04-11,6.37,6.37,6.17,6.37,8260
2007-04-12,6.37,6.37,6.37,6.37,1260
2007-04-13,6.37,6.37,6.37,6.37,890
2007-04-16,6.37,6.37,6.05,6.06,4620
2007-04-17,5.92,5.92,5.76,5.76,9570
2007-04-18,5.76,6.03,5.76,5.97,3850
2007-04-19,0.0,6.27,6.22,6.22,9520
2007-04-20,6.27,6.27,6.27,6.26,6090
2007-04-23,6.26,6.26,6.26,6.26,4510
2007-04-24,5.96,5.96,5.96,5.97,5860
2007-04-25,5.97,6.27,5.97,6.26,11620
2007-05-02,6.26,6.26,6.26,6.26,1750
2007-05-03,6.26,6.26,6.15,6.15,2820
2007-05-04,6.26,6.26,6.17,6.24,2090
2007-05-07,6.24,6.24,6.15,6.15,3800
2007-05-08,6.15,6.38,6.15,6.37,6480
2007-05-09,6.37,6.48,6.37,6.49,6200
2007-05-10,6.17,6.49,6.17,6.17,9080
2007-05-11,6.17,6.47,6.17,6.47,9920
2007-05-14,6.79,6.79,6.79,6.78,6670
2007-05-15,7.05,7.1,7.05,7.1,21590
2007-05-16,6.76,6.76,6.76,6.76,5300
2007-05-17,6.49,6.6,6.49,6.51,7220
2007-05-18,6.83,6.83,6.83,6.83,14020
2007-05-21,7.06,7.17,7.06,7.17,3650
2007-05-22,7.51,7.51,7.51,7.51,6600
2007-05-23,7.83,7.87,7.83,7.88,1040
2007-05-24,8.27,8.27,8.27,8.26,10370
2007-05-25,8.67,8.67,8.67,8.67,54000
2007-05-28,9.1,9.1,9.1,9.11,5080
2007-05-29,9.57,9.57,9.57,9.56,3080
2007-05-30,10.04,10.04,10.04,10.04,2970
2007-05-31,10.54,10.54,10.54,10.54,2610
2007-06-01,11.06,11.06,11.06,11.06,5020
2007-06-04,11.61,11.61,11.61,11.61,3800
2007-06-05,12.18,12.18,12.18,12.18,13190
2007-06-06,12.18,12.75,12.18,12.75,30130
2007-06-07,13.32,13.32,13.32,13.32,3880
2007-06-08,13.89,13.89,13.89,13.89,5510
2007-06-11,14.57,14.57,14.57,14.57,16760
2007-06-12,15.25,15.25,15.25,15.25,17010
2007-06-13,15.93,15.93,15.93,15.94,36780
2007-06-14,15.14,15.14,15.14,15.14,195020
2007-06-15,14.46,14.46,14.46,14.46,11660
2007-06-18,14.46,14.46,13.78,13.77,39300
2007-06-19,14.45,14.45,14.45,14.46,257950
2007-06-20,15.14,15.14,15.14,15.14,57230
2007-06-21,15.82,15.82,15.82,15.82,106950
2007-06-22,15.93,15.93,15.82,15.94,240900
2007-06-25,15.14,15.14,15.14,15.14,35830
2007-06-26,14.46,15.82,14.46,15.82,115960
2007-06-27,15.82,15.82,15.25,15.25,62040
2007-06-28,14.79,14.79,14.79,14.8,26990
2007-06-29,14.8,14.8,14.8,14.8,20690
2007-07-02,14.46,14.46,14.12,14.12,17440
2007-07-03,13.44,13.44,13.44,13.43,6430
2007-07-04,13.43,14.0,13.43,14.0,42660
2007-07-05,14.68,14.68,13.89,13.89,52160
2007-07-06,13.89,14.0,13.89,14.0,10430
2007-07-09,14.57,14.57,14.0,14.0,9460
2007-07-10,14.11,14.34,14.11,14.34,9350
2007-07-11,14.34,14.34,14.0,14.0,14650
2007-07-12,14.0,14.0,13.66,13.66,6350
2007-07-13,13.66,13.66,13.66,13.66,16950
2007-07-16,13.66,13.66,13.43,13.43,10800
2007-07-17,13.2,14.0,13.2,14.0,23400
2007-07-18,13.89,0.14,13.66,13.66,28210
2007-07-19,13.66,13.66,13.43,13.43,12230
2007-07-20,13.2,13.2,13.2,13.21,14840
2007-07-23,12.98,12.98,12.64,12.64,13210
2007-07-24,12.64,12.64,12.64,12.64,16190
2007-07-25,12.64,12.75,12.64,12.64,10080
2007-07-26,12.18,12.18,12.07,12.07,10080
2007-07-27,11.5,11.5,11.5,11.5,9920
2007-07-30,10.93,10.93,10.93,10.93,510
2007-07-31,10.47,10.47,10.38,10.38,4730
2007-08-01,9.88,10.52,9.88,10.52,34130
2007-08-02,10.0,10.02,10.0,9.99,19740
2007-08-03,9.51,9.51,9.51,9.52,10490
2007-08-06,9.98,9.98,9.98,9.97,75110
2007-08-07,10.45,10.45,10.45,10.45,24100
2007-08-08,10.95,10.95,10.95,10.95,11930
2007-08-09,11.5,11.5,11.5,11.5,1100
2007-08-10,12.07,12.07,10.93,11.5,93610
2007-08-13,11.5,11.5,10.93,11.38,38170
2007-08-14,11.84,11.95,11.49,11.95,51330
2007-08-15,12.52,12.52,12.29,12.52,32290
2007-08-16,13.09,13.09,12.98,13.09,68870
2007-08-17,13.66,13.66,12.75,12.75,65180
2007-08-20,12.29,13.21,12.29,13.21,46610
2007-08-21,13.78,13.78,13.67,13.77,60480
2007-08-22,14.45,14.45,14.45,14.46,26530
2007-08-23,15.14,15.14,14.8,15.14,119530
2007-08-24,15.6,15.6,14.68,14.68,89460
2007-08-27,14.0,14.68,14.0,14.0,119980
2007-08-28,14.11,14.68,14.0,14.68,77990
2007-08-29,15.39,15.39,15.39,15.4,10530
2007-08-30,16.15,16.15,16.15,16.15,2530
2007-08-31,16.94,16.94,16.94,16.94,6410
2007-09-04,17.76,17.76,17.76,17.76,13560
2007-09-05,18.62,18.62,18.62,18.62,48080
2007-09-06,19.44,19.44,17.72,19.44,280860
2007-09-07,20.37,20.37,20.37,20.38,64110
