date,open,high,low,close,volume
2015-08-12,8.02,8.02,8.02,8.02,1197100
2015-08-13,7.49,8.31,7.49,8.02,1032160
2015-08-14,8.02,8.02,7.49,7.5,43220
2015-08-17,7.07,7.5,7.02,7.02,233640
2015-08-18,6.64,6.92,6.54,6.73,192470
2015-08-19,6.4,6.59,6.3,6.3,199870
2015-08-20,6.11,6.2,5.87,6.11,559440
2015-08-21,6.3,6.44,5.73,6.11,186130
2015-08-24,5.92,5.92,5.73,5.73,129560
2015-08-25,5.73,5.73,5.35,5.54,256450
2015-08-26,5.3,5.83,5.3,5.59,146730
2015-08-27,5.83,5.97,5.69,5.73,84660
2015-08-28,5.73,5.87,5.59,5.68,139320
2015-08-31,5.68,5.82,5.58,5.68,161890
2015-09-01,5.58,6.06,5.58,5.92,220520
2015-09-03,5.78,6.21,5.78,5.92,475110
2015-09-04,6.11,6.3,5.82,6.3,2061900
2015-09-07,6.54,6.68,6.44,6.59,416610
2015-09-08,6.49,6.83,6.4,6.83,319070
2015-09-09,6.83,6.83,6.54,6.59,441160
2015-09-10,6.49,6.78,6.45,6.45,496090
2015-09-11,6.5,6.88,6.31,6.83,2194520
2015-09-14,6.88,6.88,6.59,6.69,397890
2015-09-15,6.5,6.69,6.5,6.64,168850
2015-09-16,6.64,6.69,6.59,6.64,189730
2015-09-17,6.69,6.93,6.69,6.78,613460
2015-09-18,6.97,7.16,6.88,7.16,942230
2015-09-21,7.16,7.16,7.02,7.12,416000
2015-09-22,7.12,7.41,7.12,7.4,904780
2015-09-23,7.26,7.54,7.26,7.55,623070
2015-09-24,7.45,7.45,7.26,7.31,1198320
2015-09-25,7.12,7.26,7.07,7.21,561830
2015-09-28,7.11,7.11,6.88,6.88,1034650
2015-09-29,6.83,7.02,6.69,6.88,439480
2015-09-30,6.93,7.07,6.69,6.69,2968690
2015-10-01,6.88,7.12,6.88,6.93,968220
2015-10-02,7.07,7.07,6.98,7.02,375940
2015-10-05,7.02,7.16,6.92,7.16,482710
2015-10-06,7.26,7.35,7.11,7.26,932880
2015-10-07,7.36,7.36,7.21,7.26,708050
2015-10-08,7.31,7.45,7.31,7.36,500050
2015-10-09,7.41,7.5,7.31,7.31,546060
2015-10-12,7.36,7.36,7.12,7.21,2103380
2015-10-13,7.16,7.26,7.02,7.02,487570
2015-10-14,7.02,7.16,7.02,7.12,275170
2015-10-15,7.12,7.26,7.07,7.16,327270
2015-10-16,7.26,7.26,7.16,7.21,633950
2015-10-19,7.21,7.21,7.11,7.12,205130
2015-10-20,7.12,7.12,6.93,7.07,451490
2015-10-21,7.07,7.17,7.02,7.16,505920
2015-10-22,7.16,7.26,6.97,7.26,336560
2015-10-23,7.26,7.45,7.16,7.45,1831390
2015-10-26,7.59,7.59,7.35,7.45,782880
2015-10-27,7.45,7.45,7.35,7.45,382930
2015-10-28,7.5,7.5,7.31,7.4,857450
2015-10-29,7.4,7.88,7.35,7.88,440130
