date,open,high,low,close,volume
2010-11-15,7.3,7.3,6.82,6.82,810
2010-11-16,6.5,6.86,6.5,6.74,2240
2010-11-17,6.94,6.94,6.74,6.94,320
2010-11-18,6.62,6.94,6.62,6.82,2570
2010-11-19,6.5,6.66,6.5,6.66,1010
2010-11-22,6.98,6.98,6.34,6.34,40
2010-11-23,6.42,6.42,6.06,6.06,1650
2010-11-24,6.06,6.06,5.78,6.06,60
2010-11-25,6.06,6.06,5.78,6.06,4050
2010-11-26,5.82,5.98,5.78,5.77,4840
2010-11-29,5.97,5.97,5.49,5.49,2680
2010-11-30,5.73,5.73,5.61,5.69,5190
2010-12-01,5.81,5.81,5.69,5.69,2900
2010-12-02,5.73,5.73,5.57,5.73,2190
2010-12-03,5.77,6.01,5.49,6.02,7530
2010-12-06,6.02,6.1,5.78,6.1,3820
2010-12-07,6.18,6.22,5.82,5.81,740
2010-12-08,6.01,6.01,5.53,5.81,2580
2010-12-09,5.53,6.01,5.53,5.53,7310
2010-12-10,5.73,5.77,5.69,5.77,9840
2010-12-13,6.05,6.05,6.05,6.06,5950
2010-12-14,6.34,6.34,6.3,6.3,4010
2010-12-15,6.58,6.58,6.54,6.58,18100
2010-12-16,6.58,6.82,6.42,6.74,4110
2010-12-17,6.42,6.82,6.42,6.42,8000
2010-12-20,6.14,6.7,6.14,6.58,3080
2010-12-21,6.58,6.78,6.26,6.54,8820
2010-12-22,6.38,6.38,6.38,6.38,1060
2010-12-23,6.08,6.68,6.08,6.64,2460
2010-12-24,6.34,6.64,6.34,6.33,1030
2010-12-27,6.59,6.59,6.42,6.46,3150
2010-12-28,6.5,6.5,6.16,6.2,5570
2010-12-29,6.46,6.46,5.9,5.9,3130
2010-12-30,6.07,6.16,5.64,6.16,2090
2011-01-04,6.16,6.16,5.86,5.86,650
2011-01-05,6.08,6.08,5.86,6.07,1260
2011-01-06,6.2,6.29,5.77,6.25,5070
2011-01-07,6.29,6.29,5.99,5.99,2210
2011-01-10,6.16,6.16,5.73,6.12,2230
2011-01-11,6.25,6.25,5.82,6.12,220
2011-01-12,5.82,6.08,5.82,6.07,1710
2011-01-13,6.11,6.11,6.07,6.07,370
2011-01-14,6.07,6.24,6.07,6.25,1810
2011-01-17,6.29,6.29,5.95,5.94,1750
2011-01-18,6.07,6.07,6.07,6.07,50
2011-01-19,6.07,6.07,5.9,5.99,950
2011-01-20,5.77,5.9,5.73,5.9,4670
2011-01-21,5.68,6.07,5.64,6.07,7740
2011-01-24,6.16,6.16,5.77,5.99,1030
2011-01-25,5.77,6.08,5.77,6.07,1420
2011-01-26,6.07,6.07,6.07,6.07,310
2011-01-27,6.07,6.07,6.07,6.07,10
2011-01-28,6.07,6.07,6.07,6.07,230
2011-02-08,6.37,6.37,5.77,6.12,1100
2011-02-09,5.86,6.25,5.86,6.25,210
2011-02-10,5.95,5.95,5.95,5.94,1000
2011-02-11,5.68,6.11,5.68,5.94,820
2011-02-14,6.03,6.03,5.77,5.94,1170
2011-02-15,5.68,5.68,5.68,5.68,590
2011-02-16,5.68,5.9,5.68,5.81,2080
2011-02-18,5.81,5.81,5.55,5.64,4580
2011-02-21,5.64,5.64,5.38,5.64,2550
2011-02-22,5.86,5.9,5.64,5.64,250
2011-02-23,5.38,5.64,5.38,5.64,1010
2011-02-24,5.42,5.6,5.38,5.38,4630
2011-02-25,5.21,5.47,5.21,5.47,3720
2011-02-28,5.6,5.73,5.6,5.6,400
2011-03-01,5.64,5.69,5.34,5.64,1240
2011-03-02,5.73,5.73,5.38,5.38,530
2011-03-03,5.47,5.47,5.12,5.12,130
2011-03-04,4.9,5.34,4.9,5.34,4860
2011-03-07,5.34,5.6,5.34,5.55,140
2011-03-08,5.81,5.81,5.46,5.77,150
2011-03-09,5.94,5.94,5.94,5.94,100
2011-03-10,5.94,6.16,5.9,5.9,600
2011-03-11,5.9,6.07,5.86,6.07,1050
2011-03-14,5.77,5.9,5.77,5.9,300
2011-03-15,5.99,5.99,5.64,5.64,20
2011-03-16,5.9,5.9,5.38,5.81,780
2011-03-17,5.98,5.98,5.98,5.99,10
2011-03-18,6.03,6.03,5.86,5.86,20
2011-03-21,5.86,5.86,5.6,5.73,1390
2011-03-22,5.51,5.51,5.47,5.47,1740
2011-03-23,5.21,5.69,5.21,5.2,5170
2011-03-24,5.46,5.46,4.94,5.07,420
2011-03-25,5.07,5.29,5.07,5.16,620
2011-03-28,5.29,5.38,4.94,5.38,4050
2011-03-29,5.6,5.6,5.12,5.55,1200
2011-03-30,5.81,5.81,5.59,5.6,40
2011-03-31,5.34,5.6,5.34,5.55,230
2011-04-01,5.29,5.51,5.29,5.51,50
2011-04-04,5.25,5.64,5.25,5.55,740
2011-04-05,5.59,5.59,5.29,5.29,1290
2011-04-06,5.51,5.55,5.16,5.51,550
2011-04-07,5.73,5.73,5.38,5.38,550
2011-04-08,5.47,5.47,5.12,5.12,30
2011-04-13,5.29,5.34,5.12,5.34,1310
2011-04-14,5.43,5.43,5.21,5.2,3450
2011-04-15,5.2,5.46,5.2,5.42,5750
2011-04-18,5.64,5.64,5.42,5.47,486
2011-04-19,5.51,5.56,5.38,5.51,5360
2011-04-20,5.34,5.64,5.34,5.64,3880
2011-04-21,5.68,5.86,5.55,5.64,11100
2011-04-22,5.42,5.81,5.42,5.77,4000
2011-04-25,5.9,5.9,5.73,5.86,5210
2011-04-26,5.86,5.86,5.64,5.64,6580
2011-04-27,5.64,5.9,5.64,5.86,5100
2011-04-28,5.86,5.86,5.6,5.6,1050
2011-04-29,5.77,5.86,5.73,5.81,4600
2011-05-04,5.77,5.81,5.77,5.81,1600
2011-05-05,5.81,5.98,5.81,5.99,450
2011-05-06,5.99,5.99,5.73,5.73,40
2011-05-09,5.73,5.86,5.47,5.86,1370
2011-05-10,5.6,5.82,5.6,5.81,20
2011-05-11,5.72,5.72,5.72,5.73,10
2011-05-12,5.82,5.82,5.47,5.47,20
2011-05-13,5.21,5.21,5.21,5.2,240
2011-05-16,4.94,5.37,4.94,5.38,2600
2011-05-17,5.12,5.64,5.12,5.12,1830
2011-05-18,4.9,5.34,4.9,4.9,1800
2011-05-19,4.9,5.08,4.68,4.68,1060
2011-05-20,4.5,4.86,4.46,4.85,4570
2011-05-23,5.07,5.07,4.85,4.85,50
2011-05-24,4.63,5.07,4.63,4.63,210
2011-05-25,4.85,4.85,4.41,4.41,1090
2011-05-26,4.63,4.63,4.19,4.19,3520
2011-05-27,4.01,4.37,4.01,4.37,10150
2011-05-30,4.19,4.41,4.19,4.41,1720
2011-05-31,4.63,4.63,4.19,4.41,1750
2011-06-01,4.63,4.63,4.63,4.63,10
2011-06-02,4.85,4.85,4.41,4.85,2540
2011-06-03,5.07,5.07,4.63,4.85,2130
2011-06-06,5.07,5.07,4.63,5.03,580
2011-06-07,5.16,5.16,4.81,5.16,730
2011-06-08,5.29,5.29,5.29,5.29,10
2011-06-09,5.47,5.47,5.03,5.03,1420
2011-06-10,4.81,5.16,4.81,5.16,2700
2011-06-13,5.2,5.2,5.2,5.21,10
2011-06-14,5.3,5.3,5.3,5.29,10
2011-06-15,5.47,5.47,5.03,5.29,1210
2011-06-16,5.47,5.47,5.03,5.03,710
2011-06-17,4.81,5.03,4.81,5.03,1140
2011-06-20,5.03,5.25,4.81,5.03,840
2011-06-22,5.12,5.12,4.81,4.81,1010
2011-06-23,4.59,4.81,4.59,4.59,360
2011-06-24,4.59,4.81,4.37,4.59,1850
2011-06-27,4.37,4.37,4.37,4.37,230
2011-06-28,4.37,4.37,4.19,4.19,440
2011-06-29,4.01,4.32,4.01,4.01,7180
2011-06-30,4.05,4.05,3.83,4.06,5470
2011-07-01,4.06,4.24,4.06,4.24,1240
2011-07-04,4.06,4.06,4.06,4.06,10
2011-07-05,4.06,4.19,3.88,3.97,3830
2011-07-06,4.15,4.15,3.79,4.01,4040
2011-07-07,4.1,4.1,3.83,4.1,1020
2011-07-08,3.92,4.1,3.92,4.01,7370
2011-07-11,4.01,4.05,3.83,3.84,7110
2011-07-12,3.97,3.97,3.84,3.97,5410
2011-07-13,4.06,4.15,3.93,4.15,4020
2011-07-14,4.28,4.28,4.11,4.28,1370
2011-07-15,4.28,4.46,4.1,4.46,8770
2011-07-18,4.64,4.64,4.24,4.24,211
2011-07-19,4.06,4.37,4.06,4.37,7370
2011-07-20,4.5,4.5,4.24,4.5,2510
2011-07-21,4.46,4.5,4.28,4.5,4010
2011-07-22,4.5,4.63,4.28,4.5,5770
2011-07-25,4.5,4.54,4.28,4.28,4110
2011-07-26,4.41,4.41,4.41,4.41,310
2011-07-27,4.23,4.45,4.19,4.19,2270
2011-07-28,4.32,4.32,4.06,4.06,320
2011-07-29,4.19,4.24,4.06,4.1,1240
2011-08-01,3.92,4.14,3.92,4.15,2010
2011-08-02,4.28,4.28,3.97,4.28,3370
2011-08-03,4.32,4.37,4.1,4.32,2540
2011-08-04,4.45,4.45,4.14,4.32,2270
2011-08-05,4.32,4.45,4.32,4.41,360
2011-08-09,4.19,4.41,4.19,4.19,700
2011-08-10,4.01,4.06,4.01,4.06,5160
2011-08-11,4.06,4.19,3.93,4.19,1640
2011-08-12,4.01,4.01,4.01,4.01,50
2011-08-15,4.19,4.19,3.92,4.19,240
2011-08-16,4.32,4.32,4.01,4.01,630
2011-08-17,4.19,4.19,3.83,4.15,1710
2011-08-18,4.33,4.33,3.97,4.24,1940
2011-08-19,4.06,4.42,4.06,4.41,710
2011-08-22,4.41,4.41,4.32,4.41,570
2011-08-24,4.41,4.41,4.19,4.28,2010
2011-08-25,4.37,4.37,4.1,4.1,940
2011-08-26,4.14,4.14,3.92,4.15,80
2011-08-29,4.24,4.24,4.02,4.01,440
2011-08-30,4.19,4.19,4.01,4.19,640
2011-08-31,4.32,4.32,4.32,4.32,10
2011-09-01,4.32,4.41,4.14,4.41,3070
2011-09-05,4.59,4.59,4.23,4.41,90
2011-09-06,4.59,4.59,4.19,4.54,420
2011-09-07,4.58,4.58,4.32,4.32,610
2011-09-08,4.45,4.45,4.14,4.15,2890
2011-09-09,4.15,4.33,4.15,4.32,560
2011-09-12,4.5,4.5,4.19,4.19,20
2011-09-13,4.32,4.37,4.01,4.37,3190
2011-09-14,4.5,4.55,4.46,4.5,850
2011-09-15,4.68,4.68,4.41,4.68,1820
2011-09-16,4.68,4.86,4.46,4.81,3060
2011-09-19,4.9,4.9,4.9,4.9,250
2011-09-20,4.68,5.08,4.68,4.68,820
2011-09-21,4.46,4.46,4.46,4.46,560
2011-09-22,4.24,4.46,4.24,4.46,2320
2011-09-23,4.24,4.24,4.24,4.24,1510
2011-09-26,4.06,4.06,4.06,4.06,840
2011-09-27,4.06,4.24,3.88,4.24,2360
2011-09-28,4.24,4.24,4.06,4.24,980
2011-09-29,4.24,4.24,4.06,4.24,940
2011-09-30,4.28,4.28,4.06,4.28,2970
2011-10-03,4.24,4.24,4.1,4.1,1610
2011-10-04,4.28,4.28,3.97,4.24,2060
2011-10-05,4.37,4.37,4.06,4.32,320
2011-10-06,4.41,4.41,4.32,4.41,2150
2011-10-07,4.45,4.45,4.19,4.37,4140
2011-10-10,4.37,4.37,4.33,4.37,1920
2011-10-11,4.37,4.37,4.37,4.37,370
2011-10-12,4.41,4.41,4.19,4.32,1410
2011-10-13,4.32,4.41,4.32,4.41,450
2011-10-14,4.5,4.5,4.5,4.5,30
2011-10-17,4.41,4.5,4.28,4.28,710
2011-10-18,4.46,4.46,4.1,4.1,390
2011-10-19,4.28,4.28,3.92,3.93,3720
2011-10-20,3.75,4.11,3.75,3.75,310
2011-10-21,3.75,3.75,3.75,3.75,370
2011-10-24,3.93,3.93,3.62,3.93,50
2011-10-25,3.97,4.06,3.97,4.06,410
2011-10-26,4.15,4.19,4.15,4.19,110
2011-10-27,4.23,4.23,4.19,4.24,360
2011-10-28,4.28,4.28,4.06,4.24,120
2011-10-31,4.28,4.33,4.06,4.32,400
2011-11-01,4.41,4.41,4.14,4.37,630
2011-11-02,4.37,4.37,4.37,4.37,10
2011-11-03,4.37,4.37,4.28,4.37,50
2011-11-08,4.37,4.37,4.19,4.37,640
2011-11-09,4.55,4.55,4.19,4.54,470
2011-11-10,4.41,4.63,4.41,4.63,50
2011-11-11,4.63,4.72,4.63,4.72,100
2011-11-14,4.5,4.5,4.5,4.5,370
2011-11-15,4.28,4.41,4.28,4.41,410
2011-11-16,4.19,4.37,4.19,4.37,1010
2011-11-17,4.19,4.33,4.19,4.32,1020
2011-11-18,4.45,4.45,4.14,4.15,910
2011-11-21,4.15,4.15,4.15,4.15,10
2011-11-22,4.33,4.33,3.97,3.97,360
2011-11-23,4.1,4.1,4.1,4.1,10
2011-11-24,4.28,4.28,4.28,4.28,30
2011-11-25,4.1,4.41,4.1,4.41,510
2011-11-28,4.54,4.54,4.54,4.54,10
2011-11-29,4.76,4.76,4.32,4.72,220
2011-11-30,4.72,4.72,4.63,4.63,30
