date,open,high,low,close,volume
2008-01-09,11.33,11.36,10.77,11.05,193140
2008-01-10,10.57,10.57,10.51,10.51,115220
2008-01-11,10.76,11.02,10.51,11.02,63380
2008-01-14,11.05,11.44,10.91,10.91,62760
2008-01-15,10.37,11.0,10.37,10.37,88500
2008-01-16,10.77,10.88,10.62,10.88,42870
2008-01-17,10.88,11.05,10.48,10.48,78060
2008-01-18,10.48,10.73,9.97,10.74,48410
2008-01-21,10.77,10.77,10.23,10.74,25000
2008-01-22,10.23,10.26,10.23,10.26,9300
2008-01-23,9.83,9.83,9.75,9.75,60200
2008-01-24,10.23,10.23,9.27,9.26,1570
2008-01-25,8.81,8.89,8.81,8.9,4530
2008-01-28,8.47,8.9,8.47,8.9,9800
2008-01-29,9.04,9.04,8.5,8.92,19400
2008-01-30,8.92,9.34,8.92,9.35,56560
2008-01-31,9.07,9.8,9.07,9.8,39060
2008-02-01,10.2,10.22,9.91,10.23,46040
2008-02-12,10.74,10.74,9.92,10.74,25630
2008-02-13,10.63,10.63,10.23,10.23,26630
2008-02-14,10.23,10.26,10.2,10.2,19710
2008-02-15,10.2,10.2,9.69,9.8,14910
2008-02-18,9.35,9.49,9.35,9.35,26140
2008-02-19,9.07,9.35,9.07,9.26,30900
2008-02-20,9.29,9.32,8.81,8.81,16640
2008-02-21,8.39,8.47,8.39,8.39,37070
2008-02-22,8.13,8.5,8.11,8.5,46300
2008-02-25,8.93,8.93,8.93,8.92,79900
2008-02-26,9.29,9.29,8.5,8.5,45660
2008-02-27,8.5,8.78,8.5,8.78,41480
2008-02-28,8.92,8.92,8.78,8.9,18010
2008-02-29,8.9,8.9,8.64,8.64,9650
2008-03-03,8.5,8.53,8.27,8.27,36150
2008-03-04,7.87,7.99,7.87,7.88,36200
2008-03-05,7.51,7.94,7.51,7.51,100730
2008-03-06,7.88,7.88,7.88,7.88,65060
2008-03-07,8.25,8.25,8.25,8.24,35500
2008-03-10,8.64,8.64,7.93,7.93,67450
2008-03-11,7.93,8.13,7.93,8.02,97910
2008-03-12,8.16,8.16,8.02,8.02,24100
2008-03-13,8.36,8.36,8.13,8.13,16110
2008-03-14,7.82,8.13,7.82,8.13,9220
2008-03-17,7.79,7.99,7.73,7.73,55780
2008-03-18,7.36,7.36,7.36,7.37,54890
2008-03-19,7.37,7.65,7.37,7.37,51130
2008-03-20,7.0,7.11,7.0,7.0,23110
2008-03-21,6.69,6.69,6.66,6.66,48950
2008-03-24,6.35,6.38,6.35,6.35,69700
2008-03-25,6.12,6.12,6.07,6.09,32290
2008-03-26,6.09,6.37,6.09,6.37,44000
2008-03-27,6.43,6.43,6.43,6.43,5110
2008-03-28,6.49,6.49,6.49,6.49,15100
2008-03-31,6.49,6.55,6.49,6.54,23320
2008-04-01,6.6,6.6,6.6,6.6,25010
2008-04-02,6.66,6.66,6.66,6.66,32000
2008-04-03,6.72,6.72,6.72,6.71,21150
2008-04-04,6.77,6.77,6.77,6.77,20040
2008-04-07,6.88,6.88,6.88,6.88,32690
2008-04-08,6.99,6.99,6.8,7.0,100680
2008-04-09,6.91,7.09,6.89,7.08,45010
2008-04-10,7.0,7.0,6.94,6.94,5210
2008-04-11,6.83,6.83,6.83,6.83,4460
2008-04-16,6.72,6.72,6.72,6.71,3040
2008-04-17,6.6,6.82,6.6,6.83,56350
2008-04-18,6.89,6.89,6.72,6.71,17040
2008-04-21,6.79,6.79,6.6,6.6,15930
2008-04-22,6.49,6.49,6.49,6.49,4560
2008-04-23,6.38,6.38,6.38,6.37,1030
2008-04-24,6.26,6.48,6.26,6.49,20460
2008-04-25,6.6,6.6,6.52,6.6,6830
2008-04-28,6.66,6.71,6.57,6.71,11210
2008-04-29,6.79,6.79,6.63,6.8,7210
2008-05-05,6.8,6.8,6.69,6.69,7540
2008-05-06,6.58,6.58,6.58,6.57,810
2008-05-07,6.46,6.46,6.46,6.46,620
2008-05-08,6.46,6.46,6.35,6.35,1220
2008-05-09,6.24,6.24,6.24,6.23,3590
2008-05-12,6.12,6.12,6.12,6.12,50
2008-05-13,6.01,6.01,6.01,6.01,280
2008-05-14,5.9,5.9,5.9,5.89,30
2008-05-15,5.78,5.78,5.78,5.78,670
2008-05-16,5.67,5.67,5.67,5.67,23230
2008-05-19,5.56,5.56,5.56,5.55,740
2008-05-20,5.47,5.47,5.47,5.47,40
2008-05-21,5.38,5.38,5.38,5.38,10
2008-05-22,5.3,5.3,5.3,5.3,5330
2008-05-23,5.21,5.21,5.21,5.21,16830
2008-05-26,5.13,5.13,5.13,5.13,44600
2008-05-30,5.66,5.66,5.66,5.67,41810
2008-06-02,5.56,5.56,5.56,5.56,50
2008-06-03,5.45,5.45,5.45,5.45,260
2008-06-04,5.34,5.34,5.34,5.35,15100
2008-06-05,5.28,5.28,5.28,5.27,14300
2008-06-06,5.2,5.2,5.2,5.2,100
2008-06-09,5.13,5.13,5.13,5.13,1000
2008-06-10,5.06,5.09,5.06,5.1,32520
2008-06-11,5.17,5.17,5.03,5.17,36700
2008-06-12,5.24,5.24,5.24,5.24,71120
2008-06-13,5.31,5.31,5.31,5.31,10
2008-06-16,5.38,5.38,5.38,5.38,10
2008-06-17,5.49,5.49,5.49,5.49,10
2008-06-18,5.6,5.6,5.38,5.38,41040
2008-06-19,5.24,5.24,5.24,5.24,1010
2008-06-20,5.1,5.1,5.1,5.1,15710
2008-06-23,4.96,5.24,4.96,5.24,44190
2008-06-24,5.1,5.38,5.1,5.38,45940
2008-06-25,5.24,5.49,5.24,5.49,52380
2008-06-26,5.35,5.38,5.35,5.35,65120
2008-06-27,5.35,5.35,5.21,5.2,16080
2008-06-30,5.06,5.06,5.06,5.06,10510
2008-07-01,4.92,5.2,4.92,4.99,124950
2008-07-02,5.13,5.13,4.99,5.13,135280
2008-07-03,5.27,5.27,5.24,5.27,123500
2008-07-04,5.27,5.41,5.27,5.42,103670
2008-07-07,5.56,5.56,5.28,5.27,139950
2008-07-08,5.13,5.13,5.13,5.13,39900
2008-07-09,5.27,5.27,5.17,5.27,90290
2008-07-10,5.38,5.41,5.27,5.42,58810
2008-07-11,5.42,5.56,5.42,5.56,102610
2008-07-14,5.7,5.7,5.7,5.71,38240
2008-07-15,5.85,5.85,5.85,5.85,15710
2008-07-16,5.99,5.99,5.71,5.99,136730
2008-07-17,6.17,6.17,6.17,6.17,4810
2008-07-18,5.99,6.17,5.99,5.99,139920
2008-07-21,5.81,5.81,5.81,5.81,47980
2008-07-22,5.67,5.67,5.67,5.67,11000
2008-07-23,5.53,5.53,5.53,5.53,14150
2008-07-24,5.39,5.39,5.39,5.38,20580
2008-07-25,5.24,5.24,5.24,5.24,20030
2008-07-28,5.1,5.38,5.1,5.38,19920
2008-07-29,5.52,5.52,5.52,5.53,27710
2008-07-30,5.67,5.67,5.53,5.67,94810
2008-07-31,5.78,5.81,5.67,5.81,74290
2008-08-01,5.74,5.81,5.67,5.81,56570
2008-08-04,5.77,5.88,5.77,5.81,42790
2008-08-05,5.67,5.67,5.67,5.67,31460
2008-08-06,5.53,5.81,5.53,5.81,87040
2008-08-07,5.95,5.95,5.67,5.67,19780
2008-08-08,5.67,5.74,5.53,5.67,10850
2008-08-11,5.81,5.81,5.81,5.81,50690
2008-08-12,5.95,5.95,5.81,5.81,27640
2008-08-13,5.81,5.92,5.7,5.92,17490
2008-08-14,5.78,6.06,5.78,6.06,58560
2008-08-15,6.24,6.24,6.24,6.24,43540
2008-08-18,6.46,6.46,6.1,6.42,18090
2008-08-19,6.13,6.42,6.13,6.14,18740
2008-08-20,5.85,5.96,5.85,5.85,42080
2008-08-21,5.85,6.07,5.85,6.06,39590
2008-08-22,6.28,6.28,5.99,5.99,20650
2008-08-25,6.1,6.28,5.74,6.28,124260
2008-08-26,6.57,6.57,6.53,6.57,120080
2008-08-27,6.86,6.89,6.82,6.89,86960
2008-08-28,6.57,6.93,6.57,6.57,29280
2008-08-29,6.25,6.25,6.25,6.24,57050
2008-09-03,6.49,6.53,6.49,6.53,78590
2008-09-04,6.85,6.85,6.53,6.85,142330
2008-09-05,7.17,7.17,7.17,7.18,102430
2008-09-08,7.54,7.54,6.93,7.54,222100
2008-09-09,7.9,7.9,7.58,7.71,116430
2008-09-10,7.85,7.85,7.35,7.36,81870
2008-09-11,7.04,7.04,7.0,7.0,59970
2008-09-12,6.68,6.68,6.68,6.67,48050
2008-09-15,6.81,6.99,6.35,6.35,97180
2008-09-16,6.06,6.06,6.06,6.06,69170
2008-09-17,5.77,5.77,5.77,5.78,24300
2008-09-18,5.49,5.49,5.49,5.49,31410
2008-09-19,5.74,5.74,5.74,5.74,22610
2008-09-22,6.03,6.03,6.03,6.03,1900
2008-09-23,5.74,6.28,5.74,5.74,136230
2008-09-24,5.74,5.92,5.67,5.74,12520
2008-09-25,5.74,6.03,5.74,6.03,16750
2008-09-26,6.32,6.32,6.07,6.24,55720
2008-09-29,5.95,6.35,5.95,5.99,38610
2008-09-30,5.7,5.7,5.7,5.71,1400
2008-10-01,5.82,5.82,5.64,5.71,58310
2008-10-02,5.71,5.85,5.6,5.85,11160
2008-10-03,5.56,5.81,5.56,5.74,13400
2008-10-06,5.45,5.49,5.45,5.45,27390
2008-10-07,5.2,5.63,5.2,5.63,45860
2008-10-08,5.38,5.38,5.38,5.38,15620
2008-10-09,5.2,5.63,5.2,5.6,18740
2008-10-10,5.35,5.35,5.35,5.35,7460
2008-10-13,5.35,5.42,5.28,5.27,6000
2008-10-14,5.52,5.52,5.52,5.53,38190
2008-10-15,5.75,5.75,5.35,5.67,23240
2008-10-16,5.42,5.67,5.42,5.49,7770
2008-10-17,5.56,5.56,5.35,5.53,4290
2008-10-20,5.39,5.42,5.28,5.27,14640
2008-10-21,5.45,5.45,5.45,5.45,15530
2008-10-22,5.2,5.41,5.2,5.2,23020
2008-10-23,4.98,5.16,4.98,4.99,11240
2008-10-24,5.21,5.21,4.81,5.02,6620
2008-10-27,5.02,5.02,4.77,4.77,12030
2008-10-28,4.77,4.99,4.55,4.99,15190
2008-10-29,5.21,5.21,5.17,5.2,43090
2008-10-30,5.38,5.38,5.27,5.38,28250
2008-10-31,5.6,5.6,5.16,5.31,23110
2008-11-03,5.13,5.31,5.09,5.31,8430
2008-11-04,5.56,5.56,5.35,5.56,76480
2008-11-05,5.81,5.81,5.74,5.81,57880
2008-11-06,5.59,6.06,5.59,6.06,64590
2008-11-07,6.06,6.06,5.77,6.03,80840
2008-11-10,6.03,6.03,5.74,5.78,46940
2008-11-11,5.53,5.78,5.49,5.49,30400
2008-11-12,5.24,5.53,5.24,5.53,18370
2008-11-13,5.67,5.67,5.6,5.6,1630
2008-11-14,5.74,5.74,5.6,5.63,11610
2008-11-17,5.63,5.63,5.38,5.38,15330
2008-11-18,5.2,5.6,5.2,5.6,6620
2008-11-19,5.53,5.64,5.53,5.6,21120
2008-11-20,5.6,5.74,5.6,5.74,80120
2008-11-21,5.74,5.74,5.45,5.45,20160
2008-11-24,5.38,5.63,5.38,5.63,16160
2008-11-25,5.49,5.63,5.49,5.63,35710
2008-11-26,5.63,5.63,5.45,5.45,20100
2008-11-27,5.52,5.52,5.27,5.38,14610
2008-11-28,5.38,5.56,5.38,5.53,36750
2008-12-01,5.39,5.53,5.39,5.42,17020
2008-12-02,5.38,5.42,5.38,5.42,18420
2008-12-03,5.22,5.5,5.22,5.46,22310
2008-12-04,5.5,5.5,5.38,5.38,18970
2008-12-05,5.26,5.46,5.22,5.46,26800
2008-12-08,5.26,5.38,5.22,5.38,12480
2008-12-09,5.26,5.58,5.26,5.46,27810
2008-12-10,5.54,5.54,5.3,5.42,3100
2008-12-11,5.22,5.5,5.22,5.46,10400
2008-12-12,5.5,5.5,5.38,5.46,16450
2008-12-15,5.54,5.54,5.38,5.5,19540
2008-12-16,5.34,5.42,5.26,5.42,16970
2008-12-17,5.42,5.46,5.42,5.46,8000
2008-12-18,5.46,5.46,5.38,5.46,13000
2008-12-19,5.5,5.58,5.5,5.54,14010
2008-12-22,5.58,5.58,5.54,5.58,14300
2008-12-23,5.34,5.78,5.34,5.58,2530
2008-12-24,5.54,5.54,5.5,5.54,2640
2008-12-25,5.54,5.58,5.5,5.5,13410
2008-12-26,5.58,5.74,5.58,5.74,29360
2008-12-29,5.98,6.02,5.74,6.02,21210
2008-12-30,6.14,6.3,6.1,6.29,50360
2008-12-31,6.17,6.29,6.01,6.29,44460
2009-01-02,6.37,6.37,6.21,6.33,31240
2009-01-05,6.33,6.33,6.05,6.06,36750
2009-01-06,5.98,6.18,5.86,6.18,20070
2009-01-07,6.22,6.22,5.94,5.94,5610
2009-01-08,5.78,6.06,5.78,6.06,2210
2009-01-09,5.82,6.02,5.82,6.02,5360
2009-01-12,6.18,6.18,5.82,5.98,4520
2009-01-13,5.7,5.78,5.7,5.7,12560
2009-01-14,5.9,5.9,5.58,5.9,520
2009-01-15,5.98,5.98,5.62,5.62,5210
2009-01-16,5.5,5.86,5.5,5.86,3080
2009-01-19,5.94,5.94,5.66,5.66,2090
2009-01-20,5.62,5.62,5.58,5.58,6790
2009-01-21,5.58,5.78,5.58,5.78,3960
2009-01-22,5.66,5.66,5.66,5.66,1000
2009-01-23,5.58,5.78,5.58,5.58,210
2009-02-02,5.46,5.5,5.46,5.46,1380
2009-02-03,5.58,5.58,5.5,5.5,5950
2009-02-04,5.38,5.66,5.38,5.66,2020
2009-02-05,5.38,5.38,5.38,5.38,5800
2009-02-06,5.58,5.58,5.58,5.58,130
2009-02-09,5.78,5.78,5.58,5.58,310
2009-02-10,5.46,5.46,5.34,5.34,3300
2009-02-11,5.58,5.58,5.58,5.58,1000
2009-02-12,5.62,5.62,5.62,5.62,30
2009-02-13,5.38,5.54,5.38,5.54,4500
2009-02-16,5.34,5.38,5.3,5.3,5810
2009-02-17,5.1,5.1,5.06,5.06,6260
2009-02-18,4.82,4.82,4.82,4.82,6150
2009-02-19,5.02,5.02,4.58,4.58,8310
2009-02-20,4.38,4.46,4.38,4.46,23820
2009-02-23,4.26,4.26,4.26,4.26,19320
2009-02-24,4.06,4.06,4.06,4.06,11870
2009-02-25,4.26,4.26,4.1,4.22,21810
2009-02-26,4.3,4.3,4.02,4.3,14740
2009-02-27,4.14,4.38,4.1,4.38,5560
2009-03-02,4.38,4.58,4.38,4.58,5530
2009-03-03,4.58,4.78,4.46,4.58,15560
2009-03-04,4.38,4.74,4.38,4.74,20250
2009-03-05,4.78,4.78,4.74,4.74,12160
2009-03-06,4.74,4.94,4.62,4.9,6420
2009-03-09,4.9,4.98,4.9,4.98,6340
2009-03-10,4.86,4.98,4.86,4.98,14750
2009-03-11,5.1,5.18,5.06,5.1,18770
2009-03-12,5.1,5.1,4.86,4.86,8300
2009-03-13,4.7,5.06,4.7,5.06,10070
2009-03-16,5.14,5.18,5.14,5.18,10640
2009-03-17,5.3,5.42,5.26,5.26,45280
2009-03-18,5.5,5.5,5.26,5.42,45640
2009-03-19,5.42,5.54,5.26,5.38,17970
2009-03-20,5.3,5.34,5.18,5.18,2510
2009-03-23,5.26,5.34,5.1,5.14,8870
2009-03-24,5.14,5.38,5.14,5.22,8010
2009-03-25,5.22,5.26,5.14,5.14,4190
2009-03-26,5.06,5.26,5.06,5.26,5520
2009-03-27,5.26,5.26,5.02,5.02,17900
2009-03-30,5.14,5.14,4.94,4.94,2880
2009-03-31,4.82,4.94,4.78,4.78,2590
2009-04-01,4.98,5.02,4.98,5.02,10820
2009-04-02,5.26,5.26,5.1,5.18,17300
2009-04-03,5.18,5.34,5.14,5.26,28840
2009-04-07,5.3,5.38,5.26,5.38,73120
2009-04-08,5.38,5.5,5.3,5.34,37470
2009-04-09,5.42,5.42,5.14,5.34,14880
2009-04-10,5.46,5.54,5.38,5.46,52570
2009-04-13,5.5,5.7,5.5,5.7,122450
2009-04-14,5.7,5.7,5.58,5.7,37970
2009-04-15,5.42,5.5,5.42,5.42,26190
2009-04-16,5.66,5.66,5.42,5.58,37110
2009-04-17,5.58,5.62,5.3,5.3,33550
2009-04-20,5.1,5.42,5.06,5.06,24690
2009-04-21,4.9,5.18,4.9,4.98,9990
