date,open,high,low,close,volume
2018-12-17,,,,85.5,0
2018-12-14,87.4,87.4,85.5,85.5,367370
2018-12-13,88.0,88.2,86.8,87.1,630690
2018-12-12,85.9,87.0,85.2,87.0,377650
2018-12-11,85.2,86.1,85.2,85.9,646530
2018-12-10,84.5,86.0,84.1,85.6,485360
2018-12-07,84.0,85.4,84.0,84.6,811580
2018-12-06,84.0,85.3,83.5,83.8,629700
2018-12-05,83.5,84.1,82.5,84.1,642600
2018-12-04,82.5,84.5,82.4,84.1,1138470
2018-12-03,81.5,82.4,81.3,82.2,739700
2018-11-30,81.0,81.4,79.5,80.0,644810
2018-11-29,82.5,82.5,81.0,81.0,359660
2018-11-28,81.6,82.0,81.0,81.3,323700
2018-11-27,82.1,83.0,81.9,82.0,420980
2018-11-26,81.6,82.3,81.2,82.1,349670
2018-11-23,82.0,82.3,81.5,81.6,450020
2018-11-22,81.2,82.5,81.0,82.0,551990
2018-11-21,80.0,81.5,80.0,81.2,282090
2018-11-20,81.2,82.4,81.2,81.8,334090
2018-11-19,79.6,82.0,79.6,81.8,260240
2018-11-16,80.9,80.9,79.0,79.6,399900
2018-11-15,79.8,79.9,78.4,79.4,383880
2018-11-14,79.1,80.6,77.0,79.0,331450
2018-11-13,82.0,82.1,79.0,79.0,576150
2018-11-12,83.1,84.2,82.4,83.6,241050
2018-11-09,84.0,84.5,82.7,84.3,577220
2018-11-08,85.0,86.0,84.0,84.5,145850
2018-11-07,84.5,85.4,83.7,84.7,892740
2018-11-06,86.2,87.0,84.0,84.0,995460
2018-11-05,82.7,85.2,82.7,85.2,536740
2018-11-02,82.7,84.5,82.0,84.5,993240
2018-11-01,82.5,83.6,81.2,82.0,831090
2018-10-31,79.0,83.0,78.5,83.0,1008000
2018-10-30,75.3,78.7,75.2,78.0,819270
2018-10-29,75.0,76.6,74.7,76.5,728550
2018-10-26,77.0,77.4,76.3,76.5,785650
2018-10-25,71.0,77.5,71.0,77.5,2117680
2018-10-24,76.1,77.4,74.2,75.0,1772610
2018-10-23,79.0,79.0,75.1,77.5,1943490
2018-10-22,81.0,81.4,79.2,79.2,551610
2018-10-19,79.1,81.0,78.5,81.0,1119580
2018-10-18,81.0,81.3,79.8,80.2,644320
2018-10-17,81.0,81.8,79.5,81.0,993370
2018-10-16,78.4,79.2,77.5,78.6,851250
2018-10-15,81.0,81.0,78.0,78.5,1242460
2018-10-12,75.4,81.3,75.4,81.3,1444630
2018-10-11,78.6,81.9,78.6,78.6,2375010
2018-10-10,88.0,88.0,84.5,84.5,1323520
2018-10-09,89.8,90.0,88.0,88.0,669990
2018-10-08,90.4,91.0,87.6,89.8,1958530
2018-10-05,93.8,93.8,90.9,91.0,1591190
2018-10-04,93.3,93.9,92.8,93.9,1441430
2018-10-03,93.5,93.7,92.5,93.2,604560
2018-10-02,93.9,94.1,90.6,94.0,2307220
2018-10-01,92.8,93.9,91.6,93.9,1291940
2018-09-28,93.4,93.4,91.5,92.8,686950
2018-09-27,93.5,94.0,92.0,92.5,442950
2018-09-26,93.5,94.2,93.3,93.5,659600
2018-09-25,94.4,95.9,93.9,94.4,289760
2018-09-24,93.0,95.0,92.9,94.5,558170
2018-09-21,92.5,94.7,91.0,91.0,3712030
2018-09-20,91.5,92.7,91.5,92.5,637980
2018-09-19,92.0,93.0,91.0,91.2,447450
2018-09-18,91.5,91.5,89.1,90.1,280760
2018-09-17,91.1,91.6,88.9,91.6,490340
2018-09-14,92.4,92.4,91.5,91.6,422950
2018-09-13,91.7,94.0,91.7,92.4,241210
2018-09-12,93.6,94.5,92.6,92.6,314160
2018-09-11,92.0,92.6,90.0,92.5,499990
2018-09-10,94.1,95.0,91.5,91.5,392730
2018-09-07,94.3,95.0,93.6,95.0,218340
2018-09-06,93.0,95.5,92.9,94.8,501250
2018-09-05,93.7,94.6,92.6,93.0,541780
2018-09-04,95.0,96.3,94.0,94.0,822140
2018-08-31,95.6,97.2,94.8,95.0,749680
2018-08-30,92.0,97.0,91.5,97.0,743980
2018-08-29,92.0,93.2,91.0,91.0,760740
2018-08-28,92.0,92.0,91.0,91.4,315060
2018-08-27,90.6,91.8,90.5,91.2,317350
2018-08-24,91.2,92.0,90.6,90.6,466910
2018-08-23,92.8,92.9,91.2,91.2,269120
2018-08-22,90.8,92.3,90.5,92.0,361550
2018-08-21,90.8,91.8,90.0,90.3,292260
2018-08-20,90.5,90.5,89.3,89.9,256130
2018-08-17,90.8,91.3,89.5,89.6,356510
2018-08-16,90.1,91.1,88.6,90.0,519730
2018-08-15,93.5,93.8,91.5,91.5,322230
2018-08-14,90.9,93.5,89.9,93.5,597970
2018-08-13,88.3,91.8,87.9,90.9,744800
2018-08-10,88.7,89.5,87.8,89.0,886180
2018-08-09,90.0,90.9,88.9,89.9,333290
2018-08-08,90.0,90.0,88.5,90.0,405530
2018-08-07,87.4,90.6,87.0,90.0,675440
2018-08-06,85.0,88.4,84.5,87.4,636030
2018-08-03,85.1,85.2,84.2,85.0,478550
2018-08-02,84.2,84.8,83.4,84.2,491440
2018-08-01,84.5,84.5,82.7,84.2,299790
2018-07-31,81.0,84.6,81.0,84.2,910850
2018-07-30,81.8,81.8,80.0,81.4,515970
2018-07-27,80.8,81.5,79.9,81.3,525860
2018-07-26,81.9,82.1,80.0,81.0,433810
2018-07-25,80.5,84.0,79.9,81.0,935280
2018-07-24,79.1,81.2,78.2,80.5,1009400
2018-07-23,79.1,81.2,78.6,79.1,1161850
2018-07-20,79.1,80.0,78.1,79.1,766990
2018-07-19,77.0,80.5,76.8,79.1,761010
2018-07-18,74.5,77.0,74.2,76.0,1230190
2018-07-17,73.3,74.5,73.3,74.5,549360
2018-07-16,74.5,75.2,73.9,74.2,1011680
2018-07-13,74.0,75.4,73.5,74.9,453210
2018-07-12,74.0,74.0,72.6,74.0,521530
2018-07-11,74.0,74.2,72.6,74.0,962210
2018-07-10,74.0,74.9,73.9,74.2,495930
2018-07-09,74.0,76.0,73.1,74.2,414980
2018-07-06,71.8,74.1,71.1,74.0,1494750
2018-07-05,73.2,74.1,71.8,73.9,1268230
2018-07-04,73.0,74.6,71.0,74.1,967410
2018-07-03,76.0,76.5,72.1,74.0,1224710
2018-07-02,77.4,78.9,73.5,76.0,1503790
2018-06-29,77.2,79.5,77.2,79.0,683730
2018-06-28,80.0,80.9,77.0,79.0,810880
2018-06-27,82.5,83.0,80.0,81.0,418190
2018-06-26,82.5,82.5,80.9,82.5,258540
2018-06-25,83.5,83.5,81.5,83.0,458160
2018-06-22,81.0,81.0,79.1,81.0,606920
2018-06-21,81.0,81.4,79.7,81.0,609310
2018-06-20,80.0,81.9,78.0,81.0,986430
2018-06-19,82.0,82.0,79.0,80.0,1502690
2018-06-18,84.0,85.0,81.5,84.0,825840
2018-06-15,83.9,85.0,83.1,85.0,1125470
2018-06-14,84.5,85.3,83.1,84.5,754200
2018-06-13,83.0,83.6,82.4,83.5,665420
2018-06-12,84.0,84.0,79.5,82.4,1388340
2018-06-11,86.0,86.7,85.0,85.0,881240
2018-06-08,87.3,87.8,85.6,86.0,672840
2018-06-07,86.4,89.4,86.0,87.3,1148300
2018-06-06,85.4,85.5,84.5,85.5,1170840
2018-06-05,84.2,86.8,84.1,85.4,2036740
2018-06-04,84.9,84.9,83.6,84.2,1033490
2018-06-01,82.0,83.9,81.0,83.9,1027420
2018-05-31,79.0,84.5,79.0,81.0,1464880
2018-05-30,80.0,81.5,77.2,80.0,1337530
2018-05-29,78.0,82.5,75.5,80.0,1174770
2018-05-28,81.5,82.5,77.7,80.0,1572560
2018-05-25,84.0,84.5,82.5,83.5,776710
2018-05-24,85.0,85.3,83.0,84.5,1053550
2018-05-23,83.2,85.2,83.0,85.0,1419580
2018-05-22,88.0,89.9,82.8,85.0,1126390
2018-05-21,92.5,93.5,89.0,89.0,495850
2018-05-18,88.0,92.5,87.5,92.5,885640
2018-05-17,92.7,93.9,87.0,87.0,1142920
2018-05-16,96.2,96.2,92.6,92.9,461650
2018-05-15,99.0,99.4,96.0,96.2,738890
2018-05-14,94.5,98.5,93.5,98.0,722620
2018-05-11,94.0,94.8,92.5,93.9,318610
2018-05-10,95.0,96.5,92.0,94.0,623530
2018-05-09,97.0,98.0,94.5,95.0,931950
2018-05-08,96.5,98.5,93.1,97.0,877860
2018-05-07,91.5,97.0,91.0,96.5,687860
2018-05-04,92.0,93.9,90.6,91.5,390810
2018-05-03,93.4,93.5,91.5,92.0,1148110
2018-05-02,92.5,93.7,91.8,93.4,896400
2018-04-27,87.3,93.0,87.0,91.8,747000
2018-04-26,95.0,95.0,89.1,89.2,1445210
2018-04-24,95.0,96.0,89.0,95.8,1408180
2018-04-23,96.2,98.0,94.0,95.0,1490560
2018-04-20,90.5,96.2,86.8,96.2,2402060
2018-04-19,100.0,100.0,93.0,93.0,2133260
2018-04-18,104.0,105.0,99.1,100.0,1088500
2018-04-17,106.0,106.0,103.5,104.0,657510
2018-04-16,104.0,106.8,103.5,104.3,859880
2018-04-13,102.0,103.3,100.0,102.5,706610
2018-04-12,98.0,102.8,97.0,102.0,755630
2018-04-11,105.0,106.5,98.0,98.0,1688700
2018-04-10,109.0,109.0,104.1,105.0,813040
2018-04-09,105.0,109.8,102.0,107.0,1642750
2018-04-06,109.5,112.0,105.0,106.8,880100
2018-04-05,112.0,112.8,109.0,109.5,616480
2018-04-04,113.0,114.9,110.0,110.0,1266330
2018-04-03,115.0,115.0,111.8,113.0,930340
2018-04-02,113.0,118.0,113.0,114.6,1034570
2018-03-30,109.0,115.0,106.8,113.5,625160
2018-03-29,111.5,112.0,108.0,109.5,515400
2018-03-28,109.0,110.4,107.0,110.4,450680
2018-03-27,111.0,114.0,109.0,109.0,969010
2018-03-26,102.0,109.1,100.9,109.1,1326670
2018-03-23,99.5,103.0,99.5,102.0,946780
2018-03-22,102.5,104.5,102.5,103.6,772700
2018-03-21,100.5,103.4,99.6,102.4,901320
2018-03-20,94.7,100.5,94.3,100.5,981900
2018-03-19,92.0,94.3,92.0,94.3,368790
2018-03-16,94.2,94.2,92.0,92.0,3685230
2018-03-15,95.0,95.0,93.0,93.0,456960
2018-03-14,94.2,95.4,94.0,94.0,315590
2018-03-13,95.2,95.2,93.5,95.0,263070
2018-03-12,95.0,95.7,94.2,95.2,191140
2018-03-09,95.0,96.0,93.9,94.1,398400
2018-03-08,91.4,95.0,91.2,94.0,829830
2018-03-07,90.6,91.7,90.4,91.4,1140920
2018-03-06,91.0,91.6,90.5,90.5,846740
2018-03-05,93.0,93.0,91.0,91.0,704600
2018-03-02,91.0,93.2,89.5,91.5,265490
2018-03-01,90.0,91.5,89.3,91.0,686470
2018-02-28,91.0,92.5,89.2,89.2,1152830
