date,open,high,low,close,volume
2019-01-22,11.3,11.3,11.3,11.3,100
2019-01-21,12.5,12.5,12.5,12.5,100
2019-01-18,11.4,11.4,11.4,11.4,100
2019-01-17,12.6,12.6,12.6,12.6,100
2019-01-16,11.9,14.0,11.9,14.0,200
2019-01-08,13.2,13.2,13.2,13.2,700
2018-12-28,,,,13.3,0
2018-12-27,13.3,13.3,13.3,13.3,2000
2018-12-26,13.8,13.8,13.8,13.8,1300
2018-12-25,13.2,13.2,13.2,13.2,2000
2018-12-24,13.5,13.5,13.5,13.5,200
2018-12-21,13.2,13.2,13.2,13.2,2000
2018-12-20,,,,13.0,0
2018-12-19,,,,13.0,0
2018-12-18,,,,13.0,0
2018-12-17,,,,13.0,0
2018-12-14,,,,13.0,0
2018-12-13,13.0,13.0,13.0,13.0,2000
2018-12-12,,,,12.8,0
2018-12-11,,,,12.8,0
2018-12-10,12.8,12.8,12.8,12.8,1200
2018-12-07,,,,12.8,0
2018-12-06,12.8,12.8,12.8,12.8,100
2018-12-05,,,,13.2,0
2018-12-04,,,,13.2,0
2018-12-03,,,,13.2,0
2018-11-30,,,,13.2,0
2018-11-29,,,,13.2,0
2018-11-28,,,,13.2,0
2018-11-27,,,,13.2,0
2018-11-26,13.2,13.2,13.2,13.2,200
2018-11-23,,,,12.8,0
2018-11-22,12.8,12.8,12.8,12.8,2000
2018-11-21,,,,12.8,0
2018-11-20,12.8,12.8,12.8,12.8,2000
2018-11-19,12.8,12.8,12.8,12.8,2000
2018-11-16,,,,12.8,0
2018-11-15,,,,12.8,0
2018-11-14,13.0,13.0,12.8,12.8,1500
2018-11-13,,,,13.2,0
2018-11-12,13.2,13.2,13.2,13.2,1200
2018-11-09,13.2,13.2,13.2,13.2,1000
2018-11-08,,,,13.2,0
2018-11-07,,,,13.2,0
2018-11-06,,,,13.2,0
2018-11-05,,,,13.2,0
2018-11-02,,,,13.2,0
2018-11-01,13.2,13.2,13.2,13.2,100
2018-10-31,,,,13.2,0
2018-10-30,13.2,13.2,13.2,13.2,200
2018-10-29,13.2,13.2,13.2,13.2,100
2018-10-26,,,,13.8,0
2018-10-25,13.8,13.8,13.8,13.8,1400
2018-10-24,13.8,13.8,13.8,13.8,6000
2018-10-23,13.8,13.8,13.8,13.8,2400
2018-10-22,13.7,13.8,13.7,13.8,6200
2018-10-19,13.5,13.5,13.5,13.5,100
2018-10-18,,,,13.3,0
2018-10-17,13.2,13.3,13.2,13.3,1400
2018-10-16,13.7,13.7,13.2,13.2,3300
2018-10-15,13.7,13.7,13.7,13.7,4900
2018-10-12,12.1,13.7,12.1,13.7,1140
2018-10-11,,,,13.0,0
2018-10-10,13.7,13.7,13.0,13.0,5100
2018-10-09,13.7,13.7,13.7,13.7,100
2018-10-08,13.7,13.7,13.2,13.2,6400
2018-10-05,,,,13.7,0
2018-10-04,,,,13.7,0
2018-10-03,13.0,13.7,13.0,13.7,10000
2018-10-02,13.7,13.7,13.0,13.7,11600
2018-10-01,13.7,13.7,13.7,13.7,2200
2018-09-28,13.8,13.8,13.7,13.7,2200
