date,open,high,low,close,volume
2010-09-15,11.49,13.4,10.05,10.05,2700
2010-09-16,10.79,10.79,10.79,10.78,2100
2010-09-17,11.29,11.29,10.03,10.04,9700
2010-09-20,10.09,10.68,10.09,10.68,300
2010-09-21,9.57,9.57,9.57,9.57,800
2010-09-22,8.9,8.9,8.9,8.9,300
2010-09-23,8.28,8.28,8.28,8.28,100
2010-09-24,7.71,8.62,7.71,8.61,18300
2010-09-27,8.25,8.25,7.72,8.13,31900
2010-09-28,8.03,8.41,7.84,7.85,17200
2010-09-29,8.51,8.51,7.79,7.84,20600
2010-09-30,7.8,7.95,7.6,7.6,14400
2010-10-01,7.66,7.68,7.61,7.62,17200
2010-10-04,7.56,7.56,7.38,7.38,14500
2010-10-05,7.46,7.46,7.29,7.29,10800
2010-10-06,7.37,7.56,7.37,7.56,400
2010-10-07,7.51,7.51,7.42,7.41,1600
2010-10-08,7.45,7.45,7.36,7.37,2500
2010-10-11,7.32,7.32,7.2,7.19,8100
2010-10-12,7.27,7.65,7.27,7.65,1700
2010-10-13,7.36,7.54,7.36,7.55,500
2010-10-14,7.61,7.61,7.42,7.41,200
2010-10-15,7.51,7.51,7.46,7.46,200
2010-10-18,7.46,7.46,7.46,7.46,200
2010-10-19,7.41,7.46,7.36,7.46,7800
2010-10-20,7.36,7.36,7.36,7.37,4500
2010-10-21,7.38,7.38,7.37,7.37,600
2010-10-22,7.42,7.42,7.37,7.37,12500
2010-10-26,7.39,7.66,7.39,7.61,3800
2010-10-27,7.61,7.75,7.61,7.75,15200
2010-10-28,7.65,7.65,7.37,7.46,13500
2010-10-29,7.6,7.65,7.6,7.62,28800
2010-11-01,7.62,7.62,7.61,7.61,18000
2010-11-02,7.62,7.62,7.61,7.61,19700
2010-11-03,7.63,7.64,7.62,7.62,4700
2010-11-04,7.61,7.61,7.61,7.62,5100
2010-11-05,7.66,7.84,7.66,7.84,9800
2010-11-08,7.84,7.84,7.75,7.8,6000
2010-11-09,7.83,7.87,7.82,7.82,8000
2010-11-10,7.85,7.89,7.81,7.84,18400
2010-11-11,7.66,7.84,7.66,7.84,12000
2010-11-12,7.67,7.8,7.67,7.8,9200
2010-11-15,7.7,7.75,7.7,7.75,8100
2010-11-16,7.65,7.65,7.58,7.61,12400
2010-11-17,7.56,7.68,7.49,7.67,13000
2010-11-18,7.71,7.79,7.71,7.8,13500
2010-11-19,7.75,7.76,7.75,7.75,14500
2010-11-22,7.68,7.68,7.68,7.68,3400
2010-11-23,7.68,7.69,7.68,7.68,21700
2010-11-24,7.68,7.68,7.67,7.68,18900
2010-11-25,7.7,7.7,7.68,7.68,19000
2010-11-26,7.65,7.65,7.56,7.56,5400
2010-11-29,7.56,7.56,7.44,7.43,3900
2010-11-30,7.75,7.75,7.75,7.75,100
2010-12-01,7.79,7.79,7.56,7.56,7100
2010-12-02,7.66,7.66,7.66,7.65,500
2010-12-03,7.84,7.84,7.65,7.65,1400
2010-12-06,7.66,7.75,7.56,7.57,4000
2010-12-07,7.46,7.46,7.4,7.4,2500
2010-12-08,7.68,7.68,7.68,7.68,100
2010-12-09,7.56,7.68,7.56,7.68,1500
2010-12-10,7.77,7.77,7.56,7.56,4200
2010-12-13,7.85,8.09,7.85,8.1,9800
2010-12-14,7.92,8.07,7.78,7.77,11800
2010-12-15,7.87,7.91,7.77,7.78,14800
2010-12-16,7.75,7.96,7.75,7.97,12300
2010-12-17,7.87,8.06,7.87,8.02,13500
2010-12-24,7.73,7.73,7.59,7.59,1700
2010-12-29,7.6,7.78,7.6,7.77,600
2011-01-04,7.73,7.78,7.68,7.77,13000
2011-01-05,7.77,7.87,7.77,7.87,14500
2011-01-06,7.82,7.87,7.82,7.87,10100
2011-01-07,7.87,7.87,7.86,7.86,10000
2011-01-10,7.87,8.02,7.82,8.02,12500
2011-01-11,7.95,7.97,7.95,7.97,12500
2011-01-12,7.97,8.02,7.97,8.02,9500
2011-01-13,7.97,8.02,7.97,8.02,13200
2011-01-14,7.99,8.17,7.99,8.16,13100
2011-01-17,8.11,8.11,8.11,8.11,100
2011-01-18,8.16,8.16,8.16,8.16,100
2011-01-19,8.26,8.35,8.26,8.36,2200
2011-01-24,8.26,8.26,8.26,8.26,11800
2011-01-25,8.26,8.36,8.26,8.36,11400
2011-01-27,8.88,8.88,8.31,8.45,4200
2011-01-28,8.35,8.35,8.35,8.36,10000
2011-02-08,8.46,8.55,8.46,8.55,6200
2011-02-09,8.55,8.55,8.55,8.55,1100
2011-02-10,8.55,8.6,8.55,8.6,600
2011-02-11,8.65,8.7,8.65,8.7,3300
2011-02-14,8.75,8.75,8.68,8.68,5400
2011-02-15,8.75,9.14,8.75,9.14,22300
2011-02-16,8.75,8.75,8.75,8.75,700
2011-02-21,8.41,8.41,8.22,8.21,22300
2011-02-22,8.16,8.16,8.16,8.16,500
2011-02-23,8.26,8.26,8.26,8.26,1100
2011-02-24,8.21,8.21,8.21,8.21,500
2011-02-28,8.26,8.26,8.22,8.22,2700
2011-03-01,8.27,8.27,8.26,8.26,2200
2011-03-08,8.26,8.26,8.26,8.26,300
2011-03-09,8.16,8.16,8.16,8.16,500
2011-03-11,8.35,8.35,8.26,8.26,800
2011-03-14,8.75,8.75,8.6,8.6,800
2011-03-16,8.62,8.62,8.62,8.62,100
2011-03-18,8.16,8.36,8.16,8.36,600
2011-03-21,8.13,8.13,8.13,8.12,100
2011-03-22,8.16,8.16,8.16,8.16,200
2011-03-23,8.26,8.35,8.26,8.36,3000
2011-03-24,8.36,8.36,8.36,8.36,100
2011-03-28,8.26,8.26,8.26,8.26,200
2011-03-29,8.26,8.26,8.26,8.26,100
2011-03-30,8.07,8.07,8.07,8.07,100
2011-04-01,7.78,8.05,7.78,8.05,300
2011-04-06,7.97,7.97,7.6,7.77,2200
2011-04-08,7.78,7.78,7.78,7.77,200
2011-04-14,7.77,7.77,7.67,7.68,1100
2011-04-19,7.61,7.62,7.53,7.53,1300
2011-04-21,7.48,7.48,7.39,7.39,1700
2011-04-22,7.58,7.58,7.34,7.34,6200
2011-04-25,7.29,7.29,7.24,7.24,1700
2011-04-26,7.2,7.2,7.05,7.05,4000
2011-04-27,7.15,7.15,7.0,7.0,800
2011-04-28,7.0,7.05,6.9,6.9,1200
2011-05-04,6.9,6.91,6.9,6.9,1300
2011-05-05,6.71,6.71,6.71,6.71,1100
2011-05-06,6.9,6.9,6.9,6.9,100
2011-05-09,6.73,7.0,6.73,7.0,1500
2011-05-10,6.83,6.83,6.81,6.8,1800
2011-05-11,6.81,6.81,6.81,6.81,800
2011-05-12,6.99,7.29,6.99,7.24,4100
2011-05-13,6.8,7.0,6.8,6.9,1300
2011-05-16,7.29,7.3,6.95,6.95,1500
2011-05-17,6.9,7.0,6.85,7.0,1600
2011-05-18,6.9,6.9,6.9,6.9,400
2011-05-19,6.8,6.8,6.71,6.71,1400
2011-05-20,6.84,6.84,6.83,6.82,1500
2011-05-23,6.8,6.8,6.8,6.8,500
2011-05-24,6.8,6.8,6.8,6.8,2100
2011-05-25,6.7,6.71,6.7,6.71,2300
2011-05-26,6.53,6.71,6.52,6.71,1800
2011-05-27,7.0,7.0,6.71,6.71,1600
2011-05-31,6.9,6.9,6.9,6.9,400
2011-06-01,7.0,7.0,7.0,7.0,1000
2011-06-02,6.81,6.81,6.81,6.8,500
2011-06-06,7.14,7.14,7.14,7.14,100
2011-06-07,7.48,7.48,7.43,7.48,700
2011-06-10,7.29,7.37,7.19,7.34,900
2011-06-13,7.34,7.36,7.34,7.35,1700
2011-06-14,7.4,7.43,7.35,7.35,2000
2011-06-15,7.34,7.34,7.34,7.34,2000
2011-06-16,7.37,7.39,7.35,7.39,1500
2011-06-17,7.39,7.39,7.39,7.39,200
2011-06-21,7.48,7.48,7.39,7.39,600
2011-06-22,7.44,7.44,7.44,7.43,200
2011-06-23,7.38,7.38,7.38,7.39,1100
2011-06-24,7.34,7.34,7.29,7.29,1400
2011-06-27,7.29,7.39,7.29,7.37,500
2011-06-28,7.85,7.85,7.78,7.82,1700
2011-06-29,8.12,8.12,8.12,8.12,200
2011-06-30,8.14,8.14,8.14,8.14,400
2011-07-04,7.77,8.05,7.77,8.05,2800
2011-07-05,7.94,7.96,7.94,7.95,2000
2011-07-06,7.93,7.93,7.93,7.93,800
2011-07-07,7.89,7.95,7.89,7.93,4400
2011-07-12,7.92,7.96,7.92,7.95,6000
2011-07-13,8.04,8.32,8.04,8.27,1800
2011-07-14,7.96,8.05,7.96,7.95,12200
2011-07-15,8.04,8.04,7.95,7.95,1600
2011-07-26,7.77,7.77,7.77,7.77,500
2011-07-27,7.58,7.58,7.58,7.58,500
2011-08-01,7.58,7.58,7.58,7.58,400
2011-08-04,7.4,7.4,7.4,7.4,1300
2011-08-09,7.2,7.2,7.03,7.03,2100
2011-08-10,7.03,7.03,6.84,6.84,500
2011-08-11,6.84,6.84,6.47,6.66,27400
2011-08-12,6.29,6.29,6.29,6.29,100
2011-08-15,6.66,6.66,6.66,6.66,100
2011-08-17,6.84,6.84,6.84,6.84,300
2011-08-18,6.84,6.84,6.84,6.84,400
2011-08-19,6.38,6.38,6.38,6.38,100
2011-08-22,6.01,6.4,6.01,6.4,200
2011-08-23,5.83,5.83,5.83,5.83,100
2011-08-24,6.11,6.11,6.11,6.1,400
2011-08-25,5.73,5.73,5.73,5.73,100
2011-08-29,5.66,6.12,5.66,6.12,500
2011-08-30,5.95,5.95,5.95,5.96,100
2011-08-31,6.29,6.29,6.29,6.29,100
2011-09-05,6.47,6.47,6.47,6.47,100
2011-09-06,6.65,6.65,6.65,6.66,100
2011-09-07,6.75,6.84,6.75,6.84,500
2011-09-08,6.51,6.84,6.51,6.84,1100
2011-09-09,6.75,6.75,6.47,6.47,10100
2011-09-12,6.65,6.65,6.65,6.66,200
2011-09-13,6.81,6.81,6.81,6.81,200
2011-09-14,6.66,6.85,6.66,6.84,35500
2011-09-15,6.84,6.93,6.84,6.94,2900
2011-09-16,6.94,6.94,6.68,6.94,400
2011-09-19,6.94,6.94,6.94,6.94,400
2011-09-20,6.94,6.94,6.94,6.94,200
2011-09-21,7.0,7.0,7.0,6.99,100
2011-09-22,6.75,6.75,6.75,6.75,300
2011-09-26,6.57,6.57,6.57,6.57,400
2011-09-27,6.29,6.83,6.29,6.82,1600
2011-09-28,6.56,6.84,6.56,6.84,49500
2011-09-29,6.62,6.66,6.56,6.62,8600
2011-09-30,6.64,6.64,6.64,6.64,100
2011-10-03,6.66,6.75,6.49,6.49,800
2011-10-04,6.51,6.56,6.51,6.51,4200
2011-10-05,6.55,6.55,6.55,6.55,1700
2011-10-06,6.51,6.55,6.51,6.55,4200
2011-10-07,6.48,6.48,6.48,6.47,1600
2011-10-10,6.47,6.47,6.38,6.47,1600
2011-10-11,6.47,6.47,6.47,6.47,700
2011-10-12,6.45,6.45,6.45,6.46,1200
2011-10-13,6.4,6.42,6.4,6.42,2300
2011-10-14,6.35,6.4,6.35,6.4,4400
2011-10-17,6.38,6.44,6.38,6.44,7200
2011-10-18,6.48,6.57,6.48,6.57,600
2011-10-19,6.53,6.53,6.53,6.53,500
2011-10-21,6.47,6.49,6.47,6.49,500
2011-10-24,6.47,6.47,6.47,6.47,700
2011-10-25,6.43,6.43,6.43,6.44,100
2011-10-27,6.44,6.44,6.44,6.44,100
2011-10-28,6.4,6.44,6.38,6.38,4900
2011-11-01,6.36,6.36,6.34,6.34,4200
2011-11-02,6.3,6.3,6.28,6.29,1200
2011-11-08,6.29,6.29,6.29,6.29,200
2011-11-09,6.29,6.29,6.23,6.23,500
2011-11-11,6.29,6.29,6.29,6.29,400
2011-11-14,6.14,6.16,6.14,6.16,3100
2011-11-15,6.03,6.03,6.03,6.03,3200
2011-11-16,6.01,6.01,6.01,6.01,1000
2011-11-17,5.9,5.9,5.9,5.9,3700
2011-11-18,5.9,5.9,5.51,5.51,3900
2011-11-21,5.55,5.55,5.55,5.55,1000
2011-11-22,5.44,5.44,5.44,5.44,3500
2011-11-23,5.37,5.51,5.37,5.51,1500
2011-11-25,5.86,5.86,5.86,5.86,100
2011-11-28,6.01,6.01,6.01,6.01,100
2011-11-29,5.6,5.6,5.6,5.6,4000
2011-11-30,5.54,5.54,5.54,5.55,200
2011-12-01,5.94,5.94,5.94,5.94,100
