date,open,high,low,close,volume
2007-12-21,16.07,16.44,15.04,16.44,253280
2007-12-24,17.23,17.23,17.17,17.24,46600
2007-12-25,18.09,18.09,17.67,18.09,108430
2007-12-26,17.6,18.15,17.54,18.03,118370
2007-12-27,18.21,18.21,17.42,18.03,109040
2007-12-28,17.97,17.97,17.79,17.91,50930
2008-01-02,17.79,17.79,17.54,17.54,27400
2008-01-03,17.24,17.24,16.93,16.93,92650
2008-01-04,16.93,17.17,16.93,16.93,42980
2008-01-07,16.93,16.93,16.32,16.44,58040
2008-01-08,16.87,16.93,16.56,16.57,47960
2008-01-09,16.57,16.57,16.2,16.26,44220
2008-01-10,15.96,16.02,15.77,15.77,109530
2008-01-11,15.95,16.07,15.83,15.84,49130
2008-01-14,15.84,15.84,15.41,15.41,38030
2008-01-15,15.41,15.41,14.86,14.86,120580
2008-01-16,15.59,15.59,15.41,15.59,51700
2008-01-17,15.89,15.89,15.53,15.71,81270
2008-01-18,15.83,16.44,15.83,16.44,77540
2008-01-21,16.2,16.81,16.2,16.63,114500
2008-01-22,16.33,16.45,16.26,16.26,67410
2008-01-23,16.26,16.26,15.77,15.77,90840
2008-01-24,15.83,16.32,15.83,15.96,79670
2008-01-25,16.14,16.63,16.14,16.63,94690
2008-01-28,16.87,17.36,16.63,17.36,107440
2008-01-29,17.36,18.21,17.18,18.21,177500
2008-01-30,19.06,19.06,18.94,19.06,140470
2008-01-31,18.27,18.82,18.15,18.76,174260
2008-02-01,19.0,19.0,18.27,18.27,91890
2008-02-12,18.27,18.27,17.48,17.48,47250
2008-02-13,17.48,17.48,16.81,16.99,40240
2008-02-14,17.05,17.66,17.05,17.11,48680
2008-02-15,17.35,17.35,16.87,17.11,66850
2008-02-18,16.68,16.74,16.44,16.75,60140
2008-02-19,16.69,16.81,16.32,16.63,86820
2008-02-20,16.45,16.57,15.84,15.84,65410
2008-02-21,15.05,15.05,15.05,15.04,17910
2008-02-22,14.31,14.31,14.31,14.31,134000
2008-02-25,14.61,14.98,14.61,14.86,100260
2008-02-26,14.43,14.43,14.13,14.13,43010
2008-02-27,13.46,14.19,13.46,13.46,107250
2008-02-28,13.46,13.7,13.09,13.34,77690
2008-02-29,12.73,12.79,12.73,12.73,53740
2008-03-03,12.12,12.12,12.12,12.12,13250
2008-03-04,11.57,11.57,11.57,11.57,6130
2008-03-05,11.02,11.02,11.02,11.02,95990
2008-03-06,11.57,11.57,11.26,11.57,320860
2008-03-07,12.12,12.12,11.94,12.12,95760
2008-03-10,12.67,12.67,11.63,11.94,96650
2008-03-11,11.39,11.39,11.39,11.39,84570
2008-03-12,10.84,11.45,10.84,10.84,162870
2008-03-13,10.84,10.9,10.35,10.35,160190
2008-03-14,9.92,10.11,9.92,9.93,62290
2008-03-17,9.5,9.56,9.44,9.44,113260
2008-03-18,9.01,9.01,9.01,9.01,71460
2008-03-19,8.58,8.95,8.58,8.59,136830
2008-03-20,8.16,8.22,8.16,8.16,121580
2008-03-21,7.79,7.79,7.79,7.8,1950
2008-03-24,7.5,7.5,7.43,7.43,450
2008-03-25,7.06,7.06,7.06,7.06,420
2008-03-26,6.76,6.76,6.76,6.76,6570
2008-03-27,6.7,6.82,6.7,6.82,122070
2008-03-28,6.88,6.88,6.88,6.88,26580
2008-03-31,6.94,6.94,6.94,6.94,5020
2008-04-01,7.0,7.0,7.0,7.0,3500
2008-04-02,7.06,7.06,7.06,7.06,2450
2008-04-03,7.12,7.12,7.12,7.13,600
2008-04-04,7.19,7.19,7.19,7.19,620
2008-04-07,7.31,7.31,7.31,7.31,1850
2008-04-08,7.43,7.43,7.19,7.19,145730
2008-04-09,7.07,7.07,7.07,7.06,27280
2008-04-10,6.94,6.94,6.94,6.94,8710
2008-04-11,6.82,6.82,6.82,6.82,23560
2008-04-16,6.7,6.7,6.7,6.7,8410
2008-04-17,6.58,6.76,6.58,6.58,93320
2008-04-18,6.46,6.46,6.46,6.46,19850
2008-04-21,6.34,6.34,6.34,6.33,7980
2008-04-22,6.21,6.21,6.21,6.21,6340
2008-04-23,6.09,6.09,6.09,6.09,500
2008-04-24,5.97,5.97,5.97,5.97,3050
2008-04-25,5.88,5.88,5.88,5.88,810
2008-04-28,5.79,5.79,5.79,5.79,15700
2008-04-29,5.7,5.7,5.7,5.69,4270
2008-05-05,5.69,5.69,5.6,5.6,1390
