date,open,high,low,close,volume
2018-11-30,,,,43.75,0
2018-11-29,47.0,47.0,43.75,43.75,1020
2018-11-28,,,,47.0,0
2018-11-27,47.0,47.0,47.0,47.0,410
2018-11-26,,,,47.0,0
2018-11-23,47.0,47.0,47.0,47.0,2000
2018-11-22,,,,46.0,0
2018-11-21,,,,46.0,0
2018-11-20,,,,46.0,0
2018-11-19,,,,46.0,0
2018-11-16,46.0,46.0,46.0,46.0,10
2018-11-15,,,,45.51,0
2018-11-14,,,,45.51,0
2018-11-13,45.51,45.51,45.51,45.51,480
2018-11-12,45.9,45.9,45.9,45.9,270
2018-11-09,,,,46.98,0
2018-11-08,45.41,46.98,45.41,46.98,140
2018-11-07,45.52,45.52,45.52,45.51,500
2018-11-06,45.81,45.81,45.81,45.81,10
2018-11-05,,,,45.81,0
2018-11-02,,,,45.81,0
2018-11-01,45.8,45.8,45.8,45.81,10
2018-10-31,46.0,46.0,46.0,46.0,10
2018-10-30,45.71,46.0,45.71,46.0,2330
2018-10-29,45.51,45.51,43.06,45.51,5570
2018-10-26,45.51,45.51,45.51,45.51,1000
2018-10-25,45.51,45.51,45.51,45.51,500
2018-10-24,,,,46.0,0
2018-10-23,46.0,46.0,46.0,46.0,290
2018-10-22,,,,46.49,0
2018-10-19,46.49,46.49,46.49,46.49,500
2018-10-18,46.0,46.0,46.0,46.0,100
2018-10-16,46.39,46.98,46.39,46.98,640
2018-10-15,45.51,45.51,45.51,45.51,1130
2018-10-12,45.12,45.22,45.12,45.22,240
2018-10-11,46.0,46.0,46.0,46.0,50
2018-10-10,46.0,46.0,46.0,46.0,10
2018-10-09,46.98,46.98,44.68,46.98,8010
2018-10-01,46.98,46.98,46.98,46.98,180
2018-09-28,46.98,46.98,46.98,46.98,1050
2018-09-27,46.98,46.98,46.98,46.98,1010
2018-09-26,46.98,46.98,46.54,46.98,2640
2018-09-25,46.98,46.98,46.98,46.98,2010
2018-09-24,46.98,46.98,46.49,46.98,210
2018-09-21,46.98,46.98,44.78,44.78,1800
2018-09-20,46.98,46.98,46.98,46.98,1000
2018-09-19,46.98,46.98,46.98,46.98,500
2018-09-17,46.98,46.98,46.98,46.98,3000
2018-09-14,46.49,46.49,46.49,46.49,130
2018-09-13,46.98,46.98,46.98,46.98,2060
2018-09-12,46.98,46.98,46.98,46.98,1000
2018-09-11,46.93,46.98,46.93,46.98,2800
2018-09-10,46.98,46.98,46.49,46.49,2710
2018-09-07,46.98,46.98,46.49,46.49,2710
2018-09-06,46.49,46.49,44.92,44.97,7200
2018-09-05,46.49,46.49,46.49,46.49,10
2018-09-04,46.49,46.49,46.49,46.49,500
2018-08-31,46.49,46.49,46.49,46.49,10
2018-08-30,46.88,46.98,46.49,46.49,5440
2018-08-29,46.49,46.49,46.0,46.0,420
2018-08-28,46.0,46.98,46.0,46.98,5350
2018-08-27,46.0,46.0,45.51,45.51,5140
2018-08-24,47.47,47.47,44.34,45.51,2050
2018-08-23,46.0,46.0,45.51,45.51,20
2018-08-22,46.1,46.1,45.02,45.02,70
2018-08-21,46.0,46.0,46.0,46.0,10
2018-08-17,47.96,47.96,47.96,47.96,10
