date,open,high,low,close,volume
2019-02-26,37.0,37.0,36.5,36.95,24840
2019-02-25,36.25,36.9,36.0,36.9,12170
2019-02-22,36.25,36.25,35.8,36.0,21500
2019-02-21,36.0,36.25,35.8,36.25,25790
2019-02-20,36.9,36.9,36.3,36.3,2320
2019-02-19,36.6,37.0,36.3,36.4,4140
2019-02-18,37.0,37.0,36.3,36.3,14330
2019-02-15,37.5,37.5,36.75,36.75,16860
2019-02-14,37.25,37.25,36.8,36.8,16780
2019-02-13,36.3,37.3,36.3,37.25,11540
2019-02-12,37.0,37.25,36.8,37.25,2100
2019-02-11,37.0,37.5,36.6,37.2,10330
2019-02-01,36.9,36.9,35.2,36.75,8440
2019-01-31,37.0,37.0,36.5,36.5,13930
2019-01-30,36.0,36.5,35.8,36.5,2360
2019-01-29,36.65,36.65,35.2,35.2,33250
2019-01-28,36.5,36.7,36.1,36.7,18290
2019-01-25,37.6,37.6,36.5,36.5,13600
2019-01-24,37.6,37.6,36.6,37.6,69810
2019-01-23,38.3,38.3,37.3,37.6,5530
2019-01-22,38.0,38.3,37.5,38.3,7030
2019-01-21,38.15,38.3,37.2,38.3,4200
2019-01-18,38.5,38.6,38.4,38.4,1760
2019-01-17,38.3,38.7,38.2,38.7,1050
2019-01-16,38.8,38.8,38.7,38.8,5100
2019-01-15,38.3,38.8,38.0,38.8,3000
2019-01-14,38.5,38.7,38.4,38.7,8850
2019-01-11,38.8,38.8,38.5,38.75,530
2019-01-10,38.6,38.8,38.2,38.8,8260
2019-01-09,38.0,38.35,37.95,38.2,12070
2019-01-08,38.0,38.4,37.95,37.95,1500
2019-01-07,37.5,38.6,37.45,38.6,7000
2019-01-04,38.0,38.25,37.9,38.0,5850
2019-01-03,38.7,38.7,37.7,38.2,770
2019-01-02,38.2,38.8,38.1,38.2,4410
2018-12-28,38.9,38.9,38.0,38.75,9140
2018-12-27,37.5,39.0,37.5,38.6,6650
2018-12-26,38.5,38.8,38.5,38.6,5910
2018-12-25,37.9,38.4,37.0,38.4,36350
2018-12-24,38.0,38.5,37.0,38.4,25490
2018-12-21,37.5,38.6,37.0,38.6,13090
2018-12-20,38.6,38.6,38.0,38.3,3710
2018-12-19,36.6,38.6,36.6,38.5,40210
2018-12-18,37.5,40.0,37.5,39.0,4830
2018-12-17,41.15,41.15,37.7,39.0,130640
2018-12-14,42.0,42.0,39.8,40.5,26810
2018-12-13,41.05,41.5,39.9,40.3,81700
2018-12-12,42.05,42.3,41.41,42.1,8940
2018-12-11,42.2,42.2,42.1,42.1,400
2018-12-10,42.2,42.25,41.81,42.25,1650
2018-12-07,42.49,42.49,41.31,42.3,11290
2018-12-06,43.09,43.09,41.41,42.49,2550
2018-12-05,41.61,41.61,41.61,41.61,670
2018-12-04,42.15,42.2,41.41,42.0,4350
2018-12-03,42.74,42.74,42.29,42.3,1420
2018-11-30,42.5,42.5,42.5,42.49,600
2018-11-29,41.51,42.79,41.51,42.4,800
2018-11-28,41.96,42.99,41.96,42.79,380
2018-11-27,42.59,42.99,42.59,42.99,370
2018-11-26,42.64,42.74,42.64,42.74,6410
2018-11-23,41.71,42.6,41.71,42.59,1580
2018-11-22,42.3,42.3,41.37,42.3,8200
2018-11-21,41.81,42.3,41.81,41.81,3920
2018-11-20,41.32,42.3,41.32,41.81,6680
2018-11-19,41.9,42.59,41.71,42.3,6160
2018-11-16,42.29,42.29,40.82,42.1,8890
2018-11-15,41.8,42.39,41.31,41.31,8730
2018-11-14,43.18,43.18,41.51,43.18,5600
2018-11-13,42.79,43.18,41.31,43.18,10010
2018-11-12,42.79,43.09,42.4,42.79,7500
2018-11-09,42.89,42.89,42.2,42.79,3640
2018-11-08,42.59,42.59,42.1,42.1,12960
2018-11-07,43.87,44.17,42.79,43.77,5780
2018-11-06,43.38,44.17,43.28,43.97,580
