date,open,high,low,close,volume
2006-12-22,7.14,7.14,5.5,6.54,19500
2006-12-25,5.89,6.59,5.89,6.6,30000
2006-12-26,6.63,6.63,6.63,6.63,2000
2006-12-27,7.29,7.29,7.29,7.29,34500
2006-12-28,8.02,8.02,7.98,8.02,108000
2006-12-29,8.8,8.8,7.92,8.03,14400
2007-01-02,8.25,8.36,8.06,8.14,15600
2007-01-03,8.14,8.25,8.05,8.15,7800
2007-01-04,8.8,8.85,8.69,8.85,30400
2007-01-05,9.65,9.65,9.65,9.65,36000
2007-01-08,10.44,10.44,8.8,9.68,20900
2007-01-09,10.34,10.45,9.9,10.45,33800
2007-01-10,11.0,11.0,10.78,11.0,19900
2007-01-11,11.96,11.96,11.0,11.55,16300
2007-01-12,12.46,12.46,12.46,12.46,57900
2007-01-15,13.7,13.7,12.87,13.2,58500
2007-01-16,14.63,14.74,12.21,12.76,27200
2007-01-17,13.53,13.53,12.15,12.15,13800
2007-01-18,10.98,13.19,10.98,13.2,35600
2007-01-19,13.2,13.33,12.98,12.98,56000
2007-01-22,13.75,13.75,11.88,11.88,23600
2007-01-23,11.88,13.09,11.55,11.55,44000
2007-01-24,12.65,12.65,12.32,12.32,1400
2007-01-25,12.29,12.29,11.55,11.66,18300
2007-01-26,12.65,12.76,11.64,11.66,40400
2007-01-29,12.65,12.87,11.88,11.88,46500
2007-01-30,13.31,13.31,12.76,13.2,56600
2007-01-31,13.53,13.53,13.2,13.22,33600
2007-02-01,13.2,13.64,12.76,12.76,5500
2007-02-02,13.09,13.09,12.1,13.05,35100
2007-02-05,12.61,12.64,12.52,12.53,4900
2007-02-06,12.53,12.54,11.66,11.99,14900
2007-02-07,12.1,12.65,11.55,12.65,23100
2007-02-08,12.43,12.43,11.77,12.1,42300
2007-02-09,12.1,12.1,11.61,11.6,17800
2007-02-12,11.85,12.09,11.85,12.0,4600
2007-02-13,11.99,12.65,11.99,12.59,3900
2007-02-14,13.08,13.19,12.64,13.09,7600
2007-02-15,13.2,13.86,13.2,13.86,21300
2007-02-26,13.42,14.36,13.42,14.35,15400
2007-02-27,15.39,15.7,14.3,14.3,35100
2007-02-28,14.85,14.85,14.08,14.3,34100
2007-03-01,14.3,14.63,13.86,14.28,20700
2007-03-02,14.28,14.29,13.74,13.75,10200
2007-03-05,14.08,14.3,14.08,14.19,16800
2007-03-06,14.41,14.41,14.19,14.28,24600
2007-03-07,14.3,14.3,13.63,13.64,6600
2007-03-08,14.19,14.24,13.75,14.08,21300
2007-03-09,14.3,14.3,13.86,13.97,24100
2007-03-12,15.49,15.49,14.96,15.29,28100
2007-03-13,16.66,16.66,15.4,15.93,45600
2007-03-14,14.29,17.29,14.29,15.93,32200
2007-03-15,15.83,15.83,14.4,14.41,28200
2007-03-16,14.85,15.73,14.85,15.73,32300
2007-03-19,15.81,16.51,15.81,16.27,48400
