date,open,high,low,close,volume
2014-05-26,3.5,3.5,3.5,3.5,100
2014-01-10,,,,,0
2014-01-09,2.3,2.4,2.2,2.4,4700
2014-01-08,2.2,2.3,2.1,2.2,30000
2014-01-07,2.3,2.3,2.2,2.3,20500
2014-01-06,2.2,2.3,2.2,2.3,76300
2014-01-03,2.2,2.4,2.1,2.4,15400
2014-01-02,2.3,2.3,2.3,2.3,100
2013-12-31,,,,,0
2013-12-30,2.2,2.2,2.2,2.2,3800
2013-12-27,2.3,2.3,2.2,2.3,3200
2013-12-26,,,,,0
2013-12-25,2.2,2.4,2.2,2.4,7400
2013-12-24,2.4,2.4,2.2,2.2,32800
2013-12-23,2.4,2.4,2.4,2.4,100
2013-12-20,2.2,2.2,2.2,2.2,1500
2013-12-19,2.2,2.2,2.2,2.2,3100
2013-12-18,2.2,2.2,2.2,2.2,1500
2013-12-17,2.4,2.4,2.4,2.4,200
2013-12-16,2.3,2.6,2.2,2.6,1000
2013-12-13,,,,,0
2013-12-12,,,,,0
2013-12-11,2.4,2.4,2.4,2.4,100
2013-12-10,2.6,2.6,2.6,2.6,100
2013-12-09,2.3,2.4,2.3,2.4,200
2013-12-06,2.3,2.3,2.2,2.2,200
2013-12-05,2.5,2.7,2.4,2.4,13000
2013-12-04,2.5,2.6,2.3,2.5,14400
2013-12-03,2.3,2.4,2.3,2.4,20800
2013-12-02,2.2,2.2,2.2,2.2,100
2013-11-29,2.3,2.3,2.3,2.3,400
2013-11-28,2.2,2.2,2.2,2.2,200
2013-11-27,2.3,2.3,2.3,2.3,100
2013-11-26,2.1,2.2,2.0,2.2,500
2013-11-25,2.1,2.5,2.1,2.1,18200
2013-11-22,2.3,2.3,2.3,2.3,77800
2013-11-21,2.4,2.5,2.2,2.5,4400
2013-11-20,2.3,2.4,2.3,2.4,1300
2013-11-19,2.3,2.3,2.3,2.3,1500
2013-11-18,,,,,0
2013-11-15,2.1,2.1,2.1,2.1,100
2013-11-14,2.2,2.2,2.2,2.2,1500
2013-11-13,2.0,2.0,2.0,2.0,200
2013-11-12,2.2,2.2,2.2,2.2,1000
2013-11-11,2.1,2.2,2.1,2.2,14200
2013-11-08,2.0,2.0,2.0,2.0,1000
2013-11-07,2.1,2.1,2.1,2.1,500
2013-11-06,,,,,0
2013-11-05,,,,,0
2013-11-04,2.2,2.2,2.1,2.1,2600
2013-11-01,2.2,2.2,2.2,2.2,2200
2013-10-31,2.2,2.2,2.2,2.2,400
2013-10-30,2.3,2.3,2.3,2.3,100
2013-10-29,,,,,0
2013-10-28,,,,,0
2013-10-25,2.4,2.4,2.4,2.4,2100
2013-10-24,2.5,2.5,2.5,2.5,200
2013-10-23,2.2,2.6,2.2,2.6,1000
2013-10-22,2.4,2.4,2.4,2.4,100
2013-10-21,,,,,0
2013-10-18,2.2,2.2,2.2,2.2,100
2013-10-17,2.5,2.5,2.3,2.3,300
2013-10-16,2.3,2.3,2.3,2.3,300
2013-10-15,2.3,2.3,2.3,2.3,200
2013-10-14,2.5,2.5,2.5,2.5,100
2013-10-11,2.6,2.6,2.6,2.6,200
2013-10-10,2.5,2.5,2.5,2.5,200
2013-10-09,2.6,2.6,2.3,2.3,700
2013-10-08,2.4,2.4,2.4,2.4,500
2013-10-07,,,,,0
2013-10-04,2.4,2.4,2.4,2.4,100
