date,open,high,low,close,volume
2006-12-25,2.68,2.89,2.62,2.7,6600
2006-12-26,2.89,2.89,2.89,2.89,1700
2006-12-27,3.18,3.18,3.18,3.18,3000
2006-12-28,3.49,3.49,3.49,3.49,10000
2006-12-29,3.83,3.83,3.75,3.75,8200
2007-01-02,4.19,4.19,3.81,3.97,13300
2007-01-03,4.44,4.44,3.97,4.12,5000
2007-01-04,3.92,4.08,3.76,3.75,7000
2007-01-05,3.7,3.7,3.64,3.68,2600
2007-01-08,3.49,3.49,3.32,3.35,4000
2007-01-09,3.37,3.37,3.21,3.32,2600
2007-01-10,3.37,3.48,3.37,3.43,2300
2007-01-11,3.64,3.64,3.54,3.54,2300
2007-01-12,3.65,3.65,3.63,3.62,1600
2007-01-15,3.53,3.65,3.32,3.32,3800
2007-01-16,3.48,3.48,3.48,3.48,1700
2007-01-17,3.43,3.53,3.27,3.27,4400
2007-01-18,3.22,3.22,3.16,3.16,5100
2007-01-19,3.27,3.43,3.21,3.43,500
2007-01-22,3.32,3.6,3.22,3.43,2900
2007-01-23,3.62,3.62,3.43,3.43,400
2007-01-24,3.27,3.27,3.27,3.27,700
2007-01-25,3.27,3.27,3.27,3.27,700
2007-01-26,3.11,3.11,3.11,3.11,100
2007-01-29,3.27,3.38,3.27,3.38,1100
2007-01-30,3.38,3.38,3.33,3.32,2800
2007-01-31,3.32,3.41,3.32,3.41,2000
2007-02-01,3.71,3.71,3.38,3.38,6300
2007-02-02,3.54,3.54,3.43,3.43,1100
2007-02-05,3.32,3.32,3.22,3.32,4800
2007-02-06,3.21,3.37,3.21,3.22,4800
2007-02-07,3.33,3.33,3.28,3.32,4500
2007-02-08,3.63,3.63,3.63,3.63,8500
2007-02-09,3.69,3.97,3.64,3.7,13400
2007-02-12,3.86,3.97,3.86,3.86,9200
2007-02-13,4.25,4.25,3.81,3.85,7500
2007-02-14,3.97,4.26,3.81,3.86,15300
2007-02-15,3.97,4.18,3.87,3.97,5700
2007-02-26,3.99,4.35,3.97,4.34,6500
2007-02-27,4.5,4.57,4.47,4.57,13900
2007-02-28,5.02,5.02,4.88,5.01,19900
2007-03-01,5.2,5.22,4.77,4.93,17700
2007-03-02,4.95,5.17,4.88,4.88,14700
2007-03-05,5.26,5.36,4.83,4.98,11800
2007-03-06,5.04,5.5,4.98,5.51,35600
2007-03-07,5.76,5.76,5.68,5.76,11500
2007-03-08,6.33,6.33,6.33,6.33,15400
2007-03-09,6.96,6.96,6.92,6.95,14700
2007-03-12,7.64,7.64,7.64,7.64,27800
2007-03-13,8.4,8.4,7.24,8.19,34400
2007-03-14,7.68,7.68,7.25,7.25,15400
2007-03-15,6.55,6.55,6.55,6.55,3700
2007-03-16,6.15,6.81,5.9,6.59,11100
2007-03-19,6.84,6.84,6.59,6.84,11300
2007-03-20,7.42,7.42,6.92,6.92,13200
2007-03-21,7.14,7.14,6.92,6.92,6000
2007-03-22,6.92,6.92,6.25,6.76,5500
2007-03-23,6.71,6.81,6.27,6.54,3400
2007-03-26,5.94,5.94,5.85,5.93,5500
2007-03-27,5.33,5.38,5.33,5.33,2000
2007-03-28,4.84,5.87,4.84,5.87,3200
2007-03-29,5.78,5.78,5.78,5.78,3300
2007-03-30,6.35,6.35,6.35,6.35,9800
