date,open,high,low,close,volume
2019-01-30,22.7,22.9,22.4,22.5,317110
2019-01-29,21.6,22.5,21.4,22.4,473510
2019-01-28,21.5,22.0,21.5,21.8,407390
2019-01-25,21.5,21.8,21.3,21.75,510510
2019-01-24,21.6,21.95,21.4,21.5,337120
2019-01-23,20.1,21.55,20.1,21.4,554160
2019-01-22,20.9,20.9,20.3,20.4,267710
2019-01-21,20.3,21.0,20.3,20.55,396670
2019-01-18,19.4,20.7,19.35,20.3,787040
2019-01-17,19.6,19.65,19.35,19.35,247630
2019-01-16,19.55,19.7,19.2,19.55,442070
2019-01-15,19.55,19.7,19.3,19.35,225550
2019-01-14,19.35,19.8,19.15,19.55,357600
2019-01-11,19.05,19.45,19.05,19.35,357260
2019-01-10,19.2,19.2,19.0,19.05,352980
2019-01-09,19.0,19.4,18.95,18.95,211710
2019-01-08,18.65,19.5,18.6,18.8,390980
2019-01-07,18.2,18.55,18.2,18.55,290930
2019-01-04,18.0,18.1,17.7,18.1,33520
2019-01-03,18.1,18.2,18.0,18.0,180760
2019-01-02,18.1,18.45,18.0,18.1,186790
2018-12-28,18.1,18.25,18.0,18.1,180650
2018-12-27,18.0,18.1,17.95,17.95,67220
2018-12-26,17.75,18.0,17.75,17.75,51820
2018-12-25,17.8,18.0,17.6,17.75,217110
2018-12-24,18.0,18.2,18.0,18.0,218280
2018-12-21,18.2,18.2,18.0,18.1,102170
2018-12-20,18.2,18.2,18.0,18.15,88050
2018-12-19,18.05,18.1,17.9,18.0,121420
2018-12-18,18.2,18.2,18.0,18.05,219090
2018-12-17,18.3,18.35,18.2,18.25,265410
2018-12-14,18.6,18.6,18.25,18.45,291700
2018-12-13,18.7,18.8,18.45,18.45,221270
2018-12-12,18.0,18.9,18.0,18.7,248130
2018-12-11,18.25,18.25,17.8,18.0,199090
2018-12-10,18.23,18.23,17.9,17.95,303130
2018-12-07,18.13,18.27,18.13,18.18,273580
2018-12-06,18.32,18.32,18.14,18.27,246420
2018-12-05,18.18,18.28,18.0,18.23,240980
2018-12-04,18.36,18.36,18.13,18.23,245960
2018-12-03,17.81,18.46,17.81,18.27,396890
2018-11-30,17.53,17.71,17.44,17.72,207570
2018-11-29,17.62,17.76,17.53,17.53,222850
2018-11-28,17.49,17.62,17.49,17.53,225580
2018-11-27,17.62,17.72,17.35,17.44,278590
2018-11-26,17.3,17.44,17.16,17.44,150640
2018-11-23,17.4,17.4,17.21,17.21,99530
2018-11-22,17.12,17.44,17.12,17.35,227480
2018-11-21,17.12,17.21,16.98,17.12,120680
2018-11-20,16.93,17.26,16.93,17.12,320660
2018-11-19,16.8,17.07,16.8,16.98,64370
2018-11-16,17.03,17.08,16.8,16.98,176250
2018-11-15,16.66,16.93,16.66,16.8,116720
2018-11-14,16.75,16.98,16.75,16.75,347330
2018-11-13,16.62,16.8,16.62,16.75,127360
2018-11-12,16.66,16.89,16.61,16.8,355180
2018-11-09,17.21,17.21,16.89,16.89,224660
2018-11-08,16.98,17.21,16.93,17.12,129440
2018-11-07,16.94,16.98,16.8,16.93,285030
2018-11-06,16.7,16.93,16.7,16.8,266220
2018-11-05,16.61,16.8,16.43,16.7,95640
2018-11-02,16.24,16.56,16.24,16.52,277650
2018-11-01,16.52,16.52,16.25,16.24,258390
2018-10-31,16.19,16.42,16.05,16.43,230360
2018-10-30,15.69,16.15,15.69,15.73,215570
2018-10-29,15.78,15.88,15.55,15.6,686480
2018-10-26,16.24,16.24,15.82,15.83,633990
2018-10-25,15.5,16.1,15.5,15.87,378240
2018-10-24,16.43,16.66,16.15,16.15,456370
2018-10-23,16.89,16.89,16.34,16.38,741700
2018-10-22,17.17,17.17,16.89,16.89,612130
2018-10-19,17.08,17.26,16.99,17.26,135840
2018-10-18,17.44,17.44,16.89,17.17,703220
2018-10-17,17.26,17.72,17.26,17.26,476030
2018-10-16,17.07,17.44,17.07,17.26,94650
2018-10-15,17.35,17.35,16.89,17.07,81270
2018-10-12,16.7,17.35,16.7,17.35,207900
2018-10-11,16.84,17.53,16.7,16.84,391620
2018-10-10,17.95,18.08,17.72,17.9,120220
2018-10-09,18.08,18.27,17.81,17.9,171130
2018-10-08,18.27,18.41,17.81,17.9,322360
2018-10-05,18.59,18.64,18.27,18.27,263980
2018-10-04,18.64,18.82,18.46,18.73,274520
2018-10-03,18.41,18.64,18.04,18.64,310860
2018-10-02,18.51,18.74,18.04,18.09,765050
2018-10-01,18.46,18.92,18.09,18.69,748980
2018-09-28,18.82,18.82,18.45,18.55,311370
2018-09-27,18.46,18.88,18.46,18.73,370580
2018-09-26,17.16,18.22,17.16,18.23,1301570
2018-09-25,17.08,17.17,17.03,17.07,204990
2018-09-24,17.26,17.26,17.08,17.17,99690
2018-09-21,17.44,17.44,17.07,17.26,92180
2018-09-20,17.07,17.44,17.07,17.3,360640
2018-09-19,17.26,17.26,17.03,17.07,111250
2018-09-18,17.07,17.25,16.79,17.26,156330
2018-09-17,17.3,17.3,16.93,17.07,224800
2018-09-14,17.49,17.49,17.17,17.3,155000
2018-09-13,16.93,17.44,16.93,17.35,434920
2018-09-12,17.07,17.07,16.89,16.98,158080
2018-09-11,16.57,16.99,16.57,16.98,308850
2018-09-10,16.62,16.71,16.57,16.57,66310
2018-09-07,16.52,16.66,16.52,16.57,69020
2018-09-06,16.79,16.79,16.56,16.57,113700
2018-09-05,16.79,16.79,16.61,16.7,397590
2018-09-04,16.98,16.98,16.71,16.7,95230
2018-08-31,16.84,16.93,16.75,16.8,64360
2018-08-30,16.8,16.85,16.71,16.84,182690
2018-08-29,16.98,16.98,16.7,16.8,127560
2018-08-28,16.8,17.03,16.71,16.98,107590
2018-08-27,16.84,17.03,16.75,16.89,148480
2018-08-24,17.02,17.02,16.79,16.89,99430
2018-08-23,17.08,17.08,16.89,16.93,129110
2018-08-22,17.07,17.07,16.93,17.03,128740
2018-08-21,17.07,17.07,16.93,17.07,142250
