date,open,high,low,close,volume
2010-11-29,15.02,15.02,12.87,12.92,10400
2010-11-30,12.87,12.87,12.52,12.52,52500
2010-12-01,11.67,11.67,11.67,11.67,15000
2010-12-02,10.87,10.87,10.87,10.87,2400
2010-12-03,10.12,11.62,10.12,11.47,68000
2010-12-06,10.52,11.02,9.77,9.82,22700
2010-12-07,9.32,9.32,9.27,9.27,30600
2010-12-08,8.67,9.27,8.67,9.27,76100
2010-12-09,9.27,9.27,8.07,9.02,19000
2010-12-10,8.87,8.87,8.52,8.87,4700
2010-12-13,9.32,9.32,9.32,9.32,11700
2010-12-14,9.27,9.52,8.67,8.67,5600
2010-12-15,9.57,9.62,8.42,8.52,11500
2010-12-16,8.07,8.07,8.02,8.01,16900
2010-12-17,7.81,8.46,7.81,8.47,2300
2010-12-20,8.02,8.02,7.67,7.66,17400
2010-12-21,7.76,7.76,7.26,7.66,11900
2010-12-22,7.56,7.56,7.11,7.46,17900
2010-12-23,7.31,7.31,7.21,7.26,400
2010-12-24,6.86,7.21,6.81,7.21,4100
2010-12-27,7.01,7.21,6.71,7.21,1500
2010-12-28,6.96,7.26,6.96,7.16,2300
2010-12-29,6.86,6.86,6.76,6.76,2700
2010-12-30,7.11,7.11,6.81,6.86,5100
2010-12-31,6.56,6.86,6.56,6.76,1000
2011-01-04,6.86,7.21,6.86,7.11,9800
2011-01-05,6.61,6.61,6.61,6.61,800
2011-01-06,7.06,7.06,7.06,7.06,2000
2011-01-07,7.46,7.46,7.31,7.36,2500
2011-01-10,7.66,7.66,6.86,6.86,4100
2011-01-11,6.56,6.91,6.56,6.91,6800
2011-01-12,6.96,6.96,6.96,6.96,500
2011-01-13,7.26,7.26,7.11,7.11,2200
2011-01-14,6.66,7.11,6.66,7.11,2600
2011-01-17,6.76,6.76,6.76,6.76,400
2011-01-18,6.31,6.51,6.31,6.31,8600
2011-01-19,6.66,6.66,5.96,6.56,7000
2011-01-20,6.51,6.56,6.01,6.51,4400
2011-01-21,6.01,6.66,5.96,5.96,1800
2011-01-24,6.66,6.66,6.06,6.06,11200
2011-01-25,6.41,6.41,5.66,5.66,800
2011-01-26,5.51,5.96,5.51,5.96,2500
2011-01-27,6.11,6.11,5.36,5.91,5400
2011-01-28,5.66,5.96,5.51,5.51,31200
2011-02-08,6.26,6.31,6.26,6.31,300
2011-02-09,6.51,6.51,5.86,5.86,1300
2011-02-10,5.56,5.61,5.51,5.56,3700
2011-02-11,5.86,5.86,5.86,5.86,500
2011-02-14,5.61,5.61,5.61,5.61,1700
2011-02-15,5.51,5.56,5.51,5.56,900
2011-02-16,5.31,5.31,5.26,5.26,5000
2011-02-17,5.06,5.06,4.96,5.01,5100
2011-02-18,5.36,5.36,4.96,5.31,3200
2011-02-21,5.01,5.01,4.91,4.91,7900
2011-02-22,4.61,5.21,4.61,5.01,7300
2011-02-23,5.21,5.21,5.21,5.21,6300
2011-02-24,5.01,5.01,5.01,5.01,8300
2011-02-25,5.21,5.31,5.21,5.31,11200
2011-02-28,5.51,5.51,5.51,5.51,11700
2011-03-01,5.81,5.81,5.81,5.81,400
2011-03-02,5.41,5.41,5.41,5.41,200
