date,open,high,low,close,volume
2018-11-29,,,,14.5,0
2018-11-28,,,,14.5,0
2018-11-27,,,,14.5,0
2018-11-26,,,,14.5,0
2018-11-23,,,,14.5,0
2018-11-22,,,,14.5,0
2018-11-21,,,,14.5,0
2018-11-20,,,,14.5,0
2018-11-19,,,,14.5,0
2018-11-16,,,,14.5,0
2018-11-15,,,,14.5,0
2018-11-14,,,,14.5,0
2018-11-13,,,,14.5,0
2018-11-12,,,,14.5,0
2018-11-09,,,,14.5,0
2018-11-08,,,,14.5,0
2018-11-07,,,,14.5,0
2018-11-06,,,,14.5,0
2018-11-05,,,,14.5,0
2018-11-02,,,,14.5,0
2018-11-01,,,,14.5,0
2018-10-31,,,,14.5,0
2018-10-30,,,,14.5,0
2018-10-29,,,,14.5,0
2018-10-26,,,,14.5,0
2018-10-25,,,,14.5,0
2018-10-24,,,,14.5,0
2018-10-23,,,,14.5,0
2018-10-22,,,,14.5,0
2018-10-19,,,,14.5,0
2018-06-06,14.5,14.5,14.5,14.5,100
2018-05-11,13.19,13.19,13.19,13.19,25
2018-05-10,13.19,13.19,13.19,13.19,70
2018-05-07,13.19,13.19,13.19,13.19,95
2018-05-04,13.19,13.19,13.19,13.19,100
2018-05-02,13.47,13.47,13.47,13.47,100
2018-03-19,12.63,12.63,12.63,12.63,900
2018-02-09,13.93,13.93,13.93,13.94,2000
2017-12-21,15.43,15.43,15.43,15.43,3000
2017-11-09,14.03,14.03,14.03,14.03,1000
2017-11-07,14.96,14.96,14.96,14.97,300
2017-09-22,16.46,16.46,16.46,16.46,200
2017-09-01,16.46,16.46,16.46,16.46,400
2017-08-11,16.93,18.24,16.93,18.24,1700
2017-07-10,18.71,18.71,18.71,18.71,100
2017-06-21,18.71,18.71,18.71,18.71,2340
2017-06-19,18.71,18.71,18.71,18.71,29400
2017-05-29,19.18,19.18,19.18,19.18,400
2017-05-25,18.75,19.18,18.75,19.18,400
2017-05-24,18.75,18.75,18.75,18.75,4000
2017-05-17,18.33,18.75,18.33,18.75,2700
2017-05-16,17.47,17.9,17.47,17.9,1500
2017-05-15,17.48,17.48,17.48,17.47,500
2017-05-04,17.9,17.9,17.05,17.05,3800
2017-05-03,17.05,17.05,17.05,17.05,200
2017-04-27,16.62,16.62,16.62,16.62,4000
2017-04-25,16.19,16.19,16.19,16.19,600
2017-04-21,16.19,16.19,16.19,16.19,4300
2017-04-17,15.34,15.34,15.34,15.34,200
2017-04-13,14.92,14.92,14.92,14.91,1400
2017-03-29,15.77,15.77,15.77,15.77,100
2017-03-24,15.34,15.34,15.34,15.34,1000
2017-03-20,14.91,14.91,14.91,14.91,75
2017-03-14,14.91,14.91,14.91,14.91,1015
2017-03-01,16.19,16.19,15.34,15.34,770
2017-02-27,14.92,14.92,14.92,14.91,200
2017-02-16,16.45,16.45,16.45,16.45,400
2017-02-13,15.0,15.0,15.0,15.0,300
2017-02-09,16.62,20.2,16.62,16.62,1900
2017-02-07,18.41,18.41,18.41,18.41,300
2016-12-30,20.37,20.37,20.37,20.37,100
2016-12-27,15.77,19.0,15.77,19.01,200
2016-12-26,17.48,17.48,17.48,17.47,1600
2016-12-23,17.72,17.72,14.57,17.05,600
2016-12-20,16.19,16.19,16.19,16.19,1100
2016-12-09,16.2,16.2,16.2,16.19,100
2016-12-07,16.1,16.1,16.1,16.11,100
2016-12-06,16.19,16.19,16.19,16.19,100
2016-11-17,16.19,16.19,16.19,16.19,1200
2016-11-07,17.48,17.48,17.48,17.47,100
2016-10-26,19.18,19.18,19.18,19.18,200
2016-10-14,21.3,21.3,21.3,21.31,100
2016-10-07,19.43,19.43,19.43,19.43,100
2016-10-05,21.56,21.56,21.56,21.56,100
2016-10-04,21.56,21.56,21.56,21.56,100
2016-09-29,22.08,22.08,19.6,19.6,800
2016-09-28,20.19,20.19,20.19,20.2,1000
2016-09-21,22.41,22.41,22.41,22.41,100
2016-09-19,23.36,23.36,20.46,20.45,200
2016-09-16,22.15,22.15,21.3,21.31,1200
2016-09-15,20.29,20.29,20.29,20.28,100
2016-09-14,19.51,19.51,19.51,19.52,100
2016-09-13,18.67,18.67,18.67,18.66,100
2016-09-06,17.9,17.9,17.9,17.9,100
2016-08-29,17.04,17.04,17.04,17.05,500
2016-08-17,18.67,18.67,18.67,18.66,100
2016-08-12,17.9,17.9,17.9,17.9,200
2016-08-08,17.9,17.9,17.9,17.9,2600
2016-08-04,19.52,19.52,19.52,19.52,100
2016-08-03,18.75,18.75,18.75,18.75,500
2016-08-01,19.61,19.61,19.18,19.18,1000
2016-07-29,20.03,20.8,19.6,20.8,1000
2016-07-28,20.54,20.54,20.54,20.54,100
2016-07-26,18.75,18.75,18.75,18.75,500
2016-07-25,18.75,18.75,18.75,18.75,400
2016-07-22,17.9,17.9,17.9,17.9,1000
2016-07-19,17.9,18.07,17.9,18.07,800
2016-07-18,17.9,17.9,17.9,17.9,1400
2016-07-15,17.9,17.9,17.9,17.9,5000
