date,open,high,low,close,volume
2006-12-05,25.23,25.23,25.23,25.23,25500
2006-12-06,24.07,24.07,24.07,24.07,17860
2006-12-07,22.91,22.91,22.91,22.91,24160
2006-12-08,21.94,21.94,21.94,21.93,20800
2006-12-11,21.93,22.9,21.93,22.91,334090
2006-12-12,23.88,23.88,23.3,23.29,536510
2006-12-13,24.45,24.45,24.45,24.46,362570
2006-12-14,25.62,25.62,25.62,25.62,164500
2006-12-15,26.78,26.78,26.78,26.79,123100
2006-12-18,27.95,27.95,27.95,27.95,194960
2006-12-19,29.31,29.31,29.31,29.31,124150
2006-12-20,30.67,30.67,30.67,30.67,140780
2006-12-21,30.67,32.03,29.51,29.51,810590
2006-12-22,28.15,28.15,28.15,28.15,495650
2006-12-25,26.79,29.51,26.79,29.51,476620
2006-12-26,30.87,30.87,28.54,30.86,308470
2006-12-27,32.22,32.22,32.22,32.22,264550
2006-12-28,32.22,32.22,32.22,32.22,456580
2006-12-29,32.41,32.41,32.22,32.42,190770
2007-01-02,31.45,32.61,31.45,31.45,319150
2007-01-03,32.61,32.61,31.45,32.61,148900
2007-01-04,34.16,34.16,34.16,34.16,147690
2007-01-05,35.71,35.71,35.71,35.72,120020
2007-01-08,37.47,37.47,37.47,37.46,462770
2007-01-09,39.21,39.21,39.21,39.21,277330
2007-01-10,41.15,41.15,41.15,41.15,107950
2007-01-11,43.09,43.09,43.09,43.09,81780
2007-01-12,45.23,45.23,45.23,45.23,40030
2007-01-15,47.37,47.37,47.37,47.36,60260
2007-01-16,49.69,49.69,49.69,49.69,86650
2007-01-17,52.02,52.02,52.02,52.02,560630
2007-01-18,53.96,54.54,53.96,54.55,680450
2007-01-19,57.27,57.27,57.27,57.26,352290
2007-01-22,57.26,57.26,57.26,57.26,403670
2007-01-23,58.23,58.23,57.26,57.26,364140
2007-01-24,56.29,56.29,54.54,54.55,187780
2007-01-25,51.83,51.83,51.83,51.83,143760
2007-01-26,49.31,49.31,49.31,49.31,269010
2007-01-29,51.64,51.64,46.98,51.63,532680
2007-01-30,54.15,54.15,54.15,54.16,145330
2007-01-31,56.68,56.68,56.68,56.68,1134540
2007-02-01,56.68,56.68,53.96,53.96,637150
2007-02-02,55.12,55.12,55.12,55.13,852620
