date,open,high,low,close,volume
2007-09-20,23.62,28.14,22.49,23.81,314000
2007-09-21,24.28,24.57,23.62,23.98,163700
2007-09-24,24.57,24.57,23.81,23.96,147400
2007-09-25,23.96,24.19,23.71,24.15,227300
2007-09-26,24.19,24.38,23.92,24.0,252500
2007-09-27,24.19,24.28,24.08,24.28,278900
2007-09-28,24.47,26.55,24.19,26.55,128200
2007-10-01,28.84,28.84,28.84,28.83,52900
2007-10-02,31.7,31.7,29.66,31.55,695200
2007-10-03,34.57,34.57,31.17,32.12,459800
2007-10-04,32.12,33.06,32.12,32.84,363000
2007-10-05,35.98,35.98,30.61,31.74,191800
2007-10-08,31.36,33.25,30.61,30.99,212500
2007-10-09,30.61,30.82,30.05,30.61,296400
2007-10-10,30.42,31.97,30.42,31.76,302800
2007-10-11,32.12,32.4,31.74,31.84,167200
2007-10-12,32.12,32.12,31.05,31.52,134000
2007-10-15,32.12,32.12,31.16,31.74,285100
2007-10-16,31.74,31.93,31.27,31.46,520600
2007-10-17,32.29,33.07,31.18,31.55,326800
2007-10-18,31.55,31.55,30.44,30.78,196100
2007-10-19,30.42,31.55,30.42,31.36,275500
2007-10-22,31.45,31.45,30.72,30.72,194800
2007-10-23,30.98,31.14,30.23,30.23,263000
2007-10-24,30.95,30.95,29.85,30.23,341300
2007-10-25,30.42,30.61,30.23,30.33,418200
2007-10-26,30.78,33.41,30.14,30.42,294600
2007-10-29,30.84,30.84,28.53,28.53,151000
2007-10-30,28.34,29.38,28.34,28.91,227300
2007-10-31,28.95,29.08,27.68,28.06,193400
2007-11-01,28.25,30.23,27.8,30.04,213600
2007-11-02,31.36,31.51,29.0,29.38,196500
2007-11-05,29.1,29.29,28.06,28.44,213100
2007-11-06,28.35,28.53,27.87,28.34,179600
2007-11-07,28.34,28.91,28.06,28.34,150500
2007-11-08,28.34,28.34,27.17,27.62,163700
2007-11-09,27.39,27.77,26.26,26.81,215400
2007-11-12,26.45,27.4,26.07,26.17,123100
2007-11-13,26.25,26.25,23.81,24.56,191900
2007-11-14,24.6,26.85,24.6,26.85,121800
2007-11-15,29.17,29.17,27.11,27.68,368000
2007-11-16,28.32,28.32,26.83,27.47,199100
2007-11-19,27.17,27.17,26.28,26.6,143000
2007-11-20,26.64,26.64,26.07,26.11,111800
