date,open,high,low,close,volume
2009-01-16,2.4,2.4,2.4,2.4,2000
2009-05-20,2.56,2.56,2.55,2.55,6500
2009-05-21,2.4,2.4,2.4,2.4,7200
2009-05-26,2.55,2.55,2.55,2.55,100
2009-05-27,2.55,2.55,2.4,2.4,3200
2009-05-28,2.61,2.61,2.4,2.59,1300
2009-05-29,2.6,2.6,2.4,2.4,1100
2009-06-01,2.48,2.48,2.4,2.4,300
2009-06-02,2.4,2.4,2.4,2.4,1100
2009-06-03,2.33,2.33,2.23,2.23,2900
2009-06-04,2.24,2.24,2.24,2.25,100
2009-06-05,2.25,2.4,2.25,2.4,7500
2009-06-08,2.5,2.5,2.5,2.5,1000
2009-06-09,2.4,2.47,2.4,2.47,7100
2009-06-10,2.37,2.37,2.37,2.37,200
2009-06-11,2.52,2.52,2.52,2.52,100
2009-06-12,2.37,2.37,2.37,2.37,2000
2009-06-15,2.43,2.43,2.22,2.22,800
2009-06-16,2.34,2.36,2.34,2.34,300
2009-06-17,2.4,2.4,2.25,2.4,4900
2009-06-18,2.4,2.43,2.4,2.43,1500
2009-06-19,2.4,2.4,2.4,2.4,2100
2009-06-22,2.4,2.4,2.4,2.4,2000
2009-06-23,2.46,2.46,2.46,2.46,100
2009-06-24,2.5,2.62,2.5,2.62,2000
2009-06-25,2.61,2.61,2.61,2.61,100
2009-07-01,2.43,2.43,2.43,2.43,1000
2009-07-03,2.48,2.48,2.44,2.44,900
2009-07-06,2.43,2.45,2.43,2.46,5700
2009-07-07,2.28,2.28,2.27,2.26,1900
2009-07-14,2.43,2.43,2.43,2.43,100
2009-07-17,2.6,2.6,2.37,2.37,300
2009-07-20,2.34,2.34,2.34,2.34,300
2009-07-21,2.21,2.21,2.21,2.2,1000
2009-07-22,2.07,2.08,2.07,2.07,2600
2009-07-23,1.98,2.21,1.98,2.2,6200
2009-07-24,2.13,2.13,2.13,2.13,800
2009-07-27,2.27,2.27,2.27,2.26,4900
2009-07-28,2.35,2.38,2.13,2.26,5700
2009-07-29,2.32,2.32,2.32,2.32,200
2009-07-30,2.47,2.47,2.31,2.31,4200
2009-07-31,2.33,2.33,2.25,2.31,7200
2009-08-03,2.21,2.28,2.21,2.28,1200
2009-08-04,2.25,2.25,2.25,2.25,2000
2009-08-06,2.4,2.4,2.25,2.28,1300
2009-08-07,2.23,2.23,2.23,2.23,1500
2009-08-10,2.08,2.08,2.08,2.08,100
2009-08-11,2.21,2.21,2.21,2.22,600
2009-08-12,2.22,2.25,2.22,2.25,14400
2009-08-13,2.33,2.33,2.33,2.32,100
2009-08-14,2.32,2.32,2.22,2.25,5100
2009-08-17,2.31,2.31,2.31,2.31,600
2009-08-18,2.28,2.28,2.28,2.28,1000
2009-08-19,2.28,2.28,2.25,2.25,2200
2009-08-20,2.33,2.33,2.33,2.32,2000
2009-08-21,2.39,2.39,2.25,2.25,200
2009-08-24,2.4,2.4,2.25,2.25,500
2009-08-28,2.25,2.31,2.25,2.31,200
2009-08-31,2.4,2.4,2.37,2.37,2900
2009-09-03,2.23,2.23,2.23,2.23,200
2009-09-04,2.32,2.32,2.27,2.28,2300
2009-09-07,2.25,2.25,2.25,2.25,1000
2009-09-08,2.28,2.29,2.28,2.29,1300
2009-09-10,2.29,2.29,2.26,2.26,1000
2009-09-11,2.32,2.32,2.3,2.31,1200
2009-09-14,2.4,2.48,2.4,2.47,2400
2009-09-15,2.41,2.51,2.41,2.49,10300
2009-09-16,2.58,2.62,2.56,2.62,9400
2009-09-17,2.75,2.77,2.74,2.74,9300
2009-09-18,2.75,2.75,2.7,2.7,3900
2009-09-21,2.7,2.79,2.7,2.77,10800
2009-09-22,2.7,2.71,2.7,2.71,6000
2009-09-23,2.72,2.72,2.7,2.7,8000
2009-09-24,2.65,2.7,2.65,2.7,6000
2009-09-25,2.67,2.67,2.67,2.67,300
2009-09-28,2.67,2.7,2.67,2.7,5100
2009-09-29,2.7,2.77,2.7,2.77,200
2009-09-30,2.74,2.74,2.7,2.7,2100
2009-10-01,2.85,2.9,2.85,2.89,10200
2009-10-02,3.08,3.08,3.02,3.09,6100
2009-10-05,3.15,3.29,3.15,3.28,4200
2009-10-06,3.25,3.47,3.25,3.48,12400
2009-10-07,3.67,3.67,3.67,3.67,2000
2009-10-08,3.92,3.92,3.92,3.93,13500
2009-10-09,3.93,4.2,3.93,4.2,5900
2009-10-12,4.44,4.44,4.44,4.44,600
2009-10-13,4.74,4.74,4.72,4.72,3300
2009-10-14,4.65,4.72,4.41,4.41,5400
2009-10-15,4.23,4.49,4.23,4.27,13700
2009-10-16,4.27,4.49,4.2,4.5,1700
2009-10-19,4.17,4.2,4.17,4.2,5200
2009-10-20,3.98,3.98,3.98,3.97,2700
2009-10-21,3.82,4.19,3.7,4.2,6700
2009-10-22,4.16,4.16,4.14,4.14,4900
2009-10-23,4.39,4.42,4.35,4.42,9400
2009-10-26,4.72,4.72,4.42,4.42,1300
2009-10-27,4.36,4.36,4.36,4.36,3100
2009-10-28,4.08,4.12,4.06,4.06,10200
2009-10-29,3.81,3.82,3.81,3.82,1300
2009-10-30,3.82,3.82,3.58,3.6,2300
2009-11-02,3.39,3.42,3.39,3.39,1900
2009-11-03,3.23,3.23,3.18,3.18,1300
2009-11-04,3.19,3.19,3.19,3.19,4000
2009-11-05,3.4,3.4,3.4,3.4,100
