date,open,high,low,close,volume
2009-09-22,4.46,4.46,4.46,4.46,110
2009-09-23,4.68,4.68,4.68,4.68,20
2009-09-24,4.9,4.9,4.9,4.9,1220
2009-09-25,5.12,5.12,5.12,5.12,440
2009-09-28,5.37,5.37,5.37,5.37,7990
2009-09-29,5.62,5.62,5.62,5.62,159240
2009-09-30,5.89,5.89,5.89,5.89,6600
2009-10-01,6.16,6.16,6.16,6.16,23570
2009-10-02,6.46,6.46,6.46,6.46,144010
2009-10-05,6.78,6.78,6.78,6.78,64750
2009-10-06,7.1,7.1,7.1,7.11,41980
2009-10-07,7.46,7.46,7.46,7.45,15770
2009-10-08,7.82,7.82,7.82,7.82,4170
2009-10-09,8.19,8.19,7.45,8.17,745610
2009-10-12,7.85,8.17,7.85,7.87,363620
2009-10-13,7.87,7.89,7.55,7.55,131360
2009-10-14,7.18,7.43,7.18,7.43,205160
2009-10-15,7.43,7.55,7.26,7.3,256440
2009-10-16,7.3,7.3,6.98,6.98,157040
2009-10-19,6.63,6.81,6.63,6.66,224530
2009-10-20,6.93,6.98,6.81,6.98,56070
2009-10-21,7.33,7.33,7.33,7.33,21700
2009-10-22,7.68,7.68,7.55,7.67,316850
2009-10-23,7.42,7.55,7.3,7.33,334530
2009-10-26,7.06,7.21,7.01,7.06,61280
2009-10-27,6.74,6.81,6.74,6.73,93340
2009-10-28,6.98,7.05,6.95,7.06,204590
2009-10-29,7.31,7.31,6.99,7.01,106650
2009-10-30,6.96,7.06,6.91,6.98,99060
2009-11-02,6.73,6.73,6.63,6.64,79530
2009-11-03,6.32,6.59,6.32,6.31,47840
2009-11-04,6.01,6.61,6.01,6.12,66360
2009-11-05,6.42,6.42,6.19,6.41,36510
2009-11-06,6.71,6.71,6.19,6.24,35090
2009-11-09,5.99,6.07,5.94,5.94,33400
2009-11-10,5.77,5.82,5.64,5.64,62150
2009-11-11,5.39,5.69,5.39,5.6,36000
2009-11-12,5.87,5.87,5.7,5.87,30870
2009-11-13,5.7,5.87,5.7,5.87,15710
2009-11-16,5.75,5.94,5.75,5.84,11400
2009-11-17,5.94,5.94,5.72,5.74,10330
2009-11-18,5.67,5.94,5.62,5.64,9790
2009-11-19,5.91,5.91,5.91,5.92,28580
2009-11-20,6.19,6.19,6.19,6.19,55220
2009-11-23,5.94,6.17,5.89,5.89,29050
2009-11-24,5.94,6.01,5.64,5.69,24390
2009-11-25,5.49,5.54,5.42,5.42,68880
2009-11-26,5.17,5.17,5.17,5.17,35250
2009-11-27,4.92,5.42,4.92,5.42,21450
2009-11-30,5.62,5.62,5.2,5.2,10530
2009-12-01,5.37,5.45,5.37,5.45,15750
2009-12-02,5.65,5.65,5.18,5.17,13250
2009-12-03,5.02,5.32,5.02,5.17,9420
2009-12-04,4.97,5.29,4.97,5.03,10900
2009-12-07,5.08,5.08,4.96,4.95,3730
