date,open,high,low,close,volume
2019-04-12,31.8,31.8,31.7,31.8,205070
2019-04-11,31.95,31.95,31.75,31.8,177900
2019-04-10,32.1,32.1,31.75,31.8,401450
2019-04-09,32.55,32.7,32.3,32.3,530100
2019-04-08,32.35,32.65,32.2,32.55,677930
2019-04-05,31.85,32.55,31.8,32.35,832890
2019-04-04,31.55,31.75,31.5,31.75,324540
2019-04-03,31.8,31.8,31.5,31.55,374760
2019-04-02,31.7,31.95,31.65,31.8,332710
2019-04-01,32.0,32.0,31.55,31.6,236540
2019-03-29,32.0,32.5,31.8,31.85,365930
2019-03-28,31.6,32.15,31.6,32.0,433760
2019-03-27,31.75,32.1,31.65,31.7,245150
2019-03-26,31.8,32.05,31.5,31.55,358270
2019-03-25,32.0,32.2,31.5,31.55,829670
2019-03-22,32.75,33.0,32.4,32.75,353080
2019-03-21,33.7,33.7,32.5,32.5,458750
2019-03-20,32.7,33.6,32.5,33.4,700270
2019-03-19,33.4,33.6,32.8,32.8,833590
2019-03-18,33.9,34.0,33.35,33.4,1406690
2019-03-15,34.5,34.5,33.7,34.0,902290
2019-03-14,34.5,34.7,34.35,34.5,566810
2019-03-13,34.7,35.3,34.3,34.5,750710
2019-03-12,33.8,34.9,33.65,34.7,1362920
2019-03-11,33.9,33.9,33.4,33.6,427910
2019-03-08,33.8,34.0,33.1,33.9,460330
2019-03-07,34.6,34.65,34.0,34.05,513370
2019-03-06,33.9,34.9,33.9,34.5,1271520
2019-03-05,33.1,33.95,32.8,33.75,809130
2019-03-04,33.05,33.45,33.0,33.1,854640
2019-03-01,33.2,33.35,33.1,33.1,300310
2019-02-28,34.0,34.0,33.05,33.05,938110
2019-02-27,34.4,34.4,34.0,34.0,317890
2019-02-26,34.3,34.5,33.9,34.1,850060
2019-02-25,33.84,33.94,33.56,33.8,918150
2019-02-22,33.47,33.8,33.32,33.7,703850
2019-02-21,33.7,33.94,33.56,33.75,528250
2019-02-20,33.46,33.7,33.18,33.61,513100
2019-02-19,34.18,34.27,33.51,33.7,1142710
2019-02-18,33.41,34.17,33.41,34.13,836520
2019-02-15,33.22,33.51,32.85,33.32,688390
2019-02-14,33.18,33.23,32.85,33.13,424900
2019-02-13,33.33,33.47,33.14,33.18,698550
2019-02-12,33.23,33.61,33.09,33.09,602640
2019-02-11,32.37,32.84,32.04,32.85,355610
2019-02-01,31.99,32.27,31.61,31.99,1100000
2019-01-31,32.18,32.28,31.9,31.99,287700
2019-01-30,32.18,32.56,31.99,32.04,984640
2019-01-29,31.19,31.33,30.81,31.33,317940
2019-01-28,31.19,31.43,31.05,31.24,246170
2019-01-25,31.24,31.67,31.24,31.24,577380
2019-01-24,31.0,31.28,30.57,31.24,405190
2019-01-23,30.76,30.9,30.38,30.76,219940
2019-01-22,30.96,31.05,30.58,30.76,221760
2019-01-21,30.48,31.14,30.39,31.05,280480
2019-01-18,30.0,30.85,29.95,30.48,377760
2019-01-17,30.19,30.29,29.96,29.95,147070
2019-01-16,30.24,30.67,30.2,30.24,193270
2019-01-15,29.81,30.48,29.63,30.48,314660
2019-01-14,30.0,30.0,29.67,29.72,250710
2019-01-11,29.91,30.0,29.62,29.91,299510
2019-01-10,29.14,29.95,29.05,29.53,433130
2019-01-09,28.91,29.14,28.67,29.05,248000
2019-01-08,28.67,28.91,28.48,28.48,191810
2019-01-07,28.86,29.0,28.67,28.67,158080
2019-01-04,28.39,28.67,27.96,28.29,179540
2019-01-03,29.1,29.19,28.39,28.48,588400
2019-01-02,29.1,29.52,29.1,29.1,329830
2018-12-28,29.43,29.43,29.2,29.24,158090
2018-12-27,29.81,29.81,29.34,29.34,144630
2018-12-26,29.05,29.29,28.96,29.15,176230
2018-12-25,29.06,29.34,28.72,29.05,434520
2018-12-24,30.1,30.1,29.72,29.72,171270
2018-12-21,30.19,30.19,30.0,30.05,120540
2018-12-20,30.14,30.47,30.09,30.14,82820
2018-12-19,30.05,30.33,29.91,30.33,149180
2018-12-18,29.81,30.24,29.72,30.24,233790
2018-12-17,30.57,30.62,29.91,30.05,264740
2018-12-14,31.38,31.38,30.72,30.76,268900
2018-12-13,31.33,31.61,31.19,31.19,165420
2018-12-12,31.33,31.52,31.24,31.33,265120
2018-12-11,31.33,31.57,31.05,31.05,165760
2018-12-10,31.52,31.66,31.33,31.38,134130
2018-12-07,31.66,32.19,31.43,31.66,364300
2018-12-06,31.71,31.71,31.24,31.57,177140
2018-12-05,31.33,31.71,31.19,31.71,310000
2018-12-04,31.8,31.8,31.33,31.66,384370
2018-12-03,30.85,31.47,30.66,31.47,468810
2018-11-30,30.43,30.71,30.19,30.19,228560
2018-11-29,30.71,31.14,30.71,30.76,237230
2018-11-28,30.47,30.71,30.47,30.71,129820
2018-11-27,30.95,31.33,30.2,30.71,256600
2018-11-26,30.77,31.05,30.62,30.86,171170
2018-11-23,30.86,31.43,30.62,31.05,359450
2018-11-22,31.14,31.14,30.67,30.86,300910
2018-11-21,29.38,30.95,29.33,30.95,684200
2018-11-20,29.58,29.77,29.34,29.57,247550
