date,open,high,low,close,volume
2008-05-28,8.0,8.0,8.0,8.0,300
2008-05-29,7.81,7.81,7.81,7.81,800
2019-02-21,6.4,6.4,6.4,6.4,10
2019-02-22,7.3,7.3,7.3,7.3,100
2019-02-25,7.3,7.3,7.3,7.3,70
2019-02-26,7.3,7.3,7.3,7.3,9
2019-02-28,7.9,7.9,6.3,6.3,1800
2019-03-06,7.9,7.9,6.4,6.4,1800
2019-03-11,7.7,7.7,5.9,5.9,1800
2019-03-13,7.1,7.1,7.1,7.1,60
2019-03-15,7.8,7.8,6.2,6.2,1800
2019-03-18,7.7,7.7,7.7,7.7,800
2019-03-19,7.7,7.7,7.7,7.7,10
2019-03-20,7.7,8.7,7.7,8.7,701
2019-03-21,7.5,8.2,7.5,8.2,1400
2019-03-22,6.7,6.7,6.7,6.7,300
2019-03-25,7.6,7.6,6.7,6.7,300
2019-03-26,6.7,7.9,6.1,6.2,2170
2019-04-01,6.7,7.7,6.0,6.0,2300
2019-04-04,6.7,7.8,6.0,6.0,2400
2019-04-09,7.7,7.7,6.1,6.1,2500
2019-04-12,7.0,7.8,6.1,6.1,2600
2019-04-18,7.7,7.7,7.7,7.7,1300
2019-04-22,6.7,6.7,6.7,6.7,1300
2019-04-23,7.0,7.0,7.0,7.0,100
2019-04-24,7.0,7.0,7.0,7.0,50
2019-04-26,7.8,7.8,6.3,6.3,2500
2019-05-06,7.9,7.9,6.4,6.4,2500
2019-05-09,7.0,7.9,6.3,6.3,2600
2019-05-10,7.1,7.1,7.1,7.1,10
2019-05-13,7.1,7.1,7.1,7.1,10
2019-05-15,7.8,7.8,6.3,6.3,2650
2019-05-20,7.8,7.8,6.3,6.3,2600
2019-05-27,6.3,7.8,6.3,7.8,2600
2019-06-03,7.9,7.9,7.9,7.9,100
2019-06-04,7.9,8.9,7.0,8.9,3200
2019-06-12,9.1,9.1,6.9,6.9,3100
2019-06-21,8.8,8.8,6.8,8.8,3210
2019-06-27,8.9,8.9,6.9,8.9,1400
2019-07-17,7.3,7.3,7.3,7.3,100
