date,open,high,low,close,volume
2006-12-25,5.44,5.44,5.44,5.44,600
2006-12-26,5.55,5.55,5.0,5.26,10000
2006-12-27,4.85,4.85,4.85,4.85,1000
2006-12-28,5.0,5.0,4.78,4.98,2200
2006-12-29,5.11,5.22,5.0,5.0,6200
2007-01-02,4.57,5.39,4.57,5.4,16100
2007-01-04,5.4,5.4,4.55,4.55,5800
2007-01-05,5.36,5.36,5.12,5.11,4900
2007-01-08,5.26,5.39,5.26,5.33,3600
2007-01-09,5.4,5.4,5.4,5.4,2300
2007-01-10,5.33,5.38,5.33,5.37,1100
2007-01-11,5.24,5.24,5.24,5.24,1000
2007-01-12,5.33,5.33,5.22,5.22,2600
2007-01-15,5.29,5.29,5.22,5.22,3000
2007-01-16,5.22,5.22,5.22,5.22,2500
2007-01-17,5.22,5.22,5.22,5.22,5500
2007-01-18,5.09,5.09,5.09,5.09,2000
2007-01-19,4.98,5.07,4.98,5.07,1000
2007-01-22,5.0,5.0,4.98,4.98,3000
2007-01-23,4.98,4.98,4.98,4.98,1500
2007-01-24,4.96,4.98,4.96,4.98,4000
2007-01-25,4.96,4.96,4.94,4.96,8400
2007-01-26,4.79,4.94,4.79,4.94,3000
2007-01-29,4.94,4.94,4.9,4.89,5400
2007-01-30,5.0,5.39,5.0,5.4,5800
2007-01-31,5.77,5.77,5.77,5.77,9200
2007-02-01,6.34,6.34,6.31,6.31,14800
2007-02-02,6.96,6.96,6.96,6.96,800
2007-02-05,7.66,7.66,7.66,7.66,12100
2007-02-06,8.42,8.42,8.42,8.42,19800
2007-02-07,9.25,9.25,9.25,9.25,13500
2007-02-08,10.16,10.16,10.16,10.16,24800
2007-02-09,11.16,11.16,10.16,10.23,19500
2007-02-12,10.9,10.9,10.1,10.12,3600
2007-02-13,9.31,9.31,9.31,9.31,10700
2007-02-14,9.35,9.35,8.4,8.92,16900
2007-02-15,9.25,9.64,9.25,9.64,2400
2007-02-26,10.55,10.58,10.55,10.57,5700
2007-02-27,11.61,11.61,11.61,11.62,1400
2007-02-28,12.77,12.77,11.53,11.53,12000
2007-03-01,11.75,13.42,11.42,13.03,17200
2007-03-02,13.94,13.94,13.16,13.95,23500
2007-03-05,15.21,15.21,15.21,15.21,4400
2007-03-06,16.71,16.71,16.71,16.71,16300
2007-03-07,18.36,18.36,18.36,18.36,11900
2007-03-08,20.19,20.19,20.19,20.19,12700
2007-03-09,22.19,22.19,20.45,20.45,10400
2007-03-12,20.67,20.67,19.43,19.43,5400
2007-03-13,17.6,17.6,17.6,17.6,2600
2007-03-14,15.86,15.86,15.86,15.86,8200
2007-03-15,14.29,15.01,14.29,14.29,4100
2007-03-16,12.94,15.81,12.94,15.82,11500
2007-03-19,16.15,16.15,16.1,16.14,10900
2007-03-20,17.73,17.75,15.23,16.1,15600
2007-03-21,15.99,16.1,15.23,15.99,5700
2007-03-22,15.66,15.66,14.25,14.25,4300
2007-03-23,14.58,14.58,13.92,14.36,6600
2007-03-26,14.14,15.58,13.05,13.49,8800
2007-03-27,13.49,13.49,12.27,12.27,3700
2007-03-28,11.75,13.27,11.75,13.27,6100
2007-03-29,13.27,13.27,13.27,13.27,100
2007-03-30,14.6,14.6,14.6,14.6,4400
2007-04-02,15.01,15.23,14.36,14.6,4700
2007-04-03,15.12,15.67,13.71,13.71,600
2007-04-04,13.91,13.93,13.6,13.9,5000
2007-04-05,13.05,13.05,12.42,12.84,5900
2007-04-06,12.3,12.3,11.97,12.18,6600
2007-04-09,12.14,12.31,11.85,12.29,2800
2007-04-10,12.29,12.4,12.18,12.29,8300
2007-04-11,12.44,12.44,12.2,12.29,2400
2007-04-12,12.49,12.49,12.18,12.4,2000
2007-04-13,12.29,12.99,12.29,12.84,5400
2007-04-16,12.6,12.6,12.4,12.51,3300
2007-04-18,12.4,12.62,12.38,12.62,3800
2007-04-19,12.84,12.84,12.53,12.53,1000
2007-04-23,11.53,11.53,11.31,11.31,3700
2007-04-24,10.44,10.44,10.18,10.18,2500
2007-04-25,10.01,11.33,10.01,11.33,3300
2007-05-02,10.87,10.87,10.87,10.88,700
2007-05-03,10.77,10.88,10.77,10.88,3000
2007-05-04,11.1,11.1,10.44,10.44,2100
2007-05-07,10.88,11.31,10.77,11.31,8600
2007-05-08,12.01,12.01,11.42,11.97,11500
2007-05-09,12.73,12.73,11.64,12.49,5900
2007-05-10,11.55,11.75,11.55,11.64,1800
2007-05-11,11.31,11.44,10.88,10.88,8200
2007-05-14,11.9,11.9,11.42,11.42,600
2007-05-15,11.75,11.75,11.33,11.55,2900
