date,open,high,low,close,volume
2009-08-19,7.93,7.93,6.05,6.15,29800
2009-08-20,6.02,6.02,5.93,5.93,15400
2009-08-21,5.61,5.83,5.55,5.8,42600
2009-08-24,5.55,5.61,5.55,5.55,17700
2009-08-25,5.17,5.39,5.17,5.39,11000
2009-08-26,5.49,5.61,5.39,5.61,10400
2009-08-27,5.55,5.55,5.42,5.55,7200
2009-08-28,5.68,5.68,5.52,5.55,8700
2009-08-31,5.61,5.74,5.61,5.74,7500
2009-09-01,5.87,5.87,5.71,5.71,12500
2009-09-03,5.65,5.68,5.55,5.67,2100
2009-09-04,5.64,5.64,5.64,5.64,5700
2009-09-07,5.35,5.39,5.35,5.39,1600
2009-09-08,5.45,5.49,5.39,5.45,9100
2009-09-09,5.39,5.42,5.39,5.42,5200
2009-09-10,5.36,5.42,5.36,5.42,5900
2009-09-11,5.39,5.52,5.39,5.39,13500
2009-09-14,5.33,5.45,5.33,5.45,8300
2009-09-15,5.48,5.48,5.48,5.48,7000
2009-09-16,5.51,5.51,5.51,5.52,500
2009-09-17,5.39,5.46,5.39,5.39,4200
2009-09-18,5.36,5.42,5.36,5.36,1700
2009-09-21,5.26,5.33,5.26,5.32,12400
2009-09-22,5.35,5.64,5.26,5.64,94700
2009-09-23,5.89,5.89,5.86,5.9,53500
2009-09-24,5.68,5.71,5.68,5.71,12900
2009-09-25,5.71,5.93,5.71,5.9,30000
2009-09-28,5.71,6.03,5.71,5.9,10800
2009-09-29,5.87,5.87,5.71,5.71,4400
2009-09-30,5.71,6.0,5.71,5.71,18000
2009-10-01,5.71,5.81,5.71,5.71,17300
2009-10-02,5.65,5.68,5.49,5.67,19000
2009-10-05,5.7,5.7,5.7,5.71,2000
2009-10-06,6.0,6.0,5.71,5.93,15100
2009-10-07,6.03,6.03,5.9,5.93,41600
2009-10-08,6.03,6.06,5.68,5.93,57100
2009-10-09,6.09,6.25,6.03,6.24,156900
2009-10-12,6.62,6.62,6.62,6.62,10600
2009-10-13,7.06,7.06,6.97,7.07,47500
2009-10-14,7.29,7.45,6.59,6.88,27600
2009-10-15,7.2,7.23,6.82,6.94,69200
2009-10-16,7.23,7.29,6.69,6.81,30300
2009-10-19,7.29,7.29,6.52,6.56,18600
2009-10-20,6.81,6.94,6.66,6.91,30400
2009-10-21,6.97,6.97,6.75,6.85,12600
2009-10-22,6.63,7.29,6.6,6.97,57500
2009-10-23,7.45,7.48,7.29,7.45,115000
2009-10-26,6.97,7.07,6.94,7.0,32300
2009-10-27,6.97,6.97,6.78,6.94,47500
2009-10-28,6.97,7.1,6.91,7.1,41200
2009-10-29,6.94,6.94,6.59,6.66,35200
2009-10-30,7.17,7.17,7.04,7.16,29100
2009-11-02,7.16,7.16,6.75,6.81,39900
2009-11-03,6.65,6.97,6.56,6.97,48900
2009-11-04,6.65,6.97,6.65,6.97,35000
2009-11-05,7.13,7.35,7.13,7.29,43400
2009-11-06,7.77,7.77,7.48,7.77,194400
2009-11-09,8.31,8.31,7.61,7.77,121000
2009-11-10,7.93,8.25,7.64,7.64,74900
2009-11-11,7.61,7.61,7.16,7.48,33500
2009-11-12,7.61,7.61,6.88,6.88,34100
2009-11-13,6.56,6.98,6.56,6.91,42500
2009-11-16,7.26,7.32,6.97,7.32,61100
2009-11-17,7.76,7.76,7.03,7.04,5100
2009-11-18,6.98,7.45,6.91,7.13,40000
2009-11-19,6.56,7.13,6.56,6.91,8600
2009-11-20,6.66,6.94,6.66,6.94,2700
2009-11-23,6.88,6.97,6.65,6.97,28100
2009-11-24,6.65,6.68,6.62,6.66,56400
2009-11-25,6.41,6.41,6.22,6.21,30200
2009-11-26,5.83,5.83,5.83,5.83,16200
2009-11-27,5.45,5.93,5.45,5.86,27100
2009-11-30,5.96,5.96,5.96,5.96,1000
2009-12-01,6.37,6.37,5.99,6.34,8500
2009-12-02,6.31,6.31,5.93,5.93,14400
2009-12-03,6.03,6.03,5.87,6.02,5100
2009-12-04,5.86,5.89,5.86,5.86,2300
2009-12-07,6.08,6.18,6.08,6.18,3000
2009-12-08,5.77,5.77,5.74,5.77,4900
2009-12-09,5.39,5.52,5.36,5.39,4000
2009-12-10,5.45,5.45,5.07,5.07,3900
2009-12-11,4.85,4.85,4.75,4.82,12000
2009-12-14,4.92,5.07,4.92,5.07,24000
2009-12-15,5.07,5.07,4.69,4.94,5000
2009-12-16,4.62,4.75,4.62,4.75,14200
2009-12-17,4.66,4.81,4.66,4.82,5000
2009-12-18,4.76,5.04,4.76,5.01,6100
2009-12-21,5.3,5.3,5.3,5.29,4000
2009-12-22,5.39,5.42,5.39,5.42,500
2009-12-23,5.39,5.39,5.39,5.39,500
2009-12-24,5.39,5.39,5.04,5.04,2600
2009-12-25,5.39,5.42,5.39,5.42,16800
2009-12-28,5.42,5.42,5.42,5.42,100
2009-12-29,5.71,5.77,5.71,5.71,2100
2009-12-30,6.03,6.12,5.93,6.12,10100
2009-12-31,6.02,6.25,6.02,6.24,3000
2010-01-04,6.18,6.49,6.18,6.34,3600
2010-01-05,6.66,6.66,6.02,6.02,4900
2010-01-06,5.61,5.7,5.61,5.71,1100
2010-01-07,5.61,5.65,5.39,5.39,1600
2010-01-08,5.55,5.55,5.29,5.29,2400
2010-01-11,5.67,5.67,5.67,5.67,500
2010-01-12,5.38,5.54,5.32,5.32,4100
2010-01-13,5.13,5.13,5.1,5.1,1300
2010-01-14,5.42,5.42,5.23,5.23,4300
2010-01-15,5.39,5.45,5.29,5.45,1800
2010-01-18,5.2,5.2,5.2,5.2,1400
2010-01-19,5.39,5.39,5.39,5.39,100
2010-01-21,5.04,5.04,5.04,5.04,1200
2010-01-22,4.91,4.91,4.82,4.82,4000
2010-01-25,4.6,4.92,4.6,4.91,600
2010-01-26,4.97,4.97,4.97,4.98,1800
2010-01-27,4.79,4.79,4.76,4.75,4300
2010-01-29,4.91,4.94,4.91,4.94,3400
2010-02-01,4.59,5.07,4.59,5.07,3200
2010-02-02,4.91,4.91,4.91,4.91,1200
2010-02-03,5.07,5.07,5.07,5.07,600
2010-02-04,4.91,4.91,4.88,4.88,1500
2010-02-05,4.91,4.94,4.88,4.88,3200
2010-02-08,4.75,5.07,4.66,5.07,7200
2010-02-09,4.7,4.84,4.7,4.74,3000
2010-02-10,4.51,4.94,4.51,4.94,1600
2010-02-11,4.97,4.97,4.97,4.97,500
2010-02-12,5.3,5.3,5.27,5.27,2000
2010-02-23,4.97,4.97,4.97,4.97,300
2010-02-24,4.97,5.27,4.97,5.27,2100
2010-02-25,4.94,4.94,4.94,4.94,200
2010-02-26,4.97,5.14,4.97,5.14,1000
2010-03-01,5.37,5.41,5.21,5.2,5000
2010-03-02,5.6,5.6,5.5,5.57,3000
2010-03-03,5.34,5.34,5.34,5.34,5000
2010-03-04,5.51,5.51,5.41,5.4,800
2010-03-05,5.4,5.4,5.4,5.4,1800
2010-03-09,5.33,5.33,5.33,5.34,2000
2010-03-10,5.34,5.34,4.97,4.97,600
2010-03-11,5.2,5.2,5.17,5.17,600
2010-03-12,5.0,5.34,5.0,5.27,2700
2010-03-15,5.07,5.34,5.07,5.2,4900
2010-03-16,5.07,5.2,5.07,5.2,2900
2010-03-17,5.07,5.1,5.0,5.1,3500
2010-03-18,5.0,5.17,4.9,5.17,5200
2010-03-19,4.9,5.0,4.9,5.0,4100
2010-03-22,5.0,5.0,5.0,5.0,300
2010-03-23,5.0,5.0,4.83,4.9,9000
2010-03-24,4.9,4.9,4.87,4.87,3800
2010-03-25,4.74,4.9,4.7,4.9,4100
2010-03-26,4.77,4.97,4.77,4.97,2000
2010-03-29,4.97,4.97,4.94,4.94,5200
2010-03-30,4.97,4.97,4.97,4.97,400
2010-04-01,4.87,4.87,4.87,4.87,700
2010-04-05,4.54,4.54,4.54,4.54,1000
2010-04-06,4.54,4.67,4.51,4.67,11100
2010-04-07,4.5,4.67,4.5,4.67,4700
2010-04-08,4.67,4.67,4.54,4.67,2900
2010-04-09,4.67,4.7,4.67,4.67,9300
2010-04-12,4.84,4.84,4.84,4.84,400
2010-04-13,4.81,4.81,4.67,4.67,3000
2010-04-14,4.84,4.84,4.84,4.84,100
2010-04-15,4.91,4.97,4.91,4.97,8000
2010-04-16,5.24,5.24,5.0,5.0,4400
2010-04-19,5.13,5.17,5.0,5.14,15700
2010-04-20,5.14,5.47,5.14,5.47,41400
2010-04-21,5.5,5.5,5.1,5.27,8100
2010-04-22,5.0,5.0,4.97,4.97,7100
2010-04-26,5.0,5.3,5.0,5.14,3700
2010-04-27,4.97,5.27,4.94,5.27,8000
2010-04-28,5.27,5.27,5.24,5.27,5200
2010-04-29,5.17,5.24,5.17,5.2,2100
2010-05-04,4.97,5.33,4.97,5.0,3900
2010-05-05,5.07,5.23,4.97,5.17,17600
2010-05-06,5.27,5.47,5.17,5.47,30700
2010-05-07,5.17,5.17,5.04,5.04,2100
2010-05-10,5.07,5.11,5.01,5.1,23100
2010-05-11,5.23,5.27,5.23,5.27,8800
2010-05-12,5.07,5.24,5.0,5.24,18900
2010-05-13,5.07,5.07,5.01,5.0,6400
2010-05-14,5.2,5.2,5.2,5.2,500
2010-05-17,5.03,5.03,5.03,5.04,1700
2010-05-18,5.17,5.17,5.07,5.1,12700
2010-05-19,5.0,5.0,4.93,5.0,7700
2010-05-20,5.0,5.17,4.8,5.0,4200
2010-05-21,4.9,4.9,4.67,4.84,6900
2010-05-24,5.11,5.11,5.11,5.1,100
2010-05-25,4.87,4.87,4.8,4.8,2000
2010-05-26,4.8,4.8,4.8,4.8,600
2010-05-28,4.97,5.0,4.97,5.0,3400
2010-05-31,5.0,5.0,5.0,5.0,500
2010-06-01,4.83,4.83,4.83,4.84,400
2010-06-02,4.77,4.77,4.74,4.74,6100
2010-06-03,4.74,4.77,4.71,4.77,6600
2010-06-04,4.67,4.67,4.67,4.67,1800
2010-06-07,4.64,4.64,4.6,4.6,1000
2010-06-09,4.71,4.71,4.71,4.7,2000
2010-06-10,4.67,4.67,4.67,4.67,1800
2010-06-11,4.64,4.7,4.64,4.67,18600
2010-06-14,4.67,4.8,4.67,4.8,10700
2010-06-15,4.73,4.73,4.73,4.74,300
2010-06-16,4.84,4.84,4.71,4.7,3400
2010-06-17,4.63,4.63,4.63,4.64,600
2010-06-18,4.84,4.91,4.74,4.74,5000
2010-06-21,5.01,5.01,4.97,5.0,6300
2010-06-22,4.63,5.0,4.63,4.87,8600
2010-06-23,4.57,4.94,4.47,4.94,10600
2010-06-24,4.54,5.01,4.54,5.0,40500
2010-06-25,5.07,5.17,4.97,5.07,36900
2010-06-28,5.07,5.17,5.07,5.17,19100
2010-06-29,5.17,5.2,4.87,4.97,11300
2010-06-30,4.84,4.84,4.84,4.84,15000
2010-07-01,4.81,4.84,4.81,4.84,7800
2010-07-02,4.97,5.01,4.91,4.97,7800
2010-07-05,4.87,4.97,4.87,4.97,6400
2010-07-06,4.64,5.07,4.64,4.94,11100
2010-07-07,4.87,4.97,4.71,4.9,6200
2010-07-08,4.8,4.87,4.8,4.8,11000
2010-07-09,4.8,4.83,4.77,4.77,3800
2010-07-12,4.74,4.8,4.67,4.8,27900
2010-07-13,4.8,4.83,4.8,4.8,8800
2010-07-14,4.93,4.93,4.83,4.87,7100
2010-07-15,4.84,4.87,4.84,4.87,14200
2010-07-16,4.84,4.94,4.84,4.94,2500
2010-07-19,4.71,5.21,4.67,5.2,51300
2010-07-20,5.13,5.2,5.1,5.2,49100
2010-07-21,5.2,5.2,5.13,5.14,22000
2010-07-22,5.04,5.11,5.01,5.1,6900
2010-07-23,5.0,5.1,4.9,5.1,15500
2010-07-26,5.07,5.33,5.07,5.34,120100
2010-07-27,5.71,5.71,5.67,5.71,145700
2010-07-28,6.08,6.08,5.61,5.84,374700
2010-07-29,5.67,5.84,5.57,5.57,37100
2010-07-30,5.4,5.47,5.24,5.37,53500
2010-08-02,5.5,5.67,5.37,5.4,30900
2010-08-03,5.1,5.5,5.1,5.34,58800
2010-08-04,5.47,5.47,4.97,5.0,67500
2010-08-05,5.0,5.3,4.77,5.0,17700
2010-08-06,4.93,5.27,4.77,5.2,76600
2010-08-09,5.33,5.33,4.83,4.84,9000
2010-08-10,4.84,4.87,4.54,4.54,108800
2010-08-11,4.77,4.91,4.74,4.9,69300
2010-08-12,4.87,4.87,4.57,4.6,62700
2010-08-13,4.43,4.93,4.43,4.94,32500
2010-08-16,4.94,5.17,4.94,5.07,46000
2010-08-17,5.0,5.0,4.74,4.87,34000
2010-08-18,4.84,4.84,4.74,4.84,17700
2010-08-19,4.97,5.11,4.81,5.1,65100
2010-08-20,5.13,5.13,4.93,5.07,42600
2010-08-23,5.04,5.1,5.0,5.0,15000
2010-08-24,4.77,4.83,4.7,4.7,30200
2010-08-25,4.57,4.57,4.43,4.47,35500
2010-08-26,4.24,4.67,4.24,4.5,23900
2010-08-27,4.33,4.67,4.33,4.67,25800
2010-08-30,4.84,4.87,4.84,4.87,8300
2010-08-31,4.98,5.19,4.94,5.19,64400
2010-09-01,5.44,5.44,5.19,5.4,31300
2010-09-06,5.58,5.58,5.29,5.29,19600
2010-09-07,5.64,5.71,5.11,5.12,8000
2010-09-08,5.01,5.12,5.01,5.01,41300
2010-09-09,5.01,5.05,4.87,4.94,18800
2010-09-10,4.8,4.87,4.76,4.77,62400
2010-09-13,4.73,4.98,4.7,4.73,3000
2010-09-14,4.94,4.94,4.94,4.94,300
2010-09-15,5.08,5.08,5.08,5.08,200
