date,open,high,low,close,volume
2004-09-21,1.65,1.65,1.65,1.65,14010
2004-09-22,1.57,1.57,1.57,1.57,13870
2004-09-23,1.5,1.5,1.5,1.5,42930
2004-09-24,1.47,1.55,1.47,1.55,6500
2004-09-27,1.55,1.55,1.53,1.53,2680
2004-09-28,1.55,1.55,1.52,1.52,3030
2004-09-29,1.52,1.52,1.52,1.52,1860
2004-09-30,1.52,1.52,1.51,1.51,5100
2004-10-01,1.51,1.51,1.49,1.49,50
2004-10-04,1.45,1.46,1.45,1.46,2340
2004-10-05,1.45,1.45,1.45,1.46,1100
2004-10-06,1.46,1.46,1.45,1.45,500
2004-10-07,1.45,1.45,1.41,1.41,4360
2004-10-08,1.37,1.37,1.36,1.36,8960
2004-10-12,1.36,1.36,1.29,1.3,7090
2004-10-13,1.24,1.24,1.24,1.24,8790
2004-10-14,1.24,1.24,1.23,1.22,6960
2004-10-15,1.22,1.26,1.22,1.27,700
2004-10-18,1.29,1.31,1.29,1.3,2080
2004-10-19,1.34,1.34,1.34,1.34,7650
2004-10-20,1.34,1.34,1.33,1.33,600
2004-10-21,1.28,1.28,1.26,1.27,3760
2004-10-22,1.27,1.27,1.27,1.27,1990
2004-10-25,1.29,1.29,1.29,1.29,7120
2004-10-26,1.3,1.33,1.3,1.32,5340
2004-10-27,1.32,1.32,1.31,1.31,2670
2004-10-28,1.32,1.32,1.31,1.31,4080
2004-10-29,1.32,1.32,1.31,1.31,5380
2004-11-01,1.31,1.32,1.31,1.32,2100
2004-11-02,1.34,1.35,1.34,1.35,7350
2004-11-03,1.36,1.36,1.35,1.35,4240
2004-11-04,1.34,1.34,1.34,1.34,860
2004-11-05,1.34,1.34,1.33,1.33,7980
2004-11-08,1.34,1.34,1.32,1.32,1930
2004-11-09,1.31,1.31,1.31,1.31,4400
2004-11-10,1.32,1.32,1.32,1.32,10
2004-11-11,1.32,1.32,1.32,1.32,100
2004-11-12,1.32,1.32,1.31,1.31,500
2004-11-15,1.31,1.31,1.3,1.3,3210
2004-11-16,1.3,1.3,1.29,1.3,6010
2004-11-17,1.3,1.3,1.3,1.3,2500
2004-11-18,1.31,1.31,1.31,1.3,5760
2004-11-19,1.31,1.31,1.31,1.31,12510
2004-11-22,1.3,1.31,1.3,1.31,140
2004-11-23,1.31,1.32,1.31,1.32,590
2004-11-24,1.32,1.32,1.32,1.32,300
2004-11-25,1.33,1.33,1.33,1.32,3100
2004-11-26,1.32,1.32,1.31,1.32,880
2004-11-29,1.32,1.33,1.32,1.32,1230
2004-11-30,1.32,1.34,1.32,1.35,2730
2004-12-01,1.38,1.38,1.38,1.38,14800
2004-12-02,1.38,1.38,1.38,1.38,200
2004-12-03,1.35,1.35,1.35,1.35,1570
2004-12-06,1.36,1.36,1.36,1.36,600
2004-12-07,1.36,1.36,1.34,1.34,4100
2004-12-08,1.34,1.34,1.34,1.34,400
2004-12-09,1.34,1.35,1.34,1.35,1020
2004-12-10,1.35,1.36,1.35,1.36,750
2004-12-13,1.36,1.36,1.35,1.35,150
2004-12-14,1.35,1.36,1.35,1.36,10
2004-12-15,1.36,1.36,1.35,1.35,2100
2004-12-16,1.35,1.35,1.35,1.35,3820
2004-12-17,1.37,1.37,1.35,1.35,240
2004-12-20,1.35,1.35,1.35,1.35,1700
2004-12-21,1.37,1.37,1.35,1.35,2340
2004-12-22,1.35,1.39,1.35,1.39,2430
2004-12-23,1.46,1.46,1.46,1.46,9940
2004-12-24,1.53,1.53,1.53,1.53,3790
2004-12-27,1.6,1.6,1.57,1.56,6120
2004-12-28,1.56,1.56,1.55,1.55,7390
2004-12-29,1.49,1.49,1.48,1.48,3280
2004-12-30,1.48,1.48,1.45,1.45,3400
2004-12-31,1.44,1.44,1.44,1.43,6900
2005-01-04,1.37,1.37,1.37,1.38,13750
2005-01-05,1.41,1.41,1.39,1.39,2170
2005-01-06,1.38,1.38,1.35,1.35,3580
2005-01-07,1.35,1.39,1.35,1.39,100
2005-01-10,1.39,1.39,1.35,1.35,30
2005-01-11,1.39,1.39,1.39,1.39,10
2005-01-12,1.39,1.39,1.37,1.37,10
2005-01-13,1.37,1.38,1.37,1.38,100
2005-01-14,1.38,1.38,1.37,1.37,500
2005-01-17,1.34,1.34,1.34,1.34,3100
2005-01-18,1.34,1.34,1.34,1.34,10
2005-01-19,1.34,1.38,1.34,1.38,10
2005-01-20,1.38,1.38,1.37,1.36,1510
2005-01-21,1.35,1.37,1.35,1.38,420
2005-01-24,1.38,1.38,1.36,1.35,530
2005-01-25,1.36,1.36,1.35,1.35,350
2005-01-26,1.35,1.35,1.35,1.35,2800
2005-01-27,1.35,1.35,1.35,1.35,500
2005-01-28,1.36,1.36,1.36,1.37,3300
2005-01-31,1.37,1.37,1.37,1.37,50
2005-02-01,1.37,1.37,1.37,1.37,200
2005-02-03,1.38,1.38,1.38,1.38,2820
2005-02-04,1.38,1.38,1.38,1.38,6300
2005-02-14,1.38,1.38,1.38,1.38,350
2005-02-16,1.38,1.38,1.38,1.38,8610
2005-02-17,1.36,1.38,1.36,1.38,9010
2005-02-18,1.38,1.38,1.36,1.35,600
2005-02-22,1.35,1.35,1.35,1.35,200
2005-02-23,1.35,1.36,1.35,1.36,110
