date,open,high,low,close,volume
2019-03-15,,,,,0
2019-03-14,9.9,9.9,9.9,9.9,200
2019-03-13,9.3,9.3,9.3,9.3,0
2019-03-12,9.3,9.3,9.3,9.3,600
2019-03-11,9.3,9.3,9.3,9.3,0
2019-03-08,9.3,9.3,9.3,9.3,0
2019-03-07,9.3,9.3,9.3,9.3,100
2019-03-06,9.3,9.3,9.3,9.3,0
2019-03-05,9.3,9.3,9.3,9.3,0
2019-03-04,9.3,9.3,9.3,9.3,100
2019-03-01,9.1,9.6,9.0,9.6,0
2019-02-28,9.1,9.6,9.0,9.6,1000
2019-02-27,9.5,9.5,9.5,9.5,0
2019-02-26,9.5,9.5,9.5,9.5,9100
2019-02-25,9.4,9.4,9.4,9.4,0
2019-02-22,9.4,9.4,9.4,9.4,0
2019-02-21,9.4,9.4,9.4,9.4,0
2019-02-20,9.4,9.4,9.4,9.4,0
2019-02-19,9.4,9.4,9.4,9.4,0
2019-02-18,9.4,9.4,9.4,9.4,0
2019-02-15,9.4,9.4,9.4,9.4,0
2019-02-14,9.4,9.4,9.4,9.4,0
2019-02-13,9.4,9.4,9.4,9.4,700
2019-02-12,9.0,9.0,9.0,9.0,0
2019-02-11,9.0,9.0,9.0,9.0,0
2019-02-01,9.0,9.0,9.0,9.0,0
2019-01-31,9.0,9.0,9.0,9.0,100
2019-01-30,9.9,9.9,9.9,9.9,130
2019-01-29,10.0,10.0,10.0,10.0,0
2019-01-28,10.0,10.0,10.0,10.0,500
2019-01-25,9.91,9.91,9.91,9.91,0
2019-01-24,9.91,9.91,9.91,9.91,100
2019-01-23,9.82,9.82,9.82,9.82,200
2019-01-22,9.73,9.82,9.73,9.82,400
2019-01-21,9.64,9.64,9.64,9.64,601
2019-01-18,9.55,9.55,9.55,9.55,0
2019-01-17,9.55,9.55,9.55,9.55,30
2019-01-16,9.55,9.55,9.55,9.55,0
2019-01-15,9.55,9.55,9.55,9.55,500
2019-01-14,9.64,9.64,9.55,9.55,0
2019-01-11,9.64,9.64,9.55,9.55,5000
2019-01-10,9.64,9.64,9.64,9.64,0
2019-01-09,9.64,9.64,9.64,9.64,0
2019-01-08,9.64,9.64,9.64,9.64,0
2019-01-07,9.64,9.64,9.64,9.64,0
2019-01-04,9.64,9.64,9.64,9.64,0
2019-01-03,9.64,9.64,9.64,9.64,0
2019-01-02,9.64,9.64,9.64,9.64,0
2018-12-28,9.64,9.64,9.64,9.64,200
2018-12-27,9.64,9.64,9.64,9.64,0
2018-12-26,9.64,9.64,9.64,9.64,100
2018-12-25,9.64,9.64,9.64,9.64,900
2018-12-24,9.64,9.64,9.64,9.64,2400
2018-12-21,9.55,9.64,9.55,9.64,2000
2018-12-20,9.55,9.64,9.55,9.64,1900
2018-12-19,9.55,9.64,9.55,9.64,1100
2018-12-18,8.72,9.54,8.72,9.55,300
2018-12-17,9.36,9.45,9.36,9.45,300
2018-12-14,9.45,9.45,9.36,9.36,800
2018-12-13,9.36,9.36,9.36,9.36,100
2018-12-12,8.63,9.27,8.63,9.27,300
2018-12-11,8.45,9.36,8.45,9.36,200
2018-12-10,8.45,9.36,8.45,9.36,200
2018-12-07,8.18,9.36,8.18,9.36,0
2018-12-06,8.18,9.36,8.18,9.36,200
2018-12-05,9.09,9.09,9.09,9.09,0
2018-12-04,9.09,9.09,9.09,9.09,100
2018-12-03,9.63,9.63,9.63,9.64,0
2018-11-30,9.63,9.63,9.63,9.64,100
2018-11-29,8.45,9.45,8.45,9.45,200
2018-11-28,8.54,9.36,8.54,9.36,200
2018-11-27,9.27,9.27,9.27,9.27,0
2018-11-26,9.27,9.27,9.27,9.27,0
2018-11-23,9.27,9.27,9.27,9.27,0
2018-11-22,9.27,9.27,9.27,9.27,0
2018-11-21,9.27,9.27,9.27,9.27,0
2018-11-20,9.27,9.27,9.27,9.27,0
2018-11-19,9.27,9.27,9.27,9.27,0
2018-11-16,9.27,9.27,9.27,9.27,0
2018-11-15,9.27,9.27,9.27,9.27,0
2018-11-14,9.27,9.27,9.27,9.27,0
2018-11-13,9.27,9.27,9.27,9.27,0
2018-11-12,9.27,9.27,9.27,9.27,0
2018-11-09,9.27,9.27,9.27,9.27,0
2018-11-08,9.27,9.27,9.27,9.27,0
2018-11-07,9.27,9.27,9.27,9.27,100
2018-11-06,9.09,9.09,9.09,9.09,600
2018-11-05,8.27,8.27,8.27,8.27,0
2018-11-02,8.27,8.27,8.27,8.27,100
2018-11-01,9.09,9.09,9.09,9.09,0
2018-10-31,9.09,9.09,9.09,9.09,0
2018-10-30,9.09,9.09,9.09,9.09,400
2018-10-29,9.09,9.09,9.09,9.09,200
2018-10-26,8.36,8.36,8.36,8.36,0
2018-10-25,8.36,8.36,8.36,8.36,0
2018-10-24,8.36,8.36,8.36,8.36,0
2018-10-23,8.36,8.36,8.36,8.36,100
2018-10-22,10.46,10.46,9.19,9.18,0
2018-10-19,10.46,10.46,9.19,9.18,0
2018-10-18,10.46,10.46,9.19,9.18,200
2018-10-17,9.54,9.54,9.54,9.55,0
2018-10-16,9.54,9.54,9.54,9.55,0
2018-10-15,9.54,9.54,9.54,9.55,0
