date,open,high,low,close,volume
2009-06-25,18.52,20.63,17.27,19.29,1828600
2009-06-26,19.91,20.15,19.1,19.1,1163400
2009-06-29,19.39,20.11,19.1,19.33,1534300
2009-06-30,19.43,19.52,18.08,18.09,867200
2009-07-01,17.51,17.66,17.51,17.51,1488400
2009-07-02,16.31,17.75,16.31,16.79,1581200
2009-07-03,16.31,16.74,15.59,16.65,901100
2009-07-06,16.51,17.61,16.51,17.61,1293600
2009-07-07,18.47,18.47,17.37,17.75,594100
2009-07-08,17.41,17.75,16.79,17.18,197000
2009-07-09,17.28,17.42,16.84,16.84,410500
2009-07-10,17.22,18.42,17.22,18.42,3845100
2009-07-13,18.23,18.95,17.51,17.99,591400
2009-07-14,18.47,18.57,16.98,17.61,557500
2009-07-15,18.47,18.47,17.08,17.27,605600
2009-07-16,18.42,18.47,17.08,17.46,392400
2009-07-17,17.17,17.22,16.5,16.79,140200
2009-07-20,15.83,15.83,15.69,15.69,49500
2009-07-21,15.83,15.83,14.63,14.83,227200
2009-07-22,15.26,16.08,14.88,15.11,474400
2009-07-23,15.83,16.41,15.16,16.22,953400
2009-07-24,17.13,17.13,17.13,17.13,539000
2009-07-27,18.23,18.28,17.75,18.28,1054200
2009-07-28,18.47,18.95,17.08,17.27,730800
2009-07-29,17.75,17.75,16.98,17.03,579200
2009-07-30,17.17,17.41,16.26,16.31,540800
2009-07-31,17.27,17.65,16.69,16.84,569600
2009-08-03,17.18,17.18,16.17,16.31,393300
2009-08-04,17.13,17.13,16.41,16.55,471700
2009-08-05,16.55,16.89,16.21,16.6,309600
2009-08-06,16.6,16.74,16.17,16.31,579100
2009-08-07,15.59,16.65,15.59,15.98,279000
2009-08-10,16.51,16.7,15.31,16.46,567800
2009-08-11,16.46,16.46,15.79,15.88,592500
2009-08-12,15.93,16.17,15.59,15.78,633500
2009-08-13,16.31,16.55,15.97,16.07,464800
2009-08-14,16.55,16.79,15.83,15.83,461700
2009-08-17,16.26,16.26,15.35,15.78,602400
2009-08-18,15.35,15.59,14.77,15.45,396500
2009-08-19,16.03,16.07,15.59,15.74,482200
2009-08-20,15.84,15.84,15.31,15.45,336100
2009-08-21,15.99,16.63,15.79,16.47,882800
2009-08-24,17.25,17.4,16.57,16.62,504300
2009-08-25,17.16,17.21,16.18,16.86,379800
2009-08-26,16.76,16.81,16.37,16.57,318600
2009-08-27,16.62,16.62,16.08,16.32,349800
2009-08-28,16.42,16.71,16.32,16.57,310700
2009-08-31,16.82,17.16,16.57,16.66,403600
2009-09-01,16.91,16.95,16.17,16.47,403200
2009-09-03,16.62,16.62,16.13,16.17,317400
2009-09-04,16.22,16.32,15.44,15.68,176700
2009-09-07,15.93,16.17,14.85,15.19,378300
2009-09-08,15.58,15.63,15.19,15.44,372100
2009-09-09,15.69,15.83,15.44,15.54,361100
2009-09-10,15.69,15.83,15.34,15.83,565600
2009-09-11,16.17,16.61,16.17,16.62,439000
2009-09-14,17.75,17.75,16.18,17.64,714400
2009-09-15,17.64,17.69,16.71,17.64,1010200
2009-09-16,18.13,18.52,17.89,18.33,1172100
2009-09-17,18.82,18.92,18.23,18.48,1168000
2009-09-18,18.48,19.36,17.65,19.31,1889600
2009-09-21,20.34,20.34,19.51,20.34,1540400
2009-09-22,20.59,21.61,20.09,21.62,1422800
2009-09-23,22.75,22.75,20.1,21.03,1591500
2009-09-24,20.64,21.08,20.64,20.63,839700
2009-09-25,19.6,22.1,19.26,20.83,2132400
2009-09-28,22.06,22.06,20.58,20.78,1026000
2009-09-29,21.47,22.05,20.09,20.78,648700
2009-09-30,21.07,21.42,19.6,20.0,708000
2009-10-01,20.1,20.29,18.87,19.02,608600
2009-10-02,18.87,19.56,18.09,19.41,1661500
2009-10-05,19.21,19.61,17.89,18.23,573000
2009-10-06,18.62,19.85,18.03,18.18,737500
2009-10-07,19.11,19.31,18.28,19.26,900500
2009-10-08,19.36,19.36,18.28,19.02,1044600
2009-10-09,19.07,19.41,18.73,19.02,1259700
2009-10-12,19.61,20.2,19.12,20.19,2428900
2009-10-13,20.58,20.97,19.85,20.14,1733700
2009-10-14,20.58,20.78,20.24,20.59,1254900
2009-10-15,21.08,21.86,20.54,20.78,1526000
2009-10-16,20.83,20.83,19.41,19.41,1218800
2009-10-19,20.34,20.59,18.82,18.87,1068600
2009-10-20,20.1,20.1,18.62,19.36,1076200
2009-10-21,19.46,19.46,18.38,18.87,1115700
2009-10-22,18.87,19.51,18.58,19.12,1502200
2009-10-23,19.37,19.37,18.14,18.48,794700
2009-10-26,18.48,19.02,18.09,18.23,744300
2009-10-27,18.52,19.06,17.4,18.04,1392800
2009-10-28,18.53,18.53,17.65,18.09,1013400
2009-10-29,18.09,18.48,16.91,17.25,954600
2009-10-30,17.64,18.72,17.59,17.64,788700
2009-11-02,17.64,18.03,16.91,16.91,461400
2009-11-03,16.66,17.25,16.22,16.27,1306000
2009-11-04,16.17,17.45,15.78,17.45,2235600
2009-11-05,17.79,18.04,17.35,18.04,1214300
2009-11-06,18.63,19.07,17.89,18.09,874700
2009-11-09,17.65,18.04,17.55,17.55,860100
2009-11-10,18.09,18.09,16.52,17.15,385300
2009-11-11,17.35,18.67,16.91,18.18,1274900
2009-11-12,18.62,19.01,18.08,18.28,671900
2009-11-13,18.43,18.43,17.64,17.89,553100
2009-11-16,18.38,18.72,18.09,18.23,601300
2009-11-17,18.62,18.97,17.89,18.04,427200
2009-11-18,18.68,18.87,17.84,18.33,565300
2009-11-19,17.94,18.58,17.94,18.43,600100
2009-11-20,18.58,18.68,18.14,18.18,356200
2009-11-23,18.47,18.57,17.54,17.64,306900
2009-11-24,17.64,18.38,17.44,17.6,163200
2009-11-25,17.31,17.31,16.82,16.81,33700
2009-11-26,16.17,16.17,15.73,15.73,95300
2009-11-27,14.65,16.56,14.65,15.39,893100
2009-11-30,15.98,17.06,15.68,17.06,791700
2009-12-01,17.11,17.5,16.67,17.5,491600
2009-12-02,17.99,18.09,16.27,16.52,159100
2009-12-03,17.3,18.04,16.37,16.71,194000
2009-12-04,17.05,17.15,16.51,16.66,89400
2009-12-07,17.15,17.15,16.17,16.37,30200
2009-12-08,16.17,16.17,15.1,15.39,141600
2009-12-09,14.7,14.7,14.16,14.16,207300
2009-12-10,13.72,15.14,13.52,13.72,118300
2009-12-11,14.11,14.46,13.03,13.04,283800
2009-12-14,12.84,14.41,12.84,14.41,183200
2009-12-15,14.7,14.7,13.82,13.82,39000
2009-12-16,13.82,13.82,13.08,13.09,93600
2009-12-17,12.26,12.75,12.26,12.35,137000
2009-12-18,12.25,13.09,12.25,13.09,312200
2009-12-21,13.83,13.83,13.34,13.82,238600
2009-12-22,14.46,14.46,13.43,13.43,59900
2009-12-23,12.99,13.68,12.89,13.43,255600
2009-12-24,13.23,13.77,12.79,13.72,288000
2009-12-25,14.11,14.5,13.77,14.21,491000
2009-12-28,14.21,14.21,13.43,13.43,84700
2009-12-29,13.68,13.68,12.84,12.84,104300
2009-12-30,12.74,13.43,12.74,13.14,222000
2009-12-31,13.34,13.63,12.85,13.09,221500
2010-01-04,13.68,14.17,13.68,14.16,231300
2010-01-05,15.09,15.09,14.89,15.1,478100
2010-01-06,15.44,16.13,15.2,16.13,751800
2010-01-07,17.01,17.01,16.18,17.01,483600
2010-01-08,17.65,17.65,15.78,16.13,331000
2010-01-11,16.33,16.42,15.2,15.19,274500
2010-01-12,14.9,14.95,14.26,14.26,353000
2010-01-13,13.72,15.53,13.57,14.21,366700
2010-01-14,14.85,14.9,14.55,14.9,193400
2010-01-15,15.44,15.44,14.07,14.31,101600
2010-01-18,14.21,14.21,13.48,13.63,180400
2010-01-19,13.09,13.97,13.09,13.82,125800
2010-01-20,13.97,13.97,13.28,13.53,93900
2010-01-21,13.24,13.48,12.75,13.04,143700
2010-01-22,13.04,13.48,12.65,13.23,121200
2010-01-25,13.43,13.92,13.03,13.92,171000
2010-01-26,13.72,14.51,13.72,14.51,105700
2010-01-27,14.95,15.2,13.63,13.63,63500
2010-01-28,13.58,13.92,13.58,13.82,218300
2010-01-29,13.72,13.92,13.72,13.87,73800
2010-02-01,14.46,14.65,14.12,14.36,206100
2010-02-02,14.7,14.7,14.21,14.36,186300
2010-02-03,14.7,15.1,14.41,14.95,329300
2010-02-04,15.2,15.44,14.95,15.24,168200
2010-02-05,15.29,15.29,14.6,14.61,286100
2010-02-08,14.76,14.76,14.41,14.7,328100
2010-02-09,14.21,14.55,13.57,14.56,264700
2010-02-10,14.71,15.36,14.71,15.39,96700
2010-02-11,16.42,16.42,15.9,16.41,305200
2010-02-12,16.85,17.22,16.7,17.07,172200
2010-02-22,17.0,17.95,17.0,17.73,268600
2010-02-23,17.58,17.58,16.48,16.56,149400
2010-02-24,16.56,16.78,16.12,16.78,150100
2010-02-25,17.15,17.51,16.56,17.44,177700
2010-02-26,17.44,17.81,16.93,17.58,401800
2010-03-01,17.51,18.31,17.29,17.95,287600
2010-03-02,18.17,18.32,17.29,17.73,276600
2010-03-03,17.88,18.32,17.8,18.32,489400
2010-03-04,18.17,19.27,18.03,18.02,390500
2010-03-05,18.46,18.68,18.17,18.68,384000
2010-03-08,18.83,19.71,18.83,19.71,586400
2010-03-09,20.44,20.44,19.42,20.37,604400
2010-03-10,20.37,20.37,19.05,19.49,215900
2010-03-11,19.71,20.15,18.98,18.98,223000
2010-03-12,19.2,19.79,18.76,18.98,232300
2010-03-15,19.42,19.79,18.47,18.54,157100
2010-03-16,18.91,18.91,17.73,17.88,166000
2010-03-17,18.1,18.83,17.29,17.51,362300
2010-03-18,17.58,18.17,17.44,18.17,139200
2010-03-19,17.95,18.32,17.66,17.8,75600
2010-03-22,18.09,18.09,17.29,17.73,73400
2010-03-23,17.73,17.73,17.51,17.66,340700
2010-03-24,17.59,18.32,17.59,17.88,81000
2010-03-25,17.88,17.88,17.07,17.07,94300
2010-03-26,17.66,17.88,16.92,17.29,44900
2010-03-29,17.22,17.22,16.78,16.85,76200
2010-03-30,16.92,17.22,16.48,16.56,33400
2010-03-31,16.85,17.15,16.49,16.48,33000
2010-04-01,16.63,17.73,16.41,17.44,129700
2010-04-02,17.95,18.25,17.07,17.36,151400
2010-04-05,17.58,17.58,16.85,17.36,94800
2010-04-06,17.58,17.58,16.99,17.07,28000
2010-04-07,17.14,17.22,16.92,17.07,82600
2010-04-08,17.22,17.29,17.0,17.07,91100
2010-04-09,17.14,17.51,16.78,16.85,95400
2010-04-12,17.44,17.58,16.92,16.92,312500
2010-04-13,17.95,18.02,17.14,17.58,450100
2010-04-14,17.73,17.95,16.85,17.73,382100
2010-04-15,18.04,18.11,17.19,17.82,280200
2010-04-16,18.05,18.05,17.44,17.51,183800
2010-04-19,17.43,17.43,16.9,16.98,165900
2010-04-20,17.13,17.21,16.67,16.82,164900
2010-04-21,16.9,17.28,16.67,17.28,208500
2010-04-22,17.51,18.05,17.28,18.05,447100
2010-04-26,18.05,18.43,17.67,17.67,244100
2010-04-27,17.67,18.05,17.59,17.67,180400
2010-04-28,17.82,18.44,17.52,17.51,88800
2010-04-29,17.97,17.97,17.36,17.59,100100
2010-05-04,18.05,18.05,17.28,17.67,265800
2010-05-05,17.82,17.82,17.13,17.44,115700
2010-05-06,17.82,17.82,17.36,17.59,100700
2010-05-07,17.59,17.59,16.9,17.05,187000
2010-05-10,16.9,16.97,16.59,16.75,108600
2010-05-11,17.06,17.83,17.06,17.21,155300
2010-05-12,16.9,17.13,16.36,16.44,211200
2010-05-13,16.52,16.9,16.44,16.44,38200
2010-05-14,16.9,16.9,16.36,16.59,51700
2010-05-17,16.51,16.51,16.05,16.06,158600
2010-05-18,15.68,15.98,15.37,15.52,80200
2010-05-19,15.29,15.29,14.52,14.67,189700
2010-05-20,14.75,15.59,13.83,15.59,600900
2010-05-21,15.74,15.74,14.21,14.6,97800
2010-05-24,15.21,15.6,14.98,15.59,181300
2010-05-25,15.59,16.05,15.44,15.67,191400
2010-05-26,16.13,16.75,16.05,16.29,221100
2010-05-27,15.75,16.29,15.44,16.13,150400
2010-05-28,16.13,16.9,16.13,16.59,130500
2010-05-31,16.9,16.9,15.44,15.67,44400
2010-06-01,15.75,15.9,15.52,15.52,122700
2010-06-02,14.6,14.98,14.6,14.9,1232800
2010-06-03,14.59,15.36,14.59,14.75,479600
2010-06-04,14.9,15.06,14.44,14.67,352700
2010-06-07,14.06,14.21,13.75,13.9,346200
2010-06-08,13.82,13.98,13.21,13.9,338300
2010-06-09,14.13,14.21,13.59,13.67,237400
2010-06-10,13.82,13.98,13.52,13.83,265900
2010-06-11,13.98,14.14,13.75,13.75,188500
2010-06-14,13.83,13.98,13.67,13.83,321000
2010-06-15,13.83,13.83,13.6,13.75,254600
2010-06-16,13.83,14.44,13.67,14.06,977800
2010-06-17,14.14,14.21,13.83,14.06,597100
2010-06-18,14.06,14.14,13.98,14.06,249600
2010-06-21,14.06,14.14,13.91,14.06,219200
2010-06-22,13.91,13.98,13.6,13.75,274200
2010-06-23,13.83,13.83,13.44,13.52,349400
2010-06-24,13.75,13.75,13.29,13.37,232700
2010-06-25,13.37,13.37,12.99,13.06,330500
2010-06-28,13.29,13.29,12.98,13.21,193700
2010-06-29,13.13,13.36,13.06,13.21,192900
2010-06-30,13.06,13.06,12.67,12.91,197700
2010-07-01,12.68,13.06,12.68,12.83,232700
2010-07-02,12.83,12.98,12.75,12.83,197400
2010-07-05,12.75,12.91,12.6,12.68,109000
2010-07-06,12.76,12.76,12.14,12.37,159000
2010-07-07,12.68,12.68,12.06,12.44,257000
2010-07-08,12.75,13.13,12.75,13.14,170500
2010-07-09,13.99,13.99,13.68,13.98,2031400
2010-07-12,14.44,14.59,13.44,14.37,946000
2010-07-13,14.22,14.98,13.91,14.98,1621200
2010-07-14,15.36,15.75,14.6,15.75,1875900
2010-07-15,15.52,16.29,14.98,15.44,1183200
2010-07-16,14.98,15.67,14.52,15.59,1424900
2010-07-19,14.59,15.05,14.59,14.83,768000
2010-07-20,14.91,14.98,14.45,14.6,369000
2010-07-21,14.83,14.91,14.22,14.83,731800
2010-07-22,14.6,14.91,13.98,14.67,298100
2010-07-23,14.67,14.98,14.29,14.44,134700
2010-07-26,14.59,14.75,13.9,14.13,93200
2010-07-27,14.13,14.51,13.9,13.9,185500
2010-07-28,14.13,14.13,13.52,13.9,271700
2010-07-29,13.75,14.13,13.75,14.13,138500
2010-07-30,14.05,14.05,13.82,13.83,118200
2010-08-02,14.14,14.14,13.52,13.6,208600
2010-08-03,14.06,14.06,13.52,13.52,126200
2010-08-04,13.75,13.75,13.37,13.37,123900
2010-08-05,13.45,13.6,13.14,13.29,166800
2010-08-06,13.29,13.29,12.91,13.06,114400
2010-08-09,13.52,13.75,12.52,12.83,119700
2010-08-10,13.29,13.83,12.37,12.83,281900
2010-08-11,13.06,13.44,12.68,12.68,183500
2010-08-12,13.06,13.22,12.3,12.29,218700
2010-08-13,12.6,13.06,12.06,12.68,573400
2010-08-16,12.91,13.6,12.83,13.6,669100
2010-08-17,13.83,13.83,12.83,13.06,297000
2010-08-18,12.91,13.06,12.68,12.75,140400
2010-08-19,12.9,12.9,12.52,12.68,256600
2010-08-20,12.83,13.06,12.3,12.52,198100
2010-08-23,12.75,12.98,12.29,12.29,148100
2010-08-24,12.29,12.29,11.83,11.83,156000
2010-08-25,11.14,12.6,11.14,11.52,618700
2010-08-26,11.29,12.36,11.29,12.14,239100
2010-08-27,11.53,12.22,11.53,11.52,238500
2010-08-30,11.98,12.83,11.98,12.83,549200
2010-08-31,12.75,13.21,12.68,12.91,506700
2010-09-01,13.14,13.22,12.3,12.98,619300
2010-09-06,13.21,13.82,13.06,13.6,619600
2010-09-07,13.68,13.83,13.06,13.06,322500
2010-09-08,12.68,13.37,12.6,12.91,201300
2010-09-09,13.22,13.45,12.83,13.14,133800
2010-09-10,13.37,13.37,12.29,12.37,378600
2010-09-13,12.06,12.6,11.83,11.91,119700
2010-09-14,12.22,12.29,11.91,12.06,126500
2010-09-15,12.14,12.21,11.75,11.83,117000
2010-09-16,11.83,12.21,11.68,11.98,114700
2010-09-17,12.29,12.75,12.13,12.52,367300
2010-09-20,12.52,13.06,12.29,12.29,113700
2010-09-21,12.6,12.75,11.98,12.06,129300
2010-09-22,12.29,12.44,12.06,12.06,84700
2010-09-23,12.06,12.14,11.75,12.06,101400
2010-09-24,11.98,12.21,11.83,11.91,157400
2010-09-27,12.14,12.45,11.91,11.98,89400
2010-09-28,12.29,12.36,12.13,12.21,188100
2010-09-29,12.29,12.29,11.52,11.6,140500
2010-09-30,11.91,12.21,11.68,11.83,112100
2010-10-01,12.14,12.14,11.52,11.52,83300
2010-10-04,11.98,12.06,11.21,11.22,222900
2010-10-05,11.53,11.68,10.84,11.52,187800
2010-10-06,11.52,12.13,11.44,11.83,227700
2010-10-07,11.83,11.83,11.22,11.22,198800
2010-10-08,11.45,11.53,11.07,11.22,78000
2010-10-11,11.3,11.45,10.91,11.37,116100
2010-10-12,11.29,11.29,10.91,10.99,108200
2010-10-13,11.22,11.3,10.84,10.99,101800
2010-10-14,11.14,11.22,10.91,11.06,77200
2010-10-15,11.14,11.21,10.91,11.14,94100
2010-10-18,11.22,11.22,10.83,10.91,51000
2010-10-19,11.14,11.14,10.6,10.6,103700
2010-10-20,10.75,10.83,10.22,10.22,128900
2010-10-21,10.37,10.76,10.22,10.37,109400
2010-10-22,10.6,10.75,9.99,10.45,177200
2010-10-25,10.37,10.45,10.07,10.37,65800
2010-10-26,10.37,11.06,10.37,10.6,398300
2010-10-27,10.68,10.75,10.29,10.29,121300
2010-10-28,10.44,10.44,10.06,10.06,50000
