date,open,high,low,close,volume
2012-09-26,11.7,11.7,10.5,11.7,31600
2012-09-27,12.2,12.3,11.6,12.1,27500
2012-09-28,12.3,12.3,12.0,12.3,29000
2012-10-01,12.2,12.2,12.2,12.2,10400
2012-10-02,11.8,11.8,11.7,11.7,14500
2012-10-03,11.5,11.7,11.3,11.3,16200
2012-10-04,11.0,11.2,10.6,10.6,25400
2012-10-05,9.9,10.3,9.9,9.9,32400
2012-10-08,9.5,9.6,9.3,9.4,83100
2012-10-09,9.4,9.5,8.8,9.4,62900
2012-10-10,9.2,9.3,9.0,9.0,34500
2012-10-11,9.0,9.6,9.0,9.6,82000
2012-10-12,9.6,9.8,9.0,9.0,49300
2012-10-15,9.0,9.0,8.5,8.5,62800
2012-10-16,8.8,9.2,8.3,9.2,64200
2012-10-17,9.2,9.2,8.7,8.7,14200
2012-10-18,8.5,8.9,8.3,8.6,77500
2012-10-19,8.1,8.3,8.1,8.2,45700
2012-10-22,8.3,8.3,8.0,8.2,32000
2012-10-23,8.2,8.3,8.1,8.3,26500
2012-10-24,8.3,8.3,8.3,8.3,11000
2012-10-25,8.3,8.3,8.2,8.2,23200
2012-10-26,8.2,8.3,8.1,8.3,30700
2012-10-29,8.3,8.3,8.3,8.3,6000
2012-10-30,8.3,8.4,8.3,8.3,29400
2012-10-31,8.3,8.4,8.3,8.4,28600
2012-11-01,8.5,8.5,8.4,8.4,21000
2012-11-02,8.3,8.3,8.1,8.1,17000
2012-11-05,8.2,8.2,8.1,8.2,39300
2012-11-06,8.1,8.2,8.0,8.1,33600
2012-11-07,8.6,8.6,8.6,8.6,100
2012-11-13,8.9,8.9,8.9,8.9,100
2012-11-14,9.5,9.5,9.5,9.5,100
2012-11-20,10.1,10.1,10.1,10.1,2000
2012-11-21,10.1,10.8,10.1,10.8,39000
2012-11-22,11.5,11.5,11.5,11.5,2000
2012-11-23,12.2,12.3,12.2,12.3,8500
2012-11-26,12.9,13.1,12.9,13.1,93200
2012-11-27,14.0,14.0,14.0,14.0,196900
2012-11-28,14.1,14.1,14.0,14.0,104000
2012-11-29,14.2,14.3,14.0,14.0,135900
2012-11-30,14.0,14.0,14.0,14.0,47300
2012-12-03,14.1,14.1,14.0,14.0,60800
2012-12-04,14.1,14.3,14.0,14.0,69500
2012-12-05,14.1,14.1,14.0,14.0,70700
2012-12-06,14.1,14.1,13.8,13.8,75700
2012-12-07,13.6,13.9,13.5,13.9,57000
2012-12-10,13.7,14.0,13.5,13.8,54700
2012-12-11,13.9,13.9,13.9,13.9,50400
2012-12-12,13.4,13.8,13.0,13.8,50500
2012-12-13,13.8,13.8,13.8,13.8,51300
2012-12-14,13.8,13.8,13.7,13.7,46900
2012-12-17,13.8,13.8,13.0,13.0,47800
2012-12-18,13.8,13.8,12.3,13.8,46600
2012-12-19,14.0,14.0,13.8,13.8,48800
2012-12-20,13.9,13.9,13.1,13.7,53200
2012-12-21,13.9,13.9,13.7,13.7,46500
2012-12-24,13.6,13.6,12.9,13.4,39800
2012-12-25,13.5,13.5,12.6,12.9,59100
2012-12-26,13.2,13.4,12.1,13.2,56800
2012-12-27,13.1,14.1,12.6,14.1,341500
2012-12-28,13.0,14.8,13.0,14.8,66800
2013-01-02,14.9,15.1,14.0,15.1,51200
2013-01-03,15.2,15.2,14.3,15.1,65700
2013-01-04,15.1,16.1,15.1,16.1,67800
2013-01-07,16.8,16.9,16.5,16.9,51300
2013-01-08,17.8,17.9,17.8,17.9,55000
2013-01-09,17.9,17.9,16.7,16.7,51600
2013-01-10,17.0,17.0,15.7,15.7,23400
2013-01-11,16.1,16.7,14.7,16.7,54800
2013-01-14,16.7,17.8,15.6,17.8,51700
2013-01-15,16.2,19.5,16.2,19.5,47500
2013-01-16,19.0,19.6,17.7,19.1,48000
2013-01-17,17.2,20.4,17.2,20.4,51700
2013-01-18,18.6,22.4,18.4,19.0,52900
2013-01-21,21.0,21.0,17.5,20.9,26100
