date,open,high,low,close,volume
2005-03-01,7.27,7.27,7.27,7.27,27280
2005-03-02,7.36,7.55,7.36,7.55,15580
2005-03-03,7.76,7.76,7.67,7.67,7260
2005-03-04,7.67,7.67,7.65,7.65,14880
2005-03-07,7.65,7.67,7.65,7.67,4230
2005-03-08,7.67,7.67,7.5,7.51,8690
2005-03-09,7.51,7.51,7.51,7.51,2100
2005-03-10,7.51,7.51,7.51,7.51,1000
2005-03-11,7.51,7.56,7.51,7.55,1500
2005-03-14,7.55,7.55,7.55,7.55,4500
2005-03-15,7.55,7.67,7.55,7.67,15450
2005-03-16,7.67,7.74,7.67,7.74,7410
2005-03-17,7.79,7.79,7.74,7.74,6900
2005-03-18,7.79,7.79,7.79,7.79,23530
2005-03-21,7.79,7.79,7.79,7.79,9200
2005-03-22,7.79,8.1,7.79,8.1,15470
2005-03-23,8.1,8.1,8.1,8.1,21590
2005-03-24,8.27,8.27,8.27,8.26,13910
2005-03-25,8.38,8.38,8.26,8.26,4140
2005-03-28,8.26,8.26,8.21,8.22,7260
2005-03-29,8.08,8.17,8.08,8.17,4430
2005-03-30,8.26,8.26,8.24,8.24,13910
2005-03-31,8.26,8.26,8.26,8.26,11630
2005-04-01,8.26,8.26,8.24,8.24,10180
2005-04-04,8.24,8.24,8.19,8.19,1500
2005-04-05,8.21,8.24,8.21,8.24,5600
2005-04-06,8.24,8.24,8.22,8.22,6500
2005-04-07,8.22,8.22,8.2,8.19,16060
2005-04-08,8.19,8.19,8.19,8.19,5470
2005-04-11,8.19,8.19,8.19,8.19,1010
2005-04-12,8.19,8.21,8.19,8.22,6260
2005-04-13,8.2,8.2,8.2,8.19,7920
2005-04-14,8.17,8.19,8.17,8.19,6000
2005-04-15,8.19,8.19,8.19,8.19,2050
2005-04-18,8.19,8.19,8.17,8.17,4120
2005-04-19,8.17,8.17,8.17,8.17,4270
2005-04-20,8.17,8.17,8.15,8.14,7020
2005-04-21,8.14,8.16,8.14,8.17,16250
2005-04-22,8.17,8.17,8.17,8.17,1560
2005-04-25,8.17,8.17,8.17,8.17,7350
2005-04-26,8.17,8.22,8.17,8.22,1580
2005-04-27,8.57,8.57,8.27,8.26,3030
2005-04-28,8.21,8.26,8.21,8.26,2180
2005-04-29,8.21,8.21,8.21,8.22,7500
2005-05-04,8.22,8.24,8.22,8.24,10
2005-05-05,8.24,8.24,8.19,8.19,3000
2005-05-06,8.21,8.21,8.21,8.22,4650
2005-05-09,8.22,8.22,8.17,8.17,8000
2005-05-10,8.22,8.22,8.19,8.19,3510
2005-05-11,8.17,8.17,8.17,8.17,9000
2005-05-12,8.15,8.15,8.15,8.14,4230
2005-05-13,8.16,8.16,8.16,8.17,7510
2005-05-16,8.17,8.17,8.15,8.14,1400
2005-05-17,8.12,8.12,8.05,8.05,4000
2005-05-18,8.05,8.05,8.05,8.05,920
2005-05-19,8.05,8.12,8.05,8.12,1530
2005-05-20,8.17,8.17,8.17,8.17,9690
2005-05-23,8.15,8.17,8.15,8.17,3700
2005-05-24,8.17,8.19,8.17,8.19,10
2005-05-25,8.19,8.19,8.19,8.19,3000
2005-05-26,8.19,8.19,8.17,8.17,1150
2005-05-27,8.17,8.22,8.17,8.22,10
2005-05-30,8.17,8.17,8.17,8.17,4840
2005-05-31,8.19,8.19,8.19,8.19,2800
2005-06-01,8.14,8.21,8.14,8.22,10330
2005-06-02,8.22,8.27,8.22,8.26,1010
2005-06-03,8.35,8.35,8.26,8.26,3560
2005-06-06,8.26,8.26,8.26,8.26,2610
2005-06-07,8.31,8.33,8.31,8.33,900
2005-06-08,8.35,8.38,8.35,8.38,6770
2005-06-09,8.4,8.4,8.4,8.4,11280
2005-06-10,8.4,8.4,8.4,8.4,1500
2005-06-13,8.4,8.4,8.38,8.38,100
2005-06-15,8.38,8.38,8.38,8.38,20700
2005-06-16,8.38,8.38,8.38,8.38,5380
2005-06-17,8.38,8.38,8.38,8.38,100
2005-06-20,8.38,8.4,8.38,8.4,22800
2005-06-21,8.42,8.45,8.42,8.45,5530
2005-06-22,8.8,8.8,8.45,8.45,600
2005-06-23,8.45,8.47,8.45,8.48,520
2005-06-24,8.46,8.46,8.46,8.45,7280
2005-06-27,8.45,8.45,8.45,8.45,12700
2005-06-28,8.26,8.26,8.24,8.24,4700
2005-06-29,8.24,8.24,8.24,8.24,5030
2005-06-30,8.43,8.43,8.43,8.43,150
2005-07-01,8.36,8.36,8.36,8.36,10530
2005-07-04,8.36,8.36,8.36,8.36,2670
2005-07-05,8.34,8.36,8.34,8.36,350
2005-07-06,8.38,8.38,8.38,8.38,100
2005-07-07,8.36,8.36,8.33,8.33,13120
2005-07-08,8.33,8.35,8.33,8.36,9980
2005-07-11,8.36,8.36,8.36,8.36,6850
2005-07-12,8.36,8.36,8.36,8.36,20360
2005-07-13,8.36,8.38,8.36,8.38,7000
2005-07-14,8.43,8.43,8.43,8.43,11280
2005-07-15,8.45,8.45,8.45,8.45,7980
2005-07-18,8.45,8.45,8.45,8.45,1930
2005-07-19,8.45,8.47,8.45,8.48,3450
2005-07-20,8.5,8.5,8.5,8.5,21800
2005-07-21,8.5,8.57,8.5,8.57,7640
2005-07-22,8.57,8.57,8.57,8.57,3650
2005-07-25,8.62,8.62,8.62,8.62,860
2005-07-26,8.62,8.62,8.57,8.57,5580
2005-07-27,8.57,8.57,8.57,8.57,7650
2005-07-28,8.57,8.57,8.57,8.57,9080
2005-07-29,8.57,8.69,8.57,8.69,39030
2005-08-01,8.76,8.76,8.76,8.76,15030
2005-08-02,8.76,9.11,8.76,9.11,500
2005-08-03,8.73,9.11,8.73,9.11,2850
2005-08-04,9.42,9.42,9.42,9.42,900
2005-08-05,9.42,9.42,9.21,9.21,50
2005-08-08,9.21,9.21,9.0,8.99,900
2005-08-09,9.04,9.06,9.04,9.07,4270
2005-08-10,9.07,9.09,9.07,9.09,700
2005-08-11,9.09,9.09,9.04,9.04,2000
2005-08-12,9.04,9.04,9.04,9.04,470
2005-08-15,9.09,9.09,9.09,9.09,21790
2005-08-16,9.09,9.09,9.09,9.09,5700
2005-08-17,9.04,9.04,9.04,9.04,670
2005-08-18,9.04,9.04,8.97,8.97,1500
2005-08-19,8.99,9.04,8.99,9.04,7230
2005-08-22,9.04,9.09,9.04,9.09,8300
2005-08-23,9.09,9.18,9.09,9.18,16350
2005-08-24,9.18,9.2,9.18,9.21,8400
2005-08-25,9.21,9.21,9.21,9.21,6010
2005-08-29,9.21,9.26,9.21,9.25,16120
2005-08-30,9.25,9.25,9.25,9.25,7220
2005-08-31,9.32,9.37,9.32,9.37,13410
2005-09-01,9.44,9.44,9.44,9.44,7040
2005-09-05,9.44,9.44,9.44,9.44,10000
2005-09-06,9.44,9.91,9.44,9.92,10
2005-09-07,9.92,9.92,9.85,9.84,250
2005-09-08,9.91,9.91,9.86,9.87,2340
2005-09-09,9.87,9.92,9.87,9.92,11660
2005-09-12,9.92,9.97,9.92,9.96,5500
2005-09-13,9.96,10.15,9.96,10.15,16420
2005-09-15,10.1,10.15,10.1,10.15,3040
2005-09-16,10.39,10.39,10.15,10.15,2220
2005-09-19,10.17,10.39,10.17,10.39,11960
2005-09-20,10.63,10.86,10.63,10.86,13930
2005-09-21,10.86,10.86,10.32,10.32,5800
2005-09-22,10.3,10.79,10.3,10.79,4610
2005-09-23,10.79,10.79,10.79,10.79,1100
2005-09-26,10.51,10.51,10.51,10.51,2440
2005-09-27,10.51,10.63,10.51,10.62,5000
