date,open,high,low,close,volume
2019-04-05,16.4,16.6,16.2,16.25,81910
2019-04-04,16.1,16.8,16.1,16.4,151510
2019-04-03,16.1,16.65,16.1,16.1,46680
2019-04-02,17.4,17.4,16.3,16.45,93040
2019-04-01,16.2,16.75,15.8,16.7,123850
2019-03-29,15.4,16.4,15.4,16.2,75910
2019-03-28,16.4,16.4,15.7,15.8,146440
2019-03-27,15.05,16.35,15.05,16.35,154760
2019-03-26,15.2,15.9,15.2,15.3,268880
2019-03-25,17.5,17.5,16.3,16.3,305200
2019-03-22,16.4,17.6,16.4,17.5,594160
2019-03-21,15.6,16.45,15.4,16.45,561890
2019-03-20,14.7,15.4,14.4,15.4,220550
2019-03-19,14.3,14.65,14.3,14.6,134560
2019-03-18,14.75,14.8,14.2,14.5,182310
2019-03-15,14.9,15.1,14.5,14.7,267670
2019-03-14,14.6,15.0,14.35,14.9,137890
2019-03-13,15.0,15.0,14.2,14.8,142590
2019-03-12,14.1,14.75,14.0,14.75,641940
2019-03-11,12.9,13.8,12.9,13.8,278650
2019-03-08,12.75,13.1,12.75,12.9,111620
2019-03-07,12.4,12.4,11.35,12.4,267080
2019-03-06,11.3,11.8,11.3,11.6,33470
2019-03-05,11.35,11.5,11.1,11.5,56010
2019-03-04,11.3,11.35,11.2,11.35,34570
2019-03-01,11.4,11.4,11.4,11.4,10
2019-02-28,11.3,11.3,11.1,11.1,28330
2019-02-27,11.4,11.4,11.35,11.35,9660
2019-02-26,11.35,11.6,11.3,11.4,26740
2019-02-25,11.75,11.75,11.3,11.45,6120
2019-02-22,11.2,11.65,11.2,11.35,4700
2019-02-21,11.4,11.8,11.4,11.7,11650
2019-02-20,11.5,11.8,11.5,11.7,240
2019-02-19,11.5,11.75,11.5,11.5,10110
2019-02-18,11.75,11.85,11.55,11.7,8130
2019-02-15,12.0,12.0,11.75,11.95,710
2019-02-14,11.4,11.9,11.4,11.9,44960
2019-02-13,11.45,12.0,11.35,11.35,12030
2019-02-12,12.2,12.2,11.6,12.0,6110
2019-02-11,11.9,12.15,11.2,11.9,19240
2019-02-01,11.8,12.2,11.8,12.0,26280
2019-01-31,15.2,15.3,15.1,15.1,0
2019-01-30,15.2,15.3,15.1,15.1,0
2019-01-29,15.2,15.3,15.1,15.1,0
2019-01-28,15.2,15.3,15.1,15.1,0
2019-01-25,15.2,15.3,15.1,15.1,0
2019-01-24,15.2,15.3,15.1,15.1,0
2019-01-23,15.2,15.3,15.1,15.1,0
2019-01-22,15.2,15.3,15.1,15.1,0
2019-01-21,15.2,15.3,15.1,15.1,0
2019-01-18,15.2,15.3,15.1,15.1,0
2019-01-17,15.2,15.3,15.1,15.1,0
2019-01-16,15.2,15.3,15.1,15.1,0
2019-01-15,15.2,15.3,15.1,15.1,0
