date,open,high,low,close,volume
2017-06-15,11.08,11.08,11.08,11.08,1541000
2017-06-16,11.85,11.85,11.85,11.85,708060
2017-06-19,12.31,12.31,11.04,11.04,335190
2017-06-20,10.27,10.27,10.27,10.27,35140
2017-06-21,9.58,9.58,9.58,9.58,2000
2017-06-22,8.93,8.93,8.93,8.92,6040
2017-06-23,8.3,8.3,8.3,8.31,1424080
2017-06-26,7.73,8.81,7.73,8.81,1471710
2017-06-27,8.81,9.0,8.19,8.19,1287780
2017-06-28,7.63,8.04,7.62,8.0,1799430
2017-06-29,8.0,8.46,7.96,8.42,677090
2017-06-30,8.23,8.3,8.04,8.12,635570
2017-07-03,8.08,8.08,7.89,7.92,432240
2017-07-04,7.92,8.15,7.69,7.92,695380
2017-07-05,7.92,8.07,7.69,7.88,801770
2017-07-06,7.88,7.92,7.69,7.73,510330
2017-07-07,7.73,7.88,7.65,7.73,459380
2017-07-10,7.73,7.77,7.69,7.77,404120
2017-07-11,7.77,7.85,7.69,7.81,345780
2017-07-12,7.77,7.81,7.73,7.73,407930
2017-07-13,7.69,8.15,7.69,8.08,1246500
2017-07-14,7.52,8.46,7.52,7.85,909290
2017-07-17,7.85,7.89,7.81,7.85,308780
2017-07-18,7.85,8.27,7.73,8.23,1787570
2017-07-19,8.23,8.27,8.15,8.19,161780
2017-07-20,8.19,8.19,8.15,8.15,202500
2017-07-21,8.11,8.19,8.11,8.15,384580
2017-07-24,8.15,8.15,8.07,8.12,142820
2017-07-25,8.12,8.16,8.08,8.12,130640
2017-07-26,8.12,8.12,7.85,7.88,160350
2017-07-27,7.88,7.88,7.38,7.38,109940
2017-07-28,6.92,7.88,6.86,6.88,119550
2017-07-31,7.35,7.36,6.93,7.15,237500
2017-08-01,7.65,7.65,6.92,7.65,247910
2017-08-02,8.07,8.07,7.23,7.88,140720
2017-08-03,7.35,8.0,7.35,7.85,185750
2017-08-04,7.85,7.85,7.39,7.85,200640
2017-08-07,7.62,8.35,7.31,8.35,830710
2017-08-08,7.85,8.93,7.85,8.92,386310
2017-08-09,9.5,9.54,9.23,9.54,1180170
2017-08-10,9.66,9.66,9.62,9.65,207280
2017-08-11,9.65,9.69,9.5,9.54,175140
2017-08-14,9.54,9.66,9.54,9.62,292320
2017-08-15,9.62,9.66,9.58,9.62,162550
2017-08-16,9.58,9.74,9.54,9.65,303860
2017-08-17,9.61,9.69,9.61,9.65,204010
2017-08-18,9.69,9.96,9.57,9.69,1083010
2017-08-21,9.69,10.34,9.61,10.35,1427730
2017-08-22,10.39,11.0,10.39,11.0,793050
2017-08-23,10.96,11.0,10.69,10.77,336920
2017-08-24,10.73,11.19,10.46,11.15,922330
2017-08-25,11.15,11.15,10.96,11.0,218600
2017-08-28,11.0,11.19,10.92,11.08,617310
2017-08-29,11.08,11.16,11.0,11.04,291750
2017-08-30,11.04,11.16,10.96,11.04,261630
2017-08-31,10.96,11.16,10.85,11.04,474620
2017-09-01,11.0,11.12,10.96,11.08,180660
2017-09-05,11.04,11.23,10.93,11.12,354950
2017-09-06,11.16,11.2,11.04,11.08,182380
2017-09-07,11.04,11.2,11.0,11.19,332190
2017-09-08,11.23,11.27,11.07,11.12,152440
2017-09-11,11.12,11.16,11.0,11.08,243550
2017-09-12,11.08,11.23,11.0,11.12,359300
2017-09-13,11.12,11.12,11.0,11.04,230380
2017-09-14,11.04,11.16,10.96,11.08,224570
2017-09-15,11.08,11.08,11.0,11.0,118950
2017-09-18,11.0,11.04,10.85,10.92,181630
2017-09-19,10.92,10.96,10.84,10.96,168630
2017-09-20,10.96,11.11,10.88,11.04,292770
2017-09-21,11.0,11.23,10.96,11.08,689240
2017-09-22,11.08,11.2,11.0,11.04,379600
2017-09-25,11.04,11.23,10.96,11.12,566450
2017-09-26,11.08,11.24,11.0,11.12,540360
2017-09-27,11.04,11.81,11.0,11.81,1108740
2017-09-28,11.85,11.96,11.35,11.46,848120
2017-09-29,11.46,11.5,11.11,11.15,232950
2017-10-02,11.07,11.34,11.03,11.23,686620
2017-10-03,11.23,11.27,11.08,11.15,318420
2017-10-04,11.11,11.15,10.84,11.12,640220
2017-10-05,11.12,11.24,10.97,11.15,465740
2017-10-06,11.15,11.23,11.0,11.12,433670
2017-10-09,11.12,11.2,11.04,11.08,381670
2017-10-10,11.08,11.23,10.93,11.15,529870
2017-10-11,11.15,11.19,11.03,11.15,322250
2017-10-12,11.15,11.27,11.03,11.15,343070
2017-10-13,11.15,11.23,11.07,11.15,305490
2017-10-16,11.15,11.27,11.03,11.19,291300
2017-10-17,11.19,11.23,11.07,11.15,292740
2017-10-18,11.11,11.19,11.03,11.12,132340
2017-10-19,11.12,11.31,11.04,11.27,432600
2017-10-20,11.27,11.31,11.08,11.19,300990
2017-10-23,11.19,11.23,11.04,11.12,330710
2017-10-24,11.12,11.16,11.08,11.15,223000
2017-10-25,11.15,11.19,11.07,11.15,175100
2017-10-26,11.15,11.19,11.07,11.12,217330
2017-10-27,11.12,11.16,11.08,11.12,164040
2017-10-30,11.12,11.16,11.08,11.12,198500
2017-10-31,11.12,11.16,10.93,11.08,312290
2017-11-01,11.08,11.12,11.04,11.04,350410
2017-11-02,11.04,11.08,10.39,11.08,535590
2017-11-03,11.08,11.12,10.96,11.08,280660
2017-11-06,11.08,11.08,10.39,10.38,318620
2017-11-07,10.0,10.15,9.69,9.69,408440
2017-11-08,9.04,9.07,9.04,9.04,164030
2017-11-09,8.73,9.66,8.42,9.65,1422710
2017-11-10,9.77,10.3,9.65,10.31,410590
2017-11-13,10.35,11.0,10.27,11.0,400790
2017-11-14,11.04,11.04,10.23,10.23,300530
2017-11-15,10.23,10.92,9.54,10.92,664190
2017-11-16,10.96,11.0,10.77,10.96,217210
2017-11-17,10.96,11.08,10.69,10.73,262590
2017-11-20,10.65,10.73,10.04,10.73,302400
2017-11-21,10.73,10.77,10.31,10.46,402550
2017-11-22,10.46,10.58,10.42,10.54,267580
2017-11-23,10.54,10.66,10.5,10.65,426750
2017-11-24,10.65,10.8,10.61,10.81,232250
2017-11-27,10.81,10.85,10.73,10.77,174450
