date,open,high,low,close,volume
2018-12-06,,,,31.0,0
2018-12-05,30.0,31.4,29.7,31.0,25790
2018-12-04,28.4,29.7,28.4,29.7,66890
2018-12-03,28.6,28.9,28.2,28.7,4910
2018-11-30,28.5,28.5,28.0,28.5,15060
2018-11-29,28.1,28.3,27.15,28.3,26150
2018-11-28,28.0,28.55,26.45,26.45,19980
2018-11-27,28.45,28.45,28.0,28.4,1950
2018-11-26,28.3,28.45,27.9,28.4,22080
2018-11-23,28.4,28.4,28.0,28.3,11990
2018-11-22,28.4,28.4,28.0,28.2,16500
2018-11-21,28.3,28.5,28.0,28.0,6520
2018-11-20,28.6,29.0,28.5,28.5,9260
2018-11-19,28.3,29.0,28.3,28.5,830
2018-11-16,28.2,28.5,28.1,28.1,1670
2018-11-15,28.45,28.5,28.2,28.4,6070
2018-11-14,28.0,28.3,27.7,28.25,30670
2018-11-13,28.0,28.15,27.5,27.5,42950
2018-11-12,27.8,28.2,27.8,28.15,17130
2018-11-09,28.25,28.25,28.15,28.2,70
2018-11-08,28.25,28.4,27.85,27.85,2050
2018-11-07,28.1,28.25,27.9,28.25,15530
2018-11-06,28.2,28.2,27.7,28.1,7350
2018-11-05,28.4,28.4,27.7,27.8,910
2018-11-02,28.2,28.35,28.0,28.2,24120
2018-11-01,28.2,29.0,27.7,28.15,6410
2018-10-31,27.5,28.15,27.5,28.15,24690
2018-10-30,28.45,28.45,27.9,27.9,19990
2018-10-29,28.0,28.5,28.0,28.3,6920
2018-10-26,27.3,28.5,27.3,27.95,19020
2018-10-25,27.3,27.85,26.5,27.85,13720
2018-10-24,27.95,27.95,27.5,27.85,1970
2018-10-23,28.1,28.1,27.3,27.7,30730
2018-10-22,28.3,28.3,27.7,27.7,3140
2018-10-19,28.1,28.3,27.5,27.7,9120
2018-10-18,28.1,28.3,28.1,28.3,5060
2018-10-17,28.45,28.6,27.4,28.45,2800
2018-10-16,27.0,27.95,26.9,27.9,10580
2018-10-15,28.9,28.9,26.85,26.85,14520
2018-10-12,28.4,28.85,28.35,28.85,7170
2018-10-11,28.75,29.1,28.4,28.75,27000
2018-10-10,29.2,29.35,29.0,29.35,4690
2018-10-09,29.15,29.3,28.8,29.3,10790
2018-10-08,29.1,29.15,28.8,29.1,4550
2018-10-05,29.1,29.4,28.8,29.1,9330
2018-10-04,28.8,29.1,28.8,29.1,3320
2018-10-03,29.1,29.3,28.7,29.1,820
2018-10-02,29.0,29.5,28.4,29.1,33320
2018-10-01,29.2,29.3,28.85,29.0,950
2018-09-28,28.55,29.4,28.55,29.4,7660
2018-09-27,29.0,29.6,29.0,29.0,2620
2018-09-26,28.5,29.75,28.5,29.6,4350
2018-09-25,29.3,29.97,29.3,29.3,19930
2018-09-24,29.97,30.16,29.63,29.97,28630
2018-09-21,29.97,30.31,29.78,30.16,7870
2018-09-20,30.55,30.55,29.78,30.26,13180
2018-09-19,30.36,30.6,30.26,30.55,9470
2018-09-18,30.16,30.35,29.59,30.36,11990
2018-09-17,29.59,30.36,29.2,30.21,9860
2018-09-14,29.3,29.78,28.82,29.78,13860
2018-09-13,28.43,29.2,28.43,29.2,25080
2018-09-12,28.05,28.43,28.05,28.43,15050
2018-09-11,27.76,28.15,27.76,28.05,18270
2018-09-10,27.62,27.62,27.33,27.57,4400
2018-09-07,27.33,27.66,26.9,27.38,5850
2018-09-06,27.14,27.38,26.42,27.28,4720
2018-09-05,27.86,27.86,27.14,27.14,3310
2018-09-04,28.0,28.14,27.38,27.38,7570
2018-08-31,28.14,28.14,27.86,28.0,5240
2018-08-30,28.14,28.33,27.95,28.0,16340
2018-08-29,27.38,28.34,27.24,27.95,30530
2018-08-28,26.37,26.9,26.13,26.9,16610
2018-08-27,25.94,26.13,25.84,26.13,8640
2018-08-24,25.74,25.93,25.74,25.84,1710
2018-08-23,25.46,25.75,25.41,25.74,3050
2018-08-22,25.36,25.69,25.17,25.41,16660
2018-08-21,25.65,25.65,25.02,25.31,5240
2018-08-20,25.84,25.84,24.98,25.31,25210
2018-08-17,24.97,25.16,24.88,24.88,17770
2018-08-16,25.26,25.26,24.97,25.26,4730
2018-08-15,25.36,25.36,24.78,25.26,7290
2018-08-14,25.65,25.65,24.98,25.36,9810
2018-08-13,25.46,25.46,24.98,25.36,10150
2018-08-10,25.46,25.46,25.46,25.46,4330
2018-08-09,25.65,25.65,25.17,25.36,9530
2018-08-08,25.75,25.84,25.17,25.65,19000
2018-08-07,25.55,25.84,25.17,25.65,10040
2018-08-06,26.03,26.37,25.46,25.55,6960
2018-08-03,26.32,26.32,26.13,26.32,90
2018-08-02,25.45,26.22,25.45,26.13,2720
2018-08-01,26.22,26.22,25.45,26.03,6120
2018-07-31,25.94,26.8,25.46,26.03,19050
2018-07-30,26.89,26.89,26.03,26.32,3480
2018-07-27,25.74,26.8,25.55,26.51,4300
2018-07-26,25.6,26.13,25.46,26.03,2160
2018-07-25,26.42,26.71,25.46,25.6,17840
2018-07-24,25.94,26.42,25.65,26.42,8180
2018-07-23,27.57,28.44,26.9,27.57,3450
2018-07-20,27.85,28.05,27.18,27.86,6750
2018-07-19,27.96,27.96,27.28,27.71,5100
2018-07-18,28.82,28.82,27.28,27.86,7620
2018-07-17,28.34,28.34,26.9,28.05,22620
2018-07-16,27.76,27.86,27.48,27.86,20880
2018-07-13,27.0,27.96,27.0,27.86,5180
2018-07-12,27.86,28.29,27.19,27.86,11600
