date,open,high,low,close,volume
2013-11-12,4.87,4.87,3.42,3.42,15000
2013-11-13,3.13,3.76,3.08,3.76,4300
2013-11-14,3.42,4.1,3.42,4.09,3200
2013-11-15,4.14,4.14,4.14,4.14,1000
2013-11-18,4.14,4.53,3.75,3.76,11100
2013-11-19,3.42,3.42,3.42,3.42,200
2013-11-20,3.08,3.47,3.08,3.42,4400
2013-11-21,3.08,3.42,3.08,3.42,23000
2013-11-22,3.56,3.61,3.18,3.18,600
2013-11-25,3.47,3.47,3.47,3.47,1000
2013-11-26,3.42,3.42,3.13,3.37,24600
2013-11-27,3.32,3.32,3.03,3.32,26800
2013-11-28,3.32,3.32,3.03,3.03,34700
2013-11-29,2.93,3.17,2.79,3.18,21000
2013-12-02,3.28,3.28,2.89,3.23,6200
2013-12-03,3.23,3.23,3.04,3.03,13600
2013-12-04,3.03,3.13,3.03,3.13,1300
2013-12-05,2.99,3.08,2.99,3.08,5300
2013-12-06,3.13,3.13,3.13,3.13,1500
2013-12-09,2.89,3.08,2.84,3.08,6800
2013-12-10,2.98,3.08,2.98,3.08,5700
2013-12-11,3.13,3.13,3.13,3.13,3000
2013-12-12,3.08,3.13,3.08,3.13,2500
2013-12-13,2.84,3.03,2.84,3.03,9400
2013-12-16,2.79,3.13,2.79,3.13,7800
2013-12-17,3.13,3.13,3.13,3.13,1100
2013-12-19,3.13,3.13,3.13,3.13,600
2013-12-23,3.13,3.13,3.13,3.13,1100
2013-12-24,2.84,2.84,2.84,2.84,100
2013-12-25,3.03,3.08,2.89,3.08,10800
2013-12-26,3.13,3.13,3.13,3.13,400
2014-01-06,2.84,3.08,2.84,3.08,1400
2014-01-07,2.84,2.84,2.79,2.79,8800
2014-01-08,2.79,2.98,2.6,2.99,5100
2014-01-09,3.09,3.09,3.09,3.08,1300
2014-01-15,2.79,2.79,2.79,2.79,2600
2014-01-16,2.79,2.84,2.6,2.84,6900
2014-01-17,2.98,2.98,2.98,2.99,2300
2014-01-21,2.7,2.89,2.7,2.89,600
2014-01-22,2.6,2.89,2.6,2.89,3400
2014-01-23,2.89,2.89,2.89,2.89,200
2014-02-06,2.65,2.89,2.65,2.89,300
2014-02-10,2.65,2.89,2.65,2.89,4200
2014-02-12,2.89,2.89,2.89,2.89,300
2014-02-13,3.08,3.08,2.89,2.89,500
2014-02-14,2.89,2.89,2.89,2.89,300
2014-02-17,3.08,3.08,3.08,3.08,200
2014-02-18,2.79,3.03,2.79,2.89,5200
2014-02-19,2.99,2.99,2.99,2.99,100
2014-02-21,2.8,2.89,2.8,2.89,1500
2014-02-24,2.75,2.75,2.75,2.74,100
2014-02-25,2.93,2.93,2.88,2.94,9200
2014-02-27,2.94,2.94,2.94,2.94,7100
2014-02-28,3.04,3.08,2.94,3.08,8100
2014-03-03,2.79,3.08,2.79,3.03,20100
2014-03-04,2.98,3.08,2.98,3.08,7100
2014-03-05,3.08,3.18,2.79,3.18,16200
2014-03-06,3.18,3.32,3.18,3.32,3200
2014-03-07,3.37,3.46,3.37,3.47,4100
2014-03-10,3.47,3.81,3.47,3.8,13900
2014-03-11,3.46,3.8,3.46,3.51,11200
2014-03-12,3.51,3.61,3.51,3.51,11000
2014-03-13,3.51,3.51,3.37,3.37,1300
2014-03-14,3.47,3.47,3.47,3.47,3000
2014-03-17,3.37,3.37,3.37,3.37,200
2014-03-18,3.56,3.61,3.56,3.61,3500
2014-03-19,3.61,3.61,3.61,3.61,11000
2014-03-20,3.61,3.61,3.42,3.42,2400
2014-03-21,3.52,3.52,3.52,3.51,1900
2014-03-24,3.51,3.51,3.51,3.51,2900
2014-03-25,3.41,3.41,3.41,3.42,3800
2014-03-26,3.47,3.71,3.47,3.71,1900
2014-03-27,3.42,3.42,3.42,3.42,1300
2014-03-28,3.37,3.37,3.37,3.37,3300
2014-03-31,3.71,3.71,3.47,3.56,14700
2014-04-01,3.85,3.85,3.51,3.61,16400
2014-04-02,3.61,3.61,3.51,3.51,13400
2014-04-03,3.51,3.61,3.51,3.61,5200
2014-04-04,3.85,3.85,3.61,3.61,20200
2014-04-07,3.61,3.61,3.61,3.61,7200
2014-04-08,3.51,3.51,3.51,3.51,3700
2014-04-10,3.56,3.8,3.56,3.8,3500
2014-04-14,3.46,3.46,3.46,3.47,1200
2014-04-15,3.47,3.47,3.47,3.47,5100
2014-04-16,3.47,3.52,3.47,3.47,35500
