date,open,high,low,close,volume
2019-03-15,9.8,9.8,9.8,9.8,6310
2019-03-14,9.8,9.8,9.8,9.8,7120
2019-03-13,9.8,9.8,9.8,9.8,1100
2019-03-12,9.8,9.8,9.7,9.7,3230
2019-03-11,8.58,9.7,8.58,9.7,110
2019-03-08,8.6,9.2,8.6,9.2,20
2019-03-07,8.61,8.61,8.61,8.61,0
2019-03-06,8.61,8.61,8.61,8.61,4000
2019-03-05,8.61,8.61,8.61,8.61,10
2019-03-04,9.26,9.26,9.25,9.25,15070
2019-03-01,8.06,8.06,8.06,8.06,10
2019-02-28,9.4,9.4,8.65,8.66,0
2019-02-27,9.4,9.4,8.65,8.66,2190
2019-02-26,9.3,9.3,9.3,9.3,4770
2019-02-25,8.32,9.38,8.32,9.38,20
2019-02-22,7.8,8.94,7.8,8.94,20
2019-02-21,8.37,8.37,8.37,8.37,10
2019-02-20,8.15,8.99,8.15,8.99,20
2019-02-19,8.76,8.76,8.76,8.76,1780
2019-02-18,7.64,8.69,7.64,8.69,20
2019-02-15,7.2,8.21,7.2,8.21,0
2019-02-14,7.2,8.21,7.2,8.21,130
2019-02-13,7.7,7.7,7.7,7.7,10
2019-02-12,6.73,7.71,6.73,7.7,1040
2019-02-11,6.32,7.23,6.32,7.23,1010
2019-02-01,6.79,6.79,6.79,6.79,2000
2019-01-31,6.34,6.79,6.34,6.79,1020
2019-01-30,6.79,6.79,6.79,6.79,20
2019-01-29,6.35,6.35,6.35,6.35,20
2019-01-28,5.94,5.94,5.94,5.94,30
2019-01-25,5.56,5.56,5.56,5.56,110
2019-01-24,5.91,5.91,5.91,5.91,1000
2019-01-23,5.55,5.55,5.55,5.55,10
2019-01-22,5.95,5.95,5.95,5.95,490
2019-01-21,5.94,5.94,5.94,5.94,20
2019-01-18,5.6,5.6,5.6,5.6,10
2019-01-17,5.65,6.0,5.65,6.0,20
2019-01-16,6.06,6.06,6.05,6.05,0
2019-01-15,6.06,6.06,6.05,6.05,1500
2019-01-14,6.14,6.5,6.14,6.5,0
2019-01-11,6.14,6.5,6.14,6.5,20
2019-01-10,6.58,6.58,6.58,6.58,0
2019-01-09,6.58,6.58,6.58,6.58,10
2019-01-08,7.07,7.07,7.07,7.07,0
2019-01-07,7.07,7.07,7.07,7.07,10
2019-01-04,7.58,7.58,7.58,7.58,10
2019-01-03,7.17,8.15,7.17,8.15,20
2019-01-02,7.7,7.7,7.7,7.7,80
2018-12-28,7.7,7.7,7.7,7.7,20
2018-12-27,8.27,8.27,8.27,8.27,10
2018-12-26,7.77,8.89,7.77,8.89,20
2018-12-25,7.29,8.35,7.29,8.35,20
2018-12-24,6.82,7.83,6.82,7.83,30
2018-12-21,6.81,7.32,6.81,7.32,40
2018-12-20,7.31,7.32,7.31,7.32,1000
