date,open,high,low,close,volume
2016-06-06,11.06,13.28,11.06,13.13,65660
2016-06-07,13.2,13.2,12.39,12.99,13030
2016-06-09,12.1,12.18,12.1,12.1,10020
2016-06-10,11.88,12.17,11.29,11.36,15970
2016-06-13,11.36,11.36,10.92,10.92,7220
2016-06-14,10.77,11.66,10.77,11.66,6170
2016-06-15,12.1,12.1,11.66,11.66,13040
2016-06-16,11.81,11.81,11.44,11.44,11930
2016-06-17,11.37,11.44,11.14,11.14,1970
2016-06-20,11.36,11.51,11.36,11.44,24920
2016-06-21,11.14,11.74,11.14,11.73,9860
2016-06-22,11.36,11.73,11.36,11.73,400
2016-06-23,11.36,11.43,11.36,11.44,5900
2016-06-24,11.07,11.22,11.07,11.21,9060
2016-06-27,10.77,11.21,10.77,10.77,16490
2016-06-28,11.51,11.51,11.43,11.44,160
2016-06-30,11.07,11.22,11.07,11.21,44600
2016-07-01,11.28,11.36,11.28,11.29,12480
2016-07-04,11.07,11.44,11.07,11.44,13450
2016-07-05,11.44,11.44,11.29,11.29,2760
2016-07-06,11.29,11.29,11.14,11.14,2370
2016-07-07,11.29,11.44,11.29,11.44,11000
2016-07-08,11.14,11.66,11.14,11.58,17310
2016-07-11,11.58,11.58,11.58,11.58,16880
2016-07-12,11.58,11.58,11.58,11.58,2590
2016-07-13,11.14,11.58,11.14,11.58,10190
2016-07-14,11.58,11.58,11.58,11.58,12000
2016-07-15,11.21,11.28,11.21,11.29,2300
2016-07-18,11.22,11.36,11.22,11.36,3300
2016-07-19,11.43,11.51,11.43,11.51,1300
2016-07-20,11.51,11.66,11.51,11.66,3110
2016-07-21,11.44,11.59,11.44,11.58,28100
2016-07-22,11.58,11.65,11.51,11.66,5130
2016-07-25,11.66,11.66,11.59,11.58,4600
2016-07-26,11.58,12.32,11.58,12.32,15710
2016-07-27,13.13,13.13,12.91,13.13,60980
2016-07-28,13.2,13.94,13.2,13.94,34290
2016-07-29,13.94,14.01,13.64,13.65,33690
2016-08-01,13.58,13.65,12.91,13.65,10740
2016-08-02,13.65,13.65,12.91,13.58,31180
2016-08-03,12.92,13.51,12.92,13.5,33590
2016-08-04,13.65,13.65,13.13,13.13,14430
2016-08-05,12.91,13.87,12.91,13.13,17820
2016-08-08,13.28,13.28,13.13,13.13,12600
2016-08-09,13.28,13.5,13.13,13.5,10950
2016-08-10,13.65,13.65,13.28,13.5,31780
2016-08-11,13.5,14.02,13.5,13.65,5420
2016-08-12,13.65,13.65,13.65,13.65,19650
2016-08-15,13.65,13.65,13.65,13.65,1500
2016-08-16,13.65,13.65,13.43,13.43,10030
2016-08-17,13.13,13.65,13.13,13.28,9540
2016-08-18,13.28,13.28,13.21,13.21,14880
2016-08-19,13.14,13.65,13.14,13.13,6910
2016-08-22,13.35,13.35,13.13,13.21,23010
