date,open,high,low,close,volume
2019-01-10,63.9,66.5,63.9,66.5,370
2019-01-09,61.1,63.6,61.0,63.5,1650
2019-01-08,63.0,63.9,60.4,63.9,1570
2019-01-07,62.5,65.0,62.5,64.0,110
2019-01-04,65.9,65.9,65.9,65.9,210
2019-01-03,64.0,64.4,64.0,64.4,20
2019-01-02,65.0,65.0,65.0,65.0,10
2018-12-28,66.0,66.0,65.0,65.0,1490
2018-12-27,65.0,65.2,65.0,65.2,2850
2018-12-26,66.4,66.4,64.5,65.2,1760
2018-12-25,64.7,65.9,64.5,65.9,5150
2018-12-24,68.0,68.0,64.2,66.6,380
2018-12-21,64.2,68.0,64.2,68.0,20
2018-12-20,64.7,68.9,64.7,68.0,980
2018-12-19,67.8,70.5,64.5,69.0,1720
2018-12-18,65.0,68.8,65.0,68.8,200
2018-12-17,65.0,68.0,64.5,65.0,3170
2018-12-14,66.5,69.3,66.5,69.3,390
2018-12-13,65.2,66.8,65.1,66.8,390
2018-12-12,68.1,68.1,68.1,68.1,50
2018-12-11,68.1,68.1,68.1,68.1,50
2018-12-10,68.5,69.0,64.1,68.1,430
2018-12-07,66.5,66.6,64.5,66.5,10300
2018-12-06,67.9,67.9,66.0,66.5,11860
2018-12-05,65.5,68.0,65.5,67.9,1330
2018-12-04,66.9,69.0,66.0,68.5,750
2018-12-03,69.0,69.0,68.6,68.6,40
2018-11-30,66.3,69.0,65.0,69.0,1740
2018-11-29,66.4,66.4,63.0,66.3,2080
2018-11-28,64.0,66.5,63.1,63.3,840
2018-11-27,67.0,67.0,66.5,66.5,160
2018-11-26,67.6,67.6,64.1,67.0,470
2018-11-23,65.1,68.5,65.0,66.9,580
2018-11-22,66.1,69.0,65.1,67.8,750
2018-11-21,69.0,70.0,65.0,69.6,410
2018-11-20,67.1,70.4,67.1,67.1,60
2018-11-19,70.0,73.0,68.5,71.0,310
2018-11-16,69.9,73.4,69.9,73.2,220
2018-11-15,68.0,69.4,66.1,69.4,660
2018-11-14,69.2,69.5,69.2,69.5,30
2018-11-13,64.1,68.8,62.6,68.5,2540
2018-11-12,66.0,66.0,66.0,66.0,10
2018-11-09,66.1,69.9,66.1,69.6,190
2018-11-08,69.6,70.0,68.0,69.5,420
2018-11-07,70.0,71.6,66.2,69.8,160
2018-11-06,69.8,70.0,66.4,67.0,2190
2018-11-05,70.8,70.8,66.2,66.4,80
2018-11-02,72.5,72.5,65.0,70.0,50
2018-11-01,66.0,69.0,66.0,68.9,3150
2018-10-31,66.0,66.0,66.0,66.0,1370
2018-10-30,66.0,66.0,63.0,66.0,650
2018-10-29,64.2,66.5,64.0,64.0,160
2018-10-26,66.9,66.9,66.8,66.8,110
2018-10-25,64.9,68.9,64.8,66.9,2320
2018-10-23,70.8,70.8,66.8,69.6,1880
2018-10-22,70.9,70.9,69.9,69.9,250
2018-10-19,70.9,70.9,68.5,69.9,1560
2018-10-18,70.1,71.3,69.0,69.8,920
2018-10-17,71.2,71.8,70.0,71.2,360
2018-10-16,71.6,71.6,70.9,70.9,180
2018-10-15,69.1,72.0,69.1,70.0,1080
2018-10-12,70.0,72.7,69.0,71.7,1960
2018-10-11,71.8,72.4,70.0,71.8,3440
2018-10-10,73.0,73.0,71.7,71.7,20
2018-10-09,71.0,73.1,70.1,73.1,180
2018-10-08,73.8,73.8,73.8,73.8,150
2018-10-05,74.4,74.4,72.4,74.0,400
2018-10-04,72.6,74.5,72.3,73.9,2420
2018-10-03,73.0,73.3,72.6,73.3,1720
2018-10-02,72.6,73.4,72.6,73.4,1810
2018-10-01,73.1,73.4,73.0,73.4,90
2018-09-28,75.0,75.0,72.0,74.8,240
2018-09-27,75.0,75.0,75.0,75.0,70
2018-09-26,72.1,75.5,72.1,75.5,1030
2018-09-25,75.8,75.7,72.6,75.6,180
2018-09-24,75.3,75.8,74.8,75.8,300
2018-09-21,74.1,74.9,72.9,74.7,60
2018-09-20,73.2,74.3,72.3,74.2,1130
2018-09-19,74.5,74.5,74.2,74.3,170
2018-09-18,74.6,74.6,74.5,74.5,150
2018-09-17,74.0,75.2,74.0,74.5,750
2018-09-14,74.1,75.4,74.0,74.0,18760
2018-09-13,74.0,75.6,74.0,75.5,3840
2018-09-12,75.6,75.6,73.6,75.0,220
2018-09-11,74.8,76.0,74.0,75.0,450
2018-09-10,74.0,74.8,73.6,74.2,1730
2018-09-07,73.1,74.3,73.0,73.9,5010
2018-09-06,73.1,74.8,73.1,73.8,470
2018-09-05,76.3,76.3,73.5,74.9,500
2018-09-04,76.0,76.6,74.0,76.4,1500
2018-08-31,76.5,76.5,73.1,76.4,1020
2018-08-30,76.0,76.5,72.2,76.5,3510
2018-08-29,72.31,73.45,71.55,73.08,810
2018-08-28,72.31,72.31,67.29,72.31,4690
2018-08-27,73.07,73.07,72.16,72.31,2450
2018-08-24,72.7,72.85,72.24,72.31,3840
2018-08-23,72.7,73.0,72.32,72.7,2210
2018-08-22,71.55,72.92,71.55,72.7,3640
2018-08-21,71.55,71.55,70.41,71.55,1860
2018-08-20,70.79,70.79,70.41,70.41,280
2018-08-17,71.55,71.55,70.03,71.55,1420
2018-08-16,71.55,71.55,70.03,71.55,1150
2018-08-15,70.79,71.55,70.79,71.55,2760
2018-08-14,70.03,71.55,69.34,70.79,1830
2018-08-13,70.34,70.34,68.82,70.03,3760
2018-08-10,70.79,70.79,68.51,70.34,890
2018-08-09,66.46,71.02,66.46,71.02,6230
2018-08-08,67.14,70.79,66.22,66.38,1260
2018-08-07,67.29,67.29,65.46,66.68,450
2018-08-06,68.36,68.43,66.23,66.68,2040
2018-08-03,65.46,69.57,65.46,68.51,2330
2018-08-02,71.03,71.03,66.23,68.43,2710
2018-08-01,72.24,72.24,66.38,70.34,19450
2018-07-31,73.3,73.53,70.03,71.33,720
2018-07-30,71.55,71.55,71.17,71.55,3110
2018-07-27,71.56,71.56,71.56,71.55,110
2018-07-26,72.31,72.77,70.03,71.48,1590
2018-07-25,73.45,73.53,71.55,71.55,1060
2018-07-24,71.56,71.56,71.18,71.55,1060
2018-07-23,74.07,74.9,71.55,74.07,2420
2018-07-20,74.37,74.37,74.37,74.37,240
2018-07-19,75.29,75.74,72.32,72.31,250
2018-07-18,75.36,75.36,73.08,73.08,40
2018-07-17,75.67,75.67,71.56,73.08,870
2018-07-16,73.08,74.83,72.32,73.08,970
2018-07-13,73.08,73.08,73.08,73.08,10
2018-07-12,74.6,74.6,69.73,74.6,1870
2018-07-10,74.83,74.83,74.83,74.83,20
2018-07-09,72.39,74.6,72.39,73.84,740
2018-07-05,73.84,74.6,73.84,74.6,470
2018-07-03,73.07,74.82,73.07,74.83,2320
2018-06-29,73.84,74.9,73.84,74.9,40
2018-06-28,73.84,74.6,73.84,74.6,30
2018-06-27,74.6,74.6,74.6,74.6,410
2018-06-20,73.07,75.28,73.07,74.98,640
2018-06-18,75.67,75.67,73.08,75.28,40
2018-06-15,74.6,76.05,74.6,74.98,1960
2018-06-14,73.07,74.6,73.07,74.6,1010
2018-06-11,73.08,76.05,73.08,75.89,560
2018-06-08,73.31,73.31,73.08,73.08,460
2018-06-07,73.08,74.6,73.08,73.08,1250
2018-06-06,74.6,74.6,74.6,74.6,20
2018-06-05,74.6,74.6,74.6,74.6,1460
2018-06-04,76.12,76.12,74.75,74.75,2630
2018-06-01,73.69,75.97,73.69,74.98,4450
2018-05-31,73.84,73.84,73.84,73.84,270
2018-05-30,72.62,74.52,72.46,73.84,520
2018-05-28,74.52,74.52,74.52,74.52,20
2018-05-25,70.79,70.79,70.79,70.79,2110
