date,open,high,low,close,volume
2019-05-31,37.74,37.74,37.74,37.74,30
2019-06-03,40.34,40.34,40.34,40.34,30
2019-06-05,43.13,43.13,43.13,43.13,30
2019-06-06,46.12,46.12,46.12,46.12,30
2019-06-07,47.05,47.05,47.05,47.05,3000
2019-06-10,50.28,50.28,50.28,50.29,40
2019-06-11,53.72,53.72,51.96,51.96,470
2019-06-12,55.59,55.59,55.59,55.58,380
2019-06-13,59.4,59.4,59.4,59.41,430
2019-06-14,63.53,63.53,56.86,56.86,1000
2019-06-17,54.9,54.9,52.94,52.94,440
2019-06-18,49.31,53.43,49.31,53.43,590
2019-06-19,53.43,53.43,49.7,53.43,1030
2019-06-20,49.7,49.7,49.7,49.7,1340
2019-06-21,53.13,53.13,46.27,53.13,1120
2019-06-24,52.93,53.91,52.93,53.92,1320
2019-06-25,53.92,53.92,53.82,53.92,2030
2019-06-26,54.9,54.9,54.41,54.9,330
2019-06-27,54.9,54.9,52.45,54.41,570
2019-06-28,54.31,54.41,54.31,54.41,680
2019-07-01,50.98,58.14,50.68,53.92,1630
2019-07-02,52.94,52.94,50.19,52.94,1410
2019-07-03,52.45,52.45,52.45,52.45,1530
2019-07-04,51.96,51.96,49.02,49.01,1310
2019-07-05,52.44,52.44,45.58,51.96,810
2019-07-08,50.98,54.71,49.12,54.7,1600
2019-07-09,52.15,54.7,52.15,54.7,1100
2019-07-10,53.92,54.9,51.76,51.76,920
2019-07-11,53.72,53.72,52.94,53.72,1360
2019-07-12,54.01,54.01,54.01,54.01,680
2019-07-15,54.01,54.01,51.07,54.01,1930
2019-07-16,54.01,54.4,54.01,54.41,1680
2019-07-17,54.41,54.9,54.41,54.9,1010
2019-07-18,54.41,54.41,51.08,54.41,1250
2019-07-19,54.41,54.9,54.41,54.9,670
2019-07-22,54.9,55.39,54.9,55.39,2000
2019-07-23,51.66,55.39,51.66,55.39,1500
2019-07-24,51.57,55.39,51.57,54.9,1130
2019-07-25,55.88,55.88,55.88,55.88,750
2019-07-26,55.88,55.88,55.88,55.88,1010
2019-07-29,55.98,55.98,55.98,55.97,1280
2019-07-30,52.34,56.85,52.34,56.86,1200
2019-07-31,52.94,55.39,52.94,55.39,1350
2019-08-01,55.39,55.39,55.39,55.39,1090
2019-08-02,53.92,54.41,52.94,54.41,1730
2019-08-05,54.8,56.37,54.8,54.9,3410
2019-08-06,54.9,54.9,54.9,54.9,2330
2019-08-07,54.9,56.86,51.08,54.9,1960
2019-08-08,54.9,55.88,53.92,55.88,2220
2019-08-09,56.17,56.37,53.43,56.37,4250
2019-08-12,58.82,58.82,52.55,55.88,1220
2019-08-13,52.35,54.9,52.35,54.9,2380
2019-08-14,55.88,55.88,54.9,54.9,1150
2019-08-15,51.27,57.84,51.27,54.9,2040
2019-08-16,54.9,55.39,51.17,55.39,1320
2019-08-19,51.96,55.39,51.96,53.92,2010
2019-08-20,56.37,56.37,54.41,54.41,990
2019-08-21,54.41,54.41,52.94,52.94,2300
2019-08-22,52.06,55.88,52.06,55.39,2170
2019-08-23,55.88,57.84,55.39,55.39,1500
2019-08-26,51.96,55.39,51.96,55.39,2610
2019-08-27,54.9,55.39,54.9,55.29,2830
2019-08-28,55.09,55.09,55.09,55.09,2310
2019-08-29,53.91,54.21,53.91,53.92,2010
2019-08-30,50.59,53.72,50.59,53.43,1290
2019-09-03,50.49,52.94,50.49,52.94,2100
2019-09-04,52.94,52.94,52.94,52.94,2220
2019-09-05,52.45,52.94,51.96,52.84,2260
2019-09-06,52.35,52.45,50.0,52.45,2560
2019-09-09,54.9,54.9,54.9,54.9,2200
2019-09-10,54.9,54.9,54.9,54.9,1760
2019-09-11,54.41,55.39,54.41,54.7,2280
2019-09-12,54.41,56.86,54.41,56.86,2050
2019-09-13,56.86,59.8,56.86,59.8,2060
2019-09-16,58.82,58.82,58.82,58.82,1450
2019-09-17,57.94,57.94,57.94,57.94,2580
2019-09-18,57.94,57.84,57.74,57.84,2180
2019-09-19,57.84,57.84,53.92,57.84,2040
2019-09-20,61.76,61.76,58.82,58.82,2300
2019-09-23,59.8,59.8,59.8,59.8,2310
2019-09-24,58.82,59.7,57.15,59.7,1910
2019-09-26,55.6,59.9,55.6,56.0,1550
2019-09-27,59.9,59.9,59.9,59.9,1100
2019-09-30,62.0,62.9,62.0,62.9,2590
2019-10-01,63.0,63.0,63.0,63.0,1680
2019-10-02,67.4,67.4,67.2,67.2,1040
2019-10-03,66.8,66.8,66.8,66.8,1290
2019-10-04,66.8,66.8,66.8,66.8,1600
2019-10-07,65.0,65.0,65.0,65.0,1500
2019-10-09,64.5,64.5,63.0,64.5,1600
2019-10-10,62.9,62.9,62.9,62.9,1400
2019-10-14,62.8,62.8,62.8,62.8,1050
2019-10-16,66.0,66.0,66.0,66.0,2020
2019-10-17,66.0,66.0,66.0,66.0,1670
2019-10-21,65.0,65.0,65.0,65.0,1680
2019-10-22,60.5,64.0,60.5,64.0,1650
2019-10-24,63.0,63.0,63.0,63.0,1100
2019-10-25,63.0,63.0,63.0,63.0,500
2019-10-29,60.0,61.9,60.0,61.9,1000
2019-10-30,60.0,63.0,60.0,63.0,1390
2019-10-31,62.0,62.0,62.0,62.0,1500
2019-11-04,64.5,64.5,64.5,64.5,2390
