date,open,high,low,close,volume
2019-04-11,68.8,69.8,68.8,68.8,1830
2019-04-10,70.0,70.0,69.1,69.8,3450
2019-04-09,69.0,69.9,68.2,69.8,5420
2019-04-08,69.6,70.0,69.5,70.0,2290
2019-04-05,69.9,70.9,69.5,69.5,1750
2019-04-04,70.3,70.5,69.5,69.9,2770
2019-04-03,69.7,70.9,69.7,70.9,1500
2019-04-02,71.0,71.0,70.0,70.8,5110
2019-04-01,71.7,72.0,71.0,71.5,1310
2019-03-29,73.5,73.5,72.2,73.1,4550
2019-03-28,74.1,74.1,73.0,73.5,3000
2019-03-27,74.0,74.3,73.5,74.1,3400
2019-03-26,73.0,74.5,72.0,74.0,6620
2019-03-25,72.0,73.0,70.2,73.0,7320
2019-03-22,72.5,73.0,72.3,72.9,11690
2019-03-21,75.8,79.0,75.8,76.5,14410
2019-03-20,82.7,82.7,79.7,81.5,37130
2019-03-19,77.3,77.3,76.5,77.3,18260
2019-03-18,67.6,72.3,67.6,72.3,28150
2019-03-15,67.6,67.6,67.0,67.6,2520
2019-03-14,67.0,67.5,67.0,67.3,6310
2019-03-13,67.0,67.5,66.8,66.8,15450
2019-03-12,67.6,67.7,67.5,67.6,5430
2019-03-11,67.7,67.7,67.5,67.6,5560
2019-03-08,67.9,68.0,67.2,67.7,2170
2019-03-07,67.2,67.8,67.0,67.2,7650
2019-03-06,67.5,67.6,67.0,67.0,30130
2019-03-05,67.1,67.8,67.0,67.5,14480
2019-03-04,68.9,68.9,67.0,67.7,23480
2019-03-01,67.0,69.5,67.0,67.0,7130
2019-02-28,68.0,69.0,67.0,67.0,13150
2019-02-27,68.9,70.0,68.6,69.0,11590
2019-02-26,69.0,69.9,68.0,68.9,3190
2019-02-25,70.0,70.0,69.0,69.9,5780
2019-02-22,67.3,69.4,67.0,69.4,2050
2019-02-21,70.0,70.0,67.1,67.1,8520
2019-02-20,70.0,70.0,68.9,68.9,5940
2019-02-19,70.0,70.0,69.5,69.5,9690
2019-02-18,71.0,71.0,69.9,70.0,1990
2019-02-15,70.0,70.0,69.0,69.9,3330
2019-02-14,70.0,70.0,70.0,70.0,1840
2019-02-13,69.0,70.0,69.0,70.0,480
2019-02-12,70.0,70.0,69.5,70.0,13690
2019-02-11,70.0,70.0,69.5,70.0,1650
2019-02-01,70.0,70.0,69.8,70.0,220
2019-01-31,70.4,70.4,70.0,70.0,1250
2019-01-30,69.0,70.0,69.0,70.0,4670
2019-01-29,70.0,70.0,70.0,70.0,30
2019-01-28,68.1,70.0,68.0,69.0,2580
2019-01-25,70.0,70.0,70.0,70.0,4240
2019-01-24,69.4,70.0,69.3,69.3,4380
2019-01-23,68.6,70.0,68.2,69.5,1900
2019-01-22,69.9,70.0,68.6,68.6,580
2019-01-21,70.0,70.0,70.0,70.0,60
2019-01-18,70.0,70.0,69.0,70.0,900
2019-01-17,70.0,70.0,69.6,70.0,200
2019-01-16,70.0,70.0,69.0,70.0,1240
2019-01-15,70.0,70.0,70.0,70.0,680
2019-01-14,70.0,70.0,69.7,69.7,5260
2019-01-11,70.0,70.5,69.7,70.0,1530
2019-01-10,70.0,70.0,69.5,69.5,6070
2019-01-09,70.0,70.0,69.3,69.3,290
2019-01-08,70.0,70.0,69.8,70.0,610
2019-01-07,71.5,71.5,68.2,70.0,1500
2019-01-04,70.0,70.0,70.0,70.0,560
2019-01-03,69.36,69.36,67.9,68.0,31000
2019-01-02,68.0,68.0,68.0,68.0,7560
2018-12-28,68.0,69.46,68.0,68.0,1350
2018-12-27,68.0,69.85,68.0,68.0,4230
2018-12-26,68.0,68.0,68.0,68.0,8200
2018-12-25,68.01,68.49,67.52,67.9,12400
2018-12-24,69.84,69.94,68.0,68.2,3260
2018-12-21,68.29,69.65,68.0,69.65,2870
2018-12-20,69.85,69.95,69.46,69.94,52740
2018-12-19,69.56,69.95,69.46,69.85,33000
2018-12-18,69.75,69.75,69.26,69.56,19160
2018-12-17,68.0,69.94,67.61,69.94,2960
2018-12-14,71.4,71.4,69.36,70.33,490
2018-12-13,71.4,71.4,69.85,69.85,1070
2018-12-12,69.94,70.91,69.16,69.85,1690
2018-12-11,71.3,71.3,68.97,68.97,670
2018-12-10,70.43,71.69,70.33,70.43,1510
2018-12-07,69.94,70.33,69.94,70.33,12580
2018-12-06,70.72,70.72,69.94,69.94,8330
2018-12-05,71.3,71.3,69.75,69.94,1880
2018-12-04,70.92,71.31,69.95,69.94,240
2018-12-03,68.97,70.91,68.97,70.14,130
2018-11-30,69.46,69.65,68.97,68.97,3440
2018-11-29,69.46,69.56,69.36,69.46,3260
2018-11-28,69.95,69.95,69.75,69.85,7340
2018-11-27,71.4,71.4,70.92,70.92,510
2018-11-26,72.86,74.12,71.79,71.79,310
2018-11-23,71.79,71.89,71.79,71.89,200
2018-11-22,71.11,74.32,69.75,70.04,1260
2018-11-21,75.29,75.29,69.46,69.46,76510
2018-11-20,73.83,76.26,71.88,72.86,37380
2018-11-19,71.69,77.23,71.69,72.37,1060
2018-11-16,76.74,76.74,76.74,76.74,30
2018-11-15,71.11,76.75,71.11,74.02,60
2018-11-14,76.26,76.75,76.26,76.26,150
2018-11-13,77.23,77.23,74.8,76.26,100
2018-11-12,74.8,74.8,74.8,74.8,5730
2018-11-09,74.9,75.38,74.9,75.38,1370
2018-11-08,75.77,76.94,75.28,75.77,20920
2018-11-07,75.77,77.71,75.77,75.77,420
2018-11-06,76.75,76.75,75.78,75.77,12310
2018-11-05,78.68,78.68,77.71,77.72,40
2018-11-02,76.65,76.65,75.29,75.77,790
2018-11-01,75.38,75.38,72.76,72.96,5420
2018-10-31,75.77,75.77,75.39,75.38,5090
2018-10-30,75.87,75.87,72.86,75.58,5610
2018-10-29,75.96,75.96,75.77,75.77,2360
2018-10-26,75.77,75.77,75.77,75.77,30
2018-10-25,77.72,77.72,75.78,75.77,2120
2018-10-24,77.72,77.72,77.72,77.72,2050
2018-10-23,79.17,79.17,77.71,77.72,310
2018-10-22,78.69,79.66,78.69,79.17,3530
2018-10-19,80.14,80.14,78.68,78.69,1300
2018-10-18,80.63,80.63,79.66,80.14,1520
2018-10-17,81.41,81.41,79.66,81.31,2080
2018-10-16,80.24,81.6,80.24,81.41,4450
2018-10-15,79.95,81.6,79.95,81.31,2090
2018-10-12,74.8,79.85,74.8,79.85,610
2018-10-11,74.8,77.72,73.93,74.8,15730
2018-10-10,79.17,79.17,77.71,78.59,4950
2018-10-09,79.66,79.85,79.17,79.17,9550
2018-10-08,79.17,80.73,79.17,79.66,11230
2018-10-05,90.05,90.05,84.52,84.71,5860
2018-10-04,90.83,90.83,89.86,89.86,30
2018-10-03,94.72,94.72,90.83,90.83,3450
2018-10-02,89.37,92.77,89.37,91.51,165320
2018-10-01,87.52,89.47,86.65,89.47,108210
2018-09-28,85.1,87.43,81.8,87.33,4920
2018-09-27,79.66,84.52,78.2,84.52,31320
2018-09-26,78.98,81.41,78.69,81.41,14100
2018-09-25,81.6,81.6,78.2,81.6,8040
2018-09-24,77.91,81.6,77.91,80.05,8630
2018-09-21,76.55,78.2,76.55,78.2,55290
2018-09-20,75.29,76.65,75.29,76.65,280
2018-09-19,75.29,76.16,74.03,74.9,2500
2018-09-18,72.37,75.96,71.59,75.97,4630
2018-09-17,71.11,72.86,70.92,71.01,3280
2018-09-14,70.92,71.4,70.33,71.21,7270
2018-09-13,66.25,70.92,66.25,70.82,910
2018-09-12,69.85,70.33,69.75,69.75,1720
2018-09-11,67.91,69.75,67.91,69.75,9620
2018-09-10,67.42,67.8,66.93,67.13,7040
2018-09-07,64.7,68.0,64.7,66.93,2430
2018-09-06,67.12,67.22,66.93,66.93,9390
2018-09-05,65.08,67.22,64.7,66.93,2410
2018-09-04,66.55,67.42,66.06,66.25,2370
2018-08-31,65.57,70.04,65.57,66.16,3980
2018-08-30,66.35,66.35,65.57,65.57,10860
2018-08-29,64.7,65.67,64.7,65.57,3030
2018-08-28,65.57,65.57,64.89,64.89,26090
2018-08-27,64.89,65.67,64.89,65.57,31120
2018-08-24,66.06,66.06,65.67,65.96,2010
2018-08-23,64.6,66.06,64.6,66.06,1370
2018-08-22,65.96,66.83,64.7,64.7,26510
2018-08-21,65.38,66.06,64.99,65.96,26150
2018-08-20,66.05,66.05,64.69,65.38,11220
2018-08-17,67.22,67.22,66.35,66.54,14360
2018-08-16,66.06,67.22,66.06,67.22,3310
2018-08-15,67.42,67.52,67.03,67.03,26430
2018-08-14,68.0,68.0,67.13,67.42,16020
2018-08-13,69.17,69.17,67.03,67.13,5960
2018-08-10,69.45,69.45,68.58,69.17,11470
2018-08-09,68.97,69.94,68.1,69.26,19650
2018-08-08,70.43,70.82,69.07,69.07,13120
2018-08-07,70.92,70.92,70.33,70.33,16180
2018-08-06,70.72,71.3,70.72,70.82,4410
2018-08-03,70.52,71.11,70.43,70.62,4250
2018-08-02,69.94,70.43,69.36,69.94,3900
2018-08-01,70.91,70.91,68.97,69.36,27000
2018-07-31,71.89,72.86,71.79,72.37,9570
2018-07-30,71.89,72.86,71.79,71.79,4870
2018-07-27,71.79,71.88,70.91,71.89,13370
2018-07-26,71.4,71.79,70.62,70.62,6200
2018-07-25,71.6,72.67,70.92,71.11,5890
2018-07-24,69.94,71.4,69.94,70.92,2200
2018-07-23,71.69,71.89,70.91,71.69,2890
2018-07-20,71.4,71.4,70.43,71.4,3230
2018-07-19,70.14,72.37,69.95,70.43,4320
2018-07-18,71.4,71.4,70.14,70.14,2080
2018-07-17,70.24,70.92,69.95,70.82,770
2018-07-16,71.79,71.79,69.94,70.24,2850
2018-07-13,72.77,72.77,71.02,72.08,380
