date,open,high,low,close,volume
2008-07-22,13.8,13.8,3.1,3.22,40900
2008-07-23,3.5,3.77,3.5,3.78,27500
2008-07-24,3.8,3.8,3.8,3.8,400
2008-07-25,3.94,3.94,3.94,3.94,100
2008-07-28,4.08,4.08,4.08,4.08,200
2008-07-29,4.24,4.24,4.24,4.24,100
2008-07-30,4.4,4.4,4.4,4.4,4300
2008-07-31,4.56,4.56,4.56,4.56,4200
2008-08-01,4.72,4.72,4.72,4.72,1000
2008-08-04,4.9,4.9,4.9,4.9,600
2008-08-05,5.08,5.08,4.72,5.09,113500
2008-08-06,5.21,5.21,5.21,5.2,200
2008-08-07,5.41,5.41,5.41,5.41,200
2008-08-08,5.62,5.62,5.2,5.27,51900
2008-08-11,5.18,5.59,5.18,5.18,22800
2008-08-12,5.04,5.46,5.04,5.04,35200
2008-08-13,4.9,4.97,4.88,4.88,6000
2008-08-14,4.72,5.09,4.72,5.09,58600
2008-08-15,5.18,5.18,5.07,5.18,63700
2008-08-18,5.53,5.53,4.83,5.18,26200
2008-08-19,4.79,4.79,4.7,4.7,9200
2008-08-20,4.4,4.4,4.4,4.4,2200
2008-08-21,4.1,4.7,4.1,4.65,59900
2008-08-22,4.26,4.67,4.14,4.31,41300
2008-08-25,4.54,4.54,4.54,4.54,34200
2008-08-26,4.84,4.84,4.82,4.83,23900
2008-08-27,5.06,5.15,4.51,4.83,29100
2008-08-28,4.71,4.71,4.71,4.72,200
2008-08-29,4.4,4.4,4.4,4.4,2700
2008-09-03,4.1,4.7,4.1,4.7,62800
2008-09-04,4.86,4.86,4.29,4.6,24300
2008-09-05,4.71,4.83,4.28,4.58,31700
2008-09-08,4.49,4.72,4.28,4.6,18800
2008-09-09,4.71,4.83,4.49,4.58,22300
2008-09-10,4.72,4.83,4.37,4.37,8700
2008-09-11,4.49,4.49,4.25,4.26,14300
2008-09-12,4.1,4.1,4.01,4.01,15500
2008-09-15,3.76,4.31,3.76,3.96,8800
2008-09-16,3.91,3.91,3.73,3.75,15700
2008-09-17,3.52,3.75,3.5,3.5,12300
2008-09-18,3.36,3.45,3.36,3.36,16100
2008-09-19,3.45,3.61,3.36,3.61,4600
2008-09-22,3.79,3.79,3.79,3.8,1300
2008-09-23,3.68,3.87,3.57,3.57,10700
2008-09-24,3.59,3.73,3.48,3.57,5200
2008-09-25,3.45,3.66,3.36,3.66,13600
2008-09-26,3.68,3.68,3.31,3.5,5700
2008-09-29,3.38,3.57,3.38,3.57,3400
2008-09-30,3.2,3.29,3.2,3.2,23500
2008-10-01,3.43,3.43,3.34,3.43,8200
2008-10-02,3.61,3.64,3.61,3.64,8500
2008-10-03,3.89,3.89,3.87,3.89,31000
2008-10-06,4.03,4.03,3.68,3.75,5000
2008-10-07,3.66,3.68,3.61,3.61,5500
2008-10-08,3.38,3.5,3.38,3.43,9300
2008-10-09,3.34,3.68,3.34,3.45,6600
2008-10-10,3.29,3.45,3.29,3.29,13100
2008-10-13,3.54,3.54,3.36,3.41,8600
2008-10-14,3.64,3.64,3.64,3.64,1000
2008-10-15,3.73,3.8,3.64,3.68,9400
2008-10-16,3.43,3.61,3.43,3.59,3400
2008-10-17,3.64,3.68,3.34,3.45,3500
2008-10-20,3.24,3.24,3.24,3.25,5200
2008-10-21,3.46,3.46,3.46,3.45,10000
2008-10-22,3.5,3.5,3.43,3.43,3500
2008-10-23,3.34,3.34,3.25,3.25,14800
2008-10-24,3.23,3.23,3.16,3.15,8200
2008-10-27,3.06,3.1,3.01,3.04,6700
2008-10-28,3.02,3.04,3.02,3.04,16500
2008-10-29,3.22,3.22,3.11,3.22,16400
2008-10-30,3.22,3.38,3.2,3.2,3400
2008-10-31,3.27,3.34,3.27,3.34,1500
2008-11-03,3.06,3.11,3.06,3.06,2600
2008-11-04,3.11,3.22,3.11,3.22,10000
2008-11-05,3.4,3.4,3.38,3.41,10100
2008-11-06,3.41,3.41,3.41,3.41,200
2008-11-07,3.23,3.23,3.23,3.22,500
2008-11-10,3.15,3.15,3.1,3.11,3000
2008-11-11,3.02,3.02,2.97,2.99,3900
2008-11-12,3.2,3.2,3.2,3.2,1100
2008-11-13,3.41,3.41,3.27,3.27,1100
2008-11-14,3.34,3.34,3.32,3.32,400
2008-11-17,3.11,3.11,3.11,3.11,300
2008-11-18,3.18,3.18,3.18,3.18,200
2008-11-19,3.34,3.34,3.34,3.34,100
2008-11-20,3.22,3.22,3.11,3.11,300
2008-11-21,2.95,2.95,2.95,2.95,6000
2008-11-24,2.95,2.95,2.95,2.95,6600
2008-11-25,2.9,2.9,2.9,2.9,2000
2008-11-26,2.78,2.78,2.72,2.72,6700
2008-11-27,2.74,2.74,2.56,2.56,8000
2008-11-28,2.63,2.72,2.63,2.72,9600
2008-12-01,2.77,2.77,2.77,2.76,500
2008-12-03,2.85,2.85,2.76,2.76,1300
2008-12-05,2.61,2.65,2.61,2.62,2700
2008-12-08,2.53,2.53,2.53,2.53,2800
2008-12-09,2.64,2.64,2.62,2.62,1000
2008-12-10,2.64,2.73,2.57,2.74,1500
2008-12-12,2.53,2.69,2.53,2.67,3600
2008-12-15,2.67,2.72,2.67,2.67,2600
2008-12-16,2.65,2.67,2.65,2.65,3400
2008-12-17,2.63,2.67,2.63,2.67,2900
2008-12-18,2.72,2.74,2.65,2.65,900
2008-12-19,2.72,2.72,2.72,2.72,3700
2008-12-25,2.72,2.72,2.72,2.72,2900
2008-12-26,2.72,2.72,2.67,2.72,12000
2008-12-29,2.88,2.9,2.88,2.9,14000
2008-12-30,3.08,3.08,3.06,3.09,7200
2008-12-31,3.23,3.25,3.11,3.13,6500
2009-01-02,3.11,3.11,3.08,3.11,2300
2009-01-05,2.99,2.99,2.95,2.99,2400
2009-01-06,2.99,3.17,2.99,3.18,27200
2009-01-07,3.36,3.36,3.34,3.36,13700
2009-01-08,3.59,3.59,3.41,3.5,44200
2009-01-09,3.5,3.59,3.34,3.55,16200
2009-01-12,3.3,3.53,3.3,3.29,10500
2009-01-13,3.2,3.41,3.2,3.41,2500
2009-01-14,3.29,3.32,3.27,3.27,3100
2009-01-15,3.43,3.43,3.06,3.06,13900
2009-01-16,2.99,3.08,2.88,3.09,10600
2009-01-19,3.14,3.23,3.14,3.22,2000
2009-01-21,3.02,3.08,2.99,3.09,6300
2009-01-22,3.04,3.04,3.04,3.04,300
2009-01-23,3.04,3.11,3.04,3.11,700
2009-02-02,3.23,3.23,3.23,3.22,100
2009-02-03,3.31,3.31,3.2,3.22,10500
2009-02-05,3.09,3.09,3.06,3.09,1200
2009-02-06,2.88,3.21,2.88,3.2,300
2009-02-09,3.08,3.22,3.08,3.22,500
2009-02-10,2.99,2.99,2.99,2.99,500
2009-02-11,2.88,2.94,2.78,2.79,9500
2009-02-12,2.79,2.79,2.79,2.79,2500
2009-02-13,2.97,2.97,2.97,2.97,1700
2009-02-16,3.18,3.18,2.99,2.99,1500
2009-02-17,3.27,3.27,3.1,3.11,1400
2009-02-18,3.04,3.11,3.04,3.04,1300
2009-02-19,2.99,2.99,2.99,2.99,500
2009-02-20,2.99,2.99,2.99,2.99,500
2009-02-23,2.99,2.99,2.78,2.79,8300
2009-02-24,2.88,2.88,2.79,2.79,3300
2009-02-26,2.97,2.97,2.76,2.9,3300
2009-02-27,2.88,2.88,2.76,2.76,4500
2009-03-04,2.77,2.95,2.61,2.95,11200
2009-03-05,2.86,2.86,2.86,2.85,1100
2009-03-06,2.83,2.83,2.78,2.79,2900
2009-03-10,2.72,2.9,2.72,2.81,5000
2009-03-11,2.88,2.88,2.88,2.88,4800
2009-03-12,2.76,2.86,2.76,2.81,1800
2009-03-16,2.86,2.88,2.86,2.85,2500
2009-03-17,2.87,2.92,2.87,2.92,7900
2009-03-18,2.97,2.97,2.9,2.9,2600
2009-03-19,2.95,2.95,2.9,2.9,5000
2009-03-20,2.78,2.92,2.78,2.92,5700
2009-03-23,2.9,2.94,2.87,2.95,7500
2009-03-24,3.0,3.0,3.0,2.99,1000
2009-03-25,3.04,3.04,3.01,3.02,200
2009-03-26,3.04,3.04,3.04,3.04,500
2009-03-27,2.9,2.92,2.9,2.92,1500
2009-03-30,2.9,2.97,2.9,2.97,4700
2009-03-31,2.92,2.95,2.92,2.92,4800
2009-04-01,2.76,2.97,2.76,2.97,3600
2009-04-02,2.99,3.11,2.99,3.06,11400
2009-04-03,2.99,3.06,2.99,3.06,6400
2009-04-07,3.06,3.2,3.06,3.18,14200
2009-04-08,3.23,3.23,3.0,2.99,9900
2009-04-09,2.99,2.99,2.99,2.99,1000
2009-04-10,3.1,3.2,3.1,3.2,47200
2009-04-13,3.38,3.38,3.38,3.38,3900
2009-04-14,3.61,3.61,3.54,3.61,61600
2009-04-15,3.45,3.45,3.36,3.36,12700
2009-04-16,3.59,3.59,3.2,3.22,35400
2009-04-17,3.27,3.31,3.08,3.09,33300
2009-04-20,2.97,3.16,2.95,3.09,31200
2009-04-21,3.0,3.18,2.97,3.15,12200
2009-04-22,3.24,3.24,3.24,3.25,4700
2009-04-23,3.46,3.46,3.27,3.36,6900
2009-04-24,3.5,3.5,3.15,3.32,9400
2009-04-27,3.23,3.27,3.16,3.18,10900
2009-04-28,3.11,3.23,3.11,3.2,4400
2009-04-29,3.22,3.25,3.13,3.25,13000
2009-05-04,3.43,3.43,3.34,3.43,27100
2009-05-05,3.64,3.64,3.5,3.5,54200
2009-05-06,3.45,3.45,3.38,3.41,8500
2009-05-07,3.59,3.59,3.43,3.5,11700
2009-05-08,3.45,3.48,3.36,3.48,15700
2009-05-11,3.5,3.69,3.46,3.68,86300
2009-05-12,3.89,3.91,3.89,3.91,35400
2009-05-13,4.16,4.16,4.16,4.17,11300
2009-05-14,4.45,4.45,4.38,4.44,166800
2009-05-15,4.74,4.74,4.58,4.74,129200
2009-05-18,4.95,4.97,4.65,4.67,35300
2009-05-19,4.83,4.95,4.53,4.58,33900
2009-05-20,4.72,4.72,4.41,4.59,17800
2009-05-21,4.84,4.84,4.42,4.7,58700
2009-05-22,4.81,4.95,4.76,4.75,42200
2009-05-25,4.97,5.22,4.97,5.17,17800
2009-05-26,5.42,5.42,5.42,5.42,25900
2009-05-27,5.78,5.78,5.06,5.3,31600
2009-05-28,5.13,5.13,5.11,5.11,24000
2009-05-29,5.11,5.11,4.86,5.0,22400
2009-06-01,4.7,5.03,4.67,4.89,11200
2009-06-02,5.28,5.28,4.92,4.97,48800
2009-06-03,4.97,5.0,4.86,4.89,22000
2009-06-04,4.97,5.11,4.81,4.97,54000
2009-06-05,5.05,5.25,5.05,5.25,90700
2009-06-08,5.61,5.61,5.61,5.61,18100
2009-06-09,6.0,6.0,6.0,6.0,21100
2009-06-10,6.41,6.41,6.41,6.41,171700
2009-06-11,6.85,6.85,6.85,6.85,30000
2009-06-12,7.32,7.32,7.32,7.32,21600
2009-06-15,7.82,7.82,6.82,6.82,111400
2009-06-16,6.54,6.54,6.54,6.55,1000
2009-06-17,6.11,6.11,6.11,6.11,6800
2009-06-18,5.7,6.25,5.7,6.05,103400
2009-06-19,6.08,6.19,6.08,6.19,80200
2009-06-22,5.75,5.8,5.75,5.75,15300
2009-06-23,5.36,5.36,5.36,5.36,700
2009-06-24,5.36,5.72,5.25,5.72,27300
2009-06-25,5.64,5.64,5.39,5.42,8000
2009-06-26,5.14,5.14,5.09,5.08,20500
2009-06-29,4.75,5.08,4.75,5.03,34900
2009-06-30,4.89,4.89,4.48,4.81,46600
2009-07-01,4.42,4.42,4.28,4.31,17000
2009-07-02,4.61,4.61,4.56,4.61,9500
2009-07-03,4.42,4.89,4.42,4.86,11000
2009-07-06,4.75,4.83,4.75,4.83,24900
2009-07-07,5.16,5.16,4.75,4.75,5100
2009-07-08,4.89,4.89,4.75,4.75,3900
2009-07-09,4.89,4.89,4.75,4.81,5200
2009-07-10,4.59,4.73,4.56,4.61,23700
2009-07-13,4.42,4.58,4.31,4.59,12900
2009-07-14,4.42,4.42,4.2,4.28,21000
2009-07-15,4.56,4.56,4.36,4.45,8000
2009-07-16,4.67,4.67,4.39,4.39,3000
2009-07-17,4.42,4.45,4.42,4.42,2200
2009-07-20,4.45,4.45,4.31,4.31,1400
2009-07-21,4.42,4.42,4.42,4.42,2100
2009-07-22,4.42,4.42,4.28,4.31,9700
2009-07-23,4.42,4.56,4.42,4.53,2400
2009-07-24,4.83,4.83,4.7,4.83,10500
2009-07-27,5.11,5.13,4.83,4.83,13900
2009-07-28,4.75,4.75,4.55,4.56,8400
2009-07-29,4.48,4.53,4.37,4.42,9100
2009-07-30,4.39,4.42,4.34,4.42,8300
2009-07-31,4.67,4.7,4.56,4.59,5200
2009-08-03,4.7,4.7,4.42,4.42,6100
2009-08-04,4.75,4.78,4.75,4.78,200
2009-08-05,4.78,4.78,4.45,4.5,11400
2009-08-06,4.56,4.64,4.56,4.59,6800
2009-08-07,4.67,4.67,4.59,4.59,6100
2009-08-10,4.65,4.73,4.62,4.64,13400
2009-08-11,4.7,4.72,4.67,4.7,13100
2009-08-12,4.76,4.81,4.7,4.75,9900
2009-08-13,4.83,4.97,4.72,4.72,25400
2009-08-14,4.69,4.83,4.69,4.83,1000
2009-08-17,4.55,4.64,4.55,4.61,6300
2009-08-18,4.31,4.78,4.31,4.56,9600
2009-08-19,4.7,4.7,4.62,4.7,20800
2009-08-20,4.73,4.76,4.7,4.72,13800
2009-08-21,4.78,4.83,4.66,4.67,17500
2009-08-24,4.78,4.84,4.75,4.83,25400
2009-08-25,4.83,4.83,4.77,4.78,15600
2009-08-26,4.78,4.95,4.78,4.92,25000
2009-08-27,4.92,5.2,4.86,5.19,55100
2009-08-28,5.11,5.38,5.11,5.39,45400
2009-08-31,5.58,5.67,5.14,5.19,38200
2009-09-01,5.19,5.25,5.02,5.17,17600
2009-09-03,4.98,5.14,4.98,5.03,22000
2009-09-04,5.14,5.33,5.06,5.17,53900
2009-09-07,5.25,5.25,4.92,5.11,37700
2009-09-08,5.11,5.25,5.05,5.11,22300
2009-09-09,5.11,5.25,5.03,5.17,10600
2009-09-10,5.14,5.2,5.14,5.19,13400
2009-09-11,5.16,5.52,5.16,5.53,101900
2009-09-14,5.72,5.81,5.53,5.66,51600
2009-09-15,5.66,5.8,5.25,5.53,21200
2009-09-16,5.39,5.39,5.17,5.28,15100
2009-09-17,5.28,5.39,5.25,5.39,41000
2009-09-18,5.53,5.53,5.28,5.33,9100
2009-09-21,5.36,5.69,5.36,5.66,61400
2009-09-22,5.52,5.58,5.3,5.42,11900
2009-09-23,5.39,5.67,5.25,5.39,24900
2009-09-24,5.39,5.39,5.31,5.33,13800
2009-09-25,5.19,5.52,5.19,5.36,6100
