date,open,high,low,close,volume
2015-01-15,6.75,8.89,6.75,7.87,382320
2015-01-16,7.62,7.62,7.36,7.41,80000
2015-01-19,7.41,7.41,7.0,7.01,78050
2015-01-20,6.71,7.11,6.6,7.11,155360
2015-01-21,6.91,7.11,6.86,6.85,34000
2015-01-22,6.8,7.05,6.75,6.85,47030
2015-01-23,6.85,6.95,6.8,6.8,66350
2015-01-26,6.8,6.8,6.6,6.6,44480
2015-01-27,6.6,6.6,6.14,6.14,94470
2015-01-28,6.04,6.44,6.04,6.45,45950
2015-01-29,6.2,6.45,6.2,6.19,13010
2015-01-30,6.19,6.24,6.14,6.19,15630
2015-02-02,6.09,6.14,5.89,6.04,21730
2015-02-03,5.99,5.99,5.63,5.64,55710
2015-02-04,5.59,5.84,5.39,5.38,42470
2015-02-05,5.48,5.48,5.43,5.43,13680
2015-02-06,5.48,5.79,5.38,5.79,35660
2015-02-09,5.94,6.15,5.84,5.99,44030
2015-02-10,6.09,6.24,6.09,6.09,57140
2015-02-11,6.04,6.19,6.04,6.19,46180
2015-02-12,6.29,6.34,6.14,6.19,33480
2015-02-13,6.14,6.24,6.09,6.24,6980
2015-02-24,6.24,6.34,6.14,6.3,17590
2015-02-25,6.2,6.25,6.1,6.14,63180
2015-02-26,6.09,6.14,6.04,6.14,29220
2015-02-27,6.14,6.19,6.09,6.14,18310
2015-03-02,6.09,6.14,6.04,6.09,20150
2015-03-03,5.99,6.14,5.99,6.09,60350
2015-03-04,5.99,6.14,5.99,6.09,65960
2015-03-05,6.14,6.19,6.09,6.14,77150
2015-03-06,6.14,6.14,6.09,6.14,38610
2015-03-09,6.09,6.14,6.09,6.09,51210
2015-03-10,6.04,6.09,6.04,6.09,14850
2015-03-11,6.04,6.09,6.04,6.09,15110
2015-03-12,6.09,6.09,6.04,6.04,15250
2015-03-13,6.09,6.09,6.04,6.04,1070
2015-03-16,6.04,6.09,6.04,6.04,16150
2015-03-17,6.09,6.09,5.99,5.99,62100
2015-03-18,6.09,6.09,5.99,6.09,1090
2015-03-19,6.04,6.09,6.04,6.09,55340
2015-03-20,5.99,6.04,5.99,6.04,7670
2015-03-23,6.09,6.09,6.04,6.04,3940
2015-03-24,5.99,5.99,5.99,5.99,4500
2015-03-25,5.99,6.04,5.89,5.99,28180
2015-03-26,5.94,5.99,5.94,5.99,4910
2015-03-27,5.99,5.99,5.89,5.99,10210
2015-03-30,5.99,5.99,5.89,5.99,7310
2015-03-31,5.89,6.24,5.89,6.24,157920
2015-04-01,6.19,6.54,6.19,6.4,218060
2015-04-02,6.3,6.4,6.3,6.4,61170
2015-04-03,6.4,6.4,6.3,6.35,285200
2015-04-06,6.35,6.35,6.1,6.09,37470
2015-04-07,6.09,6.24,6.09,6.24,18000
2015-04-08,6.24,6.24,6.09,6.19,34270
2015-04-09,6.14,6.24,6.14,6.24,50050
2015-04-10,6.24,6.44,6.24,6.45,85000
2015-04-13,6.35,6.45,6.35,6.35,21000
2015-04-14,6.35,6.45,6.2,6.45,39000
2015-04-15,6.45,6.45,6.4,6.4,31460
2015-04-16,6.35,6.35,6.25,6.35,24490
2015-04-17,6.35,6.35,6.3,6.35,16200
2015-04-20,6.25,6.4,6.25,6.3,45610
2015-04-21,6.3,6.35,6.25,6.24,16570
2015-04-22,6.24,6.24,6.19,6.24,27800
2015-04-23,6.29,6.34,6.19,6.19,9400
2015-04-24,6.39,6.39,6.14,6.35,14320
2015-04-27,6.35,6.35,6.35,6.35,2060
2015-05-04,6.35,6.35,6.2,6.24,41100
2015-05-05,6.24,6.29,6.24,6.24,64340
2015-05-06,6.29,6.29,6.19,6.19,24060
2015-05-07,6.24,6.39,6.19,6.4,57150
2015-05-08,6.4,6.4,6.08,6.08,31000
