date,open,high,low,close,volume
2018-12-06,,,,11.5,0
2018-12-05,,,,11.5,0
2018-12-04,,,,11.5,0
2018-12-03,,,,11.5,0
2018-11-30,,,,11.5,0
2018-11-29,11.5,11.5,11.5,11.5,300
2018-11-28,,,,11.2,0
2018-11-27,,,,11.2,0
2018-11-26,,,,11.2,0
2018-11-23,,,,11.2,0
2018-11-22,,,,11.2,0
2018-11-21,,,,11.2,0
2018-11-20,,,,11.2,0
2018-11-19,,,,11.2,0
2018-11-16,,,,11.2,0
2018-11-15,,,,11.2,0
2018-11-14,,,,11.2,0
2018-11-13,,,,11.2,0
2018-11-12,,,,11.2,0
2018-11-09,11.2,11.2,11.2,11.2,700
2018-11-08,,,,11.2,0
2018-11-07,,,,11.2,0
2018-11-06,,,,11.2,0
2018-11-05,,,,11.2,0
2018-11-02,11.2,11.2,11.2,11.2,100
2018-11-01,,,,12.0,0
2018-10-31,12.0,12.0,12.0,12.0,100
2018-10-30,,,,11.1,0
2018-10-29,11.2,11.2,11.1,11.1,1100
2018-10-26,10.0,11.9,10.0,11.9,200
2018-10-19,11.1,11.1,11.1,11.1,100
2018-10-15,12.2,12.2,12.0,12.0,3800
2018-10-12,12.4,12.4,11.2,11.2,2200
2018-10-10,12.0,12.2,11.3,11.3,2700
2018-10-09,11.5,11.5,11.0,11.1,3300
2018-10-04,11.0,11.0,11.0,11.0,500
2018-09-28,11.0,11.8,11.0,11.8,2200
2018-09-24,10.8,10.8,10.8,10.8,100
2018-09-17,11.0,11.5,11.0,11.5,800
2018-09-12,11.5,11.5,11.5,11.5,200
2018-09-11,11.3,11.3,11.3,11.3,100
2018-09-10,12.2,12.2,12.2,12.2,100
2018-08-22,13.3,13.3,13.3,13.3,700
2018-08-17,13.3,13.3,13.3,13.3,50
2018-08-16,13.21,13.3,13.21,13.3,1200
2018-08-15,12.38,12.66,12.38,12.66,3600
2018-08-14,11.74,11.74,11.74,11.74,100
2018-08-08,12.11,12.11,10.73,10.73,404
2018-08-02,12.39,12.39,11.01,11.01,1600
2018-07-30,12.11,12.11,12.11,12.11,100
2018-07-13,9.54,11.56,9.54,11.56,200
2018-07-06,10.55,10.55,10.55,10.55,100
2018-06-28,11.01,11.65,11.01,11.65,300
2018-06-27,10.74,10.74,10.74,10.73,100
2018-06-26,10.92,10.92,10.92,10.92,100
2018-06-25,11.56,11.56,11.56,11.56,100
2018-06-20,11.28,12.66,11.28,12.66,200
2018-06-19,12.39,12.39,12.39,12.38,100
2018-06-13,13.67,13.67,13.67,13.67,100
2018-06-12,11.74,13.02,11.74,13.03,300
2018-06-11,12.93,12.93,12.93,12.93,100
2018-06-08,11.93,13.39,11.93,11.92,300
2018-06-06,13.21,13.21,13.21,13.21,100
2018-06-05,12.38,12.38,12.38,12.38,100
2018-06-04,11.65,11.65,11.65,11.65,100
2018-06-01,10.64,10.64,10.64,10.64,100
2018-05-31,9.72,9.72,9.72,9.72,100
2018-05-29,10.73,10.73,10.73,10.73,2000
2018-05-25,9.82,9.82,9.82,9.81,100
2018-05-23,10.46,10.46,10.46,10.46,100
2018-05-22,11.56,11.56,11.56,11.56,100
2018-05-21,12.11,12.11,12.11,12.11,100
2018-05-17,12.75,12.75,12.75,12.75,11000
2018-05-16,11.65,11.65,11.65,11.65,100
2018-05-15,12.75,12.75,12.75,12.75,137
2018-05-14,11.65,11.65,11.65,11.65,100
2018-05-11,10.73,12.38,10.73,12.38,2900
2018-05-10,10.64,12.38,10.64,11.28,6800
2018-05-09,12.66,12.66,11.28,11.28,200
2018-05-08,11.74,11.74,11.74,11.74,3400
2018-05-07,10.73,10.73,10.73,10.73,1000
2018-05-04,11.19,11.28,9.81,9.81,2300
2018-05-03,10.28,10.28,10.28,10.27,100
2018-05-02,9.36,9.36,9.36,9.36,1000
2018-04-27,8.53,8.53,8.53,8.53,110
2018-04-26,9.45,9.45,9.45,9.45,10
2018-04-24,9.08,9.45,9.08,9.45,600
2018-04-23,10.09,10.09,10.09,10.09,100
2018-04-20,10.73,10.73,10.73,10.73,2000
2018-04-19,10.73,10.73,9.81,9.81,3100
2018-04-18,11.47,11.47,9.82,9.81,200
2018-04-13,10.46,10.46,9.63,10.46,500
2018-04-10,9.54,9.54,9.54,9.54,700
2018-04-09,9.54,9.54,9.54,9.54,3800
2018-04-05,9.63,9.63,9.63,9.63,500
2018-04-02,9.63,9.63,9.63,9.63,100
2018-03-27,9.45,9.45,9.45,9.45,100
2018-03-21,10.09,10.09,10.09,10.09,600
2018-03-20,9.17,9.17,9.17,9.17,100
2018-03-19,10.0,10.0,10.0,10.0,100
2018-03-15,10.46,10.46,10.46,10.46,1000
2018-03-14,10.09,10.09,10.09,10.09,1100
2018-03-13,9.91,10.09,9.91,10.09,1100
2018-03-12,9.54,9.54,9.54,9.54,500
2018-03-08,8.72,8.72,8.72,8.71,100
2018-03-07,9.73,9.82,9.36,9.36,600
2018-03-05,10.37,10.37,10.37,10.37,100
2018-03-02,11.1,11.1,11.1,11.1,200
2018-03-01,10.27,10.27,10.27,10.27,1300
2018-02-27,11.38,11.38,9.82,9.81,200
2018-02-26,10.37,11.74,10.37,10.37,300
2018-02-22,11.1,11.1,11.1,11.1,100
