date,open,high,low,close,volume
2010-03-17,3.04,4.41,3.04,3.92,33500
2010-03-18,3.77,3.92,3.76,3.76,5400
2010-03-19,3.57,4.01,3.57,3.72,24500
2010-03-22,3.82,4.04,3.78,4.04,66300
2010-03-23,4.11,4.21,4.01,4.21,59000
2010-03-24,4.44,4.44,4.41,4.44,40000
2010-03-25,4.51,4.51,4.14,4.13,28200
2010-03-26,4.37,4.37,3.96,4.21,8100
2010-03-29,4.01,4.01,3.87,3.87,15800
2010-03-30,4.02,4.02,3.63,3.63,19200
2010-03-31,3.91,3.91,3.66,3.66,700
2010-04-01,3.94,3.97,3.73,3.97,18300
2010-04-02,4.02,4.1,3.72,3.72,7100
2010-04-05,3.73,3.73,3.7,3.7,12200
2010-04-06,3.72,3.72,3.47,3.71,13400
2010-04-07,3.82,3.82,3.58,3.77,6100
2010-04-08,3.87,3.87,3.73,3.73,10900
2010-04-09,3.72,3.82,3.72,3.75,9800
2010-04-12,3.68,3.73,3.64,3.64,12400
2010-04-13,3.72,3.72,3.62,3.62,11100
2010-04-14,3.8,3.8,3.73,3.77,3100
2010-04-15,3.59,3.82,3.59,3.82,1400
2010-04-16,3.82,3.82,3.62,3.62,5400
2010-04-19,3.52,3.53,3.44,3.47,15400
2010-04-20,3.52,3.72,3.52,3.72,8400
2010-04-21,3.73,3.91,3.73,3.78,5000
2010-04-22,3.97,3.97,3.62,3.62,700
2010-04-26,3.82,3.82,3.81,3.82,800
2010-04-27,3.72,3.77,3.72,3.77,2400
2010-04-28,3.72,3.72,3.58,3.58,4700
2010-04-29,3.72,3.86,3.67,3.86,23100
2010-05-04,4.04,4.04,3.94,4.05,26600
2010-05-05,4.03,4.18,3.98,4.18,23300
2010-05-06,4.23,4.34,4.06,4.34,54400
2010-05-07,4.52,4.52,4.13,4.22,17500
2010-05-10,4.18,4.18,4.03,4.13,8800
2010-05-11,4.31,4.31,4.1,4.12,13500
2010-05-12,4.04,4.04,3.99,3.98,12300
2010-05-13,3.91,3.91,3.89,3.89,1100
2010-05-14,3.91,4.17,3.91,4.12,8600
2010-05-17,4.13,4.13,4.13,4.13,10400
2010-05-19,4.13,4.13,3.85,3.84,11600
2010-05-20,3.84,3.84,3.61,3.62,6100
2010-05-21,3.61,3.62,3.51,3.52,8100
2010-05-24,3.78,3.79,3.78,3.79,3000
2010-05-25,3.92,3.92,3.92,3.92,100
2010-05-26,3.65,3.97,3.65,3.82,5700
2010-05-28,3.72,4.02,3.72,4.03,4800
2010-05-31,3.93,3.93,3.93,3.92,100
2010-06-01,3.92,4.02,3.92,4.03,17100
2010-06-02,3.84,4.08,3.83,4.06,60000
2010-06-03,4.04,4.04,3.93,3.92,1000
2010-06-04,3.94,4.02,3.92,3.92,20700
2010-06-07,3.99,4.02,3.99,4.01,13900
2010-06-08,3.85,4.21,3.83,4.17,54100
2010-06-09,4.13,4.21,4.09,4.21,18200
2010-06-10,4.23,4.23,4.17,4.21,6500
2010-06-11,4.43,4.43,4.18,4.18,6000
2010-06-14,4.03,4.08,3.93,4.08,34100
2010-06-15,3.91,4.18,3.91,4.17,24600
2010-06-16,3.74,4.18,3.74,4.18,34800
2010-06-17,4.17,4.17,4.13,4.13,5000
2010-06-18,4.22,4.45,4.18,4.45,91800
2010-06-21,4.72,4.72,4.72,4.72,48800
2010-06-22,5.03,5.04,5.03,5.04,126300
2010-06-23,5.08,5.39,5.03,5.39,80200
2010-06-24,5.43,5.51,4.81,5.16,58400
2010-06-25,5.06,5.42,5.04,5.42,37100
2010-06-28,5.54,5.59,5.54,5.6,32500
2010-06-29,5.94,5.98,5.94,5.98,27200
2010-06-30,6.24,6.38,6.24,6.38,45400
2010-07-01,6.39,6.39,5.94,5.94,30200
2010-07-02,5.9,5.9,5.89,5.89,500
2010-07-05,5.89,5.89,5.84,5.84,4200
2010-07-06,5.84,5.84,5.54,5.53,12700
2010-07-07,5.7,5.73,5.63,5.64,31500
2010-07-08,5.7,6.09,5.64,6.09,47800
2010-07-09,6.04,6.28,6.04,6.28,30400
2010-07-12,5.86,6.04,5.86,6.04,8000
2010-07-13,5.97,6.35,5.97,6.35,22100
2010-07-14,6.66,6.66,6.33,6.33,13900
2010-07-15,6.06,6.47,6.06,6.47,3500
2010-07-16,6.05,6.41,5.98,5.98,14200
2010-07-19,6.24,6.24,6.05,6.09,10400
2010-07-20,6.11,6.11,6.04,6.04,10700
2010-07-21,6.03,6.03,6.02,6.02,10000
2010-07-22,6.24,6.44,5.84,6.44,11500
2010-07-23,6.24,6.54,6.24,6.54,25600
2010-07-26,6.48,6.48,6.44,6.48,10000
2010-07-27,6.48,6.48,6.48,6.48,10500
2010-07-28,6.49,6.53,6.44,6.48,9500
2010-07-29,6.24,6.5,6.23,6.5,11500
2010-07-30,6.6,6.6,6.58,6.58,10500
2010-08-02,6.84,7.04,6.84,7.04,3900
2010-08-03,6.94,6.94,6.9,6.9,2500
2010-08-04,7.04,7.04,6.93,6.93,400
2010-08-05,6.94,6.95,6.94,6.95,3000
2010-08-09,6.49,6.49,6.46,6.46,1000
2010-08-10,6.74,6.93,6.74,6.93,11100
2010-08-11,6.9,7.02,6.9,7.0,18100
2010-08-13,6.89,6.93,6.84,6.84,17000
2010-08-16,6.92,6.93,6.44,6.44,3100
2010-08-17,6.82,6.83,6.44,6.44,5700
2010-08-18,6.36,6.36,6.36,6.36,100
2010-08-19,6.24,6.24,6.24,6.24,300
2010-08-20,6.04,6.04,5.84,5.84,600
2010-08-23,6.04,6.04,5.52,5.51,300
2010-08-25,5.67,5.68,5.67,5.68,2000
2010-08-26,5.67,6.06,5.67,5.68,7800
2010-08-30,5.74,6.18,5.74,6.18,2600
2010-08-31,6.13,6.55,6.13,6.55,2500
2010-09-01,6.39,6.39,6.39,6.39,1000
2010-09-06,6.83,6.83,6.83,6.83,500
2010-09-07,7.07,7.07,7.04,7.04,400
2010-09-09,7.54,7.54,7.24,7.25,10100
2010-09-10,7.05,7.05,7.05,7.04,1000
2010-09-13,7.52,7.52,7.52,7.52,900
2010-09-16,8.03,8.03,7.92,7.93,200
2010-09-21,7.45,7.45,7.45,7.45,100
2010-09-22,6.94,6.94,6.94,6.93,300
2010-09-27,6.45,6.45,6.45,6.45,100
2010-09-30,6.0,6.0,6.0,6.0,200
2010-10-05,5.58,5.58,5.58,5.58,100
2010-10-11,5.19,5.19,5.19,5.19,100
2010-10-12,5.13,5.13,5.13,5.13,200
2010-10-14,4.82,4.82,4.82,4.82,200
2010-10-20,5.15,5.15,5.15,5.15,300
2010-10-21,5.41,5.41,5.37,5.36,500
2010-10-28,5.02,5.02,5.02,5.02,100
2010-11-02,5.32,5.32,5.32,5.32,500
2010-11-09,4.96,4.96,4.96,4.96,100
2010-11-15,4.66,4.66,4.66,4.66,200
2010-11-18,4.33,4.97,4.33,4.97,1100
2010-11-19,5.13,5.13,5.13,5.13,100
2010-11-22,5.44,5.49,5.44,5.49,91600
2010-11-23,5.85,5.85,5.6,5.66,59800
2010-11-24,5.68,5.72,5.61,5.72,31500
2010-11-25,5.66,5.75,5.66,5.75,29500
2010-11-26,5.31,5.58,5.31,5.44,54000
2010-11-29,5.67,5.67,5.36,5.47,30600
2010-11-30,5.44,5.44,5.42,5.43,7400
2010-12-01,5.38,5.45,5.38,5.44,20000
2010-12-02,5.41,5.55,5.38,5.55,22000
2010-12-03,5.44,5.44,5.11,5.43,20200
2010-12-06,5.43,5.46,5.4,5.44,72400
2010-12-07,5.41,5.44,5.38,5.43,73300
2010-12-08,5.43,5.45,5.37,5.36,81100
2010-12-09,5.39,5.59,5.39,5.6,65700
2010-12-10,5.44,5.6,5.44,5.6,2000
2010-12-13,5.6,5.6,5.18,5.18,2600
2010-12-14,5.18,5.18,5.18,5.18,2000
2010-12-15,5.41,5.44,5.41,5.44,2600
2010-12-16,5.42,5.42,5.39,5.43,2700
2010-12-17,5.32,5.37,5.32,5.32,9900
2010-12-20,5.29,5.3,5.29,5.29,21500
2010-12-21,5.21,5.21,5.21,5.21,13500
2010-12-22,5.26,5.27,5.21,5.21,10500
2010-12-23,5.26,5.26,5.21,5.22,4900
2010-12-24,5.22,5.25,5.19,5.25,41300
2010-12-27,5.22,5.23,5.19,5.19,49600
2010-12-28,5.21,5.21,5.21,5.21,100
2010-12-29,5.21,5.23,5.21,5.22,500
2010-12-30,5.2,5.2,5.2,5.21,400
2010-12-31,5.21,5.21,5.21,5.21,100
2011-01-05,5.19,5.19,5.19,5.19,500
2011-01-06,5.19,5.19,5.19,5.19,500
2011-01-07,5.17,5.17,5.17,5.18,300
2011-01-14,4.82,4.82,4.82,4.82,100
2011-01-19,4.49,5.13,4.49,5.13,200
2011-01-20,4.49,4.49,4.49,4.49,100
2011-01-21,4.79,4.79,4.18,4.18,1200
2011-01-24,5.02,5.02,4.69,4.69,300
2011-01-25,5.17,5.17,5.17,5.18,800
2011-01-27,4.82,5.24,4.82,4.82,5200
2011-02-10,4.63,4.63,4.63,4.63,100
2011-02-11,4.32,4.32,4.32,4.32,1400
2011-02-14,4.02,4.02,4.02,4.03,10300
2011-02-15,4.12,4.12,3.75,4.12,600
2011-02-16,3.78,4.03,3.78,4.03,600
2011-02-17,4.15,4.15,4.15,4.15,500
2011-02-18,4.34,4.34,4.18,4.18,300
2011-02-23,4.21,4.53,4.21,4.52,1500
2011-02-25,4.49,4.49,4.49,4.49,100
2011-03-02,4.49,4.8,4.49,4.8,1500
2011-03-04,4.74,4.88,4.74,4.74,800
2011-03-07,5.16,5.16,5.16,5.16,800
2011-03-14,4.8,5.14,4.8,5.15,300
2011-03-15,4.7,4.7,4.7,4.69,1000
2011-03-17,4.95,4.95,4.95,4.96,100
2011-03-18,5.29,5.29,4.62,4.62,4600
2011-03-24,4.43,4.43,4.43,4.43,200
2011-03-25,4.51,4.73,4.13,4.13,1800
2011-03-29,4.65,4.65,4.65,4.65,4000
2011-04-01,4.79,4.79,4.79,4.79,1000
2011-04-08,4.46,4.46,4.46,4.46,600
2011-04-18,4.15,4.43,4.15,4.43,200
2011-04-19,4.41,4.41,4.0,4.0,4100
2011-04-21,4.42,4.42,4.1,4.1,1100
2011-04-26,4.66,4.66,4.66,4.66,4000
2011-05-09,4.91,4.91,4.91,4.9,4000
2011-05-20,4.57,4.92,4.57,4.92,4400
2011-05-27,4.51,4.92,4.51,4.92,200
2011-05-31,5.05,5.05,5.05,5.05,100
2011-06-01,4.92,4.92,4.92,4.92,4900
2011-06-14,4.58,4.58,4.58,4.58,100
2011-06-16,4.27,4.27,4.27,4.26,600
2011-06-17,4.01,4.01,4.01,4.02,200
2011-06-20,3.77,3.77,3.77,3.77,600
2011-06-21,3.51,3.52,3.51,3.53,200
2011-06-22,3.28,3.53,3.28,3.53,500
2011-07-19,3.2,3.2,3.2,3.2,100
2011-07-20,2.99,2.99,2.99,2.98,100
2011-08-02,2.78,2.78,2.78,2.79,100
2011-08-16,2.76,2.76,2.76,2.76,100
2011-08-30,2.63,2.63,2.63,2.62,800
2011-09-06,2.46,2.46,2.46,2.46,2000
2011-09-07,2.3,2.3,2.3,2.3,7000
2011-09-08,2.43,2.45,2.15,2.15,3700
