date,open,high,low,close,volume
2019-03-22,,,,,0
2019-03-21,12.0,12.0,11.9,11.9,0
2019-03-20,12.0,12.0,11.9,11.9,0
2019-03-19,12.0,12.0,11.9,11.9,0
2019-03-18,12.0,12.0,11.9,11.9,0
2019-03-15,12.0,12.0,11.9,11.9,0
2019-03-14,12.0,12.0,11.9,11.9,0
2019-03-13,12.0,12.0,11.9,11.9,0
2019-03-12,12.0,12.0,11.9,11.9,0
2019-03-11,12.0,12.0,11.9,11.9,0
2019-03-08,12.0,12.0,11.9,11.9,0
2019-03-07,12.0,12.0,11.9,11.9,0
2019-03-06,12.0,12.0,11.9,11.9,0
2019-03-05,12.0,12.0,11.9,11.9,0
2019-03-04,12.0,12.0,11.9,11.9,0
2019-03-01,12.0,12.0,11.9,11.9,0
2019-02-28,12.0,12.0,11.9,11.9,0
2019-02-27,12.0,12.0,11.9,11.9,0
2019-02-26,12.0,12.0,11.9,11.9,0
2019-02-25,12.0,12.0,11.9,11.9,0
2019-02-22,12.0,12.0,11.9,11.9,0
2019-02-21,12.0,12.0,11.9,11.9,0
2019-02-20,12.0,12.0,11.9,11.9,0
2019-02-19,12.0,12.0,11.9,11.9,0
2019-02-18,12.0,12.0,11.9,11.9,0
2019-02-15,12.0,12.0,11.9,11.9,0
2019-02-14,12.0,12.0,11.9,11.9,0
2019-02-13,12.0,12.0,11.9,11.9,0
2019-02-12,12.0,12.0,11.9,11.9,0
2019-02-11,12.0,12.0,11.9,11.9,0
2019-02-01,12.0,12.0,11.9,11.9,0
2019-01-31,12.0,12.0,11.9,11.9,0
2019-01-30,12.0,12.0,11.9,11.9,0
2019-01-29,12.0,12.0,11.9,11.9,0
2019-01-28,12.0,12.0,11.9,11.9,0
2019-01-25,12.0,12.0,11.9,11.9,0
2019-01-24,12.0,12.0,11.9,11.9,0
2019-01-23,12.0,12.0,11.9,11.9,0
2019-01-22,12.0,12.0,11.9,11.9,0
2019-01-21,12.0,12.0,11.9,11.9,0
2019-01-18,12.0,12.0,11.9,11.9,0
2019-01-17,12.0,12.0,11.9,11.9,0
2019-01-16,12.0,12.0,11.9,11.9,0
2019-01-15,12.0,12.0,11.9,11.9,0
2019-01-14,12.0,12.0,11.9,11.9,0
2019-01-11,12.0,12.0,11.9,11.9,0
2019-01-10,12.0,12.0,11.9,11.9,0
2019-01-09,12.0,12.0,11.9,11.9,0
2019-01-08,12.0,12.0,11.9,11.9,0
2019-01-07,12.0,12.0,11.9,11.9,0
2019-01-04,12.0,12.0,11.9,11.9,0
2019-01-03,12.0,12.0,11.9,11.9,0
2019-01-02,12.0,12.0,11.9,11.9,0
2018-12-28,12.0,12.0,11.9,11.9,0
2018-12-27,12.0,12.0,11.9,11.9,0
2018-12-26,12.0,12.0,11.9,11.9,0
2018-12-25,12.0,12.0,11.9,11.9,0
2018-12-24,12.0,12.0,11.9,11.9,3600
2018-12-21,11.8,11.8,11.8,11.8,1000
2018-12-20,12.0,12.0,12.0,12.0,0
2018-12-19,12.0,12.0,12.0,12.0,0
2018-12-18,12.0,12.0,12.0,12.0,1138
2018-12-17,12.0,12.0,12.0,12.0,0
2018-12-14,12.0,12.0,12.0,12.0,0
2018-12-13,12.0,12.0,12.0,12.0,0
2018-12-12,12.0,12.0,12.0,12.0,0
2018-12-11,12.0,12.0,12.0,12.0,0
2018-12-10,12.0,12.0,12.0,12.0,1000
2018-12-07,11.0,11.0,11.0,11.0,0
2018-12-06,11.0,11.0,11.0,11.0,100
2018-12-05,11.8,12.1,11.8,12.1,1900
2018-12-04,11.8,11.8,11.8,11.8,0
2018-12-03,11.8,11.8,11.8,11.8,0
2018-11-30,11.8,11.8,11.8,11.8,0
2018-11-29,11.8,11.8,11.8,11.8,0
2018-11-28,11.8,11.8,11.8,11.8,1000
2018-11-27,11.5,11.5,11.5,11.5,0
2018-11-26,11.5,11.5,11.5,11.5,100
2018-11-23,11.7,11.7,11.7,11.7,500
2018-11-22,11.7,11.7,11.7,11.7,0
2018-11-21,11.7,11.7,11.7,11.7,0
2018-11-20,11.7,11.7,11.7,11.7,1000
2018-11-19,11.5,12.0,11.5,12.0,0
2018-11-16,11.5,12.0,11.5,12.0,2160
2018-11-15,12.0,12.0,12.0,12.0,1000
2018-11-14,12.0,12.0,12.0,12.0,5000
2018-11-13,11.5,12.0,11.5,12.0,11200
2018-11-12,11.5,11.5,11.5,11.5,18000
2018-11-09,11.5,11.5,11.5,11.5,0
2018-11-08,11.5,11.5,11.5,11.5,1000
2018-11-07,11.5,11.5,11.5,11.5,0
2018-11-06,11.5,11.5,11.5,11.5,0
2018-11-05,11.5,11.5,11.5,11.5,0
2018-11-02,11.5,11.5,11.5,11.5,4
2018-11-01,11.5,11.5,11.5,11.5,500
2018-10-31,11.5,11.5,11.5,11.5,1000
2018-10-30,11.4,11.4,11.4,11.4,2500
2018-10-29,11.1,11.1,11.1,11.1,0
2018-10-26,11.1,11.1,11.1,11.1,0
2018-10-25,11.1,11.1,11.1,11.1,200
2018-10-24,10.2,11.5,10.2,11.5,0
2018-10-23,10.2,11.5,10.2,11.5,0
2018-10-22,10.2,11.5,10.2,11.5,0
2018-10-19,10.2,11.5,10.2,11.5,800
2018-10-18,11.0,11.0,11.0,11.0,0
2018-10-17,11.0,11.0,11.0,11.0,500
2018-10-16,11.0,11.0,11.0,11.0,100
2018-10-15,10.0,10.0,10.0,10.0,1900
2018-10-12,10.0,10.0,10.0,10.0,0
2018-10-11,10.0,10.0,10.0,10.0,1000
2018-10-10,10.0,10.0,10.0,10.0,2000
2018-10-09,9.8,9.8,9.8,9.8,0
2018-10-08,9.8,9.8,9.8,9.8,2500
2018-10-05,10.0,10.0,9.8,9.8,3000
2018-10-04,10.2,10.2,10.2,10.2,0
2018-10-03,10.2,10.2,10.2,10.2,0
2018-10-02,10.2,10.2,10.2,10.2,0
2018-10-01,10.2,10.2,10.2,10.2,0
2018-09-28,10.2,10.2,10.2,10.2,0
2018-09-27,10.2,10.2,10.2,10.2,0
2018-09-26,10.2,10.2,10.2,10.2,0
2018-09-25,10.2,10.2,10.2,10.2,0
2018-09-24,10.2,10.2,10.2,10.2,900
2018-09-21,10.3,10.3,10.3,10.3,900
2018-09-20,10.3,10.3,10.3,10.3,1200
2018-09-19,10.3,10.3,10.3,10.3,0
2018-09-18,10.3,10.3,10.3,10.3,0
2018-09-17,10.3,10.3,10.3,10.3,0
2018-09-14,10.3,10.3,10.3,10.3,10
2018-09-13,10.3,10.3,10.3,10.3,0
2018-09-12,10.3,10.3,10.3,10.3,0
2018-09-11,10.3,10.3,10.3,10.3,900
2018-09-10,10.3,10.3,10.3,10.3,0
2018-09-07,10.3,10.3,10.3,10.3,0
2018-09-06,10.3,10.3,10.3,10.3,0
2018-09-05,10.3,10.3,10.3,10.3,0
2018-09-04,10.3,10.3,10.3,10.3,0
2018-08-31,10.3,10.3,10.3,10.3,0
2018-08-30,10.3,10.3,10.3,10.3,0
2018-08-29,10.3,10.3,10.3,10.3,0
2018-08-28,10.3,10.3,10.3,10.3,28
2018-08-27,10.3,10.3,10.3,10.3,0
2018-08-24,10.3,10.3,10.3,10.3,0
2018-08-23,10.3,10.3,10.3,10.3,400
2018-08-22,10.01,10.01,10.01,10.01,1000
2018-08-21,10.3,10.3,10.3,10.3,100
2018-08-20,10.49,10.49,10.49,10.49,0
2018-08-17,10.49,10.49,10.49,10.49,0
2018-08-16,10.49,10.49,10.49,10.49,0
2018-08-15,10.49,10.49,10.49,10.49,0
2018-08-14,10.49,10.49,10.49,10.49,0
2018-08-13,10.49,10.49,10.49,10.49,0
2018-08-10,10.49,10.49,10.49,10.49,0
2018-08-09,10.49,10.49,10.49,10.49,0
2018-08-08,10.49,10.49,10.49,10.49,0
2018-08-07,10.49,10.49,10.49,10.49,0
2018-08-06,10.49,10.49,10.49,10.49,0
2018-08-03,10.49,10.49,10.49,10.49,500
2018-08-02,9.92,9.92,9.92,9.92,0
2018-08-01,9.92,9.92,9.92,9.92,0
2018-07-31,9.92,9.92,9.92,9.92,0
2018-07-30,9.92,9.92,9.92,9.92,0
2018-07-27,9.92,9.92,9.92,9.92,0
2018-07-26,9.92,9.92,9.92,9.92,0
2018-07-25,9.92,9.92,9.92,9.92,0
2018-07-24,9.92,9.92,9.92,9.92,0
2018-07-23,9.92,9.92,9.92,9.92,0
2018-07-20,9.92,9.92,9.92,9.92,0
2018-07-19,9.92,9.92,9.92,9.92,0
2018-07-18,9.92,9.92,9.92,9.92,0
2018-07-17,9.92,9.92,9.92,9.92,100
2018-07-16,10.97,10.97,10.97,10.97,0
2018-07-13,10.97,10.97,10.97,10.97,0
2018-07-12,10.97,10.97,10.97,10.97,0
2018-07-11,10.97,10.97,10.97,10.97,0
2018-07-10,10.97,10.97,10.97,10.97,0
2018-07-09,10.97,10.97,10.97,10.97,0
2018-07-06,10.97,10.97,10.97,10.97,0
2018-07-05,10.97,10.97,10.97,10.97,0
2018-07-04,10.97,10.97,10.97,10.97,0
2018-07-03,10.97,10.97,10.97,10.97,0
2018-07-02,10.97,10.97,10.97,10.97,0
2018-06-29,10.97,10.97,10.97,10.97,0
2018-06-28,10.97,10.97,10.97,10.97,0
2018-06-27,10.97,10.97,10.97,10.97,0
2018-06-26,10.97,10.97,10.97,10.97,0
2018-06-25,10.97,10.97,10.97,10.97,0
2018-06-22,10.97,10.97,10.97,10.97,0
2018-06-21,10.97,10.97,10.97,10.97,0
2018-06-20,10.97,10.97,10.97,10.97,300
2018-06-19,9.92,10.97,9.92,10.97,0
2018-06-18,9.92,10.97,9.92,10.97,0
2018-06-15,9.92,10.97,9.92,10.97,0
2018-06-14,9.92,10.97,9.92,10.97,0
