date,open,high,low,close,volume
2007-08-09,19.89,19.89,19.89,19.89,32950
2007-08-10,18.9,18.9,18.9,18.9,45700
2007-08-13,17.98,17.98,17.98,17.98,30320
2007-08-14,17.1,18.86,17.1,17.98,397140
2007-08-15,18.36,18.55,18.32,18.52,150660
2007-08-16,18.37,18.37,17.6,17.6,137400
2007-08-17,17.6,17.6,17.22,17.22,51160
2007-08-20,16.57,16.84,16.38,16.37,104090
2007-08-21,15.87,16.26,15.68,15.69,162060
2007-08-22,15.54,15.69,15.35,15.49,149240
2007-08-23,16.06,16.25,15.91,16.26,236020
2007-08-24,17.06,17.06,17.06,17.06,180220
2007-08-27,17.75,17.9,17.02,17.83,332810
2007-08-28,17.6,17.68,17.22,17.6,160890
2007-08-29,16.91,17.03,16.83,16.95,133570
2007-08-30,17.75,17.75,17.22,17.6,112040
2007-08-31,17.22,17.6,17.22,17.6,116530
2007-09-04,17.6,17.75,17.6,17.68,100050
2007-09-05,17.41,17.68,17.41,17.41,93160
2007-09-06,17.26,17.52,17.26,17.41,165180
2007-09-07,17.6,17.6,17.41,17.45,132400
2007-09-10,17.56,17.56,17.26,17.25,93150
2007-09-11,17.29,17.29,17.02,17.02,83420
2007-09-12,17.02,17.13,16.87,16.91,73840
2007-09-13,16.83,16.83,16.76,16.83,79700
2007-09-14,16.83,17.21,16.75,17.22,111230
2007-09-17,16.65,17.22,16.65,17.22,119240
2007-09-18,16.95,17.03,16.84,17.02,94610
2007-09-19,16.83,16.83,16.64,16.83,121660
2007-09-20,17.21,17.25,17.06,17.22,266800
2007-09-21,17.22,17.22,17.11,17.18,105920
2007-09-24,17.22,17.52,17.18,17.52,179630
2007-09-25,18.36,18.36,17.98,18.36,572780
2007-09-26,19.12,19.12,18.74,19.13,622840
2007-09-27,20.09,20.09,20.09,20.09,415080
2007-09-28,21.05,21.05,20.86,21.04,831810
2007-10-01,22.0,22.0,22.0,22.0,100920
2007-10-02,22.96,22.96,22.96,22.95,316920
2007-10-03,24.1,24.1,24.1,24.1,269430
2007-10-04,25.25,25.25,25.25,25.25,126960
2007-10-05,26.4,26.4,26.4,26.4,340090
2007-10-08,27.55,27.55,25.25,25.25,1204640
2007-10-09,26.4,26.4,26.02,26.4,1024090
2007-10-10,26.4,26.59,25.63,25.63,361470
2007-10-11,26.2,26.2,25.63,26.21,339710
2007-10-12,25.44,26.02,25.44,26.02,325500
2007-10-15,25.64,25.83,25.45,25.63,280990
2007-10-16,25.63,25.63,25.25,25.44,247520
2007-10-17,24.87,24.87,24.48,24.48,271520
2007-10-18,24.86,24.86,24.48,24.87,316720
2007-10-19,24.87,24.87,24.49,24.87,166580
2007-10-22,24.1,25.64,24.1,25.63,307550
2007-10-23,25.44,25.63,24.86,25.63,368710
2007-10-24,25.25,25.25,24.86,25.25,308010
2007-10-25,25.25,25.25,24.68,24.68,170430
2007-10-26,24.3,24.68,24.3,24.48,105110
2007-10-29,24.1,24.29,23.52,23.53,163010
2007-10-30,24.1,24.68,23.72,24.68,220880
2007-10-31,25.25,25.25,24.87,24.87,214410
2007-11-01,24.87,24.87,24.1,24.29,73040
2007-11-02,23.72,24.1,23.72,23.91,114640
2007-11-05,23.72,23.91,23.53,23.72,107310
2007-11-06,23.72,24.1,23.53,24.1,247880
2007-11-07,24.29,24.48,24.1,24.29,111140
2007-11-08,23.72,23.91,23.33,23.34,83550
