date,open,high,low,close,volume
2010-12-01,12.83,16.62,12.83,15.8,254500
2010-12-02,15.97,15.97,15.97,15.97,24700
2010-12-03,17.08,17.08,17.08,17.08,19500
2010-12-06,18.25,18.25,18.25,18.24,54500
2010-12-07,19.46,19.46,19.46,19.47,126900
2010-12-08,20.81,20.81,20.4,20.81,665700
2010-12-09,22.15,22.21,20.11,22.15,421800
2010-12-10,22.73,22.85,22.21,22.85,122600
2010-12-13,24.42,24.42,24.07,24.42,156700
2010-12-14,25.94,25.94,23.31,24.48,341500
2010-12-15,25.0,25.06,23.08,23.61,201300
2010-12-16,23.09,24.08,22.44,23.02,221100
2010-12-17,22.73,24.94,22.73,24.48,153400
2010-12-20,23.37,23.61,22.56,22.56,160300
2010-12-21,22.73,22.73,21.45,22.26,101400
2010-12-22,22.73,22.73,21.56,21.57,106100
2010-12-23,21.1,21.63,20.58,21.62,96900
2010-12-24,21.27,22.55,21.15,22.15,100600
2010-12-27,21.86,23.32,21.86,22.38,61400
2010-12-28,20.98,22.61,20.98,22.44,47800
2010-12-29,22.44,22.67,21.92,21.91,117500
2010-12-30,21.68,22.26,21.68,21.86,62300
2010-12-31,22.15,23.38,21.98,23.31,294200
2011-01-04,23.19,24.36,22.84,24.36,160100
2011-01-05,24.88,25.53,24.42,24.77,240600
2011-01-06,24.77,24.77,23.84,24.3,162000
2011-01-07,24.36,24.47,23.43,23.61,180900
2011-01-10,24.02,24.37,22.91,23.08,129800
2011-01-11,23.31,23.55,22.61,22.73,136900
2011-01-12,23.9,23.9,22.73,22.85,160400
2011-01-13,22.79,23.26,22.73,23.02,132800
2011-01-14,23.02,23.31,23.02,23.14,108400
2011-01-17,23.14,24.19,23.14,23.66,125300
2011-01-18,23.54,23.66,23.02,23.02,56800
2011-01-19,23.31,23.89,23.14,23.31,134400
2011-01-20,23.31,23.31,22.73,23.14,103700
2011-01-21,23.2,23.55,23.02,23.31,180500
2011-01-24,23.25,23.54,22.9,23.14,145900
2011-01-25,23.31,23.31,22.79,23.14,23700
2011-01-26,23.02,24.48,23.02,23.9,83700
2011-01-27,23.9,25.36,23.9,25.06,153200
2011-01-28,25.06,26.17,24.77,25.18,93100
2011-02-08,24.48,25.65,24.48,25.06,40900
2011-02-09,25.06,25.64,25.0,25.18,93500
2011-02-10,25.24,26.0,24.89,25.59,146800
2011-02-11,25.12,25.76,25.12,25.65,62400
2011-02-14,25.77,27.22,25.48,26.81,216000
2011-02-15,28.27,28.27,26.81,28.03,137300
2011-02-16,28.26,29.14,28.26,28.33,63300
2011-02-17,29.73,29.73,28.04,28.79,106100
2011-02-18,28.85,28.85,27.97,28.38,153500
2011-02-21,27.45,28.21,26.34,26.34,416700
2011-02-22,26.22,27.1,24.71,25.35,186700
2011-02-23,25.64,26.22,25.23,26.23,90300
2011-02-24,25.65,25.65,24.13,24.89,168200
2011-02-25,24.77,25.3,24.72,25.12,45800
2011-02-28,25.35,26.23,24.95,25.0,40700
2011-03-01,25.06,25.29,24.48,25.0,29200
2011-03-02,24.48,24.48,23.25,23.26,140800
2011-03-03,21.98,22.62,21.92,21.91,153100
2011-03-04,20.51,23.31,20.51,22.73,114700
2011-03-07,23.31,24.42,23.31,24.3,153300
2011-03-08,24.24,25.52,24.24,25.0,152000
2011-03-09,25.0,25.29,23.43,24.3,38500
2011-03-10,24.18,25.52,24.18,25.47,164700
2011-03-11,25.35,25.82,25.06,25.18,128100
2011-03-14,25.53,26.23,24.01,24.48,112800
2011-03-15,24.6,24.77,23.66,23.66,77500
2011-03-16,24.01,24.3,23.37,23.9,70200
2011-03-17,23.9,25.53,23.38,23.84,105900
2011-03-18,23.61,24.66,23.49,23.9,33700
2011-03-21,23.9,24.42,23.32,23.31,53000
2011-03-22,23.37,23.83,22.79,22.96,40100
2011-03-23,23.25,23.37,22.84,23.31,33700
2011-03-24,23.25,23.54,23.02,23.26,50000
2011-03-25,23.26,23.26,22.68,23.14,84700
2011-03-28,22.97,23.84,22.97,23.72,111500
2011-03-29,23.72,24.24,22.73,23.14,157100
2011-03-30,23.49,23.49,22.62,22.67,13400
2011-03-31,22.79,23.84,22.73,23.26,71900
2011-04-01,23.03,23.78,22.79,23.14,120100
2011-04-04,23.49,23.49,22.73,22.73,71200
2011-04-05,22.79,23.08,22.32,22.32,244400
2011-04-06,22.61,22.73,21.56,22.38,174100
2011-04-07,22.26,22.67,21.62,22.26,46500
2011-04-08,21.68,22.03,21.68,21.74,34100
2011-04-13,21.27,22.67,21.27,21.8,328000
2011-04-14,21.8,22.03,21.45,21.91,140000
2011-04-15,21.68,22.38,21.68,21.97,97300
2011-04-18,22.14,22.44,21.8,21.8,118900
2011-04-19,21.97,22.32,21.86,21.86,74700
2011-04-20,22.03,22.21,21.51,22.03,14400
2011-04-21,21.91,22.03,21.1,21.62,82900
2011-04-22,21.85,21.85,21.15,21.57,42800
2011-04-25,21.4,21.92,21.4,21.51,194400
2011-04-26,21.86,21.86,21.1,21.45,28000
2011-04-27,21.51,21.62,20.69,20.75,42100
2011-04-28,20.98,20.98,20.23,20.22,80300
2011-04-29,20.69,20.86,20.39,20.4,126600
2011-05-04,20.98,21.57,20.75,20.81,19600
2011-05-05,20.69,20.98,20.4,20.4,25700
2011-05-06,20.4,20.4,20.28,20.4,9200
2011-05-09,20.4,20.4,19.82,20.11,39800
2011-05-10,20.11,20.11,19.82,20.11,6100
2011-05-11,20.11,20.28,19.53,19.53,12900
2011-05-12,19.12,19.24,18.42,18.42,90500
2011-05-13,18.59,18.65,18.59,18.65,2000
2011-05-16,17.78,17.78,17.37,17.37,48000
2011-05-17,16.38,16.38,16.26,16.26,104600
2011-05-18,16.26,16.78,16.03,16.61,10500
2011-05-19,16.9,17.37,16.44,16.44,77500
2011-05-20,17.02,17.02,16.32,16.32,31200
2011-05-23,16.9,17.02,15.62,15.62,48600
2011-05-24,15.74,15.74,14.75,14.75,27500
2011-05-25,13.76,14.52,13.76,13.76,60800
2011-05-26,12.83,14.17,12.83,13.87,70200
2011-05-27,13.81,14.16,13.11,14.16,57900
2011-05-30,14.22,14.45,13.17,13.17,39100
2011-05-31,13.81,13.87,13.11,13.81,55000
2011-06-01,13.69,14.33,13.69,14.34,30000
2011-06-02,15.04,15.21,15.04,15.21,80200
2011-06-03,16.03,16.03,14.16,14.75,66600
2011-06-06,14.52,15.16,13.82,15.15,32800
2011-06-07,14.8,15.73,14.8,15.74,74300
2011-06-08,16.32,16.56,15.33,15.33,60400
2011-06-09,14.92,15.56,14.69,15.56,57100
2011-06-10,15.27,16.03,15.04,15.62,226300
2011-06-13,15.45,15.74,14.57,15.33,82300
2011-06-14,15.56,16.09,15.56,16.09,232400
2011-06-15,17.14,17.14,15.86,17.14,155000
2011-06-16,17.78,17.9,17.61,17.89,147800
2011-06-17,17.54,19.06,17.48,18.65,214900
2011-06-20,18.65,19.79,18.65,19.67,190400
2011-06-21,20.75,20.75,18.71,18.77,89400
2011-06-22,18.95,18.95,18.53,18.53,51500
2011-06-23,17.27,17.93,17.27,17.27,10000
2011-06-24,16.13,17.87,16.13,16.49,38100
2011-06-27,16.37,16.55,16.25,16.25,31100
2011-06-28,15.83,16.19,15.83,15.88,23500
2011-06-29,15.88,16.18,15.64,15.82,15100
2011-06-30,15.7,16.78,15.7,16.37,25600
2011-07-01,16.37,16.55,15.53,15.52,34700
2011-07-04,16.18,16.9,15.82,16.31,69600
2011-07-05,16.79,16.79,16.25,16.25,8600
2011-07-06,16.07,16.25,16.01,16.25,21900
2011-07-07,15.77,15.95,15.17,15.94,65800
2011-07-08,16.0,16.0,15.1,15.22,25300
2011-07-11,15.04,15.04,14.74,14.74,37300
2011-07-12,15.16,15.34,14.98,15.34,12200
2011-07-13,15.16,15.16,14.92,15.16,13700
2011-07-14,15.34,16.06,15.22,16.06,39200
2011-07-15,16.06,16.06,15.76,15.76,9800
2011-07-18,15.64,16.54,15.46,15.52,22400
2011-07-19,15.94,15.94,15.46,15.46,19100
2011-07-20,15.64,15.82,15.28,15.58,34200
2011-07-21,15.52,16.24,15.52,16.06,124600
2011-07-22,16.24,16.24,15.64,15.64,6600
2011-07-25,15.88,16.0,15.46,15.46,4800
2011-07-26,15.22,15.88,15.04,15.58,6300
2011-07-27,15.64,15.64,15.4,15.52,7900
2011-07-28,15.52,15.52,15.46,15.46,14100
2011-07-29,15.46,15.52,15.22,15.52,51900
2011-08-01,15.16,15.16,14.92,15.04,18300
2011-08-02,14.8,14.8,14.2,14.2,28800
2011-08-03,14.44,14.8,14.44,14.8,14800
2011-08-04,14.62,15.64,14.62,15.46,44200
2011-08-05,15.34,15.34,14.92,15.1,9100
2011-08-08,15.1,15.1,14.86,14.86,44700
2011-08-09,14.44,14.44,14.14,14.26,77500
2011-08-10,14.26,15.04,14.26,14.98,72200
2011-08-11,14.26,15.22,14.26,15.16,79300
2011-08-12,14.86,15.16,14.86,15.1,4500
2011-08-15,15.04,15.88,15.04,15.76,121200
2011-08-16,15.1,15.58,15.1,15.28,9500
2011-08-17,15.4,15.64,15.4,15.52,7400
2011-08-18,15.64,16.18,15.64,15.94,14300
2011-08-19,15.76,15.76,15.64,15.76,4200
2011-08-22,15.94,15.94,15.82,15.88,9600
2011-08-23,15.58,15.82,15.4,15.4,20000
2011-08-24,16.0,16.42,15.16,15.64,155300
2011-08-25,15.34,15.34,15.28,15.34,5500
2011-08-26,15.34,15.34,15.22,15.22,3500
2011-08-29,15.58,16.12,14.5,15.7,170500
2011-08-30,15.7,16.06,15.7,15.88,107400
2011-08-31,16.24,16.24,15.82,15.82,3000
2011-09-01,15.64,16.3,15.64,16.25,54300
2011-09-05,16.31,16.31,15.59,15.64,77500
2011-09-06,15.64,15.88,15.46,15.88,47700
2011-09-07,16.12,16.12,15.64,16.0,58100
2011-09-08,15.76,16.12,15.64,16.0,100000
2011-09-09,15.88,16.18,15.64,16.18,83700
2011-09-12,15.82,16.42,15.64,15.88,53100
2011-09-13,15.94,17.02,15.82,17.03,336100
2011-09-14,17.09,17.99,17.03,17.99,391000
2011-09-15,17.99,18.65,17.93,17.99,146900
2011-09-16,17.21,17.99,16.97,17.33,132400
2011-09-19,17.15,17.21,16.55,16.73,148700
2011-09-20,16.55,16.73,16.19,16.73,179800
2011-09-21,16.85,16.85,16.37,16.85,12000
2011-09-22,16.85,17.09,16.55,17.03,58100
2011-09-23,16.91,17.03,16.49,16.79,42200
2011-09-26,16.67,16.73,16.13,16.25,50200
2011-09-27,16.19,16.31,16.13,16.12,13300
2011-09-28,16.18,16.54,16.12,16.18,53700
2011-09-29,16.66,16.66,16.06,16.12,33300
2011-09-30,15.94,16.48,15.94,16.37,39400
2011-10-03,16.25,16.25,16.25,16.25,1000
2011-10-04,15.65,17.15,15.65,17.15,42800
2011-10-05,16.61,16.61,16.13,16.12,6400
2011-10-06,17.26,17.26,16.24,17.27,87700
2011-10-07,17.15,17.15,16.55,16.61,3400
2011-10-10,16.31,16.43,16.25,16.25,10900
2011-10-11,16.25,16.79,16.25,16.79,1000
2011-10-12,16.37,16.73,15.83,15.82,12300
2011-10-13,16.06,17.08,15.52,16.06,37900
2011-10-14,16.78,16.78,15.7,16.0,10300
2011-10-17,17.2,17.2,15.7,15.7,5300
2011-10-18,15.82,15.82,15.7,15.76,47500
2011-10-19,16.24,16.24,15.46,15.64,58200
2011-10-20,15.64,15.7,15.64,15.7,7500
2011-10-21,16.24,16.24,15.82,15.88,48500
2011-10-24,16.54,16.54,15.7,15.7,25500
2011-10-25,15.64,15.82,15.34,15.34,84400
2011-10-26,15.58,15.64,15.4,15.52,25500
2011-10-27,15.7,16.06,15.58,15.76,17000
2011-10-28,15.94,16.48,15.94,16.18,53600
2011-10-31,16.3,16.36,15.64,15.64,3600
2011-11-01,16.06,16.06,15.58,15.58,38000
2011-11-02,15.4,15.4,15.22,15.22,9500
2011-11-03,14.74,15.76,14.74,15.64,26700
2011-11-04,15.58,15.58,15.52,15.52,600
2011-11-07,15.34,15.88,15.34,15.88,17500
2011-11-08,15.46,15.64,15.04,15.58,43800
2011-11-09,15.58,15.58,15.04,15.04,23900
2011-11-10,15.04,15.28,14.74,14.74,8600
2011-11-11,14.98,15.58,14.8,14.8,32200
2011-11-14,14.36,14.86,14.3,14.86,6900
2011-11-15,14.04,14.73,13.73,13.74,11000
2011-11-16,13.18,13.18,13.05,13.05,15000
2011-11-17,13.18,13.8,13.18,13.23,14500
2011-11-18,13.54,13.54,12.73,12.73,16700
2011-11-21,12.6,12.6,12.29,12.29,13000
2011-11-22,12.1,12.54,12.1,12.29,29800
2011-11-23,12.54,12.67,11.73,12.42,64500
2011-11-24,12.04,12.11,11.54,11.85,65600
2011-11-25,11.41,12.16,11.41,12.17,46300
2011-11-28,11.67,12.23,11.61,11.85,51000
2011-11-29,11.66,11.91,11.22,11.41,80800
2011-11-30,11.28,11.41,11.1,11.23,74000
2011-12-01,11.17,11.48,10.79,10.79,27600
2011-12-02,10.79,11.23,10.66,10.79,35600
2011-12-05,11.35,11.54,11.04,11.48,44600
2011-12-06,10.79,11.92,10.79,11.54,34400
2011-12-07,11.79,11.92,11.48,11.92,14800
2011-12-08,11.23,12.11,11.04,12.04,49600
2011-12-09,12.04,12.1,11.66,12.1,17300
2011-12-12,12.04,12.04,11.85,11.92,34500
2011-12-13,11.92,11.98,11.86,11.98,24200
2011-12-14,11.92,11.92,11.6,11.73,46300
2011-12-15,11.35,11.6,11.35,11.54,5100
2011-12-16,11.6,11.79,11.54,11.79,3700
2011-12-19,10.91,11.98,10.91,11.73,98200
2011-12-20,10.85,11.92,10.85,11.92,20600
2011-12-21,11.36,11.98,11.36,11.98,78600
2011-12-22,11.67,11.92,11.6,11.92,48400
2011-12-23,11.29,11.98,11.29,11.79,63100
2011-12-26,10.97,12.29,10.79,11.6,263200
2011-12-27,12.23,12.29,11.73,11.85,142100
2011-12-28,12.35,12.73,12.35,12.73,60900
2011-12-29,12.42,13.23,12.42,13.23,73100
2011-12-30,12.73,13.61,12.73,13.61,3600
2012-01-03,12.36,12.79,12.29,12.79,8900
2012-01-04,13.1,13.17,12.98,12.98,6200
2012-01-05,12.29,13.17,12.29,13.11,12400
2012-01-06,12.55,13.11,12.55,13.11,12500
2012-01-09,13.05,13.55,12.8,12.79,8500
2012-01-10,13.17,13.79,13.17,13.36,2900
2012-01-11,13.42,14.61,13.42,13.8,31600
2012-01-12,13.67,14.43,13.67,13.8,43800
2012-01-13,13.36,13.99,13.36,13.99,45300
2012-01-16,13.17,13.93,13.17,13.92,5200
2012-01-17,13.48,13.92,13.48,13.8,500
2012-01-18,13.17,14.11,13.17,13.8,5200
2012-01-19,13.8,13.8,13.8,13.8,100
2012-01-20,12.92,13.8,12.92,12.92,2000
2012-01-30,12.86,12.86,12.86,12.86,1100
2012-01-31,12.92,12.92,12.92,12.92,100
2012-02-01,12.86,13.74,12.86,12.92,2600
2012-02-02,12.98,14.17,12.98,14.17,9700
2012-02-03,13.48,14.3,13.48,14.11,31500
2012-02-06,13.67,13.98,13.61,13.99,21500
2012-02-07,13.49,14.62,13.49,13.8,4500
2012-02-08,14.43,14.43,14.11,14.43,2800
2012-02-09,13.36,14.43,13.36,14.43,700
2012-02-10,14.24,14.24,14.24,14.24,1000
2012-02-13,14.24,14.24,14.24,14.24,5500
2012-02-14,14.3,14.43,14.3,14.43,1000
2012-02-15,14.74,14.74,14.56,14.55,1000
2012-02-16,13.8,14.74,13.8,14.74,1000
2012-02-17,14.55,14.55,14.55,14.55,2900
2012-02-20,15.05,15.05,15.05,15.05,200
2012-02-21,15.36,15.36,15.36,15.37,100
2012-02-22,14.81,14.81,14.81,14.8,100
2012-02-23,15.3,15.36,15.24,15.37,2600
2012-02-24,15.68,16.0,15.68,15.8,24500
2012-02-27,15.11,16.93,15.11,16.31,121700
2012-02-28,16.06,16.56,16.0,16.56,32200
2012-02-29,15.62,17.44,15.62,17.0,38900
2012-03-01,16.94,18.0,16.94,17.5,69200
2012-03-02,17.56,18.63,17.56,18.38,41600
2012-03-05,17.19,19.51,17.19,18.56,46700
2012-03-06,19.94,20.0,18.0,19.38,112300
2012-03-07,20.45,20.51,18.25,20.45,51800
2012-03-08,21.64,21.83,19.51,21.7,76100
2012-03-09,22.58,22.64,20.13,21.26,163200
2012-03-12,20.44,22.39,20.44,22.39,65200
2012-03-13,22.83,22.89,20.45,21.26,46100
2012-03-14,22.58,22.7,20.88,22.26,53700
2012-03-15,21.38,23.26,21.38,23.27,71800
2012-03-16,23.96,24.02,22.89,24.02,71000
2012-03-19,25.02,25.02,22.7,22.95,48000
2012-03-20,23.83,24.39,22.7,22.7,45300
2012-03-21,24.46,24.77,21.82,22.2,65600
2012-03-22,22.01,23.02,21.95,23.02,31300
