date,open,high,low,close,volume
2008-01-09,9.12,9.63,9.12,9.12,96510
2008-01-10,8.9,9.12,8.68,8.68,63590
2008-01-11,8.68,9.05,8.68,8.82,60040
2008-01-14,8.67,9.04,8.45,8.46,28870
2008-01-15,8.24,8.24,8.09,8.09,8710
2008-01-16,8.09,8.46,8.09,8.46,24170
2008-01-17,8.46,8.53,8.17,8.31,27040
2008-01-18,8.38,8.46,8.31,8.46,18510
2008-01-21,8.46,8.46,8.09,8.09,27850
2008-01-22,7.8,8.24,7.72,7.72,30590
2008-01-23,7.43,7.43,7.35,7.35,23670
2008-01-24,7.35,7.5,7.02,7.02,41820
2008-01-25,7.13,7.28,7.06,7.13,23710
2008-01-28,7.42,7.42,7.35,7.43,42340
2008-01-29,7.8,7.8,7.8,7.8,1170
2008-01-30,8.17,8.17,8.17,8.16,260
2008-01-31,8.53,8.53,8.53,8.53,22480
2008-02-01,8.9,8.9,8.9,8.9,15470
2008-02-12,9.34,9.34,9.34,9.34,8490
2008-02-13,9.63,9.63,8.9,9.27,146090
2008-02-14,9.64,9.71,9.64,9.71,76170
2008-02-15,9.56,10.15,9.56,10.15,81380
2008-02-18,9.71,9.71,9.71,9.71,22300
2008-02-19,9.27,9.56,9.27,9.34,72820
2008-02-20,9.34,9.34,8.9,8.9,53480
2008-02-21,8.46,8.46,8.46,8.46,30660
2008-02-22,8.09,8.09,8.09,8.09,62780
2008-02-25,8.38,8.46,8.38,8.46,48970
2008-02-26,8.09,8.09,8.09,8.09,40020
2008-02-27,7.72,8.24,7.72,7.72,63030
2008-02-28,7.79,7.79,7.43,7.57,40500
2008-02-29,7.57,7.57,7.35,7.35,40020
2008-03-03,7.2,7.2,6.98,6.99,45940
2008-03-04,6.66,6.66,6.66,6.66,7560
2008-03-05,6.33,6.33,6.33,6.32,8730
2008-03-06,6.61,6.61,6.61,6.62,12550
2008-03-07,6.95,6.95,6.95,6.95,103810
2008-03-10,7.28,7.28,6.99,7.06,79070
2008-03-11,6.73,7.17,6.73,6.73,65280
2008-03-12,6.91,6.99,6.73,6.91,34470
2008-03-13,7.06,7.06,6.91,6.99,24120
2008-03-14,6.81,6.92,6.7,6.69,65610
2008-03-17,6.36,6.4,6.36,6.36,44800
2008-03-18,6.07,6.07,6.07,6.07,16800
2008-03-19,5.81,6.03,5.78,5.77,72570
2008-03-20,5.59,5.73,5.51,5.52,111310
2008-03-21,5.3,5.41,5.3,5.33,78880
2008-03-24,5.07,5.07,5.07,5.07,93240
2008-03-25,4.85,4.85,4.85,4.85,89070
2008-03-26,5.07,5.07,4.81,5.07,59990
2008-03-27,5.11,5.11,5.11,5.11,15130
2008-03-28,5.11,5.15,5.11,5.15,120
2008-03-31,5.19,5.19,5.19,5.18,2020
2008-04-01,5.22,5.22,5.22,5.22,10020
2008-04-02,5.26,5.26,5.26,5.26,5320
2008-04-03,5.3,5.3,5.3,5.29,5010
2008-04-04,5.33,5.33,5.33,5.33,10
2008-04-07,5.4,5.4,5.4,5.41,5000
2008-04-08,5.48,5.48,5.34,5.41,117780
2008-04-09,5.41,5.41,5.34,5.33,32590
2008-04-10,5.26,5.26,5.26,5.26,5450
2008-04-11,5.19,5.19,5.19,5.18,8070
2008-04-16,5.11,5.11,5.11,5.11,3220
2008-04-17,5.04,5.18,5.04,5.18,62840
2008-04-18,5.11,5.18,5.11,5.11,20260
2008-04-21,5.04,5.04,5.04,5.04,7360
2008-04-22,4.97,4.97,4.97,4.96,3050
2008-04-23,4.89,4.89,4.89,4.89,200
2008-04-24,4.82,4.85,4.82,4.82,39480
2008-04-25,4.78,4.89,4.75,4.78,27990
2008-04-28,4.71,4.85,4.71,4.82,32860
2008-04-29,4.89,4.89,4.75,4.82,21190
2008-05-05,4.78,4.82,4.75,4.74,12000
2008-05-06,4.67,4.67,4.67,4.67,3200
2008-05-07,4.6,4.6,4.6,4.6,60
2008-05-08,4.53,4.53,4.53,4.52,10
2008-05-09,4.45,4.45,4.45,4.45,20
2008-05-12,4.38,4.38,4.38,4.38,500
2008-05-13,4.31,4.31,4.31,4.3,10
2008-05-14,4.3,4.3,4.23,4.23,500
2008-05-15,4.16,4.16,4.16,4.15,10
2008-05-16,4.08,4.08,4.08,4.08,5190
2008-05-19,4.08,4.08,4.01,4.01,710
2008-05-20,3.94,3.94,3.94,3.93,10
2008-05-21,3.86,3.86,3.86,3.86,10
2008-05-22,3.82,3.82,3.82,3.82,2000
2008-05-23,3.75,3.75,3.75,3.75,1050
2008-05-26,3.68,3.68,3.68,3.68,520
2008-05-30,3.61,3.61,3.61,3.6,910
2008-06-02,3.53,3.53,3.53,3.54,30
2008-06-03,3.47,3.47,3.47,3.47,5010
2008-06-04,3.4,3.4,3.4,3.4,6170
2008-06-05,3.34,3.34,3.34,3.34,7020
2008-06-06,3.28,3.28,3.28,3.28,8400
2008-06-09,3.22,3.22,3.22,3.22,2010
2008-06-10,3.16,3.16,3.16,3.16,10
2008-06-11,3.1,3.22,3.1,3.22,43200
2008-06-12,3.28,3.28,3.28,3.28,22490
2008-06-13,3.34,3.34,3.34,3.34,4040
2008-06-16,3.4,3.4,3.4,3.41,3760
2008-06-17,3.47,3.47,3.47,3.47,200
2008-06-18,3.53,3.53,3.41,3.41,46570
2008-06-19,3.36,3.36,3.31,3.31,3510
2008-06-20,3.21,3.22,3.21,3.22,20310
2008-06-23,3.18,3.31,3.18,3.31,32640
2008-06-24,3.41,3.41,3.41,3.41,810
2008-06-25,3.51,3.51,3.51,3.5,6540
2008-06-26,3.6,3.6,3.5,3.5,86110
2008-06-27,3.42,3.6,3.4,3.6,50200
2008-06-30,3.71,3.71,3.5,3.71,14330
2008-07-01,3.82,3.82,3.82,3.81,9200
2008-07-02,3.92,3.92,3.85,3.92,65660
2008-07-03,4.03,4.03,4.03,4.03,9100
2008-07-04,4.14,4.14,4.14,4.15,9420
2008-07-07,4.27,4.27,4.08,4.11,98190
2008-07-08,4.11,4.22,4.01,4.23,100440
2008-07-09,4.35,4.35,4.35,4.35,20
2008-07-10,4.46,4.46,4.46,4.46,3250
2008-07-11,4.59,4.59,4.59,4.59,750
2008-07-14,4.72,4.72,4.72,4.72,24450
2008-07-15,4.85,4.85,4.85,4.85,12300
2008-07-16,4.98,4.98,4.98,4.99,50970
2008-07-17,5.12,5.12,5.12,5.12,8760
2008-07-18,4.99,5.25,4.99,5.25,127430
2008-07-21,5.12,5.12,5.12,5.12,35330
2008-07-22,4.99,4.99,4.99,4.99,22300
2008-07-23,4.86,4.86,4.86,4.85,7920
2008-07-24,4.76,4.98,4.72,4.72,215060
2008-07-25,4.85,4.85,4.72,4.85,131290
2008-07-28,4.98,4.98,4.98,4.99,8310
2008-07-29,5.12,5.12,5.12,5.12,700
2008-07-30,5.25,5.25,5.12,5.25,118720
2008-07-31,5.38,5.38,5.29,5.38,118550
2008-08-01,5.51,5.51,5.51,5.52,35200
2008-08-04,5.65,5.65,5.39,5.52,147500
2008-08-05,5.39,5.43,5.39,5.38,142880
2008-08-06,5.52,5.52,5.52,5.52,49500
2008-08-07,5.66,5.66,5.61,5.61,57390
2008-08-08,5.75,5.75,5.66,5.75,84620
2008-08-11,5.89,5.89,5.89,5.88,10750
2008-08-12,6.02,6.02,6.02,6.02,45580
2008-08-13,6.16,6.16,6.11,6.16,55460
2008-08-14,6.34,6.34,6.34,6.34,81970
2008-08-15,6.52,6.52,6.52,6.52,6600
2008-08-18,6.84,6.84,6.84,6.84,12340
2008-08-19,7.16,7.16,7.16,7.16,96220
2008-08-20,7.48,7.48,7.48,7.48,92050
2008-08-21,7.75,7.84,7.66,7.85,82390
2008-08-22,8.22,8.22,8.03,8.03,102520
2008-08-25,8.39,8.39,8.21,8.39,115780
2008-08-26,8.8,8.8,8.07,8.07,53040
2008-08-27,7.89,8.43,7.89,8.07,129940
2008-08-28,7.75,7.8,7.71,7.71,98290
2008-08-29,7.35,7.71,7.35,7.71,73620
2008-09-03,8.07,8.07,8.03,8.07,35910
2008-09-04,8.21,8.21,7.71,8.03,21030
2008-09-05,7.66,7.71,7.66,7.66,19540
2008-09-08,7.3,7.39,7.3,7.3,65590
2008-09-09,6.93,7.62,6.93,7.62,55740
2008-09-10,7.57,7.67,7.25,7.25,33780
2008-09-11,6.93,6.93,6.93,6.93,13760
2008-09-12,6.61,6.61,6.61,6.61,16480
2008-09-15,6.29,6.93,6.29,6.3,68060
2008-09-16,6.3,6.3,6.03,6.02,105720
2008-09-17,5.75,5.93,5.75,5.75,46120
2008-09-18,5.48,5.75,5.48,5.47,65320
2008-09-19,5.47,5.74,5.47,5.75,5020
2008-09-22,6.02,6.02,6.02,6.02,210
2008-09-23,6.29,6.29,6.29,6.3,81780
2008-09-24,6.39,6.57,6.39,6.39,43240
2008-09-25,6.48,6.71,6.48,6.71,36990
2008-09-26,7.03,7.03,6.94,7.03,75820
2008-09-29,7.3,7.35,7.03,7.07,56230
2008-09-30,6.75,6.75,6.75,6.75,20590
2008-10-01,6.75,6.8,6.43,6.66,43080
2008-10-02,6.84,6.84,6.66,6.84,10550
2008-10-03,6.61,6.84,6.61,6.8,13800
2008-10-06,6.75,6.75,6.48,6.48,18970
2008-10-07,6.16,6.21,6.16,6.16,51510
2008-10-08,5.98,6.39,5.98,6.34,15920
2008-10-09,6.11,6.48,6.11,6.2,19710
2008-10-10,6.02,6.11,5.93,5.93,72050
2008-10-13,6.16,6.16,5.84,5.84,10180
2008-10-14,6.11,6.11,6.11,6.11,3550
2008-10-15,6.38,6.38,6.29,6.39,55470
2008-10-16,6.07,6.25,6.07,6.25,17620
2008-10-17,6.52,6.52,6.34,6.48,68170
2008-10-20,6.43,6.53,6.39,6.39,21140
2008-10-21,6.57,6.57,6.39,6.52,21560
2008-10-22,6.34,6.38,6.25,6.25,11860
2008-10-23,6.02,6.07,6.02,6.02,45790
2008-10-24,5.93,6.02,5.93,5.98,13950
2008-10-27,5.8,5.84,5.71,5.7,65300
2008-10-28,5.43,5.47,5.43,5.43,67760
2008-10-29,5.66,5.66,5.61,5.66,29430
2008-10-30,5.57,5.66,5.57,5.66,36670
2008-10-31,5.43,5.57,5.43,5.47,76400
2008-11-03,5.52,5.52,5.29,5.47,12350
2008-11-04,5.29,5.74,5.29,5.75,11160
2008-11-05,6.02,6.02,6.02,6.02,7970
2008-11-06,5.84,6.16,5.79,6.02,39400
2008-11-07,5.75,5.93,5.75,5.88,9800
2008-11-10,5.65,5.93,5.65,5.93,7260
2008-11-11,5.66,5.66,5.66,5.66,21600
2008-11-12,5.66,5.66,5.52,5.57,20540
2008-11-13,5.43,5.66,5.43,5.57,3720
2008-11-14,5.75,5.75,5.57,5.57,5250
2008-11-17,5.34,5.48,5.34,5.47,27260
2008-11-18,5.33,5.38,5.33,5.38,5110
2008-11-19,5.52,5.52,5.33,5.34,12390
2008-11-20,5.11,5.25,5.11,5.25,78770
2008-11-21,5.25,5.3,5.07,5.11,23740
2008-11-24,5.11,5.2,5.11,5.15,16200
2008-11-25,5.29,5.33,5.15,5.34,38280
2008-11-26,5.34,5.34,5.11,5.11,9590
2008-11-27,4.97,5.11,4.93,4.93,14730
2008-11-28,4.93,5.16,4.93,5.15,10670
2008-12-01,4.92,5.2,4.92,5.02,2670
2008-12-02,5.16,5.16,4.88,4.93,1370
2008-12-03,4.93,4.93,4.79,4.84,8400
2008-12-04,5.02,5.02,4.84,5.02,5130
2008-12-05,5.02,5.02,4.79,4.84,24670
2008-12-08,4.79,4.79,4.61,4.61,13510
2008-12-09,4.79,4.84,4.75,4.84,10160
2008-12-10,5.07,5.07,4.98,5.02,21600
2008-12-11,4.84,5.02,4.84,4.97,4060
2008-12-12,5.02,5.02,4.97,5.02,10470
2008-12-15,5.16,5.16,4.97,5.02,11570
2008-12-16,4.97,4.97,4.84,4.84,7200
2008-12-17,4.69,4.84,4.65,4.64,10450
2008-12-18,4.64,4.69,4.46,4.64,2070
2008-12-19,4.59,4.74,4.59,4.64,20270
2008-12-22,4.63,4.74,4.54,4.55,15190
2008-12-23,4.35,4.37,4.34,4.33,10890
2008-12-24,4.2,4.32,4.2,4.21,7910
2008-12-25,4.02,4.36,4.02,4.21,2740
2008-12-26,4.21,4.21,4.02,4.15,2790
2008-12-29,4.01,4.06,4.01,4.02,6310
2008-12-30,4.21,4.21,4.16,4.22,22770
2008-12-31,4.42,4.42,4.41,4.42,22850
2009-01-02,4.45,4.45,4.42,4.42,7600
2009-01-05,4.63,4.63,4.48,4.63,21050
2009-01-06,4.54,4.74,4.54,4.74,13700
2009-01-07,4.84,4.93,4.74,4.93,29050
2009-01-08,4.74,4.93,4.7,4.7,7330
2009-01-09,4.55,4.69,4.55,4.55,2860
2009-01-12,4.71,4.71,4.5,4.55,6340
2009-01-13,4.47,4.5,4.34,4.45,5650
2009-01-14,4.36,4.36,4.26,4.26,25740
2009-01-15,4.08,4.36,4.07,4.1,21820
2009-01-16,4.27,4.27,3.91,3.91,51360
2009-01-19,3.91,4.02,3.91,3.97,26820
2009-01-20,4.02,4.16,4.02,4.16,7270
2009-01-21,4.35,4.35,4.07,4.07,1110
2009-01-22,4.19,4.19,3.96,4.14,17510
2009-01-23,4.04,4.16,4.04,4.16,10580
2009-02-02,4.16,4.26,4.11,4.11,13330
2009-02-03,4.06,4.11,4.06,4.06,12620
2009-02-04,4.06,4.25,4.06,4.16,5960
2009-02-05,4.08,4.14,4.0,3.99,15110
2009-02-06,4.06,4.11,3.98,4.1,4540
2009-02-09,4.16,4.2,4.11,4.2,4150
2009-02-10,4.16,4.2,4.06,4.16,2800
2009-02-11,4.06,4.17,4.06,4.06,2650
2009-02-12,4.16,4.16,3.9,3.9,21200
2009-02-13,4.05,4.05,4.02,4.04,4950
2009-02-16,4.04,4.04,3.91,3.93,4560
2009-02-17,3.93,3.94,3.92,3.93,13110
2009-02-18,3.87,3.88,3.82,3.87,17690
2009-02-19,3.97,3.97,3.87,3.9,5600
2009-02-20,3.89,3.9,3.87,3.87,4700
2009-02-23,3.73,3.87,3.73,3.86,1390
2009-02-24,3.82,3.92,3.82,3.82,17470
2009-02-25,4.0,4.0,3.97,3.99,7600
2009-02-26,3.85,3.99,3.85,3.97,5150
2009-02-27,3.87,3.92,3.87,3.92,1210
2009-03-02,3.79,4.02,3.79,4.01,3020
2009-03-03,3.87,4.01,3.87,3.92,2220
2009-03-04,4.02,4.07,3.92,4.05,1520
2009-03-05,4.11,4.11,4.06,4.06,5550
2009-03-06,4.06,4.06,3.96,4.05,1020
2009-03-09,4.11,4.11,3.87,3.87,5630
2009-03-10,3.87,3.97,3.77,3.97,51020
2009-03-11,3.97,4.07,3.93,3.93,2280
2009-03-12,3.89,3.9,3.89,3.9,2550
2009-03-13,3.92,3.95,3.92,3.95,1890
2009-03-16,4.05,4.05,3.87,3.87,33400
2009-03-17,3.87,3.99,3.87,3.87,20940
2009-03-18,4.06,4.06,3.99,4.01,13640
2009-03-19,4.06,4.11,4.01,4.01,19580
2009-03-20,3.92,4.01,3.92,3.97,7860
2009-03-23,4.01,4.02,3.97,4.0,15600
2009-03-24,4.07,4.17,4.07,4.18,20240
2009-03-25,4.16,4.18,4.06,4.06,7940
2009-03-26,4.06,4.12,4.06,4.12,8400
2009-03-27,4.15,4.15,4.12,4.13,13950
2009-03-30,3.98,4.06,3.98,4.01,6510
2009-03-31,3.96,4.01,3.96,3.98,2150
2009-04-01,4.13,4.17,4.11,4.18,25650
2009-04-02,4.38,4.38,4.33,4.38,62600
2009-04-03,4.59,4.59,4.59,4.59,29190
2009-04-07,4.81,4.81,4.64,4.82,34120
2009-04-08,4.61,4.84,4.61,4.64,39890
2009-04-09,4.64,4.64,4.47,4.49,53690
2009-04-10,4.71,4.71,4.7,4.71,20770
2009-04-13,4.93,4.93,4.93,4.93,24890
2009-04-14,5.03,5.17,4.88,5.13,57600
2009-04-15,4.94,5.08,4.89,4.88,40690
2009-04-16,5.12,5.12,4.93,4.93,11000
2009-04-17,5.03,5.03,4.69,4.84,33740
2009-04-20,4.6,4.61,4.6,4.59,11400
2009-04-21,4.37,4.54,4.37,4.55,21260
2009-04-22,4.57,4.73,4.57,4.73,10700
2009-04-23,4.55,4.79,4.55,4.73,31730
2009-04-24,4.81,4.81,4.69,4.72,8690
2009-04-27,4.72,4.88,4.72,4.73,6020
2009-04-28,4.59,4.84,4.59,4.83,12390
2009-04-29,4.7,4.94,4.7,4.93,16230
2009-05-04,5.17,5.17,5.17,5.17,11010
2009-05-05,5.41,5.41,5.41,5.42,28540
2009-05-06,5.23,5.32,5.18,5.17,24140
2009-05-07,5.31,5.41,5.17,5.42,41180
2009-05-08,5.32,5.52,5.32,5.46,30210
2009-05-11,5.65,5.7,5.65,5.66,14640
2009-05-12,5.61,5.9,5.56,5.9,28420
2009-05-13,6.09,6.09,5.8,5.9,10370
2009-05-14,5.9,5.9,5.66,5.66,55020
2009-05-15,5.9,5.9,5.85,5.9,12180
2009-05-18,5.8,5.9,5.8,5.8,20540
2009-05-19,5.8,5.8,5.75,5.8,47180
2009-05-20,5.8,6.09,5.7,6.09,106710
2009-05-21,6.19,6.19,5.8,6.0,69840
2009-05-22,5.81,6.05,5.71,5.71,23160
2009-05-25,5.95,5.95,5.95,5.95,8280
2009-05-26,6.24,6.24,6.24,6.24,39700
2009-05-27,6.53,6.53,6.53,6.53,58860
2009-05-28,6.82,6.82,6.68,6.77,109140
2009-05-29,6.82,6.87,6.58,6.72,33540
2009-06-01,6.87,7.01,6.87,7.01,83060
2009-06-02,7.35,7.35,7.25,7.25,64910
2009-06-03,6.96,7.2,6.96,7.21,102930
2009-06-04,7.21,7.31,7.16,7.16,38700
2009-06-05,7.31,7.35,7.21,7.25,116370
2009-06-08,7.5,7.6,7.45,7.6,113340
2009-06-09,7.45,7.55,7.35,7.55,57620
2009-06-10,7.2,7.25,7.2,7.2,13020
