date,open,high,low,close,volume
2006-12-27,10.03,10.03,10.03,10.03,2000
2006-12-28,10.52,10.52,10.52,10.52,35000
2006-12-29,10.99,10.99,10.88,10.99,10080
2007-01-02,11.52,11.52,11.52,11.52,3000
2007-01-03,12.05,12.05,12.05,12.06,3000
2007-01-04,12.59,12.59,12.59,12.59,6500
2007-01-05,13.12,13.12,13.12,13.12,36200
2007-01-08,13.76,13.76,13.76,13.76,49820
2007-01-09,14.4,14.4,14.4,14.4,45920
2007-01-10,14.72,14.72,14.72,14.72,43570
2007-01-11,14.72,14.72,14.72,14.72,36200
2007-01-12,14.72,14.72,14.72,14.72,26180
2007-01-15,14.72,14.72,14.08,14.62,24380
2007-01-16,14.51,14.73,14.51,14.72,32470
2007-01-17,15.15,15.15,14.51,15.15,27790
2007-01-18,15.15,15.15,15.15,15.15,30300
2007-01-19,15.15,15.15,15.15,15.15,22890
2007-01-22,15.15,15.15,14.4,14.4,35430
2007-01-23,13.76,13.87,13.76,13.87,22400
2007-01-24,13.48,14.35,13.48,14.35,14390
2007-01-25,14.35,14.35,14.35,14.35,7570
2007-01-26,14.57,14.57,14.57,14.57,1550
2007-01-29,14.57,14.57,14.57,14.57,10
2007-01-30,14.57,14.57,13.92,13.91,4150
2007-01-31,14.56,15.21,13.91,15.22,20960
2007-02-01,15.22,15.22,14.79,15.0,6870
2007-02-02,14.78,14.78,14.78,14.78,1460
2007-02-05,14.78,14.78,14.78,14.78,7500
2007-02-06,14.13,14.56,14.13,14.13,7310
2007-02-07,14.56,14.56,14.56,14.57,6500
2007-02-08,14.57,14.57,13.92,14.57,5660
2007-02-09,14.57,14.57,14.57,14.57,4600
2007-02-12,14.57,14.57,14.46,14.57,26720
2007-02-13,15.22,15.22,14.57,15.22,27130
2007-02-14,15.0,15.22,15.0,15.0,6750
2007-02-15,15.65,15.65,15.0,15.65,13190
2007-02-26,16.41,16.41,16.41,16.41,11450
2007-02-27,17.17,17.17,17.17,17.18,13340
2007-02-28,17.61,17.83,17.18,17.61,11470
2007-03-01,17.61,17.61,17.61,17.61,25150
2007-03-02,17.61,17.61,16.74,17.18,23100
2007-03-05,16.96,16.96,16.42,16.96,7000
2007-03-06,16.53,17.18,16.53,16.52,11860
2007-03-07,16.95,16.95,16.52,16.52,8680
2007-03-08,16.95,16.95,16.52,16.52,21450
2007-03-09,16.95,16.95,16.63,16.96,8790
2007-03-12,17.29,17.61,17.29,17.61,11360
2007-03-13,17.83,18.48,17.83,17.83,22040
2007-03-14,17.83,18.26,17.83,17.83,13110
2007-03-15,17.4,17.4,16.96,16.96,6230
2007-03-16,16.2,17.61,16.2,17.61,19580
2007-03-19,17.61,17.61,17.61,17.61,11180
2007-03-20,17.39,17.39,16.96,17.39,10180
2007-03-21,17.39,17.39,17.39,17.39,29390
2007-03-22,16.96,16.96,16.52,16.96,11070
2007-03-23,16.74,16.74,16.53,16.52,7300
2007-03-26,15.87,16.74,15.87,16.52,13740
2007-03-27,16.52,16.52,16.3,16.31,10560
2007-03-28,15.88,15.88,15.66,15.87,3740
2007-03-29,16.63,16.63,16.63,16.63,4400
2007-03-30,16.63,16.63,16.63,16.63,3410
2007-04-02,16.63,16.63,15.87,15.87,6250
2007-04-03,15.11,15.65,15.11,15.65,4650
2007-04-04,14.89,15.65,14.89,15.65,4410
2007-04-05,15.65,15.65,15.43,15.44,2000
